loai,thanh_phan,trang_thai,meaning_en,meaning_vi,bien_the,ghi_chu
Root,assert,Đã có trong MorphLink,to state clearly and definitely that something is true,khẳng định,không có biến thể đáng kể,
Root,assess,Đã có trong MorphLink,to make a judgement about the nature or quality of somebody/something,đánh giá,không có biến thể đáng kể,
Root,assign,Đã có trong MorphLink,"to give somebody something that they can use, or some work or responsibility","phân công, chỉ định",không có biến thể đáng kể,
Root,assist,Đã có trong MorphLink,to help somebody to do something,"hỗ trợ, giúp đỡ",không có biến thể đáng kể,
Root,assume,Đã có trong MorphLink,to think or accept that something is true but without having proof of it,"giả định, cho là",không có biến thể đáng kể,
Root,astonish,Đã có trong MorphLink,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm sửng sốt,không có biến thể đáng kể,
Root,at,Đã có trong MorphLink,used to say where something/somebody is or where something happens,"tại, ở",không có biến thể đáng kể,
Root,athlete,Đã có trong MorphLink,a person who competes in sports,vận động viên,không có biến thể đáng kể,
Root,attach,Đã có trong MorphLink,to fasten or join one thing to another,gắn kèm,không có biến thể đáng kể,
Root,attack,Đã có trong MorphLink,an act of using violence to try to hurt or kill somebody,tấn công,không có biến thể đáng kể,
Root,attain,Đã có trong MorphLink,"to succeed in getting something, usually after a lot of effort",đạt được,không có biến thể đáng kể,
Root,attend,Đã có trong MorphLink,to be present at an event,tham dự,không có biến thể đáng kể,
Root,attitude,Đã có trong MorphLink,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel,thái độ,không có biến thể đáng kể,
Root,attract,Đã có trong MorphLink,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them",thu hút,không có biến thể đáng kể,
Root,auction,Đã có trong MorphLink,a public sale in which things are sold to the person who offers the most money for them,đấu giá,không có biến thể đáng kể,
Root,audio,Đã có trong MorphLink,connected with sound that is recorded,âm thanh,không có biến thể đáng kể,
Root,august,Đã có trong MorphLink,"the 8th month of the year, between July and September","trang nghiêm, tháng Tám",không có biến thể đáng kể,
Root,aunt,Đã có trong MorphLink,the sister of your father or mother; the wife of your uncle or aunt,"cô, dì, bác gái",không có biến thể đáng kể,
Root,author,Đã có trong MorphLink,a person who writes books or the person who wrote a particular book,tác giả,không có biến thể đáng kể,
Root,auto,Đã có trong MorphLink,a car,tự động (viết tắt),không có biến thể đáng kể,
Root,automatic,Đã có trong MorphLink,having controls that work without needing a person to operate them,tự động,không có biến thể đáng kể,
Root,autumn,Đã có trong MorphLink,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",mùa thu,không có biến thể đáng kể,
Root,avoid,Đã có trong MorphLink,to prevent something bad from happening,tránh né,không có biến thể đáng kể,
Root,aware,Đã có trong MorphLink,knowing or realizing something,nhận thức được,không có biến thể đáng kể,
Root,away,Đã có trong MorphLink,to or at a distance from somebody/something in space or time,"xa, đi xa",không có biến thể đáng kể,
Root,awkward,Đã có trong MorphLink,making you feel embarrassed,"vụng về, khó xử",không có biến thể đáng kể,
Root,baby,Đã có trong MorphLink,a very young child or animal,em bé,không có biến thể đáng kể,
Root,back,Đã có trong MorphLink,located behind or at the back of something,"lưng, phía sau",không có biến thể đáng kể,
Root,bad,Đã có trong MorphLink,unpleasant; full of problems,"xấu, tệ",không có biến thể đáng kể,
Root,bag,Đã có trong MorphLink,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling",túi,không có biến thể đáng kể,
Root,bail,Đã có trong MorphLink,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial.",bảo lãnh,không có biến thể đáng kể,
Root,bake,Đã có trong MorphLink,to cook food in an oven without extra fat or liquid; to be cooked in this way,nướng bánh,không có biến thể đáng kể,
Root,balance,Đã có trong MorphLink,"a situation in which different things exist in equal, correct or good amounts","thăng bằng, cân đối",không có biến thể đáng kể,
Root,ball,Đã có trong MorphLink,"a round object used for throwing, hitting or kicking in games and sports",quả bóng,không có biến thể đáng kể,
Root,balloon,Đã có trong MorphLink,a small bag made of very thin rubber that becomes larger and rounder when you fill it with air or gas. Balloons are brightly coloured and used as decorations or toys.,bóng bay,không có biến thể đáng kể,
Root,ban,Đã có trong MorphLink,an official rule that says that something is not allowed,cấm,không có biến thể đáng kể,
Root,band,Đã có trong MorphLink,"a small group of musicians who play popular music together, often with a singer or singers","ban nhạc, dải băng",không có biến thể đáng kể,
Root,bank,Đã có trong MorphLink,"an organization that provides various financial services, for example keeping or lending money","ngân hàng, bờ sông",không có biến thể đáng kể,
Root,bar,Đã có trong MorphLink,a place where you can buy and drink alcoholic and other drinks,"quán bar, thanh chắn",không có biến thể đáng kể,
Root,bare,Đã có trong MorphLink,not covered by any clothes,trần trụi,không có biến thể đáng kể,
Root,base,Đã có trong MorphLink,"the lowest part of something, especially the part or surface on which it rests or stands","căn cứ, cơ sở",không có biến thể đáng kể,
Root,basket,Đã có trong MorphLink,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker.","giỏ, rổ",không có biến thể đáng kể,
Root,bat,Đã có trong MorphLink,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis","con dơi, gậy đánh bóng",không có biến thể đáng kể,
Root,bath,Đã có trong MorphLink,"a large, long container that you put water in and then get into to wash your whole body",bồn tắm,không có biến thể đáng kể,
Root,battle,Đã có trong MorphLink,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people",trận chiến,không có biến thể đáng kể,
Root,bay,Đã có trong MorphLink,"a part of the sea, or of a large lake, partly surrounded by a wide curve of the land",vịnh,không có biến thể đáng kể,
Root,be,Đã có trong MorphLink,"used when you are naming people or things, describing them or giving more information about them","là, tồn tại",was/were/been (bất quy tắc),
Root,beach,Đã có trong MorphLink,"an area of sand or small stones (called shingle), next to the sea or a lake",bãi biển,không có biến thể đáng kể,
Root,beam,Đã có trong MorphLink,"a line of light, electromagnetic waves or particles","chùm tia, dầm",không có biến thể đáng kể,
Root,bean,Đã có trong MorphLink,"a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans.",hạt đậu,không có biến thể đáng kể,
Root,bear,Đã có trong MorphLink,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear.,"gấu, chịu đựng",không có biến thể đáng kể,
Root,beast,Đã có trong MorphLink,"an animal, especially one that is large or dangerous, or one that is unusual",con thú,không có biến thể đáng kể,
Root,beat,Đã có trong MorphLink,"a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes","đánh, nhịp đập",không có biến thể đáng kể,
Root,beauty,Đã có trong MorphLink,the quality of giving pleasure to the senses or to the mind,vẻ đẹp,không có biến thể đáng kể,
Root,become,Đã có trong MorphLink,to start to be something,trở thành,không có biến thể đáng kể,
Root,bed,Đã có trong MorphLink,a piece of furniture for sleeping on,giường,không có biến thể đáng kể,
Root,bee,Đã có trong MorphLink,a black and yellow flying insect that can sting (= touch your skin and make you feel a sharp pain).Bees live in large groups and make honey (= a sweet sticky substance that is good to eat).,con ong,không có biến thể đáng kể,
Root,beef,Đã có trong MorphLink,meat that comes from a cow,thịt bò,không có biến thể đáng kể,
Root,beer,Đã có trong MorphLink,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.,bia,không có biến thể đáng kể,
Root,before,Đã có trong MorphLink,at an earlier time; in the past; already,trước khi,không có biến thể đáng kể,
Root,beg,Đã có trong MorphLink,to ask somebody for something especially in an anxious way because you want or need it very much,van xin,không có biến thể đáng kể,
Root,begin,Đã có trong MorphLink,to start doing something; to do the first part of something,bắt đầu,không có biến thể đáng kể,
Root,behave,Đã có trong MorphLink,to do things in a particular way,cư xử,không có biến thể đáng kể,
Root,behind,Đã có trong MorphLink,at or towards the back of somebody/something; further back,phía sau,không có biến thể đáng kể,
Root,belief,Đã có trong MorphLink,a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right,niềm tin,không có biến thể đáng kể,
Root,believe,Đã có trong MorphLink,to feel certain that something is true or that somebody is telling you the truth,tin tưởng,không có biến thể đáng kể,
Root,bell,Đã có trong MorphLink,"a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes",chuông,không có biến thể đáng kể,
Root,belt,Đã có trong MorphLink,"a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body",thắt lưng,không có biến thể đáng kể,
Root,bench,Đã có trong MorphLink,"a long seat for two or more people, usually made of wood","ghế dài, băng ghế",không có biến thể đáng kể,
Root,bend,Đã có trong MorphLink,"a curve or turn, especially in a road or river",uốn cong,không có biến thể đáng kể,
Root,bent,Đã có trong MorphLink,not straight,"cong, khuynh hướng",không có biến thể đáng kể,
Root,bet,Đã có trong MorphLink,"an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way",cá cược,không có biến thể đáng kể,
Root,betray,Đã có trong MorphLink,to give information about somebody/something to an enemy,phản bội,không có biến thể đáng kể,
Root,better,Đã có trong MorphLink,of a higher standard or less poor quality; not as bad as something else,tốt hơn,không có biến thể đáng kể,
Root,bias,Đã có trong MorphLink,"a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement","thiên vị, định kiến",không có biến thể đáng kể,
Root,bid,Đã có trong MorphLink,an offer by a person or a company to pay a particular amount of money for something,"đấu thầu, ra giá",không có biến thể đáng kể,
Root,big,Đã có trong MorphLink,"large in size, degree, amount, etc.",to lớn,không có biến thể đáng kể,
Root,bike,Đã có trong MorphLink,a bicycle,xe đạp,không có biến thể đáng kể,
Root,bill,Đã có trong MorphLink,a document that shows how much you owe somebody for goods or services,"hóa đơn, dự luật",không có biến thể đáng kể,
Root,bin,Đã có trong MorphLink,a container that you put waste in,thùng rác,không có biến thể đáng kể,
Root,bind,Đã có trong MorphLink,"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together strongly","ràng buộc, buộc chặt",không có biến thể đáng kể,
Root,bird,Đã có trong MorphLink,a creature that is covered with feathers and has two wings and two legs. Most birds can fly.,chim,không có biến thể đáng kể,
Root,birth,Đã có trong MorphLink,the time when a baby is born; the process of being born,sự sinh ra,không có biến thể đáng kể,
Root,bishop,Đã có trong MorphLink,a senior priest in charge of the work of the Church in a city or district,giám mục,không có biến thể đáng kể,
Root,bit,Đã có trong MorphLink,rather; to some extent,"một chút, bit (máy tính)",không có biến thể đáng kể,
Root,bite,Đã có trong MorphLink,an act of biting,cắn,không có biến thể đáng kể,
Root,bitter,Đã có trong MorphLink,"having a strong, unpleasant taste; not sweet","đắng, cay đắng",không có biến thể đáng kể,
Root,bizarre,Đã có trong MorphLink,very strange or unusual,kỳ quái,không có biến thể đáng kể,
Root,black,Đã có trong MorphLink,"having the very darkest colour, like coal or the sky at night",màu đen,không có biến thể đáng kể,
Root,blade,Đã có trong MorphLink,"the flat part of a knife, tool or machine, which has a sharp edge or edges for cutting",lưỡi dao,không có biến thể đáng kể,
Root,blame,Đã có trong MorphLink,responsibility for doing something badly or wrongly; saying that somebody is responsible for something,đổ lỗi,không có biến thể đáng kể,
Root,blank,Đã có trong MorphLink,"empty, with nothing written, printed or recorded on it",trống rỗng,không có biến thể đáng kể,
Root,blast,Đã có trong MorphLink,an explosion or a powerful movement of air caused by an explosion,vụ nổ,không có biến thể đáng kể,
Root,bleed,Đã có trong MorphLink,"to lose blood, especially from a wound or an injury",chảy máu,không có biến thể đáng kể,
Root,blend,Đã có trong MorphLink,a mixture of different types of the same thing,pha trộn,không có biến thể đáng kể,
Root,bless,Đã có trong MorphLink,to ask God to protect somebody/something,ban phước,không có biến thể đáng kể,
Root,blind,Đã có trong MorphLink,not able to see,mù lòa,không có biến thể đáng kể,
Root,block,Đã có trong MorphLink,a large piece of a solid material that is square or rectangular in shape and usually has flat sides,"khối, chặn lại",không có biến thể đáng kể,
Root,blood,Đã có trong MorphLink,the red liquid that flows through the bodies of humans and animals,máu,không có biến thể đáng kể,
Root,blow,Đã có trong MorphLink,"a hard hit with the hand, a weapon, etc.","thổi, đòn đánh",không có biến thể đáng kể,
Root,blue,Đã có trong MorphLink,having the colour of a clear sky or the sea on a clear day,màu xanh dương,không có biến thể đáng kể,
Root,board,Đã có trong MorphLink,"a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats","ban, bảng, tấm ván",không có biến thể đáng kể,
Root,boast,Đã có trong MorphLink,to talk in a way that shows you are too proud of something that you have or can do,khoe khoang,không có biến thể đáng kể,
Root,boat,Đã có trong MorphLink,"a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor",thuyền,không có biến thể đáng kể,
Root,body,Đã có trong MorphLink,the whole physical structure of a human or an animal,cơ thể,không có biến thể đáng kể,
Root,boil,Đã có trong MorphLink,"when a liquid boils or when you boil it, it is heated to the point where it forms bubbles and turns to steam or vapour",đun sôi,không có biến thể đáng kể,
Root,bold,Đã có trong MorphLink,brave and confident; not afraid to say what you feel or to take risks,"táo bạo, đậm",không có biến thể đáng kể,
Root,bomb,Đã có trong MorphLink,a weapon designed to explode at a particular time or when it is dropped or thrown,bom,không có biến thể đáng kể,
Root,bond,Đã có trong MorphLink,"something that forms a connection between people or groups, such as a feeling of friendship or shared ideas and experiences","trái phiếu, mối liên kết",không có biến thể đáng kể,
Root,bone,Đã có trong MorphLink,any of the hard parts that form the skeleton of the body of a human or an animal,xương,không có biến thể đáng kể,
Root,book,Đã có trong MorphLink,a set of printed pages that are fastened inside a cover so that you can turn them and read them,sách,không có biến thể đáng kể,
Root,boost,Đã có trong MorphLink,something that helps or encourages somebody/something,thúc đẩy,không có biến thể đáng kể,
Root,boot,Đã có trong MorphLink,a strong shoe that covers the foot and ankle and often the lower part of the leg,"ủng, cốp xe",không có biến thể đáng kể,
Root,border,Đã có trong MorphLink,the line that divides two countries or areas; the land near this line,biên giới,không có biến thể đáng kể,
Root,bore,Đã có trong MorphLink,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"làm chán, khoan lỗ",không có biến thể đáng kể,
Root,born,Đã có trong MorphLink,to come out of your mother’s body at the beginning of your life,sinh ra,không có biến thể đáng kể,
Root,borrow,Đã có trong MorphLink,"to take and use something that belongs to somebody else, and return it to them at a later time",mượn,không có biến thể đáng kể,
Root,boss,Đã có trong MorphLink,a person who is in charge of other people at work and tells them what to do,ông chủ,không có biến thể đáng kể,
Root,bother,Đã có trong MorphLink,to spend time and/or energy doing something,làm phiền,không có biến thể đáng kể,
Root,bottle,Đã có trong MorphLink,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids",chai,không có biến thể đáng kể,
Root,bottom,Đã có trong MorphLink,"in the lowest, last or furthest place or position","đáy, phần dưới",không có biến thể đáng kể,
Root,bounce,Đã có trong MorphLink,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this",nảy lên,không có biến thể đáng kể,
Root,bound,Đã có trong MorphLink,"certain or likely to happen, or to do or be something","ràng buộc, giới hạn",không có biến thể đáng kể,
Root,bow,Đã có trong MorphLink,the act of bending your head or the upper part of your body forward in order to say hello or goodbye to somebody or to show respect,"cúi chào, cây cung",không có biến thể đáng kể,
Root,bowl,Đã có trong MorphLink,"a deep round dish with a wide open top, used especially for holding food or liquid",cái bát,không có biến thể đáng kể,
Root,box,Đã có trong MorphLink,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things",hộp,không có biến thể đáng kể,
Root,boy,Đã có trong MorphLink,a male child or a young male person,con trai,không có biến thể đáng kể,
Root,brain,Đã có trong MorphLink,"the organ inside the head that controls movement, thought, memory and feeling",não bộ,không có biến thể đáng kể,
