loai,thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon,ly_do_loai
Root,Dover,Mới - chưa có ảnh,1,,,dover,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Dutch,Mới - chưa có ảnh,1,,,dutchman,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,EEG,Mới - chưa có ảnh,1,,,eeg,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Edinburgh,Mới - chưa có ảnh,1,,,edinburgh,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Egypt,Mới - chưa có ảnh,1,,,egyptian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Europe,Mới - chưa có ảnh,1,,,european,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Flynn,Mới - chưa có ảnh,1,,,flynn,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,France,Mới - chưa có ảnh,1,,,france,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,French,Mới - chưa có ảnh,1,,,french,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Germany,Mới - chưa có ảnh,1,,,germany,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Goodall,Mới - chưa có ảnh,1,,,goodall,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Greek,Mới - chưa có ảnh,1,,,greek,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Han,Mới - chưa có ảnh,1,,,han,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Hawaii,Mới - chưa có ảnh,1,,,hawaii,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Hebrew,Mới - chưa có ảnh,1,,,hebrew,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,IPA,Mới - chưa có ảnh,1,,,ipa,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,India,Mới - chưa có ảnh,1,,,indian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Indonesia,Mới - chưa có ảnh,1,,,indonesia,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Ire,Mới - chưa có ảnh,1,,,irish,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Jackson,Mới - chưa có ảnh,1,,,jackson,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,January,Mới - chưa có ảnh,1,,,january,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Japan,Mới - chưa có ảnh,2,,,"japan, japanese",missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Jefferson,Mới - chưa có ảnh,1,,,jefferson,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Jennifer,Mới - chưa có ảnh,1,,,jennifer,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,June,Mới - chưa có ảnh,1,,,june,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,KIA,Mới - chưa có ảnh,1,,,kia,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Kazakhstan,Mới - chưa có ảnh,1,,,kazakhstan,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Kim,Mới - chưa có ảnh,1,,,kim,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Langmuir,Mới - chưa có ảnh,1,,,langmuir,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Leo,Mới - chưa có ảnh,1,,,leo,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Leslie,Mới - chưa có ảnh,1,,,leslie,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Lewis,Mới - chưa có ảnh,1,,,lewis,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Linton,Mới - chưa có ảnh,1,,,linton,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,London,Mới - chưa có ảnh,1,,,london,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Louis,Mới - chưa có ảnh,1,,,louis,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Louisa,Mới - chưa có ảnh,1,,,louisa,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Malaysia,Mới - chưa có ảnh,1,,,malaysia,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Manchester,Mới - chưa có ảnh,1,,,manchester,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Maori,Mới - chưa có ảnh,1,,,maori,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Massachusetts,Mới - chưa có ảnh,1,,,massachusetts,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Memphis,Mới - chưa có ảnh,1,,,memphis,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Merton,Mới - chưa có ảnh,1,,,merton,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Mexico,Mới - chưa có ảnh,1,,,mexico,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Michael,Mới - chưa có ảnh,1,,,michael,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Monterey,Mới - chưa có ảnh,1,,,monterey,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Montgomery,Mới - chưa có ảnh,1,,,montgomery,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Morocco,Mới - chưa có ảnh,1,,,morocco,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Morse,Mới - chưa có ảnh,1,,,morse,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Mr,Mới - chưa có ảnh,1,,,mr,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Mussolini,Mới - chưa có ảnh,1,,,mussolini,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Myanmar,Mới - chưa có ảnh,1,,,myanmar,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,NASA,Mới - chưa có ảnh,1,,,nasa,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Nepal,Mới - chưa có ảnh,2,,,"nepal, nepali",missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Netherlands,Mới - chưa có ảnh,1,,,netherlands,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Newton,Mới - chưa có ảnh,1,,,newton,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Nigeria,Mới - chưa có ảnh,1,,,nigeria,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Norman,Mới - chưa có ảnh,1,,,norman,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,October,Mới - chưa có ảnh,1,,,october,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Olympic,Mới - chưa có ảnh,1,,,olympic,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Oxford,Mới - chưa có ảnh,1,,,oxford,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,PEI,Mới - chưa có ảnh,1,,,pei,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Pakistan,Mới - chưa có ảnh,1,,,pakistan,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Paraguay,Mới - chưa có ảnh,1,,,paraguay,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Paris,Mới - chưa có ảnh,1,,,paris,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Paul,Mới - chưa có ảnh,1,,,paul,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Pennsylvania,Mới - chưa có ảnh,1,,,pennsylvania,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Peru,Mới - chưa có ảnh,2,,,"peru, peruvian",missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,PhD,Mới - chưa có ảnh,1,,,phd,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Philip,Mới - chưa có ảnh,1,,,philip,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Philippine,Mới - chưa có ảnh,1,,,philippine,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Pythagoras,Mới - chưa có ảnh,1,,,pythagorean,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Qatar,Mới - chưa có ảnh,1,,,qatar,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Rachel,Mới - chưa có ảnh,1,,,rachel,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Rayleigh,Mới - chưa có ảnh,1,,,rayleigh,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Reynolds,Mới - chưa có ảnh,1,,,reynolds,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Rita,Mới - chưa có ảnh,1,,,rita,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Robert,Mới - chưa có ảnh,1,,,robert,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Rockefeller,Mới - chưa có ảnh,1,,,rockefeller,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Rome,Mới - chưa có ảnh,1,,,rome,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Russia,Mới - chưa có ảnh,2,,,"russia, russian",missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Sahara,Mới - chưa có ảnh,1,,,sahara,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Salvador,Mới - chưa có ảnh,1,,,salvador,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Samsung,Mới - chưa có ảnh,1,,,samsung,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Samuel,Mới - chưa có ảnh,1,,,samuel,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,San,Mới - chưa có ảnh,1,,,san,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Sax,Mới - chưa có ảnh,1,,,saxophone,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Scandinavia,Mới - chưa có ảnh,1,,,scandinavian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Scott,Mới - chưa có ảnh,1,,,scott,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Senegal,Mới - chưa có ảnh,1,,,senegal,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Shelton,Mới - chưa có ảnh,1,,,shelton,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Skype,Mới - chưa có ảnh,1,,,skype,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Sony,Mới - chưa có ảnh,1,,,sony,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Spain,Mới - chưa có ảnh,1,,,spanish,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Stephanie,Mới - chưa có ảnh,1,,,stephanie,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Steve,Mới - chưa có ảnh,1,,,steve,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Stewart,Mới - chưa có ảnh,1,,,stewart,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Stu,Mới - chưa có ảnh,1,,,stu,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Styrofoam,Mới - chưa có ảnh,1,,,styrofoam,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Susan,Mới - chưa có ảnh,1,,,susan,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Swiss,Mới - chưa có ảnh,1,,,swiss,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Switzerland,Mới - chưa có ảnh,1,,,switzerland,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Sydney,Mới - chưa có ảnh,1,,,sydney,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Taylor,Mới - chưa có ảnh,1,,,taylor,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Ted,Mới - chưa có ảnh,1,,,ted,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Thai,Mới - chưa có ảnh,1,,,thai,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Thursday,Mới - chưa có ảnh,1,,,thursday,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Turk,Mới - chưa có ảnh,1,,,turkish,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,USA,Mới - chưa có ảnh,1,,,usa,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Uganda,Mới - chưa có ảnh,1,,,uganda,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Ukraine,Mới - chưa có ảnh,1,,,ukraine,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,VII,Mới - chưa có ảnh,1,,,vii,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Venus,Mới - chưa có ảnh,1,,,venus,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Victoria,Mới - chưa có ảnh,1,,,victorian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Vienna,Mới - chưa có ảnh,1,,,vienna,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Vietnam,Mới - chưa có ảnh,1,,,vietnam,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Walpole,Mới - chưa có ảnh,1,,,walpole,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Whitney,Mới - chưa có ảnh,1,,,whitney,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Wright,Mới - chưa có ảnh,1,,,wright,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,YouTube,Mới - chưa có ảnh,1,,,youtube,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,adam,Mới - chưa có ảnh,1,"a male given name; in the Bible, the first man created by God",tên riêng Adam,adam,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,afghanistan,Mới - chưa có ảnh,1,a landlocked country in South-Central Asia,Afghanistan (quốc gia ở Nam-Trung Á),afghanistan,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,ala,Mới - chưa có ảnh,1,"(anatomy) a wing-like structure or process, e.g. the ala of the nose","(giải phẫu) cánh (cấu trúc hình cánh, ví dụ cánh mũi)",ala,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alaska,Mới - chưa có ảnh,1,,,alaskan,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,albert,Mới - chưa có ảnh,1,a male given name of Germanic origin,tên riêng nam giới gốc Đức (Albert),albert,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alberto,Mới - chưa có ảnh,1,"a male given name, the Italian, Spanish, and Portuguese form of Albert",tên riêng nam giới (dạng Albert),alberto,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alexander,Mới - chưa có ảnh,1,"a common male given name; also 'Alexander the Great', a historical king of Macedon",tên riêng nam giới (Alexander); Alexander Đại đế,alexander,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alexandria,Mới - chưa có ảnh,1,a major port city in Egypt founded by Alexander the Great,thành phố Alexandria (Ai Cập),alexandria,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alfred,Mới - chưa có ảnh,1,a male given name,tên riêng Alfred,alfred,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alonzo,Mới - chưa có ảnh,1,a male given name,tên riêng Alonzo,alonzo,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alphonse,Mới - chưa có ảnh,1,a male given name,tên riêng Alphonse,alphonse,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,alzheimer,Mới - chưa có ảnh,1,(Alzheimer's disease) a progressive disease that causes dementia and memory loss,bệnh Alzheimer (mất trí nhớ),alzheimer,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,america,Mới - chưa có ảnh,1,,,american,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,amos,Mới - chưa có ảnh,1,a male given name; a Hebrew prophet in the Bible,tên riêng Amos,amos,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,amsterdam,Mới - chưa có ảnh,1,the capital city of the Netherlands,Amsterdam (thủ đô Hà Lan),amsterdam,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,ana,Mới - chưa có ảnh,1,a common female given name (short form of Anna/Ana),tên riêng nữ giới (Ana),ana,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,andalusia,Mới - chưa có ảnh,1,,,andalusian,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,andes,Mới - chưa có ảnh,1,a major mountain range running along the west coast of South America,dãy núi Andes,andes,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,ann,Mới - chưa có ảnh,1,a female given name,tên riêng Ann,ann,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,anne,Mới - chưa có ảnh,1,a female given name,Anne (tên riêng nữ giới),anne,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,antoine,Mới - chưa có ảnh,1,a male given name,tên riêng Antoine,antoine,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,arab,Mới - chưa có ảnh,1,a member of a Semitic people originally from the Arabian Peninsula and widely dispersed across the Middle East and North Africa,người Ả Rập,arab,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,argentina,Mới - chưa có ảnh,1,a country in South America,Argentina (quốc gia ở Nam Mỹ),argentina,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,aries,Mới - chưa có ảnh,1,"a constellation and the first sign of the zodiac, represented by the Ram","chòm sao Bạch Dương, cung hoàng đạo đầu tiên",aries,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,arkansas,Mới - chưa có ảnh,1,a state in the south-central United States,bang Arkansas (Mỹ),arkansas,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,arnold,Mới - chưa có ảnh,1,a male given name,tên riêng Arnold,arnold,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,asia,Mới - chưa có ảnh,1,"the largest continent, bounded by Europe and the Pacific, Indian, and Arctic oceans",châu Á,asia,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,atlantic,Mới - chưa có ảnh,1,the ocean lying between the Americas to the west and Europe and Africa to the east,Đại Tây Dương,atlantic,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,aug,Mới - chưa có ảnh,1,abbreviation for the month of August,viết tắt của tháng Tám (Aug = August),aug,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,australia,Mới - chưa có ảnh,1,a country and continent in the Southern Hemisphere,"nước Úc, châu Úc",australia,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,austria,Mới - chưa có ảnh,2,a country in Central Europe,Áo (quốc gia ở Trung Âu),"austria, austrian",missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,ayala,Mới - chưa có ảnh,1,"a surname of Basque/Spanish origin, also a well-known Filipino family and business group name","họ Ayala (tên riêng, gốc Basque/Tây Ban Nha)",ayala,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,bach,Mới - chưa có ảnh,1,"a surname, notably that of Johann Sebastian Bach, the German composer","họ (tên riêng), gắn với nhà soạn nhạc Johann Sebastian Bach",bach,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,balkan,Mới - chưa có ảnh,1,"of or relating to the Balkans, a region in southeastern Europe",thuộc vùng Balkan (Đông Nam Âu),balkan,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,bangkok,Mới - chưa có ảnh,1,the capital and largest city of Thailand,Bangkok (thủ đô Thái Lan),bangkok,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,baptiste,Mới - chưa có ảnh,1,a male given name,tên riêng Baptiste,baptiste,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,becker,Mới - chưa có ảnh,1,a surname,họ Becker,becker,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
Root,belgium,Mới - chưa có ảnh,1,,,belgian,missing_words_analyzed,chỉ viết hoa trong từ điển (tên riêng)
