word_nguyen_mau,frequency,cac_dang_gap,example_files
source,481,sourced; sources; sourcing,"🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 314 - Food Imports Muscle Atrophy.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 409 - Eating Out Home Cooking Outsourcing.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 469 - Food Technology Printing Press.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md"
company,459,companies,"📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
student,459,students,🎯 IELTS/📖 Reading/📖 03 - TFNG and YNNG.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 📖 Reading/📘 VB2/📝 03 - On the move.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
different,450,,"📖 Reading/📘 VB2/📝 02 - Mother nature.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md"
others,450,,"📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md"
cannot,442,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
however,412,,"📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
important,410,,📖 Reading/📖 06 - Predictions.md; 📖 Reading/📖 07 - Visual information.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
research,401,researched; researches; researching,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 261 - Celebrity Loudspeaker Influence.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 374 - Public Library Toolbox.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 438 - Internet Misinformation Market.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 485 - Teen Stress Overloaded Circuit.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 800 - Implication of False Belief Experiments.md; 📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
individual,400,individuals,✍️ Writing/✍️ 06 - Comparison essay.md; 📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md
knowledge,394,,📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
benefit,393,benefited; benefiting; benefits,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 311 - Tourist Pricing Club.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 347 - School Books Video Journey.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 366 - Choice Abundance Road Network.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 393 - Information Sharing River.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 475 - Internet Access Public Road.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
effect,391,effects,📖 Reading/! 00 📌 📖 Index - Reading.md; 📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md
government,391,governments,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 266 - Retirement Extra Time.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 834 - Living Dunes.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
produce,384,produced; produces; producing,✍️ Writing/✍️ 04 - Introduction and conclusion.md; ✍️ Writing/✍️ 09 - Cause-effect essay.md; ✍️ Writing/✍️ 10 - Problem-solution essay.md; 🎯 IELTS/📖 Reading/📖 01 - Tổng hợp.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md
original,376,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md
social,374,,"📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md"
local,372,locals,"🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md; 📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md"
technology,365,technologies,📖 Reading/📘 VB2/📝 03 - On the move.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
although,364,,📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md
synonym,364,synonyms,✍️ Writing/✍️ 01 - Paraphrasing techniques.md; ✍️ Writing/✍️ 03 - Summary.md; 🎯 IELTS/📖 Reading/📖 01 - Tổng hợp.md
passage,361,passages,📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📖 06 - Predictions.md
language,357,languages,📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📗 NNA/! 00 📌 📗 Index - NNA.md; 📖 Reading/📘 VB2/📝 03 - On the move.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
chi,351,,📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📖 08 - Appositives.md
vocabulary,344,vocabularies,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 260 - Clothing Language Culture.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 455 - Generations Workplace Warp Weft.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
process,342,processed; processes; processing,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 339 - Imported Food Walled Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 468 - Future Health Levee.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 469 - Food Technology Printing Press.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md; 📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
since,340,,📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md
education,331,,🎯 IELTS/📖 Reading/📖 Practice test log - IELTS Academic Reading (BHV nguồn mới).md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
enough,324,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
whether,322,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md
explanation,320,explanations,✍️ Writing/✍️ 10 - Problem-solution essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 421 - Crime Seed Soil.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md; 📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md
society,318,societies,✍️ Writing/✍️ 05 - Transition words for comparison.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
provide,314,provided; provides; providing,"🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 861 - Amateur Naturalists.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md"
someone,308,,"✍️ Writing/✍️ 01 - Paraphrasing techniques.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md"
offer,306,offered; offering; offers,"✍️ Writing/✍️ 10 - Problem-solution essay.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 762 - How Deserts Are Formed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
exam,302,exams,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 316 - School Curriculum Construction.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 405 - Sports Sponsorship Pollination.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
happen,302,happened; happening; happens,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md; 📖 Reading/📘 VB2/📝 03 - On the move.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
already,291,,📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
format,285,formats,✍️ Writing/👋 Dẫn nhập - Writing.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 334 - Books Losing Importance Habitat.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 397 - Childrens Reading Tree Roots.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 405 - Sports Sponsorship Pollination.md; 🎯 IELTS/📖 Reading/📖 Practice test log - IELTS Academic Reading (BHV nguồn mới).md
another,273,,📖 Reading/📖 09 - Adverbial phrases.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
environment,272,environments,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 342 - Extreme Tourism Frontier.md; 📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
university,272,universities,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
exactly,271,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md
almost,263,,📖 Reading/📖 10 - Passive sentences.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
disagree,262,disagreed; disagreeing; disagrees,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 363 - Tobacco Road Safety.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 488 - University Study Choice Wind Sail.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 676 - Roller Coaster.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 983 - Communicating Styles and Conflict.md
today,262,,📖 Reading/📖 06 - Predictions.md; 📖 Reading/📖 10 - Passive sentences.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
actually,261,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
scientist,258,scientists,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md
community,257,communities,"📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md"
require,256,required; requires; requiring,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md; 📖 Reading/📘 VB2/📝 03 - On the move.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
natural,252,,📖 Reading/📘 VB2/📝 04 - Our changing planet.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
reduce,251,reduced; reduces; reducing,"✍️ Writing/✍️ 04 - Introduction and conclusion.md; ✍️ Writing/✍️ 10 - Problem-solution essay.md; ✍️ Writing/✍️ 11 - Process essay.md; 🎯 IELTS/📖 Reading/📖 07 - Map, diagram, table.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 666 - Fears.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md"
ability,249,abilities,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
subject,246,subjected; subjects,✍️ Writing/✍️ 08 - Persuasive essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 449 - Mobile Phone Pocket Door.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 506 - Child Development Factors Soil and Weather.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 666 - Fears.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📖 09 - Adverbial phrases.md; 📖 Reading/📖 10 - Passive sentences.md
teacher,246,teachers,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/📖 Reading/📖 06 - Summary completion.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 799 - The Extinct Grass in Britain.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md
