word,pos,structure,meaning_en,meaning_vi
manual,noun,[manu]-al,"a book of instructions, especially for operating a machine or learning a subject.","sách hướng dẫn, cẩm nang."
masterpiece,noun,[master]-[piece],"a work of outstanding artistry, skill, or workmanship.",kiệt tác.
negotiate,verb,[negotiate],to try to reach an agreement or compromise by formal discussion with others.,"đàm phán, thương lượng."
newspaper,noun,[news]-[paper],"a printed publication containing news, articles, and advertising, usually issued daily or weekly.","báo, tờ báo."
ninety,determiner,[nine]-ty,the number equivalent to nine times ten; 90.,chín mươi.
obesity,noun,[obese]-ity,"the condition of being grossly overweight or fat, to the point of harming health.",bệnh béo phì.
pedestrian,noun,[ped]-estrian,a person walking in a street or public place rather than traveling in a vehicle.,người đi bộ.
pedestrian,adjective,[ped]-estrian,lacking in inspiration or excitement; dull and ordinary.,"tầm thường, nhàm chán."
politician,noun,[politic]-ian,"a person actively engaged in politics, especially as a holder of or candidate for an elected office.","chính trị gia, chính khách."
prune,verb,[prune],"to trim a tree, shrub, or plant by cutting away dead or overgrown branches.",cắt tỉa (cây cối).
prune,noun,[prune],a dried plum.,quả mận khô.
quinine,noun,[quinine],"a bitter medicinal compound obtained from the bark of a South American tree, used to treat malaria.",ký ninh (thuốc trị sốt rét).
recipient,noun,re-[cip]-ient,a person or thing that receives something.,người nhận.
relaxation,noun,[relax]-ation,the state of being free from tension and anxiety; rest and leisure.,sự thư giãn.
resistance,noun,[resist]-ance,the refusal to accept or comply with something; the impeding effect one material exerts on another.,sự kháng cự; sức đề kháng.
shoulder,noun,[shoulder],the joint connecting a person's arm to the rest of the body; the upper part of the arm.,vai.
simulator,noun,[simulate]-or,"a machine designed to provide a realistic imitation of the controls and operation of a vehicle or system, used for training.","máy mô phỏng, thiết bị giả lập."
span,verb,[span],"to extend across or over an area, or to last for an entire period of time.","kéo dài qua, bao trùm, trải dài (không gian/thời gian)."
suppose,verb,sup-[pose],"to think that something is probably true or likely, without certain knowledge.","cho rằng, giả sử."
taxation,noun,[tax]-ation,the levying of taxes; the system by which a government raises money through taxes.,"việc đánh thuế, chế độ thuế."
textbook,noun,[text]-[book],"a book used for the study of a particular subject, especially in schools.",sách giáo khoa.
turin,noun,[turin],"a city in northern Italy, the host of the 2006 Winter Olympics.",thành phố Turin (miền bắc nước Ý).
unused,adjective,un-[use]-ed,"not being used; also, not accustomed to something.",chưa được sử dụng; không quen với (điều gì).
vaccine,noun,[vaccine],"a substance used to stimulate immunity to a disease, typically administered by injection.",vắc-xin.
whoever,pronoun,[who]-ever,the person or people who; no matter who.,"bất cứ ai, người mà."
wildfire,noun,[wild]-[fire],"a large, destructive fire that spreads quickly, especially in a rural or forested area.","cháy rừng, hỏa hoạn lan nhanh."
abortion,noun,[abort]-ion,the deliberate termination of a human pregnancy; the premature ending of a process.,sự phá thai; (nghĩa bóng) sự chấm dứt giữa chừng.
adolescent,noun,ad-[olesc]-ent,a young person in the process of developing from a child into an adult.,thanh thiếu niên.
app,noun,[app],a self-contained program or piece of software designed to run on a mobile device.,ứng dụng (phần mềm).
bark,noun,[bark],the tough protective outer covering of a tree's trunk and branches.,vỏ cây.
bark,verb,[bark],"(of a dog) to make a sharp, loud, explosive sound.",sủa (chó).
biologist,noun,bio-[log]-ist,a scientist who studies biology.,nhà sinh vật học.
brilliant,adjective,[brilliant],"exceptionally clever or talented; full of light, sparkling.","xuất sắc, tài giỏi; rực rỡ."
civilization,noun,[civilize]-ation,the stage of human social development considered most advanced; a developed and organized society.,nền văn minh.
communal,adjective,[commune]-al,shared by or belonging to a community; for common use.,"(thuộc về) chung, cộng đồng."
comprehensive,adjective,com-[prehend]-ive,complete and including everything that is necessary; thorough.,"toàn diện, đầy đủ."
dependency,noun,[depend]-ency,the state of relying on or being controlled by someone or something else.,sự phụ thuộc.
deplete,verb,de-[plete],"to use up the supply or resources of something, reducing it significantly.","làm cạn kiệt, tiêu hao."
domain,noun,[domain],an area of territory owned or controlled by someone; a specified sphere of activity or knowledge.,"lĩnh vực; địa hạt, lãnh thổ."
eliminate,verb,e-[limin]-ate,to completely remove or get rid of something.,"loại bỏ, xóa bỏ."
emotionally,adverb,[emotion]-al-ly,in a way that relates to or affects a person's emotions or feelings.,"về mặt cảm xúc, một cách xúc động."
erosion,noun,[erode]-sion,"the gradual wearing away of soil, rock, or land by wind, water, or other natural agents.",sự xói mòn.
except,preposition,ex-[cept],not including; other than.,"ngoại trừ, trừ."
extract,verb,ex-[tract],"to remove or take out something, typically by effort or force.","rút ra, chiết xuất, trích xuất."
extract,noun,ex-[tract],"a short passage taken from a book, film, or piece of music; a concentrated substance derived from a source.",đoạn trích; chất chiết xuất.
fluency,noun,[fluent]-cy,"the ability to speak or write a language easily, accurately, and smoothly.","sự lưu loát, sự trôi chảy (ngôn ngữ)."
fog,noun,[fog],"a thick cloud of tiny water droplets suspended in the atmosphere near the ground, reducing visibility.",sương mù.
framework,noun,[frame]-[work],"a basic structure underlying a system, concept, or piece of text; a supporting structure.","khung, khuôn khổ."
horizon,noun,[horizon],the line at which the earth's surface and the sky appear to meet.,đường chân trời.
influential,adjective,[influence]-tial,having great influence on someone or something.,có ảnh hưởng lớn.
integrate,verb,[integr]-ate,to combine one thing with another so as to form a whole; to bring into full participation.,"hòa nhập, tích hợp."
joint,noun,[joint],"a point at which two or more parts of a structure, or bones in the body, are joined.","khớp (nối), mối nối."
joint,adjective,[joint],"shared, held, or made by two or more people or parties together.","chung, liên kết, phối hợp."
legitimate,adjective,[legitimate],in accordance with the law or with accepted standards or rules,"hợp pháp, chính đáng"
lung,noun,[lung],either of the two organs in the chest used for breathing air,phổi
mastery,noun,[master]-y,comprehensive knowledge or skill in a particular subject or activity,"sự thành thạo, tinh thông"
medication,noun,[medicate]-ion,a drug or other form of medicine used to treat or prevent illness,"thuốc, dược phẩm"
multiply,verb,multi-[ply],to increase greatly in number or amount; to combine numbers to obtain a product,"nhân lên, sinh sôi nảy nở"
orchid,noun,[orchid],"a plant with showy, often exotic flowers, many of which are cultivated",hoa lan
ownership,noun,[own]-er-ship,the state or fact of owning something,quyền sở hữu
preference,noun,[prefer]-ence,a greater liking for one alternative over another or others,"sự ưu tiên, sở thích"
pride,noun,[pride],a feeling of deep pleasure or satisfaction from one's own achievements or qualities,niềm tự hào
reef,noun,[reef],"a ridge of rock, sand, or coral lying beneath the surface of the sea","rạn san hô, đá ngầm"
reflection,noun,re-[flect]-ion,"the throwing back of light, heat, or sound from a surface; serious thought or consideration",sự phản chiếu; sự suy ngẫm
rice,noun,[rice],"the small seeds of a cereal plant, cooked and eaten as a staple food","gạo, cơm"
sally,noun,[sally],a sudden charge made by troops against an enemy from a position of defense,cuộc xuất kích bất ngờ
sheer,adjective,[sheer],complete and total; used for emphasis,"hoàn toàn, tuyệt đối"
timeline,noun,[time]+[line],a graphical representation of a period of time on which important events are marked,"dòng thời gian, mốc thời gian"
unknown,adjective,un-[known],not known or familiar,"không rõ, chưa biết"
viewpoint,noun,[view]+[point],a particular attitude or way of considering an issue,"quan điểm, góc nhìn"
visuals,noun,[visual]-s,"images, films, or displays used to illustrate or accompany something","hình ảnh minh họa, tư liệu hình ảnh"
weekend,noun,[week]+[end],"Saturday and Sunday, the days when many people do not work",cuối tuần
whitney,noun,[Whitney],"an English surname, notably borne by Eli Whitney (inventor of the cotton gin) and the name of Mount Whitney, the highest peak in the contiguous United States","một họ trong tiếng Anh, gắn với nhà phát minh Eli Whitney và núi Whitney, đỉnh núi cao nhất tại Hoa Kỳ lục địa"
accountability,noun,[account]-ability,the fact or condition of being responsible for one's actions and having to explain them,trách nhiệm giải trình
antecedent,noun,ante-[cedent],a thing or event that existed before or logically precedes another,"tiền đề, sự việc có trước"
assemble,verb,as-[semble],"to gather together in one place, especially for a common purpose","tập hợp, lắp ráp"
besides,preposition,be-[side]-s,in addition to; apart from,"ngoài ra, bên cạnh đó"
blaze,noun,[blaze],a very large or fiercely burning fire,"đám cháy dữ dội, ngọn lửa lớn"
breakthrough,noun,[break]+[through],"a sudden, dramatic, and important discovery or development",bước đột phá
buffet,noun,[buffet],a meal consisting of several dishes from which guests serve themselves,tiệc/bàn ăn tự chọn (buffet)
buffet,verb,[buffet],"to strike repeatedly and violently, especially of wind or waves","vùi dập, xô đẩy dữ dội (bởi gió, sóng)"
calculation,noun,[calculate]-ion,the process or result of calculating something mathematically,"phép tính, sự tính toán"
commuter,noun,[commute]-er,a person who travels some distance to work on a regular basis,người đi làm hằng ngày (đường xa)
cove,noun,[cove],a small sheltered bay or inlet on a coastline,"vịnh nhỏ, eo biển nhỏ"
dial,noun,[dial],"a circular device with a numbered or graduated edge, such as the face of a clock or a control on a machine","mặt số, núm vặn (đồng hồ, máy móc)"
disrupt,verb,dis-[rupt],"to interrupt an event, activity, or process by causing disorder or a disturbance","gây gián đoạn, phá vỡ (trật tự)"
documentary,noun,[document]-ary,a movie or television/radio program that provides a factual record or report,phim tài liệu
extraordinary,adjective,extra-[ordinary],very unusual or remarkable,"phi thường, khác thường"
fallow,adjective,[fallow],(of farmland) plowed and left unseeded during a growing season; inactive,"(đất) bỏ hoang, không canh tác"
fiction,noun,[fiction],"literature in prose form, especially novels, describing imaginary events and people","tiểu thuyết, truyện hư cấu"
freshwater,adjective,[fresh]+[water],"(of water) not salty, as found in rivers or lakes rather than the sea",(thuộc) nước ngọt
frighten,verb,[fright]-en,to make someone afraid or anxious,"làm sợ hãi, hù dọa"
infection,noun,in-[fect]-ion,the process of infecting or being infected; a disease caused by germs entering the body,"sự nhiễm trùng, nhiễm bệnh"
lateral,adjective,[lateral],"of, at, toward, or from the side; sideways","(thuộc) bên cạnh, theo chiều ngang"
maybe,adverb,[may]+[be],perhaps; possibly,"có lẽ, có thể"
mixture,noun,[mix]-ture,a substance made by combining two or more different substances,hỗn hợp
motorway,noun,[motor]+[way],"a main road designed for fast-moving traffic, especially one with limited access",đường cao tốc
navigate,verb,[navigate],"to plan and direct the course or route of a ship, aircraft, or other vehicle","điều hướng, dẫn đường"
outdoors,adverb,[out]+[doors],in or into the open air; not indoors,ở ngoài trời
particle,noun,[particle],a very small piece or amount of matter,hạt (vật chất nhỏ)
physic,noun,[physic],"medicine, especially a medicinal remedy or purgative (dated)","thuốc, phương thuốc (cách dùng cổ)"
quota,noun,[quota],a limited or fixed number or amount of people or things allowed,"hạn ngạch, định mức"
religious,adjective,[religious],relating to or believing in a religion; devout,"(thuộc về) tôn giáo, sùng đạo"
repeatedly,adverb,[repeat]-ed-ly,again and again; many times,lặp đi lặp lại nhiều lần
responsibly,adverb,[responsible]-ly,in a way that shows a sense of duty or reliability,một cách có trách nhiệm
revolution,noun,[revolution],a forcible overthrow of a government or social order in favor of a new system; a full circular turn,cuộc cách mạng; vòng quay
session,noun,[session],"a period of time devoted to a particular activity, such as a meeting or class","buổi, phiên (họp, học...)"
setback,noun,[set]+[back],a reversal or check in progress; a problem that delays success,"trở ngại, thất bại tạm thời"
smith,noun,[smith],"a worker in metal, especially one who makes and repairs metal objects by hand (a blacksmith)","thợ rèn, thợ kim loại"
socially,adverb,[social]-ly,in a way relating to society or to social interaction,về mặt xã hội
sophisticate,verb,[sophisticate],"to make more complex, refined, or worldly-wise","làm cho tinh vi, phức tạp hoặc sành sỏi hơn"
tut,interjection,[tut],"used to express mild irritation, impatience, or disapproval","dùng để thể hiện sự khó chịu, không hài lòng nhẹ (tặc lưỡi)"
unite,verb,[unite],to come or bring together for a common purpose or action,"đoàn kết, hợp nhất"
usable,adjective,[use]-able,able to be used,có thể sử dụng được
virus,noun,[virus],an infective agent that replicates inside living cells and can cause disease; a piece of malicious computer code,vi-rút (sinh học hoặc máy tính)
vision,noun,[vision],the faculty or state of being able to see; the ability to think about or plan the future with imagination,thị lực; tầm nhìn
wolf,noun,[wolf],a wild carnivorous mammal related to the dog that lives and hunts in packs,chó sói
wolf,verb,[wolf],to eat food quickly and greedily,"ăn ngấu nghiến, ăn nhanh và tham lam"
addiction,noun,[addict]-ion,the fact or condition of being addicted to a substance or activity,chứng nghiện
adj,noun,[adj],"an abbreviation for 'adjective', used especially in dictionaries and grammar references","viết tắt của 'tính từ' (adjective), thường dùng trong từ điển"
advert,noun,[advert],"a paid announcement promoting a product, event, or service (British informal, short for 'advertisement')","quảng cáo (cách gọi tắt, tiếng Anh Anh)"
agency,noun,[agent]-cy,a business or organization providing a particular service on behalf of another,"cơ quan, đại lý"
applause,noun,ap-[plause],"approval expressed by a group of people, typically by clapping",tiếng vỗ tay tán thưởng
archive,noun,[archive],"a collection of historical documents or records, or the place where they are kept",kho lưu trữ
aside,adverb,a-[side],to or toward one side; away from the main point,"sang một bên, ra ngoài lề"
bloodstream,noun,[blood]+[stream],the blood flowing through the body of a living being,"dòng máu, huyết lưu"
carelessly,adverb,[care]-less-ly,in a careless manner; without sufficient attention or thought,một cách bất cẩn
certainty,noun,[certain]-ty,the state of being certain; a fact that is known for sure,sự chắc chắn
chronic,adjective,[chronic],(of an illness or problem) persisting for a long time or constantly recurring,"mãn tính, kéo dài"
click,verb,[click],"to make a short, sharp sound, or to press and release a button on a computer mouse","nhấp (chuột), phát ra tiếng tách"
client,noun,[client],a person or organization using the services of a professional person or company,"khách hàng, thân chủ"
constitute,verb,con-[stitute],to be a part of a whole; to be legally or officially considered as something,"cấu thành, tạo nên"
contaminate,verb,[contaminate],to make something impure by exposure to a poisonous or polluting substance,"làm ô nhiễm, làm nhiễm bẩn"
corruption,noun,cor-[rupt]-ion,dishonest or fraudulent conduct by those in power; the process of being made morally corrupt,"tham nhũng, sự tha hóa"
criterion,noun,[criterion],a principle or standard by which something may be judged or decided,tiêu chí
dam,noun,[dam],"a barrier constructed to hold back water and raise its level, forming a reservoir",đập nước
echo,noun,[echo],"a sound caused by the reflection of sound waves off a surface, heard again after the original sound","tiếng vang, tiếng vọng"
electronic,adjective,[electron]-ic,relating to or operating by devices with small components that control electric current,(thuộc) điện tử
estimate,verb,[estimate],"to roughly calculate or judge the value, number, or quantity of something",ước tính
european,adjective,[Europe]-an,"relating to Europe or its people, languages, or culture",(thuộc) châu Âu
european,noun,[Europe]-an,a person from Europe,người châu Âu
exit,noun,[exit],"a way out of a building, room, or vehicle",lối ra
financially,adverb,[financial]-ly,in relation to finance or money matters,về mặt tài chính
flynn,noun,[Flynn],"an Irish surname, notably borne by the actor Errol Flynn",một họ gốc Ireland (ví dụ diễn viên Errol Flynn)
forceps,noun,[forceps],"a metal instrument with two blades and handles, resembling pincers, used for grasping and holding objects, especially in surgery","kẹp phẫu thuật, kẹp gắp"
frontier,noun,[front]-ier,a line or border separating two countries; the extreme limit of settled or explored territory,"biên giới, ranh giới (vùng biên)"
hop,verb,[hop],"to jump on one leg, or (of an animal) to move by jumping with all feet at once","nhảy lò cò, nhảy"
idle,adjective,[idle],not working or in use; avoiding work; lazy,"nhàn rỗi, lười biếng"
inaccurate,adjective,in-[accurate],not accurate; containing errors,không chính xác
inspection,noun,[inspect]-ion,careful examination or scrutiny of something,"sự kiểm tra, thanh tra"
literacy,noun,[literate]-cy,the ability to read and write,"khả năng đọc viết, trình độ văn hóa"
mainland,noun,[main]+[land],"a large continuous extent of land forming the main part of a country, as distinct from offshore islands","đất liền, lục địa (khác đảo)"
mar,verb,[mar],to impair the appearance or quality of something; to spoil,"làm hỏng, làm giảm giá trị"
nay,adverb,[nay],"used to introduce a stronger, more accurate word than one just used; or (archaic) no",dùng để giới thiệu một từ mạnh hơn/chính xác hơn; hoặc (cổ) không
oar,noun,[oar],"a pole with a flat blade, used to row or steer a boat",mái chèo
opponent,noun,op-[ponent],"a person who competes against or opposes another in a contest, fight, or argument",đối thủ
orchestra,noun,[orchestra],a large group of musicians who play together on various instruments,dàn nhạc giao hưởng
perception,noun,[perception],"the ability to see, hear, or become aware of something through the senses; a way of understanding or interpreting something","nhận thức, cách nhìn nhận"
possibly,adverb,[possible]-ly,perhaps; maybe,"có thể, có lẽ"
producer,noun,[produce]-er,"a person or company that makes goods, or oversees the making of a film, show, or recording",nhà sản xuất
publication,noun,[publication],"the action of publishing something, or a book, magazine, or other published work","sự xuất bản, ấn phẩm"
pyramid,noun,[pyramid],"a monumental structure with a square base and sloping sides meeting at a point, especially an ancient Egyptian royal tomb",kim tự tháp
reliability,noun,[reliable]-ity,the quality of being trustworthy or of performing consistently well,độ tin cậy
resolution,noun,[resolution],a firm decision to do or not do something; a formal expression of opinion agreed on by a group,"quyết tâm, nghị quyết"
rigid,adjective,[rigid],unable to bend or be forced out of shape; strict and inflexible,"cứng nhắc, cứng rắn"
shaft,noun,[shaft],"a long, narrow part or handle of a tool or weapon; a vertical or sloping passage, such as in a mine or elevator","cán, trục; giếng đứng (thang máy, mỏ)"
sled,noun,[sled],a vehicle on runners used for traveling over snow or ice,xe trượt tuyết
stockroom,noun,[stock]+[room],a room in which stock or goods are stored,"kho hàng, phòng chứa hàng"
texting,noun,[text]-ing,the action or practice of sending text messages via mobile phone,việc nhắn tin
unplanned,adjective,un-[plan]-ned,not planned; happening without prior planning,"không có kế hoạch, ngoài dự kiến"
upbringing,noun,[up]+[bring]-ing,the way in which a child is cared for and taught how to behave while growing up,"sự nuôi dạy, giáo dục thời thơ ấu"
vault,noun,[vault],"a secure room used for storing valuables, or an arched roof or ceiling","hầm chứa (tiền, đồ quý); mái vòm"
vault,verb,[vault],"to jump over something in a single motion, typically using the hands or a pole for support",nhảy qua (chống tay hoặc dùng sào)
adaptation,noun,[adapt]-ation,the process of adapting or being adapted; a film or show based on a book or other work,sự thích nghi; bản chuyển thể
addictive,adjective,[addict]-ive,causing addiction; tending to make someone psychologically dependent,gây nghiện
annual,adjective,[annual],occurring once every year,"hàng năm, thường niên"
applicant,noun,[applicant],"a person who applies for or formally requests something, such as a job","người nộp đơn, ứng viên"
appreciate,verb,[appreciate],to recognize the value or worth of something; to be grateful for something,"đánh giá cao, trân trọng"
battery,noun,[batter]-y,a container consisting of one or more cells in which chemical energy is converted into electricity,"pin, ắc quy"
cairo,noun,[Cairo],the capital and largest city of Egypt,thủ đô và thành phố lớn nhất của Ai Cập
claw,noun,[claw],"a curved, pointed, horny nail on the foot of a bird or animal",móng vuốt
collaborate,verb,col-[labor]-ate,to work jointly with others on an activity or project,"hợp tác, cộng tác"
comfortably,adverb,[comfortable]-ly,in a comfortable manner; without financial difficulty,"một cách thoải mái, dễ chịu"
contrary,adjective,[contrary],"opposite in nature, direction, or meaning","trái ngược, ngược lại"
darrow,noun,[Darrow],"an English surname, notably borne by Clarence Darrow, a famous American lawyer","một họ tiếng Anh, gắn với luật sư người Mỹ Clarence Darrow"
drill,noun,[drill],"a tool or machine with a rotating point or edge, used for boring holes",máy khoan
duration,noun,[duration],the length of time during which something continues,"thời lượng, khoảng thời gian"
electrical,adjective,[electric]-al,"concerned with, powered by, or producing electricity",(thuộc) điện
ensemble,noun,[ensemble],"a group of items, musicians, or performers viewed or performing as a whole","nhóm (nhạc công, trang phục...) hoạt động cùng nhau"
evening,noun,[even]-ing,"the period of time at the end of the day, from about 6 p.m. until bedtime",buổi tối
exclude,verb,ex-[clude],"to deny access to or bar from a place, group, or privilege","loại trừ, không cho tham gia"
fatigue,noun,[fatigue],extreme tiredness resulting from physical or mental exertion,sự mệt mỏi
fledgling,noun,[fledge]-ling,a young bird that has just grown its flight feathers; an inexperienced person or organization,chim non mới ra ràng; (người/tổ chức) còn non trẻ
ford,noun,[ford],a shallow place in a river or stream that allows it to be crossed by wading or driving through,chỗ nước cạn để lội/băng qua sông
foster,verb,[foster],to encourage the development of something; to care for a child that is not one's own by birth,"nuôi dưỡng, khuyến khích phát triển"
foster,adjective,[foster],"involved in raising a child who is not one's own by birth, without formal adoption",(cha mẹ/con) nuôi (không chính thức nhận nuôi)
hose,noun,[hose],a flexible tube used for conveying water or other liquids,"vòi, ống dẫn nước"
indefinitely,adverb,in-[definite]-ly,for an unlimited or unspecified period of time,vô thời hạn
intact,adjective,[intact],not damaged or broken; complete,còn nguyên vẹn
interruption,noun,inter-[rupt]-ion,"an act of interrupting, or the state of being interrupted","sự gián đoạn, sự ngắt quãng"
japan,noun,[Japan],"a country in East Asia, an island nation in the Pacific Ocean","một quốc gia ở Đông Á, quốc đảo trên Thái Bình Dương (Nhật Bản)"
john,noun,[john],informal (especially North American) term for a toilet,"(thông tục, đặc biệt ở Bắc Mỹ) nhà vệ sinh"
kia,noun,[KIA],"an abbreviation for 'killed in action', describing a member of the armed forces who died while fighting","viết tắt của 'tử trận' (killed in action), chỉ quân nhân hy sinh khi chiến đấu"
landmark,noun,[land]+[mark],an object or feature of a landscape easily recognized from a distance; a significant event or achievement,"địa danh, mốc quan trọng"
locally,adverb,[local]-ly,"in or to a particular area, especially the one where one lives","tại địa phương, ở khu vực gần đó"
lonely,adjective,[lone]-ly,sad because one has no friends or company; isolated,"cô đơn, hiu quạnh"
millennium,noun,[millennium],a period of one thousand years,thiên niên kỷ
minimum,noun,[minimum],the least or smallest amount or quantity possible,mức tối thiểu
nourishment,noun,[nourish]-ment,"the food or substances necessary for growth, health, and good condition; the act of nourishing",chất dinh dưỡng; sự nuôi dưỡng
optimistic,adjective,[optimist]-ic,hopeful and confident about the future or the success of something,lạc quan
permission,noun,per-[mission],"the act of allowing someone to do something, or formal consent to do so",sự cho phép
pioneer,noun,[pioneer],"a person who is among the first to explore or settle a new area, or to develop a new idea or activity","người tiên phong, người đi đầu"
potentially,adverb,[potential]-ly,possibly; in a way that may happen or exist in the future,"một cách tiềm tàng, có thể xảy ra"
provision,noun,pro-[vision],"the act of providing or supplying something for future use, or a stipulation in a document","sự cung cấp, sự chuẩn bị; điều khoản"
repetitive,adjective,[repetitive],"done or happening many times in the same way, often in a boring manner","lặp đi lặp lại, nhàm chán"
sensitivity,noun,[sensitive]-ity,"the quality of being easily affected, hurt, or offended; responsiveness to a stimulus",sự nhạy cảm
skim,verb,[skim],"to read something quickly to get the main points, or to remove a substance from the surface of a liquid",đọc lướt; hớt (bọt/váng)
specifically,adverb,[specific]-ally,in a way that relates exactly to one particular thing,một cách cụ thể
stereotype,noun,stereo-[type],a widely held but oversimplified and fixed idea of a particular type of person or thing,"định kiến, khuôn mẫu rập khuôn"
stimulation,noun,[stimulate]-ion,"the action of arousing interest, enthusiasm, or activity in something",sự kích thích
theft,noun,[theft],the action or crime of stealing something,hành vi trộm cắp
turbulence,noun,[turbulence],"violent or unsteady movement of air or water, or a state of conflict and confusion","sự hỗn loạn, nhiễu động"
unnoticed,adjective,un-[notice]-ed,not observed or paid attention to,"không bị chú ý, không bị phát hiện"
unwanted,adjective,un-[want]-ed,not desired or wished for,không mong muốn
urbanization,noun,[urban]-ization,the process by which more people move from rural areas to live in cities,quá trình đô thị hóa
wisdom,noun,[wise]-dom,"the quality of having knowledge, experience, and good judgment","sự khôn ngoan, trí tuệ"
acknowledge,verb,ac-[knowledge],to accept or admit that something is true or exists; to show recognition of,"thừa nhận, công nhận"
anxious,adjective,[anxious],"feeling or showing worry, nervousness, or unease","lo lắng, lo âu"
appetite,noun,[appetite],"a natural desire to eat food, or a strong desire for something",sự thèm ăn; sự ham muốn
apprentice,noun,[apprentice],a person who is learning a trade from a skilled employer,người học việc
archaeologist,noun,[archaeology]-ist,a person who studies human history through the excavation of sites and analysis of artifacts,nhà khảo cổ học
arid,adjective,[arid],having little or no rain; too dry to support vegetation,"khô cằn, khô hạn"
attribute,noun,[attribute],a quality or feature regarded as a characteristic of someone or something,"đặc điểm, thuộc tính"
attribute,verb,[attribute],to regard something as being caused by a particular person or thing,"quy cho, gán cho (nguyên nhân)"
bacteria,noun,[bacteria],"microscopic single-celled organisms, some of which cause disease",vi khuẩn
blog,noun,[blog],"a regularly updated website or web page, typically run by an individual, written in an informal style","nhật ký trực tuyến, blog"
canada,noun,[Canada],a country in North America,Canada (quốc gia ở Bắc Mỹ)
capability,noun,[capable]-ity,the ability to do something,"khả năng, năng lực"
celsius,adjective,[Celsius],relating to or using a temperature scale on which water freezes at 0 degrees and boils at 100 degrees,(thang đo) độ C
chaos,noun,[chaos],complete disorder and confusion,sự hỗn loạn
citation,noun,[cite]-ation,"a quotation from or reference to a book, paper, or author; an official summons or reference",sự trích dẫn; giấy triệu tập
clerk,noun,[clerk],"a person employed in an office, shop, or bank to keep records or perform administrative duties","nhân viên văn phòng, thư ký"
complaint,noun,[complain]-t,a statement that something is unsatisfactory; an expression of dissatisfaction,"lời phàn nàn, đơn khiếu nại"
consistency,noun,[consistent]-cy,the quality of always behaving or performing in the same way; the degree of thickness or firmness of a substance,tính nhất quán; độ đặc/sệt
coordination,noun,[coordinate]-ion,the organization of different elements to work together effectively; the ability to move body parts smoothly together,"sự phối hợp, điều phối"
corporate,adjective,[corporate],relating to a large company or group of companies,"thuộc về công ty, tập đoàn"
corporation,noun,[corporation],a large company or group of companies authorized to act as a single legal entity,"công ty, tập đoàn (pháp nhân)"
craftsman,noun,[craft]-s-[man],a skilled worker who makes things by hand,thợ thủ công lành nghề
diagnose,verb,[diagnose],to identify the nature of an illness or problem by examining its symptoms,chẩn đoán
dozen,noun,[dozen],a group of twelve,một tá (mười hai)
endlessly,adverb,[end]-less-ly,in a way that seems to have no end; continually,"một cách vô tận, không ngừng"
era,noun,[era],a long and distinct period of history with a particular feature or characteristic,"kỷ nguyên, thời đại"
essentially,adverb,[essential]-ly,used to emphasize the most important aspect of something; basically,"về cơ bản, chủ yếu là"
exhaustion,noun,[exhaust]-ion,extreme tiredness; the state of being completely drained of energy or resources,"sự kiệt sức, sự cạn kiệt"
familiarity,noun,[familiar]-ity,close acquaintance with or knowledge of something; a friendly relationship,sự quen thuộc; sự thân mật
finding,noun,[find]-ing,information discovered as the result of an inquiry or investigation,"phát hiện, kết quả nghiên cứu"
firebreak,noun,[fire]-[break],a strip of cleared land made to prevent the spread of a fire,dải đất trống ngăn lửa
france,noun,[France],a country in Western Europe,Pháp (quốc gia ở Tây Âu)
greek,adjective,[Greek],"relating to Greece, its people, or their language",thuộc về Hy Lạp
headache,noun,[head]-[ache],a continuous pain in the head; a difficult or troublesome problem,đau đầu; vấn đề rắc rối
hierarchy,noun,[hierarchy],a system in which people or things are ranked according to relative status or authority,"hệ thống thứ bậc, tôn ti trật tự"
hub,noun,[hub],"the central and most important part of an area, organization, or system; the central part of a wheel","trung tâm, đầu mối"
inch,noun,[inch],a unit of linear measure equal to one twelfth of a foot (2.54 cm),"inch (đơn vị đo chiều dài, ~2.54cm)"
individually,adverb,[individual]-ly,"separately, rather than as a group","một cách riêng lẻ, từng cá nhân"
january,noun,[January],the first month of the year,tháng Một (tháng Giêng)
journeyman,noun,[journey]-[man],a skilled worker qualified in a trade but not yet a master; a competent but not outstanding worker,thợ lành nghề (đã học xong nhưng chưa phải bậc thầy)
juvenile,adjective,[juvenile],relating to or characteristic of young people; not yet adult,"(thuộc) vị thành niên, trẻ tuổi"
ledger,noun,[ledger],a book or other collection of financial accounts of a particular type,sổ cái (kế toán)
leo,noun,[Leo],"a constellation and zodiac sign (the Lion), covering approximately July 23 to August 22",cung Sư Tử (chòm sao)
lifetime,noun,[life]-[time],the duration of a person's life or the existence of something,"cả đời, suốt đời"
limitation,noun,[limit]-ation,"a restriction on the size, extent, or nature of something; a shortcoming","giới hạn, hạn chế"
linguist,noun,[linguist],a person who studies linguistics or who is skilled in foreign languages,nhà ngôn ngữ học
magma,noun,[magma],hot fluid or semi-fluid rock beneath the earth's surface,magma (đá nóng chảy dưới lòng đất)
manchester,noun,[Manchester],a city in northwest England,Manchester (thành phố ở Anh)
mandatory,adjective,[mandate]-ory,required by law or rule; compulsory,bắt buộc
moisture,noun,[moist]-ure,"water or other liquid diffused in small quantities, as vapor, within a solid, or condensed on a surface","độ ẩm, hơi ẩm"
