word,pos,structure,meaning_en,meaning_vi
activation,noun,[act]-ive-ate-ion,the act of making something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
actuarially,adverb,[act]-ory-al-ly,"act(a particular thing that somebody does) + -ory(relating to, place for (adjective/noun)) + -al(relating to (adjective); action (noun)) + -ly(adverb of manner / adjective (like))","act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
enact,verb,en-[act],to pass a law,"en-(làm cho, đưa vào) + act(hành động, đạo luật)"
react,verb,re-[act],to change or behave in a particular way as a result of or in response to something,"re-(lại, làm lại) + act(hành động, đạo luật)"
overact,verb,over-[act],exaggerate one's acting,"over-(trên, quá mức) + act(hành động, đạo luật)"
underact,verb,under-[act],act (a role) with great restraint,"under-(dưới, không đủ) + act(hành động, đạo luật)"
transact,verb,trans-[act],conduct business,"trans-(xuyên qua, chuyển đổi) + act(hành động, đạo luật)"
interact,verb,inter-[act],"to communicate with somebody, especially while you work, play or spend time with them","inter-(giữa, liên) + act(hành động, đạo luật)"
reactor,noun,re-[act]-or,(physics) any of several kinds of apparatus that maintain and control a nuclear reaction for the production of energy or artificial elements,"re-(lại, làm lại) + act(hành động, đạo luật) + -or(người/vật thực hiện (danh từ))"
reaction,noun,re-[act]-ion,"what you do, say or think as a result of something that has happened","re-(lại, làm lại) + act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
reactive,adjective,re-[act]-ive,participating readily in reactions,"re-(lại, làm lại) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
inactive,adjective,im-[act]-ive,not active physically or mentally,"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
inaction,noun,im-[act]-ion,the state of being inactive,"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
enactment,noun,en-[act]-ment,acting the part of a character on stage,"en-(làm cho, đưa vào) + act(hành động, đạo luật) + -ment(kết quả/hành động/trạng thái (danh từ))"
reactants,noun,re-[act]-ant,"re-(again, back) + act(a particular thing that somebody does) + -ant(person/thing that does; having quality (noun/adjective))","re-(lại, làm lại) + act(hành động, đạo luật) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
overactive,adjective,over-[act]-ive,more active than normal,"over-(trên, quá mức) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
hypoactive,adjective,hypo-[act]-ive,abnormally inactive,"hypo-(dưới, dưới mức bình thường (Hy Lạp)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
interaction,noun,inter-[act]-ion,"the act of communicating with somebody, especially while you work, play or spend time with them","inter-(giữa, liên) + act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
interactive,adjective,inter-[act]-ive,that allows information to be passed continuously and in both directions between a computer or other device and the person who uses it,"inter-(giữa, liên) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
transaction,noun,trans-[act]-ion,"a piece of business that is done between people, especially an act of buying or selling","trans-(xuyên qua, chuyển đổi) + act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
retroactive,adjective,retro-[act]-ive,affecting things past,"retro-(ngược lại, lùi) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
inactivate,verb,im-[act]-ive-ate,make inactive,"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))"
inactivity,noun,im-[act]-ive-ity,being inactive,"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
reactivate,verb,re-[act]-ive-ate,activate (an old file) anew,"re-(lại, làm lại) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))"
reactivity,noun,re-[act]-ive-ity,responsive to stimulation,"re-(lại, làm lại) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
inactively,adverb,im-[act]-ive-ly,In an inactive manner. Locke.,"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
reactively,adverb,re-[act]-ive-ly,"re-(again, back) + act(a particular thing that somebody does) + -ive(tending to, having nature of (adjective)) + -ly(adverb of manner / adjective (like))","re-(lại, làm lại) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
deactivated,verb,de-[act]-ive-ate,"de-(down, away, reverse, remove) + act(a particular thing that somebody does) + -ive(tending to, having nature of (adjective)) + -ate(to make/become (verb); having (adjective))","de-(xuống, loại bỏ, đảo ngược) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))"
reactionary,adjective,re-[act]-ion-ory,extremely conservative,"re-(lại, làm lại) + act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
reactiveness,noun,re-[act]-ive-ness,"re-(again, back) + act(a particular thing that somebody does) + -ive(tending to, having nature of (adjective)) + -ness(state or quality of (noun))","re-(lại, làm lại) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
retroactively,adverb,retro-[act]-ive-ly,after the fact,"retro-(ngược lại, lùi) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
deactivation,noun,de-[act]-ive-ate-ion,the act of deactivating or making ineffective (as a bomb),"de-(xuống, loại bỏ, đảo ngược) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
inactivation,noun,im-[act]-ive-ate-ion,breaking up a military unit (by transfers or discharges),"im-(không (biến thể của in- trước b/m/p)) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
reenact,verb,en-re-[act],act out,"en-(làm cho, đưa vào) + re-(lại, làm lại) + act(hành động, đạo luật)"
nonreactors,noun,re-non-[act]-or,"re-(again, back) + non-(not) + act(a particular thing that somebody does) + -or(person/thing that does (noun))","re-(lại, làm lại) + non-(không) + act(hành động, đạo luật) + -or(người/vật thực hiện (danh từ))"
nonreactivity,noun,re-non-[act]-ive-ity,"re-(again, back) + non-(not) + act(a particular thing that somebody does) + -ive(tending to, having nature of (adjective)) + -ity(state or quality of (noun))","re-(lại, làm lại) + non-(không) + act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
acutely,adverb,[acute]-ly,having a rapid onset,"acute(gay gắt, cấp tính) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
acuteness,noun,[acute]-ness,the quality of having a sharp edge or point,"acute(gay gắt, cấp tính) + -ness(trạng thái, tính chất (danh từ))"
adapter,noun,[adapt]-er,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible,"adapt(thích nghi, chuyển thể) + -er(người làm việc gì; so sánh hơn)"
adaptable,adjective,[adapt]-able,capable of adapting (of becoming or being made suitable) to a particular situation or use,"adapt(thích nghi, chuyển thể) + -able(có thể được (tính từ))"
adaptation,noun,[adapt]-ion,"the action or process of changing something, or of being changed, to suit a new purpose or situation","adapt(thích nghi, chuyển thể) + -ion(hành động, quá trình, trạng thái (danh từ))"
adaptability,noun,[adapt]-able-ity,the ability to change (or be changed) to fit changed circumstances,"adapt(thích nghi, chuyển thể) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
readapting,verb,re-[adapt],"re-(again, back) + adapt(to change your behaviour in order to deal more successfully with a new situation)","re-(lại, làm lại) + adapt(thích nghi, chuyển thể)"
maladaptive,adjective,mal-[adapt]-ive,showing faulty adaptation,"mal-(xấu, tệ) + adapt(thích nghi, chuyển thể) + -ive(có xu hướng, có tính chất (tính từ))"
addition,noun,[add]-ion,a thing that is added to something else,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ))"
additive,adjective,[add]-ive,characterized or produced by addition,"add(thêm vào, cộng) + -ive(có xu hướng, có tính chất (tính từ))"
additional,adjective,[add]-ion-al,more than was first mentioned or is usual,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
additionally,adverb,[add]-ion-al-ly,in a way that is more than was first mentioned or is usual,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
addressee,noun,[address]-ee,one to whom something is addressed,"address(địa chỉ, giải quyết) + -ee(người nhận/chịu tác động (danh từ))"
readdress,noun,re-[address],To address a second time; -- often used reflexively.He readdressed himself to her. Boyle.,"re-(lại, làm lại) + address(địa chỉ, giải quyết)"
admirer,noun,[admire]-er,"someone who admires another person, meaning they are romantically interested ",admire(ngưỡng mộ) + -er(người làm việc gì; so sánh hơn)
admirable,adjective,[admire]-able,deserving of the highest esteem or admiration,admire(ngưỡng mộ) + -able(có thể được (tính từ))
admiration,noun,[admire]-ion,a favorable judgment,"admire(ngưỡng mộ) + -ion(hành động, quá trình, trạng thái (danh từ))"
admiringly,adverb,[admire]-ly,with admiration,admire(ngưỡng mộ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
admirably,adverb,[admire]-able-y,in an admirable manner,admire(ngưỡng mộ) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
admission,noun,[admit]-ion,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization","admit(thừa nhận, cho vào) + -ion(hành động, quá trình, trạng thái (danh từ))"
admittance,noun,[admit]-ance,the act of admitting someone to enter,"admit(thừa nhận, cho vào) + -ance(trạng thái, tính chất, hành động (danh từ))"
admittedly,adverb,[admit]-ly,as acknowledged,"admit(thừa nhận, cho vào) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
admissible,adjective,[admit]-able,deserving to be admitted,"admit(thừa nhận, cho vào) + -able(có thể được (tính từ))"
admissibility,noun,[admit]-able-ity,acceptability by virtue of being admissible,"admit(thừa nhận, cho vào) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
inadmissible,adjective,im-[admit]-able,not deserving to be admitted,"im-(không (biến thể của in- trước b/m/p)) + admit(thừa nhận, cho vào) + -able(có thể được (tính từ))"
inadmissibly,adjective,im-[admit]-able-y,"im-(not (before b/m/p) — variant of in-) + admit(to agree, often unwillingly, that something is true) + -able(capable of being (adjective)) + -y(having quality of; noun/adjective)","im-(không (biến thể của in- trước b/m/p)) + admit(thừa nhận, cho vào) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
inadmissibility,noun,im-[admit]-able-ity,unacceptability as a consequence of not being admissible,"im-(không (biến thể của in- trước b/m/p)) + admit(thừa nhận, cho vào) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
adoption,noun,[adopt]-ion,the act of adopting a child; the fact of being adopted,"adopt(nhận nuôi, áp dụng) + -ion(hành động, quá trình, trạng thái (danh từ))"
adoptive,adjective,[adopt]-ive,acquired as your own by free choice,"adopt(nhận nuôi, áp dụng) + -ive(có xu hướng, có tính chất (tính từ))"
unadopted,verb,un-[adopt],"un-(not, opposite of; reverse an action) + adopt(to take somebody else’s child into your family and become its legal parent(s))","un-(không, ngược lại (phủ định/đảo nghĩa)) + adopt(nhận nuôi, áp dụng)"
adulthood,noun,[adult]-hood,the state (and responsibilities) of a person who has attained maturity,"adult(người lớn) + -hood(trạng thái, điều kiện, nhóm (danh từ))"
advancement,noun,[advance]-ment,gradual improvement or growth or development,"advance(tiến bộ, ứng trước) + -ment(kết quả/hành động/trạng thái (danh từ))"
advantageous,adjective,[advantage]-ious,giving an advantage,advantage(lợi thế) + -ious(có tính chất (tính từ))
advantageously,adverb,[advantage]-ious-ly,in a manner affording benefit or advantage,advantage(lợi thế) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
disadvantage,noun,dis-[advantage],something that causes problems and tends to stop somebody/something from succeeding or making progress,"dis-(không, ngược lại, tách rời) + advantage(lợi thế)"
disadvantageous,adjective,dis-[advantage]-ious,constituting a disadvantage,"dis-(không, ngược lại, tách rời) + advantage(lợi thế) + -ious(có tính chất (tính từ))"
disadvantageously,adverb,dis-[advantage]-ious-ly,in a disadvantageous way,"dis-(không, ngược lại, tách rời) + advantage(lợi thế) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
adversity,noun,[adverse]-ity,a stroke of ill fortune,"adverse(bất lợi, ngược lại) + -ity(trạng thái, tính chất (danh từ))"
adversary,noun,[adverse]-ory,someone who offers opposition,"adverse(bất lợi, ngược lại) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
adversely,adverb,[adverse]-ly,in an negative manner,"adverse(bất lợi, ngược lại) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
adviser,noun,[advise]-er,an expert who gives advice,advise(khuyên bảo) + -er(người làm việc gì; so sánh hơn)
advisor,noun,[advise]-or,an expert who gives advice,advise(khuyên bảo) + -or(người/vật thực hiện (danh từ))
advisory,adjective,[advise]-ory,giving consultative information or advice,"advise(khuyên bảo) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
advisable,adjective,[advise]-able,worthy of being recommended or suggested,advise(khuyên bảo) + -able(có thể được (tính từ))
advisedly,adverb,[advise]-ly,with intention,advise(khuyên bảo) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
advisement,noun,[advise]-ment,careful consideration,advise(khuyên bảo) + -ment(kết quả/hành động/trạng thái (danh từ))
advisability,noun,[advise]-able-ity,the quality of being advisable,"advise(khuyên bảo) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
misadvise,verb,mis-[advise],give bad advice to,"mis-(sai, xấu) + advise(khuyên bảo)"
