affix,meaning_en,meaning_vi,so_tu_dung,vi_du
-dom,"domain, state, condition (noun)","lãnh thổ, trạng thái, điều kiện (danh từ)",10,"boredom, chiefdom, filmdom, freedom, horsedom, kingdom"
-ee,person who receives/undergoes action (noun),người nhận/chịu tác động (danh từ),30,"absentee, absenteeism, addressee, appointee, assignee, bootee"
-een,diminutive (from Irish),[BIẾN THỂ] của -teen (VD eighteen),2,"eighteen, eighteenth"
-eer,"person concerned with (noun, VD: engineer)","người liên quan đến (danh từ, VD engineer)",9,"auctioneer, commandeer, electioneer, engineer, marketeer, mountaineer"
-eme,"smallest distinctive unit (noun, linguistics, Greek, VD: phoneme)","đơn vị nhỏ nhất có tính phân biệt (danh từ, ngôn ngữ học, Hy Lạp, VD phoneme)",4,"phoneme, phonemic, phonemics, phonemically"
-en,to make (verb); made of (adjective),làm cho (động từ); làm bằng (tính từ),123,"ashen, beaten, unbeaten, bidden, unbidden, outbidden"
-enne,female form (from French),"giống cái (danh từ, Pháp, VD comedienne)",1,comedienne
-er,person who does; comparative,người làm việc gì; so sánh hơn,1013,"abler, accuser, underachievers, adapter, admirer, adviser"
-ern,"direction (adjective, VD: southern)","phương hướng (tính từ, VD southern)",14,"eastern, easterner, northern, northerner, southern, southerner"
-esque,"in the style of, resembling (adjective)","theo phong cách, giống như (tính từ, VD statuesque)",1,statuesque
-ess,female (noun),giống cái (danh từ),21,"actress, countesses, giantess, goddess, demigoddess, governess"
-est,superlative,so sánh nhất,386,"ablest, airiest, amongst, angriest, artiest, baggiest"
-et,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD packet)",5,"anklet, couplet, packet, singlet, spinneret"
-ette,small; female (diminutive noun),nhỏ; giống cái (danh từ giảm nhẹ),6,"kitchenette, majorette, novelette, novelettish, rosette, statuette"
-fold,"times, multiplied by","nhân lên (tính từ/trạng từ, VD twofold)",11,"fivefold, fourfold, hundredfold, millionfold, ninefold, sevenfold"
-ful,full of (adjective),"đầy, có nhiều (tính từ)",238,"armful, artful, artfully, artfulness, bagful, basketful"
-hood,"state, condition, group (noun)","trạng thái, điều kiện, nhóm (danh từ)",21,"adulthood, babyhood, boyhood, brotherhood, childhood, fatherhood"
-i,"[VARIANT] Latin plural ending (VD: radii, stimuli)","[BIẾN THỂ] đuôi số nhiều Latin (VD radii, stimuli)",2,"radii, stimuli"
-ia,"condition, disease, place (noun, Greek/Latin)","tình trạng, nơi chốn, số nhiều (danh từ, Latin/Hy Lạp)",3,"utopia, utopian, utopianism"
-iac,"relating to, suffering from (adjective)","thuộc về, bị ảnh hưởng bởi (tính từ, VD demoniac)",3,"demoniac, demoniacal, demoniacally"
-ian,"relating to, person from (noun/adjective)","thuộc về, người đến từ (danh từ/tính từ)",37,"authoritarian, authoritarianism, beautician, civilian, comedian, custodian"
-iance,"state, quality (noun)","trạng thái, tính chất (danh từ, VD allegiance)",1,allegiance
-ic,relating to (adjective),thuộc về (tính từ),201,"acidic, alcoholic, alcoholically, angelic, angelical, angelically"
-ice,"state or quality of (noun, VD: justice — mostly frozen Latin ending)","trạng thái, tính chất (danh từ, VD justice — đuôi Latin đông cứng)",9,"justice, injustice, service, serviceable, serviceably, serviceability"
-ics,"science, study, practice of (noun)",lĩnh vực nghiên cứu (danh từ),9,"athletics, dietetics, electronics, microelectronics, genetics, eugenics"
-ie,"small, informal/affectionate (diminutive noun, VD: robbie, billie)","nhỏ, thân mật (danh từ giảm nhẹ, VD robbie, billie)",5,"billie, millie, robbie, rockies, willie"
-ify,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)",71,"acidify, beatify, beautify, classify, classifiers, classifiable"
-ile,"capable of, relating to (adjective)","có khả năng, thuộc về (tính từ)",6,"infantile, infantilism, servile, servilely, servility, unservile"
-illion,"number-forming suffix (million, billion...)",hậu tố chỉ số lớn (VD sextillion),1,sextillion
-ine,"relating to, made of, feminine (adjective/noun)","thuộc về, làm bằng (tính từ); giống cái (danh từ)",6,"canine, crystalline, polycrystalline, elephantine, figurine, heroine"
-ion,"action, process, state (noun)","hành động, quá trình, trạng thái (danh từ)",529,"abolition, abolitionist, absolution, accentuation, acceptation, accession"
-ious,having quality of (adjective),có tính chất (tính từ),167,"advantageous, advantageously, disadvantageous, disadvantageously, beauteous, beauteously"
-ish,"somewhat, having quality of (adjective)","hơi, có tính chất (tính từ)",93,"amateurish, amateurishly, amateurishness, babyish, bearish, bearishly"
-ism,"belief, practice, condition (noun)","niềm tin, học thuyết, tình trạng (danh từ)",91,"absenteeism, absolutism, activism, alcoholism, amateurism, animalism"
-issimo,"most, extremely (Italian superlative)","nhất, cực kỳ (cấp so sánh nhất tiếng Ý, VD pianissimo)",1,pianissimo
-ist,person who practices/believes (noun),người theo/thực hành (danh từ),155,"abolitionist, activist, alarmist, alienist, artist, artistic"
-iste,"one who practices (noun, French)","người thực hành (danh từ, Pháp, VD artiste)",1,artiste
-ite,"mineral, follower of, resident of (noun)",người theo; khoáng chất/hóa chất (danh từ),13,"crystallite, definite, definitely, indefinite, indefinitely, indefiniteness"
-itis,"inflammation of (Greek, medical)","viêm, bệnh (danh từ, Hy Lạp/y học)",1,enteritis
-itize,"to make into, to convert to (verb)","làm cho thành, chuyển đổi (động từ)",4,"sensitize, sensitization, desensitize, desensitization"
-itorium,place for (noun),"nơi chốn (danh từ, Latin, VD auditorium)",1,auditorium
-itude,"state, quality (noun)","trạng thái, tính chất (danh từ)",13,"beatitude, correctitude, exactitude, inexactitude, habitude, longitude"
-ity,state or quality of (noun),"trạng thái, tính chất (danh từ)",243,"ability, inability, disability, absurdity, acceptability, accessibility"
-ium,"chemical element / place (noun, Latin)","nguyên tố hóa học / nơi chốn (danh từ, Latin)",6,"honorarium, millenium, momentum, petroleum, euphonium, planetarium"
-ive,"tending to, having nature of (adjective)","có xu hướng, có tính chất (tính từ)",270,"abusive, abusively, accusative, active, activate, actively"
-ivore,"eating, feeding on (Latin)","ăn, tiêu thụ (danh từ/tính từ, Latin, VD herbivore)",4,"herbivore, herbivorous, insectivore, insectivorous"
-iz,"to make, to become (verb, variant of -ize)","làm cho, biến thành (động từ, biến thể của -ize)",0,
-ize,"to make, to become (verb)","làm cho, biến thành (động từ)",160,"attitudinize, authorize, authorization, unauthorized, breathalyse, breathalyser"
-less,without (adjective),không có (tính từ),312,"ageless, agelessness, aimless, aimlessly, aimlessness, airless"
-let,small (diminutive noun),nhỏ (danh từ giảm nhẹ),13,"armlet, booklet, coverlet, cutlets, droplet, eyelet"
-ling,"small, young (diminutive noun)","nhỏ, non trẻ (danh từ giảm nhẹ)",13,"changeling, dumpling, earthling, foundling, hireling, nestlings"
-ly,adverb of manner / adjective (like),trạng từ chỉ cách thức / tính từ (giống như),1311,"absently, absolutely, absurdly, abusively, accidentally, accusingly"
-ment,result/action/state (noun),kết quả/hành động/trạng thái (danh từ),174,"abandonment, disablement, accomplishment, achievement, enactment, advancement"
-most,"superlative, farthest degree","cấp độ so sánh nhất (tính từ, VD southernmost)",1,southernmost
-n,"[INFLECTION] past-participle ending (VD: blown, drawn)","[NGỮ PHÁP] đuôi phân từ quá khứ (VD blown, drawn)",29,"blown, overblown, drawn, indrawn, overdrawn, fasteners"
-ness,state or quality of (noun),"trạng thái, tính chất (danh từ)",613,"absoluteness, reactiveness, acuteness, agelessness, agreeableness, disagreeableness"
-o,"[VARIANT] informal/loanword noun ending (VD: commando, weirdo)","[BIẾN THỂ] đuôi danh từ thông tục/từ mượn (VD commando, weirdo)",6,"commando, manifesto, pinko, speedo, weirdo, winos"
-ock,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD hillock)",1,hillock
-ode,"way, path (Greek)","đường, lối (danh từ, Hy Lạp, VD electrode)",1,electrode
-ogy,"study of, science of (noun, Greek)","nghiên cứu về (danh từ, Hy Lạp, biến thể -logy)",1,mineralogy
-oid,"resembling, like (adjective)","giống như, có hình dạng (tính từ/danh từ, Hy Lạp)",4,"celluloid, discoid, planetoid, spheroid"
-on,"unit, particle, state (noun)","[BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)",6,"electron, electronic, electronics, electronically, microelectronics, surgeon"
-opath,"one who treats/practices (noun, Greek)","người thực hành hệ thống điều trị (danh từ, Hy Lạp, VD naturopath)",1,naturopath
-or,person/thing that does (noun),người/vật thực hiện (danh từ),98,"accessors, actor, reactor, nonreactors, advisor, assessor"
-ory,"relating to, place for (adjective/noun)","thuộc về, nơi chốn (tính từ/danh từ)",129,"actuary, actuarial, actuarially, reactionary, adversary, advisory"
-ose,"full of, having qualities of (adjective); sugar (chemistry)","đầy, có tính chất (tính từ, VD grandiose); đường (hóa học, VD cellulose)",2,"cellulose, grandiose"
-our,"state, quality, action (British spelling variant)","[BIẾN THỂ CHÍNH TẢ] của ""-or"" (chính tả Anh-Anh, VD behaviour)",5,"behaviour, behaviourism, behaviourist, misbehaviour, saviour"
-ous,"full of, having (adjective)",có tính chất (tính từ),2,"disastrous, disastrously"
-ship,"state, condition, skill (noun)","trạng thái, điều kiện, kỹ năng (danh từ)",40,"authorship, championship, citizenship, councillorship, courtship, custodianship"
-sis,"process, condition (noun, Greek)","quá trình, tình trạng (danh từ, Hy Lạp)",3,"elephantiasis, elevenses, genesis"
-some,"tending to, characterized by (adjective)","có xu hướng, đặc trưng bởi (tính từ)",21,"bothersome, burdensome, burdensomeness, eightsome, fearsome, foursome"
-ster,"one who does, associated with (noun)",người làm việc gì (danh từ),12,"gangster, hipster, mobster, oldster, pollster, roadster"
-t,"[INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing","[NGỮ PHÁP] đuôi chia động từ bất quy tắc (VD burnt, dealt) — không mang nghĩa riêng",35,"burnt, dealt, misdealt, dreamt, undreamt, joint"
-teen,plus ten (numbers 13-19),"mười cộng thêm (số, VD eighteen)",12,"fifteen, fifteenth, fourteen, fourteenth, nineteen, nineteenth"
-th,"ordinal number / state (noun, VD: eighth, warmth)","số thứ tự / trạng thái (danh từ, VD eighth, warmth)",42,"believeth, cometh, eighth, eightieth, eighteenth, eleventh"
-tograph,instrument that writes/records (variant of -graph),"dụng cụ ghi/viết (danh từ, Hy Lạp, VD cinematograph)",1,cinematograph
-tography,process of writing/recording (variant of -graphy),"quá trình ghi lại (danh từ, Hy Lạp, VD cinematography)",1,cinematography
-tude,"state, quality (noun)","trạng thái, tính chất (danh từ, VD solitude)",1,solitude
-ule,small (diminutive noun),nhỏ (danh từ giảm nhẹ),10,"animalcule, cellular, celluloid, cellulose, hypocellularity, hypercellularity"
-ulin,protein or substance (biology/chemistry),"protein/chất (danh từ, hóa học, VD globulin)",1,globulin
-ure,"action, result, process (noun)","hành động, kết quả, quá trình (danh từ)",35,"architecture, architectural, architecturally, closure, enclosure, disclosure"
-us,Latin masculine noun ending,"[BIẾN THỂ] đuôi danh từ Latin (VD radius, stylus)",2,"radius, stylus"
-ward,in the direction of (adjective/adverb),theo hướng (tính từ/trạng từ),28,"afterward, backward, backwardly, backwardness, downward, eastward"
-wise,in the manner of; direction,theo cách thức; hướng,15,"clockwise, anticlockwise, coastwise, crosswise, edgewise, leastwise"
-y,having quality of; noun/adjective,có tính chất; danh từ/tính từ,1016,"ably, acceptably, inaccessibly, accountably, accountancy, unaccountably"
