word,structure,frequency
powerful,[power]-ful,75
traveller,[travel]-er,75
achievement,[achieve]-ment,74
deserve,de-[serve],74
successful,[success]-ful,74
belong,be-[long],73
employer,[employ]-er,73
status,[state]-us,72
expose,ex-[pose],71
overview,over-[view],71
player,[play]-er,71
exposure,ex-[pose]-ure,69
farmer,[farm]-er,68
childhood,[child]-hood,67
deliberately,[deliberate]-ly,67
enormous,[enorm]-ous,67
highly,[high]-ly,67
despite,de-[spite],66
protection,[protect]-ion,66
coaster,[coast]-er,65
expensive,[expense]-ive,65
criminal,[crimin]-al,64
personally,[person]-ally,64
layer,[lay]-er,61
management,[manage]-ment,61
import,im-[port],60
improvement,[improve]-ment,60
purely,[pure]-ly,60
strengthen,[strength]-en,60
unfamiliar,un-[family]-ar,60
careful,[care]-ful,59
equipment,[equip]-ment,59
impossible,im-[possible],59
malaria,[male]-aria,59
critical,[critic]-al,58
importance,im-[port]-ance,58
motivate,[motive]-ate,58
reader,[read]-er,58
unlike,un-[like],58
happiness,[happy]-ness,57
threaten,[threat]-en,57
circumstance,circum-[stance],56
normal,[norm]-al,56
collective,[collect]-ive,55
comfortable,[comfort]-able,55
organism,[organ]-ism,55
industrial,[industry]-al,54
output,out-[put],54
reliable,re-[lie]-able,54
roller,[roll]-er,54
awareness,[aware]-ness,53
endanger,en-[danger],53
frequently,[frequent]-ly,53
uniform,uni-[form],53
display,dis-[play],52
partly,[part]-ly,52
reaction,re-[act]-ion,52
weaken,[weak]-en,52
closely,[close]-ly,51
guidance,[guide]-ance,51
leader,[lead]-er,50
reasonable,[reason]-able,50
viewer,[view]-er,50
express,ex-[press],49
friendship,[friend]-ship,49
heavily,[heavy]-ly,49
immediately,[immediate]-ly,49
judgement,[judge]-ment,49
owner,[own]-er,49
payment,[pay]-ment,49
version,[verse]-ion,49
creature,[create]-ure,48
promotion,pro-[motion],48
station,[state]-ion,48
surround,sur-[round],48
familiar,[family]-ar,47
learner,[learn]-er,47
properly,[proper]-ly,47
unable,un-[able],47
underground,under-[ground],47
agreement,[agree]-ment,46
freely,[free]-ly,46
runner,[run]-er,46
various,[vary]-ous,46
recycle,re-[cycle],45
repair,re-[pair],45
continuous,[continue]-ous,44
currently,[current]-ly,44
diversity,[diverse]-ity,44
ensure,en-[sure],44
interaction,inter-[act]-ion,44
description,de-[script]-ion,43
extend,ex-[tend],43
gardener,[garden]-er,43
humanity,[human]-ity,43
constantly,[constant]-ly,42
expression,ex-[press]-ion,42
priority,[prior]-ity,42
restrict,re-[strict],42
appearance,[appear]-ance,41
considerable,[consider]-able,41
mislead,mis-[lead],41
widely,[wide]-ly,41
creative,[create]-ive,40
employment,[employ]-ment,40
mostly,[most]-ly,40
rebuild,re-[build],40
relative,[relate]-ive,40
renewable,re-[new]-able,40
widen,[wide]-en,40
isolation,[isolate]-ion,39
proportion,pro-[port]-ion,39
seriously,[serious]-ly,39
steadily,[steady]-ly,39
stranger,[strange]-er,39
background,back-[ground],38
interact,inter-[act],38
sailor,[sail]-or,38
supporter,[support]-er,38
arrangement,[arrange]-ment,37
deeply,[deep]-ly,37
disorder,dis-[order],37
nearly,[near]-ly,37
occasionally,[occasion]-ally,37
outward,[out]-ward,37
reality,[real]-ity,37
reverse,re-[verse],37
suddenly,[sudden]-ly,37
advancement,[advance]-ment,36
collection,[collect]-ion,36
enable,en-[able],36
forecast,fore-[cast],36
hardship,[hard]-ship,36
instantly,[instant]-ly,36
rapidly,[rapid]-ly,36
react,re-[act],36
transition,[transit]-ion,36
artist,[art]-ist,35
friendly,[friend]-ly,35
impose,im-[pose],35
intend,in-[tend],35
reliance,re-[lie]-ance,35
review,re-[view],35
safely,[safe]-ly,35
unemployment,un-[employ]-ment,35
warmth,[warm]-th,35
asset,[as]-et,34
badly,[bad]-ly,34
downstream,down-[stream],34
justify,[just]-ify,34
relay,re-[lay],34
solar,[sole]-ar,34
speaker,[speak]-er,34
transplant,trans-[plant],34
unfair,un-[fair],34
writer,[write]-er,34
musician,[music]-ian,33
package,[pack]-age,33
worthless,[worth]-less,33
automatically,[automatic]-ally,32
central,[centre]-al,32
delay,de-[lay],32
electric,[electr]-ic,32
enjoyable,en-[joy]-able,32
fitness,[fit]-ness,32
reform,re-[form],32
roughly,[rough]-ly,32
actor,[act]-or,31
discourage,dis-[courage],31
offender,[offend]-er,31
recently,[recent]-ly,31
resolve,re-[solve],31
rider,[rid]-er,31
shortage,[short]-age,31
disagreement,dis-[agree]-ment,30
europe,eu-[rope],30
majority,[major]-ity,30
primate,[prim]-ate,30
slightly,[slight]-ly,30
greatly,[great]-ly,29
handful,[hand]-ful,29
insurance,in-[sure]-ance,29
kindness,[kind]-ness,29
lower,[low]-er,29
outdoor,out-[door],29
protective,[protect]-ive,29
static,[state]-ic,29
weakness,[weak]-ness,29
dismiss,dis-[miss],28
entry,en-[try],28
officer,[office]-er,28
performer,[perform]-er,28
shopper,[shop]-er,28
beside,be-[side],27
cyclist,[cycle]-ist,27
outright,out-[right],27
rotation,[rotate]-ion,27
uncover,un-[cover],27
impression,im-[press]-ion,26
precision,[precise]-ion,26
attraction,[attract]-ion,25
bicycle,bi-[cycle],25
designer,[design]-er,25
functional,[function]-al,25
indeed,in-[deed],25
insight,in-[sight],25
keeper,[keep]-er,25
manure,[man]-ure,25
musical,[music]-al,25
overcome,over-[come],25
overlook,over-[look],25
postcard,post-[card],25
sharply,[sharp]-ly,25
barely,[bare]-ly,24
billion,[bill]-ion,24
commitment,[commit]-ment,24
enforce,en-[force],24
fairly,[fair]-ly,24
imbalance,im-[balance],24
informal,[inform]-al,24
likewise,[like]-wise,24
pleasure,[please]-ure,24
propose,pro-[pose],24
referee,[refer]-ee,24
remarkable,[remark]-able,24
restriction,re-[strict]-ion,24
seller,[sell]-er,24
costly,[cost]-ly,23
criticism,[critic]-ism,23
eighteen,[eight]-een,23
enrich,en-[rich],23
investigation,[investigate]-ion,23
normally,[norm]-ally,23
specialist,[special]-ist,23
strictly,[strict]-ly,23
suitable,[suit]-able,23
undertake,under-[take],23
assessment,[assess]-ment,22
assistance,[assist]-ance,22
broaden,[broad]-en,22
climber,[climb]-er,22
coverage,[cover]-age,22
depression,de-[press]-ion,22
disposable,dis-[pose]-able,22
encounter,en-[count]-er,22
impressive,im-[press]-ive,22
predator,pre-[date]-or,22
repetition,re-[petition],22
teenage,[teen]-age,22
universal,uni-[verse]-al,22
unreliable,un-[rely]-able,22
youngster,[young]-ster,22
absolutely,[absolute]-ly,21
mismatch,mis-[match],21
openly,[open]-ly,21
openness,[open]-ness,21
parental,[parent]-al,21
transform,trans-[form],21
unusual,un-[usual],21
upward,up-[ward],21
attractive,[attract]-ive,20
deadly,[dead]-ly,20
descriptive,de-[script]-ive,20
enjoyment,en-[joy]-ment,20
hearth,[hear]-th,20
helpful,[help]-ful,20
inner,[in]-er,20
measurement,[measure]-ment,20
northern,[north]-ern,20
outlet,[out]-let,20
retirement,[retire]-ment,20
sharpen,[sharp]-en,20
unless,un-[less],20
update,up-[date],20
western,[west]-ern,20
accommodation,[accommodate]-ion,19
afternoon,after-[noon],19
bucket,[buck]-et,19
builder,[build]-er,19
buyer,[buy]-er,19
countless,[count]-less,19
innate,[in]-ate,19
interchangeable,inter-[change]-able,19
justice,[just]-ice,19
multinational,multi-[nation]-al,19
nervous,[nerve]-ous,19
pleasant,[please]-ant,19
publicly,[public]-ly,19
replacement,re-[place]-ment,19
seedling,[seed]-ling,19
translation,[translate]-ion,19
distinctive,[distinct]-ive,18
fairness,[fair]-ness,18
finite,[fine]-ite,18
honestly,[honest]-ly,18
input,in-[put],18
moderation,[moderate]-ion,18
polish,[pole]-ish,18
poorly,[poor]-ly,18
regional,[region]-al,18
sensory,[sense]-ory,18
smoker,[smoke]-er,18
statistical,[statistic]-al,18
useless,[use]-less,18
wisely,[wise]-ly,18
approval,[approve]-al,17
creator,[create]-or,17
discard,dis-[card],17
dislike,dis-[like],17
encouragement,en-[courage]-ment,17
engagement,[engage]-ment,17
harden,[hard]-en,17
newly,[new]-ly,17
obviously,[obvious]-ly,17
overcrowd,over-[crowd],17
overflow,over-[flow],17
prescription,pre-[script]-ion,17
smoothly,[smooth]-ly,17
swimmer,[swim]-er,17
transparent,trans-[parent],17
unfairly,un-[fair]-ly,17
beautiful,[beauty]-ful,16
blanket,[blank]-et,16
crucially,[crucial]-ly,16
dishonest,dis-[honest],16
enforcement,en-[force]-ment,16
misunderstand,mis-[understand],16
organic,[organ]-ic,16
overload,over-[load],16
readily,[ready]-ly,16
renew,re-[new],16
selection,[select]-ion,16
sooner,[soon]-er,16
sponsorship,[sponsor]-ship,16
variable,[vary]-able,16
adulthood,[adult]-hood,15
defendant,[defend]-ant,15
detective,[detect]-ive,15
indirectly,in-[direct]-ly,15
interactive,inter-[act]-ive,15
interconnect,inter-[connect],15
logical,[logic]-al,15
measurable,[measure]-able,15
miller,[mill]-er,15
occasional,[occasion]-al,15
originally,[origin]-ally,15
participation,[participate]-ion,15
peter,[pet]-er,15
profitable,[profit]-able,15
redirect,re-[direct],15
seasonal,[season]-al,15
servant,[serve]-ant,15
solely,[sole]-ly,15
tightly,[tight]-ly,15
unlikely,un-[like]-ly,15
unseen,un-[see]-en,15
versus,[verse]-us,15
amusement,[amuse]-ment,14
architecture,[architect]-ure,14
barren,[bar]-en,14
classify,[class]-ify,14
conventional,[convention]-al,14
darkness,[dark]-ness,14
distribution,dis-[tribute]-ion,14
educator,[educate]-or,14
endless,[end]-less,14
harmless,[harm]-less,14
marker,[mark]-er,14
massive,[mass]-ive,14
membership,[member]-ship,14
organize,[organ]-ize,14
overnight,over-[night],14
previously,[previous]-ly,14
recall,re-[call],14
sensor,[sense]-or,14
stressful,[stress]-ful,14
untreated,un-[tree]-ated,14
adaptable,[adapt]-able,13
breadth,[bread]-th,13
correctly,[correct]-ly,13
criticize,[critic]-ize,13
excitement,[excite]-ment,13
expectancy,[expect]-ancy,13
expressive,ex-[press]-ive,13
famine,[fame]-ine,13
impulse,im-[pulse],13
indirect,in-[direct],13
instinctive,[instinct]-ive,13
intention,in-[tent]-ion,13
modal,[mode]-al,13
overly,[over]-ly,13
peaceful,[peace]-ful,13
placement,[place]-ment,13
request,re-[quest],13
reuse,re-[use],13
sadness,[sad]-ness,13
selective,[select]-ive,13
soloist,[solo]-ist,13
supermarket,super-[mark]-et,13
supportive,[support]-ive,13
tailor,[tail]-or,13
undeniable,un-[deny]-able,13
upset,up-[set],13
wooden,[wood]-en,13
worsen,[worse]-en,13
accidental,[accident]-al,12
arrival,[arrive]-al,12
consciousness,[conscious]-ness,12
creation,[create]-ion,12
efficiently,[efficient]-ly,12
export,ex-[port],12
fatal,[fate]-al,12
hopeful,[hope]-ful,12
interpersonal,inter-[person]-al,12
microsoft,micro-[soft],12
morale,[more]-ale,12
namely,[name]-ly,12
outlook,out-[look],12
potter,[pot]-er,12
prisoner,[prison]-er,12
proposal,pro-[pose]-al,12
remind,re-[mind],12
stimulus,[stimul]-us,12
surplus,sur-[plus],12
teammate,[team]-ate,12
thoughtful,[thought]-ful,12
trainer,[train]-er,12
understandable,[understand]-able,12
unstable,un-[stable],12
upkeep,up-[keep],12
upper,[up]-er,12
upright,up-[right],12
acceptance,[accept]-ance,11
beginner,[begin]-er,11
careless,[care]-less,11
carrier,[carry]-er,11
committee,[commit]-ee,11
considerate,[consider]-ate,11
deepen,[deep]-en,11
director,[direct]-or,11
dosage,[dose]-age,11
editor,[edit]-or,11
ethical,[ethic]-al,11
fearful,[fear]-ful,11
frustration,[frustrate]-ion,11
intensify,[intense]-ify,11
legacy,[leg]-acy,11
legally,[leg]-ally,11
lively,[live]-ly,11
manageable,[manage]-able,11
minority,[minor]-ity,11
misuse,mis-[use],11
movie,[move]-ie,11
outline,out-[line],11
overdose,over-[dose],11
oversight,over-[sight],11
painter,[paint]-er,11
palate,[pale]-ate,11
pointless,[point]-less,11
relation,[relate]-ion,11
retreat,re-[treat],11
ruler,[rule]-er,11
subscription,sub-[script]-ion,11
subsequently,[subsequent]-ly,11
trailer,[trail]-er,11
unavoidable,un-[avoid]-able,11
undermine,under-[mine],11
unpleasant,un-[please]-ant,11
acceptable,[accept]-able,10
accountable,[account]-able,10
backward,[back]-ward,10
caller,[call]-er,10
correction,[correct]-ion,10
critically,[critic]-ally,10
developer,[develop]-er,10
discharge,dis-[charge],10
dissolve,dis-[solve],10
fulfilment,[fulfil]-ment,10
globally,[globe]-ally,10
inward,in-[ward],10
maturity,[mature]-ity,10
microwave,micro-[wave],10
notable,[not]-able,10
outsider,out-[side]-er,10
palette,[pale]-ette,10
portable,[port]-able,10
possession,[possess]-ion,10
richness,[rich]-ness,10
rightly,[right]-ly,10
severely,[severe]-ly,10
specially,[special]-ly,10
transmission,trans-[miss]-ion,10
uncertain,un-[certain],10
uncomfortable,un-[comfort]-able,10
weekly,[week]-ly,10
advantageous,[advantage]-ous,9
assistant,[assist]-ant,9
attachment,[attach]-ment,9
catchment,[catch]-ment,9
consciously,[conscious]-ly,9
conviction,[convict]-ion,9
dedication,[dedicate]-ion,9
degrade,de-[grade],9
depress,de-[press],9
detector,[detect]-or,9
disappoint,dis-[appoint],9
discomfort,dis-[comfort],9
effortless,[effort]-less,9
employable,[employ]-able,9
follower,[follow]-er,9
forceful,[force]-ful,9
gravity,[grave]-ity,9
hazardous,[hazard]-ous,9
hostility,[hostile]-ity,9
illustration,[illustrate]-ion,9
indicator,[indicate]-or,9
inhabitant,in-[habit]-ant,9
intensity,[intense]-ity,9
linear,[line]-ar,9
listener,[listen]-er,9
livable,[live]-able,9
maker,[make]-er,9
orderly,[order]-ly,9
overhead,over-[head],9
override,over-[ride],9
painful,[pain]-ful,9
partnership,[partner]-ship,9
poisonous,[poison]-ous,9
refine,re-[fine],9
reformer,re-[form]-er,9
repay,re-[pay],9
settlement,[settle]-ment,9
sixth,[six]-th,9
submarine,sub-[marine],9
supplier,[supply]-er,9
symbolic,[symbol]-ic,9
tablet,[table]-et,9
tenant,[ten]-ant,9
thicken,[thick]-en,9
traditionally,[tradition]-ally,9
upstream,up-[stream],9
weaver,[weave]-er,9
afterlife,after-[life],8
afterward,[after]-ward,8
automate,auto-[mate],8
briefly,[brief]-ly,8
childless,[child]-less,8
closeness,[close]-ness,8
closure,[close]-ure,8
commonly,[common]-ly,8
contentment,[content]-ment,8
conveyor,[convey]-or,8
discount,dis-[count],8
displace,dis-[place],8
distinction,[distinct]-ion,8
distribute,dis-[tribute],8
flatten,[flat]-en,8
helpless,[help]-less,8
hugely,[huge]-ly,8
hunter,[hunt]-er,8
inhabit,in-[habit],8
intensive,[intense]-ive,8
invaluable,in-[value]-able,8
killer,[kill]-er,8
loudly,[loud]-ly,8
mutually,[mutual]-ly,8
needless,[need]-less,8
observer,[observe]-er,8
overdraft,over-[draft],8
oversee,over-[see],8
overtake,over-[take],8
pollen,[poll]-en,8
posture,[post]-ure,8
profoundly,[profound]-ly,8
recital,re-[cite]-al,8
refill,re-[fill],8
remotely,[remote]-ly,8
repayment,re-[pay]-ment,8
retrofit,retro-[fit],8
rubber,[rub]-er,8
server,[serve]-er,8
settler,[settle]-er,8
silently,[silent]-ly,8
systemic,[system]-ic,8
trial,[try]-al,8
trustee,[trust]-ee,8
unsafe,un-[safe],8
upgrade,up-[grade],8
variant,[vary]-ant,8
yearly,[year]-ly,8
youthful,[youth]-ful,8
appliance,[apple]-iance,7
backbone,back-[bone],7
bonus,[bone]-us,7
breaker,[break]-er,7
civilize,[civil]-ize,7
coral,[core]-al,7
departure,[depart]-ure,7
designate,[design]-ate,7
desirable,[desire]-able,7
disconnect,dis-[connect],7
disposal,dis-[pose]-al,7
district,di-[strict],7
distrust,dis-[trust],7
download,down-[load],7
enhancement,[enhance]-ment,7
executive,[execute]-ive,7
fashionable,[fashion]-able,7
functionally,[function]-ally,7
graduation,[graduate]-ion,7
happily,[happy]-ly,7
immunity,[immune]-ity,7
inconvenience,in-[convenience],7
latitude,[late]-itude,7
laziness,[lazy]-ness,7
lineage,[line]-age,7
loosen,[loose]-en,7
midnight,mid-[night],7
monthly,[month]-ly,7
offset,off-[set],7
offspring,off-[spring],7
outbreak,out-[break],7
overuse,over-[use],7
phrasal,[phrase]-al,7
planner,[plan]-er,7
powerless,[power]-less,7
prevention,[prevent]-ion,7
prioritize,[prior]-itize,7
privately,[private]-ly,7
proportional,pro-[portion]-al,7
publicity,[public]-ity,7
reliant,re-[lie]-ant,7
removal,re-[move]-al,7
restock,[rest]-ock,7
retailer,[retail]-er,7
sadly,[sad]-ly,7
sickness,[sick]-ness,7
sixteen,[six]-teen,7
stimulate,[stimul]-ate,7
storage,[store]-age,7
surely,[sure]-ly,7
transaction,trans-[act]-ion,7
traveler,[travel]-er,7
unsuitable,un-[suit]-able,7
unsure,un-[sure],7
wither,[with]-er,7
achievable,[achieve]-able,6
adversity,[adverse]-ity,6
assure,[as]-ure,6
attendance,[attend]-ance,6
bodily,[body]-ly,6
calmly,[calm]-ly,6
coastal,[coast]-al,6
collector,[collect]-or,6
complication,[complicate]-ion,6
corrective,[correct]-ive,6
debatable,de-[bat]-able,6
decorate,de-[core]-ate,6
descendant,[descend]-ant,6
detection,[detect]-ion,6
dieter,[diet]-er,6
digest,[dig]-est,6
disappearance,dis-[appear]-ance,6
disappointment,dis-[appoint]-ment,6
disturbance,[disturb]-ance,6
disuse,dis-[use],6
diversify,[diverse]-ify,6
evenly,[even]-ly,6
flawless,[flaw]-less,6
foolish,[fool]-ish,6
footage,[foot]-age,6
formally,[form]-ally,6
hemisphere,hemi-[sphere],6
homeless,[home]-less,6
inactive,in-[act]-ive,6
incorrect,in-[correct],6
infinite,in-[fine]-ite,6
inmate,in-[mate],6
install,in-[stall],6
intake,in-[take],6
internationally,inter-[nation]-ally,6
intimacy,in-[time]-acy,6
intimate,in-[time]-ate,6
invoice,in-[voice],6
logically,[logic]-ally,6
lover,[love]-er,6
magical,[magic]-al,6
originate,[origin]-ate,6
outlast,out-[last],6
outperform,out-[perform],6
overtime,over-[time],6
overwork,over-[work],6
preventive,[prevent]-ive,6
promotional,pro-[motion]-al,6
reachable,[reach]-able,6
recreate,re-[create],6
refugee,[refuge]-ee,6
repaint,re-[paint],6
smartly,[smart]-ly,6
southern,[south]-ern,6
suggestion,[suggest]-ion,6
taper,[tape]-er,6
totally,[total]-ly,6
tracker,[track]-er,6
trader,[trade]-er,6
unconscious,un-[conscious],6
unfold,un-[fold],6
unhappiness,un-[happy]-ness,6
uniformity,uni-[form]-ity,6
upload,up-[load],6
voter,[vote]-er,6
wasteful,[waste]-ful,6
watcher,[watch]-er,6
wonderful,[wonder]-ful,6
alliance,[all]-iance,5
assignment,[assign]-ment,5
automobile,auto-[mob]-ile,5
avoidance,[avoid]-ance,5
banner,[ban]-er,5
borrower,[borrow]-er,5
broadly,[broad]-ly,5
classic,[class]-ic,5
clinical,[clinic]-al,5
coexist,co-[exist],5
compliant,[comply]-ant,5
conditioner,[condition]-er,5
consultancy,[consult]-ancy,5
consultant,[consult]-ant,5
counsellor,[counsel]-or,5
crossword,cross-[word],5
desperately,[desperate]-ly,5
deterioration,[deteriorate]-ion,5
disparity,di-[spare]-ity,5
downwind,down-[wind],5
eagerness,[eager]-ness,5
earner,[earn]-er,5
entitle,en-[title],5
experimental,[experiment]-al,5
faithful,[faith]-ful,5
fascination,[fascinate]-ion,5
fiercely,[fierce]-ly,5
forecaster,fore-[cast]-er,5
foresee,fore-[see],5
generously,[generous]-ly,5
guardian,[guard]-ian,5
halfway,half-[way],5
handler,[handle]-er,5
incomplete,in-[complete],5
inconvenient,in-[convenient],5
interstate,inter-[state],5
investigator,[investigate]-or,5
lifeless,[life]-less,5
mentality,[mental]-ity,5
mentally,[mental]-ly,5
minsky,min-[sky],5
misread,mis-[read],5
morally,[more]-ally,5
noticeable,[notice]-able,5
oversimplify,over-[simple]-ify,5
patiently,[patient]-ly,5
payer,[pay]-er,5
plentiful,[plenty]-ful,5
politely,[polite]-ly,5
predetermine,pre-[determine],5
preface,pre-[face],5
proportionate,pro-[portion]-ate,5
readiness,[ready]-ness,5
recoverable,[recover]-able,5
recyclable,re-[cycle]-able,5
redesign,re-[design],5
refinement,re-[fine]-ment,5
rental,[rent]-al,5
repeater,[repeat]-er,5
replay,re-[play],5
reset,re-[set],5
restrain,re-[strain],5
retrain,re-[train],5
reusable,re-[use]-able,5
rightful,[right]-ful,5
ripen,[rip]-en,5
routinely,[routine]-ly,5
rower,[row]-er,5
scanner,[scan]-er,5
seniority,[senior]-ity,5
seriousness,[serious]-ness,5
signify,[sign]-ify,5
singer,[sing]-er,5
soften,[soft]-en,5
specialize,[special]-ize,5
spotter,[spot]-er,5
standardize,[standard]-ize,5
surcharge,sur-[charge],5
tenure,[ten]-ure,5
thinker,[think]-er,5
thoroughly,[thorough]-ly,5
transferable,[transfer]-able,5
unclear,[uncle]-ar,5
uncritical,un-[critic]-al,5
undervalue,under-[value],5
unfit,un-[fit],5
unforgettable,un-[forget]-able,5
unimaginable,un-[imagine]-able,5
universally,uni-[verse]-ally,5
unsteady,un-[steady],5
villager,[village]-er,5
winner,[win]-er,5
wrongly,[wrong]-ly,5
aboriginal,ab-[origin]-al,4
accountant,[account]-ant,4
alcoholic,[alcohol]-ic,4
anchorage,[anchor]-age,4
apartment,[apart]-ment,4
autopilot,auto-[pilot],4
backpack,back-[pack],4
backstage,back-[stage],4
basement,[base]-ment,4
boredom,[bore]-dom,4
bowen,[bow]-en,4
busyness,[busy]-ness,4
carriage,[carry]-age,4
checker,[check]-er,4
citizenship,[citizen]-ship,4
cleverness,[clever]-ness,4
closet,[close]-et,4
continually,[continue]-ally,4
decode,de-[code],4
delegate,de-[leg]-ate,4
densely,[dense]-ly,4
directory,[direct]-ory,4
disclosure,dis-[close]-ure,4
dismount,dis-[mount],4
domestically,[domestic]-ally,4
downturn,down-[turn],4
downward,[down]-ward,4
eastern,[east]-ern,4
enact,en-[act],4
encode,en-[code],4
endurance,[endure]-ance,4
entitlement,en-[title]-ment,4
explorer,[explore]-er,4
forehead,fore-[head],4
foremost,fore-[most],4
founder,[found]-er,4
gatherer,[gather]-er,4
golden,[gold]-en,4
habitable,[habit]-able,4
healer,[heal]-er,4
heighten,[height]-en,4
ideally,[ideal]-ly,4
impress,im-[press],4
imprisonment,im-[prison]-ment,4
impulsive,im-[pulse]-ive,4
inflation,in-[flat]-ion,4
inland,in-[land],4
insure,in-[sure],4
interlock,inter-[lock],4
justly,[just]-ly,4
lender,[lend]-er,4
lightly,[light]-ly,4
liveable,[live]-able,4
luxurious,[luxury]-ous,4
marketable,[market]-able,4
millet,[mill]-et,4
neglectful,[neglect]-ful,4
observable,[observe]-able,4
outlive,out-[live],4
overdue,over-[due],4
overland,over-[land],4
oversupply,over-[supply],4
packet,[pack]-et,4
passively,[passive]-ly,4
pasture,[past]-ure,4
porter,[port]-er,4
possessive,[possess]-ive,4
postcode,post-[code],4
poster,[post]-er,4
precondition,pre-[condition],4
preview,pre-[view],4
prolong,pro-[long],4
rearrange,re-[arrange],4
recorder,[record]-er,4
refit,re-[fit],4
regain,re-[gain],4
residual,[residue]-al,4
shorten,[short]-en,4
sincerely,[sincere]-ly,4
stiffen,[stiff]-en,4
strangely,[strange]-ly,4
surpass,sur-[pass],4
suspicious,su-[spice]-ious,4
thirdly,[third]-ly,4
tidal,[tide]-al,4
tighten,[tight]-en,4
timor,[time]-or,4
togetherness,[together]-ness,4
triage,[try]-age,4
triangle,tri-[angle],4
truthful,[truth]-ful,4
unaware,un-[aware],4
unconditional,un-[condition]-al,4
undergrowth,under-[grow]-th,4
unearth,un-[ear]-th,4
unhappy,un-[happy],4
unpack,un-[pack],4
unread,un-[read],4
uproot,up-[root],4
warmly,[warm]-ly,4
accidentally,[accident]-ally,3
accomplishment,[accomplish]-ment,3
achiever,[achieve]-er,3
adaptive,[adapt]-ive,3
admirer,[admire]-er,3
agreeable,[agree]-able,3
angler,[angle]-er,3
anticipation,[anticipate]-ion,3
appointment,[appoint]-ment,3
armory,[arm]-ory,3
assertive,[assert]-ive,3
athletics,[athlete]-ics,3
attacker,[attack]-er,3
automation,auto-[mate]-ion,3
backlog,back-[log],3
batter,[bat]-er,3
betrayal,[betray]-al,3
blindness,[blind]-ness,3
blockage,[block]-age,3
bouncer,[bounce]-er,3
breathable,[breath]-able,3
bypass,by-[pass],3
cavern,[cave]-ern,3
characterize,[character]-ize,3
cleanly,[clean]-ly,3
codify,[code]-ify,3
compensation,[compensate]-ion,3
compensatory,[compensate]-ory,3
concealment,[conceal]-ment,3
connector,[connect]-or,3
contractor,[contract]-or,3
curie,[cure]-ie,3
darken,[dark]-en,3
defender,[defend]-er,3
demerit,de-[merit],3
deprivation,de-[private]-ion,3
detour,de-[tour],3
devalue,de-[value],3
devotion,[devote]-ion,3
dimensional,[dimension]-al,3
disapproval,dis-[approve]-al,3
disengage,dis-[engage],3
disregard,dis-[regard],3
