affix,loai,dang_hien_thi,nghia_en,nghia_vi,so_tu_dung,vi_du
en,prefix,en-,"to make, put into","làm cho, đưa vào",90,"enable, enact, enactment, reenact, embank, embankment"
epi,prefix,epi-,"upon, above (Greek)","trên, phía trên (Hy Lạp)",6,"epicentre, epicycle, epicyclically, epigenetic, epilogue, epidemiological"
eu,prefix,eu-,"good, well (Greek)","tốt, đẹp (Hy Lạp)",12,"eugenic, eugenics, eugenically, eulogy, eulogist, eulogize"
ex,prefix,ex-,"out of, former","ra khỏi, cựu, nguyên",38,"exchange, exchangeable, exclaim, exclamatory, exclamation, exhusband"
extra,prefix,extra-,"outside, beyond","ngoài mức bình thường, thêm",3,"extralegal, extrasensory, extraterritorial"
fore,prefix,fore-,"before, in front","trước, phía trước",47,"forearm, forbear, forbearance, forbore, forecast, forecasters"
god,prefix,god-,"god (VD: Godwin, but likely name fragment here)","thần, chúa (thường là mảnh tên riêng Godwin)",1,godwin
half,prefix,half-,half,"một nửa, không hoàn chỉnh",6,"halfback, halfhearted, halfpenny, halftime, halftone, halfway"
hemi,prefix,hemi-,half (Greek),nửa (Hy Lạp),2,"hemisphere, hemispherical"
hyper,prefix,hyper-,"over, excessive (Greek)","quá mức, cực độ (Hy Lạp)",7,"hypercellularity, hypercritical, hypercritically, hypermarket, hypersensitive, hypersensitivity"
hypo,prefix,hypo-,"under, below normal (Greek)","dưới, dưới mức bình thường (Hy Lạp)",2,"hypoactive, hypocellularity"
im,prefix,im-,not (before b/m/p) — variant of in-,không (biến thể của in- trước b/m/p),282,"inability, inaccessible, inaccessibly, inaccessibility, inactive, inaction"
in,prefix,in-,"not; into, inward",không; vào trong,146,"imbedded, inboard, inborn, inbound, inbred, incite"
infra,prefix,infra-,"below, beneath (Latin)","dưới, bên dưới",1,infrared
inter,prefix,inter-,"between, among","giữa, liên",47,"interact, interaction, interactive, interbred, interchange, interchangeable"
intra,prefix,intra-,"within, inside (Latin)",bên trong,1,intradepartmental
juxta,prefix,juxta-,"next to, beside (Latin)",kề bên,2,"juxtapose, juxtaposition"
kilo,prefix,kilo-,thousand (Greek),nghìn,4,"kilocycle, kilolitre, kilometre, kiloton"
macro,prefix,macro-,large (Greek),lớn,1,macroscopically
mal,prefix,mal-,"bad, badly","xấu, tệ",11,"maladaptive, malcontent, malformed, malformation, malformations, malfunction"
mega,prefix,mega-,"large, one million","lớn, một triệu",4,"megadeath, megaphone, megaton, multimegaton"
melli,prefix,melli-,honey (Latin),"mật ong (Latin, VD mellifluous)",1,mellifluous
micro,prefix,micro-,small,"nhỏ, vi mô",14,"microanalysis, microdot, microelectronics, microfilm, microfossils, microorganism"
mid,prefix,mid-,middle,giữa,16,"midair, midday, midmorning, midmost, midnight, midpoint"
milli,prefix,milli-,"thousand, one thousandth",một phần nghìn,3,"millibar, millilitre, millimetre"
min,prefix,min-,"small, less",nhỏ (biến thể của mini-),1,minibus
mis,prefix,mis-,"wrongly, badly","sai, xấu",82,"misadvise, misalliance, misapply, misbehave, misbehavior, misbehaviour"
mono,prefix,mono-,"one, single","một, đơn",11,"mondays, monologue, monologist, monoplane, monorail, monotone"
multi,prefix,multi-,many,nhiều,7,"multichannel, multicolor, multidimensional, multimillionaire, multipurpose, multiracial"
non,prefix,non-,not,không,45,"nonacid, nonreactors, nonreactivity, nonassertive, nonassertively, noncombatant"
o,prefix,o-,"connective vowel, little independent meaning","chống, hướng về (biến thể của ob-)",9,"oppose, opposite, opposition, oppress, oppressor, oppression"
ob,prefix,ob-,"against, toward, in the way of (Latin)","chống lại, hướng về",1,obverse
off,prefix,off-,"away, off","tắt, xa khỏi",11,"offbeat, offhand, offhandedly, offhandedness, offprint, offset"
omni,prefix,omni-,all (Latin),tất cả,4,"omnipotent, omnipotence, omnipresence, omnipresent"
on,prefix,on-,"on, onto","vào, tiếp diễn",7,"oncoming, ongoing, onlooker, onrush, onset, onshore"
out,prefix,out-,"beyond, exceeding, external","ra ngoài, vượt trội",84,"outback, outbalance, outbid, outbidden, outboard, outbound"
over,prefix,over-,"above, excess, too much","trên, quá mức",130,"overact, overactive, overage, overall, overbalance, overbear"
pent,prefix,pent-,five (Greek),năm (Hy Lạp),1,penthouse
peri,prefix,peri-,around (Greek),xung quanh (Hy Lạp),1,periscope
poly,prefix,poly-,many (Greek),nhiều (Hy Lạp),3,"polycrystalline, polyphonic, polytonal"
post,prefix,post-,after,sau,5,"postdate, postgraduate, postpaid, postscript, postwar"
pre,prefix,pre-,before,trước,53,"prearrange, prearrangement, precast, preconcerted, precondition, preconscious"
pro,prefix,pro-,"forward, in favor of","về phía trước, ủng hộ",29,"proclaim, proclamation, procreate, procreative, procreation, procreativity"
quad,prefix,quad-,four (Latin),bốn,3,"quadrangle, quadrangular, quadripartite"
quadro,prefix,quadro-,four (variant of quadri-),bốn (biến thể quadri-),1,quadrophonic
quint,prefix,quint-,five,năm,3,"quintessence, quintessential, quintessentially"
re,prefix,re-,"again, back","lại, làm lại",275,"react, reactor, reaction, reactive, reactants, reactivate"
retro,prefix,retro-,backward,"ngược lại, lùi",5,"retroactive, retroactively, retrograde, retrogradations, retrorocket"
semi,prefix,semi-,"half, partly","nửa, một phần",10,"semiautomatic, semicircle, semicircular, semifinal, semifinalist, semiology"
su,prefix,su-,"under, below (variant of sub-, before p)",dưới (biến thể sub- trước p),11,"suppose, supposedly, supposition, suppository, presuppose, presupposition"
sub,prefix,sub-,"under, below",dưới,42,"subconscious, subconsciously, subconsciousness, subcontract, subcontractor, subdivide"
super,prefix,super-,"above, beyond, extremely","trên, vượt trội, cực kỳ",30,"supercargo, supercharged, supercharger, supercritical, superego, superfine"
sur,prefix,sur-,"over, above (variant of super-)","trên, vượt quá (biến thể của super-)",13,"surcharge, surcoat, surmount, surmountable, unsurmountable, insurmountable"
sus,prefix,sus-,"under, from below (variant of sub-)","dưới (biến thể sub-, VD sustenance)",1,sustenance
sym,prefix,sym-,"together, with (variant of syn- before b/m/p)",cùng nhau (biến thể của syn- trước b/m/p),9,"sympathy, sympathize, sympathetic, sympathizer, sympathizingly, sympathetically"
syn,prefix,syn-,"together, with (Greek)",cùng nhau (Hy Lạp),4,"syntactic, syntactical, syntactically, syntax"
through,prefix,through-,through,xuyên suốt,3,"throughout, throughput, throughway"
thru,prefix,thru-,through (informal spelling),xuyên qua (cách viết thông tục),1,thruway
trans,prefix,trans-,"across, beyond, change","xuyên qua, chuyển đổi",29,"transact, transaction, transcultural, transfigure, transfiguration, transfix"
tri,prefix,tri-,three,ba,4,"triangle, triangular, tricycle, tripartite"
u,prefix,u-,"variant connective form, little independent meaning","không, vô (Hy Lạp ""ou-"", VD utopia = ""không nơi chốn"")",3,"utopia, utopian, utopianism"
ultra,prefix,ultra-,"beyond, extremely","vượt quá, cực đoan",4,"ultramarine, ultramodern, ultrasonic, ultrasonically"
un,prefix,un-,"not, opposite of; reverse an action","không, ngược lại (phủ định/đảo nghĩa)",536,"unable, unacceptable, unaccountable, unaccountably, unachieved, unachievable"
under,prefix,under-,"below, insufficient","dưới, không đủ",70,"underachievers, underact, underage, underarm, underbedding, underbid"
uni,prefix,uni-,one,"một, đơn",11,"unidirectional, uniform, uniformly, uniformity, unisex, universe"
up,prefix,up-,"upward, higher",lên trên,38,"upbeat, upbringing, upcoming, upcountry, update, upend"
a,suffix,-a,"[VARIANT] Latin/Greek loanword ending, plural or feminine noun marker","[BIẾN THỂ] đuôi từ mượn Latin/Hy Lạp, số nhiều hoặc giống cái",9,"breathalyse, breathalyser, fantasia, helluva, kinda, momenta"
able,suffix,-able,capable of being (adjective),có thể được (tính từ),498,"acceptable, acceptably, acceptability, unacceptable, accessible, accessibility"
acy,suffix,-acy,"state, quality, condition (noun)","trạng thái, tính chất (danh từ)",7,"captaincy, indeterminacy, fallacy, legacy, normalcy, primacy"
ade,suffix,-ade,"action, product of an action (noun)","hành động, kết quả; đồ uống ngọt (danh từ, VD blockade, lemonade)",4,"blockade, escapade, lemonade, orangeade"
ae,suffix,-ae,[VARIANT] Latin plural ending (VD: personae),[BIẾN THỂ] đuôi số nhiều Latin (VD personae),1,personae
age,suffix,-age,"action, result, collection (noun)","hành động, kết quả, tập hợp (danh từ)",48,"acreage, anchorage, baggage, bandage, blockage, bondage"
aire,suffix,-aire,"person who has (noun, VD: millionaire)","người có (danh từ, VD millionaire)",6,"doctrinaire, millionaire, multimillionaire, commissionaire, questionnaire, solitaire"
al,suffix,-al,relating to (adjective); action (noun),thuộc về (tính từ); hành động (danh từ),520,"accentual, accidental, accidentally, actual, actually, actuarial"
ale,suffix,-ale,"sale, gathering (noun, French, VD: musicale)","buổi tiệc, tụ họp (danh từ, Pháp, VD musicale)",2,"musicale, internationale"
ally,suffix,-ally,adverb form of -ic adjectives (VD: automatically),dạng trạng từ của tính từ -ic (VD automatically),1,epicyclically
ance,suffix,-ance,"state, quality, action (noun)","trạng thái, tính chất, hành động (danh từ)",105,"acceptance, accountancy, admittance, allowance, alliance, misalliance"
ancy,suffix,-ancy,"state, quality (noun)","trạng thái, tính chất (danh từ)",12,"consultancy, fluency, occupancy, potency, presidency, conservancy"
ant,suffix,-ant,person/thing that does; having quality (noun/adjective),người/vật thực hiện; có tính chất (danh từ/tính từ),120,"accountant, reactants, assistant, attendant, claimant, combatant"
ar,suffix,-ar,"relating to, like (adjective)",thuộc về (tính từ); người (danh từ),50,"angular, angularity, triangular, quadrangular, beggar, beggarly"
ard,suffix,-ard,"one who does something, often excessively (noun)","người làm việc gì quá mức (danh từ, VD drunkard)",3,"drunkard, dullard, spaniard"
aria,suffix,-aria,"place for, collection (noun, Latin, VD: planetaria)","nơi chốn, tập hợp (danh từ, Latin, VD planetaria)",2,"honoraria, planetaria"
astic,suffix,-astic,"relating to, characterized by (adjective)","thuộc về, đặc trưng bởi (tính từ, VD scholastic)",3,"scholastic, scholasticism, scholastically"
ate,suffix,-ate,to make/become (verb); having (adjective),làm cho/trở thành (động từ); có (tính từ),200,"accentuate, accentuation, actuate, activate, activation, inactivate"
ated,suffix,-ated,"having, characterized by (adjective)","[BIẾN THỂ] dạng phân từ quá khứ của -ate (tính từ, VD opinionated)",1,opinionated
atoire,suffix,-atoire,place for (borrowed from French),"nơi chốn (danh từ, Pháp, VD conservatoire)",1,conservatoire
bie,suffix,-bie,informal noun-forming suffix (e.g. newbie),"nhỏ, thân mật (danh từ giảm nhẹ, VD freebie)",1,freebie
dom,suffix,-dom,"domain, state, condition (noun)","lãnh thổ, trạng thái, điều kiện (danh từ)",10,"boredom, chiefdom, filmdom, freedom, horsedom, kingdom"
ee,suffix,-ee,person who receives/undergoes action (noun),người nhận/chịu tác động (danh từ),30,"absentee, absenteeism, addressee, appointee, assignee, bootee"
een,suffix,-een,diminutive (from Irish),[BIẾN THỂ] của -teen (VD eighteen),2,"eighteen, eighteenth"
eer,suffix,-eer,"person concerned with (noun, VD: engineer)","người liên quan đến (danh từ, VD engineer)",9,"auctioneer, commandeer, electioneer, engineer, marketeer, mountaineer"
eme,suffix,-eme,"smallest distinctive unit (noun, linguistics, Greek, VD: phoneme)","đơn vị nhỏ nhất có tính phân biệt (danh từ, ngôn ngữ học, Hy Lạp, VD phoneme)",4,"phoneme, phonemic, phonemics, phonemically"
en,suffix,-en,to make (verb); made of (adjective),làm cho (động từ); làm bằng (tính từ),123,"ashen, beaten, unbeaten, bidden, unbidden, outbidden"
enne,suffix,-enne,female form (from French),"giống cái (danh từ, Pháp, VD comedienne)",1,comedienne
er,suffix,-er,person who does; comparative,người làm việc gì; so sánh hơn,1013,"abler, accuser, underachievers, adapter, admirer, adviser"
ern,suffix,-ern,"direction (adjective, VD: southern)","phương hướng (tính từ, VD southern)",14,"eastern, easterner, northern, northerner, southern, southerner"
esque,suffix,-esque,"in the style of, resembling (adjective)","theo phong cách, giống như (tính từ, VD statuesque)",1,statuesque
ess,suffix,-ess,female (noun),giống cái (danh từ),21,"actress, countesses, giantess, goddess, demigoddess, governess"
est,suffix,-est,superlative,so sánh nhất,386,"ablest, airiest, amongst, angriest, artiest, baggiest"
et,suffix,-et,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD packet)",5,"anklet, couplet, packet, singlet, spinneret"
ette,suffix,-ette,small; female (diminutive noun),nhỏ; giống cái (danh từ giảm nhẹ),6,"kitchenette, majorette, novelette, novelettish, rosette, statuette"
fold,suffix,-fold,"times, multiplied by","nhân lên (tính từ/trạng từ, VD twofold)",11,"fivefold, fourfold, hundredfold, millionfold, ninefold, sevenfold"
ful,suffix,-ful,full of (adjective),"đầy, có nhiều (tính từ)",238,"armful, artful, artfully, artfulness, bagful, basketful"
hood,suffix,-hood,"state, condition, group (noun)","trạng thái, điều kiện, nhóm (danh từ)",21,"adulthood, babyhood, boyhood, brotherhood, childhood, fatherhood"
i,suffix,-i,"[VARIANT] Latin plural ending (VD: radii, stimuli)","[BIẾN THỂ] đuôi số nhiều Latin (VD radii, stimuli)",2,"radii, stimuli"
ia,suffix,-ia,"condition, disease, place (noun, Greek/Latin)","tình trạng, nơi chốn, số nhiều (danh từ, Latin/Hy Lạp)",3,"utopia, utopian, utopianism"
iac,suffix,-iac,"relating to, suffering from (adjective)","thuộc về, bị ảnh hưởng bởi (tính từ, VD demoniac)",3,"demoniac, demoniacal, demoniacally"
ian,suffix,-ian,"relating to, person from (noun/adjective)","thuộc về, người đến từ (danh từ/tính từ)",37,"authoritarian, authoritarianism, beautician, civilian, comedian, custodian"
iance,suffix,-iance,"state, quality (noun)","trạng thái, tính chất (danh từ, VD allegiance)",1,allegiance
ic,suffix,-ic,relating to (adjective),thuộc về (tính từ),201,"acidic, alcoholic, alcoholically, angelic, angelical, angelically"
ice,suffix,-ice,"state or quality of (noun, VD: justice — mostly frozen Latin ending)","trạng thái, tính chất (danh từ, VD justice — đuôi Latin đông cứng)",9,"justice, injustice, service, serviceable, serviceably, serviceability"
ics,suffix,-ics,"science, study, practice of (noun)",lĩnh vực nghiên cứu (danh từ),9,"athletics, dietetics, electronics, microelectronics, genetics, eugenics"
ie,suffix,-ie,"small, informal/affectionate (diminutive noun, VD: robbie, billie)","nhỏ, thân mật (danh từ giảm nhẹ, VD robbie, billie)",5,"billie, millie, robbie, rockies, willie"
ify,suffix,-ify,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)",71,"acidify, beatify, beautify, classify, classifiers, classifiable"
ile,suffix,-ile,"capable of, relating to (adjective)","có khả năng, thuộc về (tính từ)",6,"infantile, infantilism, servile, servilely, servility, unservile"
illion,suffix,-illion,"number-forming suffix (million, billion...)",hậu tố chỉ số lớn (VD sextillion),1,sextillion
ine,suffix,-ine,"relating to, made of, feminine (adjective/noun)","thuộc về, làm bằng (tính từ); giống cái (danh từ)",6,"canine, crystalline, polycrystalline, elephantine, figurine, heroine"
ion,suffix,-ion,"action, process, state (noun)","hành động, quá trình, trạng thái (danh từ)",529,"abolition, abolitionist, absolution, accentuation, acceptation, accession"
ious,suffix,-ious,having quality of (adjective),có tính chất (tính từ),167,"advantageous, advantageously, disadvantageous, disadvantageously, beauteous, beauteously"
ish,suffix,-ish,"somewhat, having quality of (adjective)","hơi, có tính chất (tính từ)",93,"amateurish, amateurishly, amateurishness, babyish, bearish, bearishly"
ism,suffix,-ism,"belief, practice, condition (noun)","niềm tin, học thuyết, tình trạng (danh từ)",91,"absenteeism, absolutism, activism, alcoholism, amateurism, animalism"
issimo,suffix,-issimo,"most, extremely (Italian superlative)","nhất, cực kỳ (cấp so sánh nhất tiếng Ý, VD pianissimo)",1,pianissimo
ist,suffix,-ist,person who practices/believes (noun),người theo/thực hành (danh từ),155,"abolitionist, activist, alarmist, alienist, artist, artistic"
iste,suffix,-iste,"one who practices (noun, French)","người thực hành (danh từ, Pháp, VD artiste)",1,artiste
ite,suffix,-ite,"mineral, follower of, resident of (noun)",người theo; khoáng chất/hóa chất (danh từ),13,"crystallite, definite, definitely, indefinite, indefinitely, indefiniteness"
itis,suffix,-itis,"inflammation of (Greek, medical)","viêm, bệnh (danh từ, Hy Lạp/y học)",1,enteritis
itize,suffix,-itize,"to make into, to convert to (verb)","làm cho thành, chuyển đổi (động từ)",4,"sensitize, sensitization, desensitize, desensitization"
itorium,suffix,-itorium,place for (noun),"nơi chốn (danh từ, Latin, VD auditorium)",1,auditorium
itude,suffix,-itude,"state, quality (noun)","trạng thái, tính chất (danh từ)",13,"beatitude, correctitude, exactitude, inexactitude, habitude, longitude"
ity,suffix,-ity,state or quality of (noun),"trạng thái, tính chất (danh từ)",243,"ability, inability, disability, absurdity, acceptability, accessibility"
ium,suffix,-ium,"chemical element / place (noun, Latin)","nguyên tố hóa học / nơi chốn (danh từ, Latin)",6,"honorarium, millenium, momentum, petroleum, euphonium, planetarium"
ive,suffix,-ive,"tending to, having nature of (adjective)","có xu hướng, có tính chất (tính từ)",270,"abusive, abusively, accusative, active, activate, actively"
ivore,suffix,-ivore,"eating, feeding on (Latin)","ăn, tiêu thụ (danh từ/tính từ, Latin, VD herbivore)",4,"herbivore, herbivorous, insectivore, insectivorous"
iz,suffix,-iz,"to make, to become (verb, variant of -ize)","làm cho, biến thành (động từ, biến thể của -ize)",0,
ize,suffix,-ize,"to make, to become (verb)","làm cho, biến thành (động từ)",160,"attitudinize, authorize, authorization, unauthorized, breathalyse, breathalyser"
less,suffix,-less,without (adjective),không có (tính từ),312,"ageless, agelessness, aimless, aimlessly, aimlessness, airless"
let,suffix,-let,small (diminutive noun),nhỏ (danh từ giảm nhẹ),13,"armlet, booklet, coverlet, cutlets, droplet, eyelet"
ling,suffix,-ling,"small, young (diminutive noun)","nhỏ, non trẻ (danh từ giảm nhẹ)",13,"changeling, dumpling, earthling, foundling, hireling, nestlings"
ly,suffix,-ly,adverb of manner / adjective (like),trạng từ chỉ cách thức / tính từ (giống như),1311,"absently, absolutely, absurdly, abusively, accidentally, accusingly"
ment,suffix,-ment,result/action/state (noun),kết quả/hành động/trạng thái (danh từ),174,"abandonment, disablement, accomplishment, achievement, enactment, advancement"
most,suffix,-most,"superlative, farthest degree","cấp độ so sánh nhất (tính từ, VD southernmost)",1,southernmost
n,suffix,-n,"[INFLECTION] past-participle ending (VD: blown, drawn)","[NGỮ PHÁP] đuôi phân từ quá khứ (VD blown, drawn)",29,"blown, overblown, drawn, indrawn, overdrawn, fasteners"
ness,suffix,-ness,state or quality of (noun),"trạng thái, tính chất (danh từ)",613,"absoluteness, reactiveness, acuteness, agelessness, agreeableness, disagreeableness"
o,suffix,-o,"[VARIANT] informal/loanword noun ending (VD: commando, weirdo)","[BIẾN THỂ] đuôi danh từ thông tục/từ mượn (VD commando, weirdo)",6,"commando, manifesto, pinko, speedo, weirdo, winos"
ock,suffix,-ock,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD hillock)",1,hillock
ode,suffix,-ode,"way, path (Greek)","đường, lối (danh từ, Hy Lạp, VD electrode)",1,electrode
ogy,suffix,-ogy,"study of, science of (noun, Greek)","nghiên cứu về (danh từ, Hy Lạp, biến thể -logy)",1,mineralogy
oid,suffix,-oid,"resembling, like (adjective)","giống như, có hình dạng (tính từ/danh từ, Hy Lạp)",4,"celluloid, discoid, planetoid, spheroid"
on,suffix,-on,"unit, particle, state (noun)","[BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)",6,"electron, electronic, electronics, electronically, microelectronics, surgeon"
opath,suffix,-opath,"one who treats/practices (noun, Greek)","người thực hành hệ thống điều trị (danh từ, Hy Lạp, VD naturopath)",1,naturopath
or,suffix,-or,person/thing that does (noun),người/vật thực hiện (danh từ),98,"accessors, actor, reactor, nonreactors, advisor, assessor"
ory,suffix,-ory,"relating to, place for (adjective/noun)","thuộc về, nơi chốn (tính từ/danh từ)",129,"actuary, actuarial, actuarially, reactionary, adversary, advisory"
ose,suffix,-ose,"full of, having qualities of (adjective); sugar (chemistry)","đầy, có tính chất (tính từ, VD grandiose); đường (hóa học, VD cellulose)",2,"cellulose, grandiose"
our,suffix,-our,"state, quality, action (British spelling variant)","[BIẾN THỂ CHÍNH TẢ] của ""-or"" (chính tả Anh-Anh, VD behaviour)",5,"behaviour, behaviourism, behaviourist, misbehaviour, saviour"
ous,suffix,-ous,"full of, having (adjective)",có tính chất (tính từ),2,"disastrous, disastrously"
ship,suffix,-ship,"state, condition, skill (noun)","trạng thái, điều kiện, kỹ năng (danh từ)",40,"authorship, championship, citizenship, councillorship, courtship, custodianship"
sis,suffix,-sis,"process, condition (noun, Greek)","quá trình, tình trạng (danh từ, Hy Lạp)",3,"elephantiasis, elevenses, genesis"
some,suffix,-some,"tending to, characterized by (adjective)","có xu hướng, đặc trưng bởi (tính từ)",21,"bothersome, burdensome, burdensomeness, eightsome, fearsome, foursome"
ster,suffix,-ster,"one who does, associated with (noun)",người làm việc gì (danh từ),12,"gangster, hipster, mobster, oldster, pollster, roadster"
t,suffix,-t,"[INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing","[NGỮ PHÁP] đuôi chia động từ bất quy tắc (VD burnt, dealt) — không mang nghĩa riêng",35,"burnt, dealt, misdealt, dreamt, undreamt, joint"
teen,suffix,-teen,plus ten (numbers 13-19),"mười cộng thêm (số, VD eighteen)",12,"fifteen, fifteenth, fourteen, fourteenth, nineteen, nineteenth"
th,suffix,-th,"ordinal number / state (noun, VD: eighth, warmth)","số thứ tự / trạng thái (danh từ, VD eighth, warmth)",42,"believeth, cometh, eighth, eightieth, eighteenth, eleventh"
tograph,suffix,-tograph,instrument that writes/records (variant of -graph),"dụng cụ ghi/viết (danh từ, Hy Lạp, VD cinematograph)",1,cinematograph
tography,suffix,-tography,process of writing/recording (variant of -graphy),"quá trình ghi lại (danh từ, Hy Lạp, VD cinematography)",1,cinematography
tude,suffix,-tude,"state, quality (noun)","trạng thái, tính chất (danh từ, VD solitude)",1,solitude
ule,suffix,-ule,small (diminutive noun),nhỏ (danh từ giảm nhẹ),10,"animalcule, cellular, celluloid, cellulose, hypocellularity, hypercellularity"
ulin,suffix,-ulin,protein or substance (biology/chemistry),"protein/chất (danh từ, hóa học, VD globulin)",1,globulin
ure,suffix,-ure,"action, result, process (noun)","hành động, kết quả, quá trình (danh từ)",35,"architecture, architectural, architecturally, closure, enclosure, disclosure"
us,suffix,-us,Latin masculine noun ending,"[BIẾN THỂ] đuôi danh từ Latin (VD radius, stylus)",2,"radius, stylus"
ward,suffix,-ward,in the direction of (adjective/adverb),theo hướng (tính từ/trạng từ),28,"afterward, backward, backwardly, backwardness, downward, eastward"
wise,suffix,-wise,in the manner of; direction,theo cách thức; hướng,15,"clockwise, anticlockwise, coastwise, crosswise, edgewise, leastwise"
y,suffix,-y,having quality of; noun/adjective,có tính chất; danh từ/tính từ,1016,"ably, acceptably, inaccessibly, accountably, accountancy, unaccountably"
