thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
cept,Mới - chưa có ảnh,6+,"to take, seize (Latin capere)","chiếm, lấy, nắm giữ (La Tinh)","deception, except, exception, exceptionally, receptor, susceptible",missing_words_analyzed
cerebr,Mới - chưa có ảnh,1,brain (Latin cerebrum),não (La Tinh),cerebral,missing_words_analyzed
cern,Mới - chưa có ảnh,1,"to distinguish, perceive (Latin cernere)","phân biệt, nhận thức (La Tinh)",discern,missing_words_analyzed
cert,Mới - chưa có ảnh,1,"sure, certain (Latin certus)",chắc chắn (La Tinh),certification,missing_words_analyzed
cess,Mới - chưa có ảnh,5,"to go, yield, cease (Latin cedere)","đi, nhường, ngừng (La Tinh)","accessibility, cessation, excessively, incessant, recession",missing_words_analyzed
chlor,Mới - chưa có ảnh,1,pale green (Greek khloros),xanh lục nhạt (Hy Lạp),chlorine,missing_words_analyzed
chol,Mới - chưa có ảnh,1,bile (Greek khole),mật (Hy Lạp),melancholic,missing_words_analyzed
chron,Mới - chưa có ảnh,3,time (Greek khronos),thời gian (Hy Lạp),"chronically, synchronization, synchronize",missing_words_analyzed
ciner,Mới - chưa có ảnh,1,ashes (Latin cinis),tro (La Tinh),incinerator,missing_words_analyzed
cip,Mới - chưa có ảnh,1,"to take, seize (Latin capere)","nhận, lấy (La Tinh)",recipient,missing_words_analyzed
circ,Mới - chưa có ảnh,1,"ring, circle (Latin circus)",vòng tròn (La Tinh),circular,missing_words_analyzed
circul,Mới - chưa có ảnh,1,"small ring, circle (Latin circulus)",vòng tròn nhỏ (La Tinh),circulate,missing_words_analyzed
civ,Mới - chưa có ảnh,1,citizen (Latin civis),công dân (La Tinh),civic,missing_words_analyzed
clar,Mới - chưa có ảnh,2,"clear, bright (Latin clarus)","rõ ràng, sáng (La Tinh)","clarify, clarity",missing_words_analyzed
clin,Mới - chưa có ảnh,1,"to lean, bend (Latin clinare)","nghiêng, uốn (La Tinh)",inclination,missing_words_analyzed
clude,Mới - chưa có ảnh,1,"to close, shut (Latin claudere)","đóng, khép (La Tinh)",exclude,missing_words_analyzed
clus,Mới - chưa có ảnh,3,"to close, shut (Latin claudere)","đóng, khép (La Tinh)","exclusion, exclusive, inconclusive",missing_words_analyzed
coca,Mới - chưa có ảnh,1,coca plant (Quechua kuka),cây coca (tiếng Quechua),cocaine,missing_words_analyzed
coerc,Mới - chưa có ảnh,1,"to restrain, force (Latin coercere)","kiềm chế, ép buộc (La Tinh)",coercion,missing_words_analyzed
cogni,Mới - chưa có ảnh,1,"to know, learn (Latin cognoscere)","biết, nhận thức (La Tinh)",cognition,missing_words_analyzed
communic,Mới - chưa có ảnh,1,"to share, make common (Latin communicare)","chia sẻ, truyền đạt (La Tinh)",telecommunication,missing_words_analyzed
compet,Mới - chưa có ảnh,1,"to strive together, be suitable (Latin competere)","cùng cố gắng, phù hợp (La Tinh)",competency,missing_words_analyzed
corpor,Mới - chưa có ảnh,1,body (Latin corpus),"cơ thể, thân thể (La Tinh)",incorporate,missing_words_analyzed
crat,Mới - chưa có ảnh,1,"power, rule (Greek kratos)","quyền lực, cai trị (Hy Lạp)",democratic,missing_words_analyzed
creat,Mới - chưa có ảnh,1,"to create, produce (Latin creare)","tạo ra, sáng tạo (La Tinh)",recreational,missing_words_analyzed
cred,Mới - chưa có ảnh,5,to believe (Latin credere),"tin, tin tưởng (La Tinh)","accredit, credential, credible, incredible, incredibly",missing_words_analyzed
cret,Mới - chưa có ảnh,1,"to separate, sift out (Latin cernere)","tách ra, bài tiết (La Tinh)",excretory,missing_words_analyzed
culc,Mới - chưa có ảnh,1,"to tread, press in (Latin calcare)","giẫm, ấn vào, nhồi nhét (La Tinh)",inculcate,missing_words_analyzed
cultur,Mới - chưa có ảnh,1,"to cultivate, till (Latin colere)","trồng trọt, canh tác (La Tinh)",agriculturalist,missing_words_analyzed
cumul,Mới - chưa có ảnh,2,"heap, pile (Latin cumulus)","đống, chồng chất (La Tinh)","accumulation, cumulatively",missing_words_analyzed
cumulate,Mới - chưa có ảnh,1,"to heap up, pile (Latin cumulare)","chồng chất, tích lũy (La Tinh)",cumulative,missing_words_analyzed
curricular,Mới - chưa có ảnh,1,"course, to run (Latin currere)","chương trình, chạy (La Tinh)",extracurricular,missing_words_analyzed
cutler,Mới - chưa có ảnh,1,knife (Latin culter),dao (La Tinh),cutlery,missing_words_analyzed
cyan,Mới - chưa có ảnh,1,dark blue (Greek kyanos),xanh lam đậm (Hy Lạp),cyanide,missing_words_analyzed
decim,Mới - chưa có ảnh,1,tenth (Latin decimus),thứ mười (La Tinh),decimate,missing_words_analyzed
dict,Mới - chưa có ảnh,6+,"to say, speak (Latin dicere)",nói (La Tinh),"addict, contradiction, contradictory, dictate, predict, verdict",missing_words_analyzed
dit,Mới - chưa có ảnh,1,to give (Latin dare),"cho, đưa (La Tinh)",additive,missing_words_analyzed
divid,Mới - chưa có ảnh,2,to divide (Latin dividere),chia (La Tinh),"individualist, individuality",missing_words_analyzed
divis,Mới - chưa có ảnh,1,to divide (Latin dividere),chia (La Tinh),indivisible,missing_words_analyzed
domin,Mới - chưa có ảnh,2,"lord, master (Latin dominus)","chúa tể, chủ nhân (La Tinh)","dominance, dominate",missing_words_analyzed
dox,Mới - chưa có ảnh,1,"opinion, belief (Greek doxa)","ý kiến, quan niệm (Hy Lạp)",paradox,missing_words_analyzed
duce,Mới - chưa có ảnh,3,to lead (Latin ducere),dẫn dắt (La Tinh),"deduce, induce, introduce",missing_words_analyzed
dulg,Mới - chưa có ảnh,1,"to be kind to, give free rein (Latin indulgere)","nuông chiều, buông thả (La Tinh)",indulgence,missing_words_analyzed
dund,Mới - chưa có ảnh,1,to overflow (Latin undare),"tràn ngập, dư thừa (La Tinh)",redundancy,missing_words_analyzed
dur,Mới - chưa có ảnh,1,"to last, harden (Latin durare)","kéo dài, bền (La Tinh)",durable,missing_words_analyzed
dynam,Mới - chưa có ảnh,2,power (Greek dynamis),"sức mạnh, năng lượng (Hy Lạp)","aerodynamic, dynamism",missing_words_analyzed
econom,Mới - chưa có ảnh,4,household management (Greek oikonomia),"quản lý gia đình, kinh tế (Hy Lạp)","economical, economically, economics, economist",missing_words_analyzed
empiric,Mới - chưa có ảnh,1,experience (Greek empeiria),kinh nghiệm (Hy Lạp),empirical,missing_words_analyzed
environ,Mới - chưa có ảnh,2,to surround (Old French environner),bao quanh (Pháp cổ),"environment, environmental",missing_words_analyzed
equ,Mới - chưa có ảnh,2,"equal, even (Latin aequus)","bằng nhau, ngang nhau (La Tinh)","adequate, equate",missing_words_analyzed
etc.,Mới - chưa có ảnh,1,and the rest (Latin et cetera),và những cái còn lại (La Tinh),etc,missing_words_analyzed
ethn,Mới - chưa có ảnh,1,"nation, people (Greek ethnos)","dân tộc, quốc gia (Hy Lạp)",ethnic,missing_words_analyzed
eval,Mới - chưa có ảnh,1,"age, era (Latin aevum)","thời đại, kỷ nguyên (La Tinh)",medieval,missing_words_analyzed
evangel,Mới - chưa có ảnh,1,good news (Greek euangelion),"tin lành, tin mừng (Hy Lạp)",evangelical,missing_words_analyzed
evit,Mới - chưa có ảnh,1,to avoid (Latin evitare),tránh né (La Tinh),inevitable,missing_words_analyzed
evitable,Mới - chưa có ảnh,1,able to be avoided (Latin evitare),có thể tránh được (La Tinh),inevitably,missing_words_analyzed
exempl,Mới - chưa có ảnh,1,"example, sample (Latin exemplum)","ví dụ, mẫu (La Tinh)",exemplify,missing_words_analyzed
fasc,Mới - chưa có ảnh,2,bundle of rods (Latin fascis),"bó que, biểu tượng quyền lực (La Tinh)","fascism, fascist",missing_words_analyzed
feas,Mới - chưa có ảnh,1,"to do, make (Latin facere)","làm, thực hiện (La Tinh)",feasible,missing_words_analyzed
fect,Mới - chưa có ảnh,6+,"to do, make (Latin facere)","làm, thực hiện (La Tinh)","affection, defect, ineffective, infect, infection, infectious",missing_words_analyzed
feder,Mới - chưa có ảnh,1,"treaty, covenant (Latin foedus)","hiệp ước, liên minh (La Tinh)",federal,missing_words_analyzed
feit,Mới - chưa có ảnh,1,"to make, do (Latin facere)","làm, chế tạo (La Tinh)",counterfeit,missing_words_analyzed
fere,Mới - chưa có ảnh,1,to strike (Latin ferire),"đánh, va chạm (La Tinh)",interfere,missing_words_analyzed
fic,Mới - chưa có ảnh,5,"to make, do (Latin facere)","làm, chế tạo (La Tinh)","beneficiary, magnification, sufficiency, superficial, unification",missing_words_analyzed
fici,Mới - chưa có ảnh,2,"to make, do (Latin facere)","làm, thực hiện (La Tinh)","deficiency, proficiency",missing_words_analyzed
fid,Mới - chưa có ảnh,1,"to trust, faith (Latin fides)","tin cậy, niềm tin (La Tinh)",confident,missing_words_analyzed
fif,Mới - chưa có ảnh,2,five (Old English fif),năm (số 5) (tiếng Anh cổ),"fifteen, fifty",missing_words_analyzed
filtr,Mới - chưa có ảnh,1,"to filter, felt (Medieval Latin filtrum)",lọc (La Tinh trung cổ),infiltration,missing_words_analyzed
flamm,Mới - chưa có ảnh,1,flame (Latin flamma),ngọn lửa (La Tinh),flammable,missing_words_analyzed
flect,Mới - chưa có ảnh,4,to bend (Latin flectere),uốn cong (La Tinh),"inflection, reflect, reflection, reflective",missing_words_analyzed
fledge,Mới - chưa có ảnh,1,ready to fly (Old English flycge),sẵn sàng bay (tiếng Anh cổ),fledgling,missing_words_analyzed
flict,Mới - chưa có ảnh,2,to strike (Latin fligere),"đánh, va vào (La Tinh)","inflict, infliction",missing_words_analyzed
fluctu,Mới - chưa có ảnh,2,"to wave, flow (Latin fluctuare)","dao động, trôi chảy (La Tinh)","fluctuate, fluctuation",missing_words_analyzed
foli,Mới - chưa có ảnh,1,leaf (Latin folium),lá cây (La Tinh),foliage,missing_words_analyzed
formid,Mới - chưa có ảnh,1,"to fear, dread (Latin formidare)","sợ hãi, e ngại (La Tinh)",formidable,missing_words_analyzed
fortun,Mới - chưa có ảnh,1,"chance, luck (Latin fortuna)","may mắn, vận mệnh (La Tinh)",unfortunately,missing_words_analyzed
fract,Mới - chưa có ảnh,3,to break (Latin frangere),bẻ gãy (La Tinh),"fraction, fracture, refract",missing_words_analyzed
fundament,Mới - chưa có ảnh,2,"foundation, base (Latin fundamentum)","nền tảng, cơ sở (La Tinh)","fundamental, fundamentally",missing_words_analyzed
funer,Mới - chưa có ảnh,1,funeral rite (Latin funus),tang lễ (La Tinh),funeral,missing_words_analyzed
fus,Mới - chưa có ảnh,1,to pour (Latin fundere),"đổ, rót, truyền (La Tinh)",transfusion,missing_words_analyzed
gener,Mới - chưa có ảnh,2,"to beget, produce; kind (Latin generare/genus)","sinh ra, sản sinh; loại (La Tinh)","generic, regenerate",missing_words_analyzed
germin,Mới - chưa có ảnh,2,"sprout, seed (Latin germen)","mầm, hạt giống (La Tinh)","germinate, germination",missing_words_analyzed
gest,Mới - chưa có ảnh,1,"to carry, bear (Latin gerere)","mang, chở (La Tinh)",congest,missing_words_analyzed
glomerate,Mới - chưa có ảnh,1,to gather into a ball (Latin glomerare),"vón cục, tụ lại (La Tinh)",conglomerate,missing_words_analyzed
gnos,Mới - chưa có ảnh,1,to know (Greek gignoskein),"biết, hiểu (Hy Lạp)",diagnostic,missing_words_analyzed
gnosis,Mới - chưa có ảnh,1,knowledge (Greek gnosis),"kiến thức, sự hiểu biết (Hy Lạp)",diagnosis,missing_words_analyzed
gon,Mới - chưa có ảnh,2,angle (Greek gonia),góc (Hy Lạp),"hexagonal, octagonal",missing_words_analyzed
grav,Mới - chưa có ảnh,1,"heavy, serious (Latin gravis)","nặng, nghiêm trọng (La Tinh)",aggravate,missing_words_analyzed
gravit,Mới - chưa có ảnh,2,"heaviness, weight (Latin gravitas)","trọng lượng, sức nặng (La Tinh)","gravitate, gravitational",missing_words_analyzed
gress,Mới - chưa có ảnh,6+,"to step, walk (Latin gradi)",bước đi (La Tinh),"aggression, digression, progression, progressive, progressively, regression",missing_words_analyzed
griev,Mới - chưa có ảnh,1,"to burden, weigh down (Latin gravare)",gây gánh nặng (La Tinh),grievance,missing_words_analyzed
groundbreak,Mới - chưa có ảnh,1,to break ground (English compound),"khai phá, mở đường (tiếng Anh)",groundbreaking,missing_words_analyzed
gymnas,Mới - chưa có ảnh,1,to exercise (Greek gymnazein),tập luyện (Hy Lạp),gymnasium,missing_words_analyzed
hap,Mới - chưa có ảnh,1,"chance, luck (Old Norse happ)","vận may, tình cờ (Bắc Âu cổ)",mishap,missing_words_analyzed
haust,Mới - chưa có ảnh,1,"to draw out, drain (Latin haurire)","rút cạn, hút ra (La Tinh)",exhaust,missing_words_analyzed
headwater,Mới - chưa có ảnh,1,the source or upper part of a river,thượng nguồn của một con sông,headwater,missing_words_analyzed
hered,Mới - chưa có ảnh,1,"heir, inheritance (Latin heres)","người thừa kế, di sản (La Tinh)",hereditary,missing_words_analyzed
herit,Mới - chưa có ảnh,1,"heir, to inherit (Latin heres)","người thừa kế, thừa hưởng (La Tinh)",inherit,missing_words_analyzed
hesit,Mới - chưa có ảnh,1,"to stick, be stuck (Latin haerere)","dính, do dự (La Tinh)",hesitate,missing_words_analyzed
hibern,Mới - chưa có ảnh,1,to spend the winter (Latin hibernare),"trú đông, ngủ đông (La Tinh)",hibernation,missing_words_analyzed
hibit,Mới - chưa có ảnh,4,"to hold, have (Latin habere)","giữ, có, nắm giữ (La Tinh)","exhibit, inhibit, prohibit, prohibition",missing_words_analyzed
hierarch,Mới - chưa có ảnh,1,"sacred rule, priestly rank (Greek hierarkhes)","trật tự thiêng liêng, cấp bậc (Hy Lạp)",hierarchical,missing_words_analyzed
histor,Mới - chưa có ảnh,2,"to know, learn by inquiry (Greek historia)","tìm hiểu, lịch sử (Hy Lạp)","historic, historically",missing_words_analyzed
hol,Mới - chưa có ảnh,1,whole (Greek holos),"toàn thể, trọn vẹn (Hy Lạp)",holistic,missing_words_analyzed
horr,Mới - chưa có ảnh,1,"to bristle, shudder, dread (Latin horrere)","rùng mình, khiếp sợ (La Tinh)",horrible,missing_words_analyzed
humil,Mới - chưa có ảnh,1,"low, humble (Latin humilis)","thấp, khiêm nhường (La Tinh)",humility,missing_words_analyzed
humili,Mới - chưa có ảnh,2,to humble (Latin humiliare),"làm nhục, hạ thấp (La Tinh)","humiliate, humiliation",missing_words_analyzed
hygien,Mới - chưa có ảnh,1,health (Greek hygieia),"sức khỏe, vệ sinh (Hy Lạp)",hygienic,missing_words_analyzed
iatr,Mới - chưa có ảnh,1,"healing, medical treatment (Greek iatros)","chữa bệnh, y học (Hy Lạp)",psychiatrist,missing_words_analyzed
ident,Mới - chưa có ảnh,1,same (Latin idem),"giống nhau, đồng nhất (La Tinh)",identically,missing_words_analyzed
identi,Mới - chưa có ảnh,1,same (Latin idem),"giống nhau, đồng nhất (La Tinh)",identification,missing_words_analyzed
ign,Mới - chưa có ảnh,1,fire (Latin ignis),lửa (La Tinh),ignition,missing_words_analyzed
imagin,Mới - chưa có ảnh,2,"to picture, imagine (Latin imaginari)","tưởng tượng, hình dung (La Tinh)","imaginary, imaginative",missing_words_analyzed
imperi,Mới - chưa có ảnh,1,"to command, rule (Latin imperare)","ra lệnh, cai trị, đế quốc (La Tinh)",imperial,missing_words_analyzed
incide,Mới - chưa có ảnh,1,to fall (Latin incidere),"rơi vào, xảy ra trùng (La Tinh)",coincide,missing_words_analyzed
integr,Mới - chưa có ảnh,3,"whole, untouched (Latin integer)","toàn vẹn, nguyên vẹn (La Tinh)","integral, integrate, integration",missing_words_analyzed
irid,Mới - chưa có ảnh,1,"rainbow (Latin/Greek iris, iridis)",cầu vồng (Hy Lạp),iridescent,missing_words_analyzed
ist,Mới - chưa có ảnh,1,"to stand, be (Latin sistere)","đứng, tồn tại (La Tinh)",existence,missing_words_analyzed
itiate,Mới - chưa có ảnh,1,"to begin, enter upon (Latin initiare)","bắt đầu, khởi đầu (La Tinh)",initiate,missing_words_analyzed
itiner,Mới - chưa có ảnh,1,"journey, road (Latin iter, itineris)","hành trình, lộ trình (La Tinh)",itinerary,missing_words_analyzed
jacent,Mới - chưa có ảnh,1,to lie (Latin jacere),"nằm, ở gần (La Tinh)",adjacent,missing_words_analyzed
ject,Mới - chưa có ảnh,6+,to throw (Latin jacere),"ném, quăng (La Tinh)","adjective, inject, injection, objection, reject, trajectory",missing_words_analyzed
judic,Mới - chưa có ảnh,4,to judge (Latin judicare),"phán xét, xét xử (La Tinh)","judicial, judicious, judiciously, prejudice",missing_words_analyzed
jugate,Mới - chưa có ảnh,1,"to yoke, join (Latin jugare)","nối, ghép đôi (La Tinh)",conjugate,missing_words_analyzed
junct,Mới - chưa có ảnh,2,to join (Latin jungere),"nối, kết hợp (La Tinh)","adjunct, junction",missing_words_analyzed
jur,Mới - chưa có ảnh,1,to swear (Latin jurare),"thề, tuyên thệ (La Tinh)",juror,missing_words_analyzed
laund,Mới - chưa có ảnh,1,to wash (Latin lavare),"giặt, rửa (La Tinh)",laundry,missing_words_analyzed
lect,Mới - chưa có ảnh,4,"to choose, gather, read (Latin legere)","chọn, đọc, thu thập (La Tinh)","dialect, elect, elective, intellectual",missing_words_analyzed
letharg,Mới - chưa có ảnh,1,"forgetfulness, drowsiness (Greek lethargos)","quên lãng, uể oải (Hy Lạp)",lethargic,missing_words_analyzed
lev,Mới - chưa có ảnh,2,"to raise, lift, lighten (Latin levare)","nâng lên, làm nhẹ (La Tinh)","alleviate, relevant",missing_words_analyzed
lex,Mới - chưa có ảnh,1,"word, speech (Greek lexis)","từ, lời nói (Hy Lạp)",dyslexia,missing_words_analyzed
lexic,Mới - chưa có ảnh,1,"word, vocabulary (Greek lexikon)",từ vựng (Hy Lạp),lexical,missing_words_analyzed
liber,Mới - chưa có ảnh,2,free (Latin liber),tự do (La Tinh),"liberate, liberty",missing_words_analyzed
limin,Mới - chưa có ảnh,1,"threshold (Latin limen, liminis)",ngưỡng cửa (La Tinh),eliminate,missing_words_analyzed
lingu,Mới - chưa có ảnh,3,"tongue, language (Latin lingua)","lưỡi, ngôn ngữ (La Tinh)","bilingual, monolingual, multilingual",missing_words_analyzed
liqu,Mới - chưa có ảnh,1,"liquid, fluid (Latin liquere)","lỏng, chảy (La Tinh)",liquefy,missing_words_analyzed
loc,Mới - chưa có ảnh,4,place (Latin locus),"nơi chốn, vị trí (La Tinh)","allocate, allocation, locate, relocation",missing_words_analyzed
longev,Mới - chưa có ảnh,1,long life (Latin longus + aevum),"sống lâu, trường thọ (La Tinh)",longevity,missing_words_analyzed
lubric,Mới - chưa có ảnh,1,slippery (Latin lubricus),"trơn trượt, bôi trơn (La Tinh)",lubricate,missing_words_analyzed
luct,Mới - chưa có ảnh,1,"to struggle, resist (Latin luctari)","vật lộn, chống cự (La Tinh)",reluctance,missing_words_analyzed
lude,Mới - chưa có ảnh,1,to play (Latin ludere),"chơi đùa, ám chỉ (La Tinh)",allude,missing_words_analyzed
lumin,Mới - chưa có ảnh,2,"light (Latin lumen, luminis)",ánh sáng (La Tinh),"illuminate, illumination",missing_words_analyzed
lyze,Mới - chưa có ảnh,1,"to loosen, disable (Greek lyein)","làm lỏng, làm tê liệt (Hy Lạp)",paralyze,missing_words_analyzed
macul,Mới - chưa có ảnh,1,"spot, stain (Latin macula)","vết bẩn, đốm (La Tinh)",immaculate,missing_words_analyzed
magni,Mới - chưa có ảnh,1,"great, large (Latin magnus)","to lớn, vĩ đại (La Tinh)",magnify,missing_words_analyzed
mand,Mới - chưa có ảnh,1,"to order, entrust (Latin mandare)","ra lệnh, ủy thác (La Tinh)",mandate,missing_words_analyzed
manu,Mới - chưa có ảnh,3,hand (Latin manus),bàn tay (La Tinh),"manual, manually, manuscript",missing_words_analyzed
matern,Mới - chưa có ảnh,1,mother (Latin mater),mẹ (La Tinh),maternal,missing_words_analyzed
mathemat,Mới - chưa có ảnh,1,"learning, science (Greek mathema)","sự học, khoa học (Hy Lạp)",mathematically,missing_words_analyzed
mathematic,Mới - chưa có ảnh,2,"learning, science (Greek mathema)","sự học, khoa học (Hy Lạp)","mathematical, mathematician",missing_words_analyzed
mechan,Mới - chưa có ảnh,1,"machine, contrivance (Greek mekhane)","máy móc, cơ khí (Hy Lạp)",mechanic,missing_words_analyzed
medi,Mới - chưa có ảnh,2,middle (Latin medius),"ở giữa, trung gian (La Tinh)","intermediary, mediate",missing_words_analyzed
melod,Mới - chưa có ảnh,1,"song, tune (Greek melos + oide)","giai điệu, bài hát (Hy Lạp)",melodic,missing_words_analyzed
memor,Mới - chưa có ảnh,2,"mindful, remembering (Latin memor)",ghi nhớ (La Tinh),"memorable, memorization",missing_words_analyzed
ment,Mới - chưa có ảnh,1,"mind (Latin mens, mentis)",tâm trí (La Tinh),dementia,missing_words_analyzed
merse,Mới - chưa có ảnh,2,"to dip, plunge (Latin mergere)","nhúng, dìm (La Tinh)","immerse, submersion",missing_words_analyzed
meteorolog,Mới - chưa có ảnh,1,study of things in the sky (Greek meteoros + logos),nghiên cứu khí tượng (Hy Lạp),meteorological,missing_words_analyzed
migr,Mới - chưa có ảnh,2,"to move, wander (Latin migrare)","di chuyển, di cư (La Tinh)","emigrant, immigrant",missing_words_analyzed
migrat,Mới - chưa có ảnh,1,"to move, wander (Latin migrare)","di chuyển, di cư (La Tinh)",migratory,missing_words_analyzed
miracul,Mới - chưa có ảnh,1,"wonder, marvel (Latin miraculum)","kỳ diệu, điều lạ (La Tinh)",miraculous,missing_words_analyzed
mise,Mới - chưa có ảnh,2,"to send, put (Latin mittere)","gửi, đặt (La Tinh)","demise, premise",missing_words_analyzed
mitig,Mới - chưa có ảnh,1,"to soften, make mild (Latin mitigare)","làm dịu, làm mềm (La Tinh)",mitigate,missing_words_analyzed
molish,Mới - chưa có ảnh,1,"to build, construct (Latin moliri)","xây dựng, kiến thiết (La Tinh)",demolish,missing_words_analyzed
monstr,Mới - chưa có ảnh,1,to show (Latin monstrare),"chỉ ra, trình bày (La Tinh)",demonstration,missing_words_analyzed
mot,Mới - chưa có ảnh,1,to move (Latin movere),di chuyển (La Tinh),locomotion,missing_words_analyzed
