thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
bio,Mới - chưa có ảnh,6+,life (Greek),sự sống (Hy Lạp),"biodegradable, biodiversity, biologically, biologist, biology, biosphere",missing_words_analyzed
broad,Mới - chưa có ảnh,1,"wide, broad","rộng, rộng lớn",broadcast,missing_words_analyzed
carbo,Mới - chưa có ảnh,1,carbon (Latin),carbon (La Tinh),carbohydrate,missing_words_analyzed
cardio,Mới - chưa có ảnh,1,heart (Greek),tim (Hy Lạp),cardiovascular,missing_words_analyzed
carto,Mới - chưa có ảnh,1,map (Greek),bản đồ (Hy Lạp),cartographer,missing_words_analyzed
cata,Mới - chưa có ảnh,1,"down, against, thoroughly (Greek)","xuống, chống lại, hoàn toàn (Hy Lạp)",catastrophic,missing_words_analyzed
cauli,Mới - chưa có ảnh,1,"stalk, stem (Latin)","thân cây, cuống (La Tinh)",cauliflower,missing_words_analyzed
check,Mới - chưa có ảnh,1,"check, verify","kiểm tra, xác nhận",checklist,missing_words_analyzed
chemo,Mới - chưa có ảnh,1,chemical (Greek),hóa chất (Hy Lạp),chemotherapy,missing_words_analyzed
class,Mới - chưa có ảnh,2,"class, group","lớp, nhóm","classmate, classroom",missing_words_analyzed
coast,Mới - chưa có ảnh,1,"coast, shore",bờ biển,coastline,missing_words_analyzed
col,Mới - chưa có ảnh,4,"together, with (assimilated form of con, Latin)","cùng nhau, với (biến thể đồng hóa của con, La Tinh)","collaborate, collaborative, collate, collocation",missing_words_analyzed
com,Mới - chưa có ảnh,6+,"together, with (Latin)","cùng nhau, với (La Tinh)","commute, component, compose, composition, comprehensive, compress",missing_words_analyzed
con,Mới - chưa có ảnh,6+,"together, with (Latin)","cùng nhau, với (La Tinh)","concentrate, concentration, confirm, context, contribute, convert",missing_words_analyzed
contra,Mới - chưa có ảnh,2,"against, opposite (Latin)","chống lại, đối lập (La Tinh)","contradiction, contradictory",missing_words_analyzed
contro,Mới - chưa có ảnh,1,"against, opposite (variant of contra, Latin)","chống lại, đối lập (biến thể của contra, La Tinh)",controversy,missing_words_analyzed
cor,Mới - chưa có ảnh,6+,"together, with (assimilated form of con, Latin)","cùng nhau, với (biến thể đồng hóa của con, La Tinh)","correlation, correspondingly, corrosive, corrupt, corruption, incorruptible",missing_words_analyzed
counter,Mới - chưa có ảnh,6+,"against, opposite","chống lại, đối lập","counteract, counterbalance, counterfeit, counterpart, counterproductive, counterweight",missing_words_analyzed
country,Mới - chưa có ảnh,1,"country, rural","đất nước, nông thôn",countryside,missing_words_analyzed
cred,Mới - chưa có ảnh,1,"believe, trust (Latin)","tin, tin tưởng (La Tinh)",credulous,missing_words_analyzed
cyber,Mới - chưa có ảnh,1,"computer, digital, virtual","máy tính, kỹ thuật số, ảo",cyberspace,missing_words_analyzed
dead,Mới - chưa có ảnh,1,"dead, completely","chết, hoàn toàn",deadline,missing_words_analyzed
demo,Mới - chưa có ảnh,2,people (Greek),"người dân, quần chúng (Hy Lạp)","democratic, demographic",missing_words_analyzed
du,Mới - chưa có ảnh,1,two (Latin),hai (La Tinh),duplicate,missing_words_analyzed
earth,Mới - chưa có ảnh,1,"earth, ground","đất, mặt đất",earthquake,missing_words_analyzed
eco,Mới - chưa có ảnh,4,"environment, habitat (Greek)","môi trường, sinh cảnh (Hy Lạp)","ecologist, ecology, ecosystem, ecotourism",missing_words_analyzed
ef,Mới - chưa có ảnh,2,"out, away, thoroughly (assimilated form of ex, Latin)","ra ngoài, hết (biến thể đồng hóa của ex, La Tinh)","effluent, ineffective",missing_words_analyzed
ego,Mới - chưa có ảnh,1,"self, I (Latin)","bản thân, cái tôi (La Tinh)",egocentric,missing_words_analyzed
electro,Mới - chưa có ảnh,2,electricity (Greek),điện (Hy Lạp),"electromagnetism, electrostatic",missing_words_analyzed
else,Mới - chưa có ảnh,1,"other, different",khác,elsewhere,missing_words_analyzed
em,Mới - chưa có ảnh,6+,"in, into, cause to be (variant of en)","vào trong, làm cho trở thành (biến thể của en)","embankment, embed, embody, embrace, empathy, empower",missing_words_analyzed
enter,Mới - chưa có ảnh,1,"between, among (variant of inter, Latin)","giữa, ở giữa (biến thể của inter, La Tinh)",entertain,missing_words_analyzed
equi,Mới - chưa có ảnh,3,equal (Latin),bằng nhau (La Tinh),"equilibrium, equivalence, equivalent",missing_words_analyzed
every,Mới - chưa có ảnh,1,"every, each","mọi, mỗi",everybody,missing_words_analyzed
extro,Mới - chưa có ảnh,2,outward (Latin),hướng ra ngoài (La Tinh),"extroversion, extroverted",missing_words_analyzed
eye,Mới - chưa có ảnh,1,eye,mắt,eyebrow,missing_words_analyzed
farm,Mới - chưa có ảnh,1,"farm, agriculture","nông trại, nông nghiệp",farmland,missing_words_analyzed
for,Mới - chưa có ảnh,3,"away, off, completely (Old English negative prefix)","đi khỏi, hoàn toàn (tiền tố phủ định tiếng Anh cổ)","forever, forgo, forsake",missing_words_analyzed
forth,Mới - chưa có ảnh,1,"forward, onward","về phía trước, tiếp tục",forthcoming,missing_words_analyzed
geo,Mới - chưa có ảnh,6+,earth (Greek),trái đất (Hy Lạp),"geographic, geographical, geographically, geography, geological, geology",missing_words_analyzed
grand,Mới - chưa có ảnh,2,"great, one generation removed (kinship)","lớn, cách một thế hệ (quan hệ họ hàng)","grandchild, grandparent",missing_words_analyzed
gymno,Mới - chưa có ảnh,1,"naked, bare (Greek)","trần, không được che (Hy Lạp)",gymnosperm,missing_words_analyzed
hard,Mới - chưa có ảnh,1,"hard, firm, difficult","cứng, chắc, khó",hardwired,missing_words_analyzed
hect,Mới - chưa có ảnh,1,hundred (Greek),trăm (Hy Lạp),hectare,missing_words_analyzed
helico,Mới - chưa có ảnh,1,spiral (Greek),xoắn ốc (Hy Lạp),helicopter,missing_words_analyzed
hexa,Mới - chưa có ảnh,1,six (Greek),sáu (Hy Lạp),hexagonal,missing_words_analyzed
homeo,Mới - chưa có ảnh,1,"similar, like (Greek)","tương tự, giống (Hy Lạp)",homeopathy,missing_words_analyzed
homo,Mới - chưa có ảnh,3,same (Greek),"giống nhau, đồng nhất (Hy Lạp)","homogeneous, homogenization, homogenize",missing_words_analyzed
hydro,Mới - chưa có ảnh,1,water (Greek),nước (Hy Lạp),hydrology,missing_words_analyzed
ideo,Mới - chưa có ảnh,2,idea (Greek),"ý tưởng, tư tưởng (Hy Lạp)","ideological, ideology",missing_words_analyzed
il,Mới - chưa có ảnh,6+,"not, without (assimilated form of in, Latin)","không, thiếu (biến thể đồng hóa của in, La Tinh)","illegal, illegally, illicit, illiterate, illuminate, illumination",missing_words_analyzed
intel,Mới - chưa có ảnh,1,"between, among (variant of inter, Latin)","giữa, ở giữa (biến thể của inter, La Tinh)",intellectual,missing_words_analyzed
intro,Mới - chưa có ảnh,3,"inward, within (Latin)","vào trong, bên trong (La Tinh)","introduce, introductory, introvert",missing_words_analyzed
ir,Mới - chưa có ảnh,6+,"not, without (assimilated form of in, Latin)","không, thiếu (biến thể đồng hóa của in, La Tinh)","irregular, irrelevant, irreplaceable, irresponsible, irreversible, irrigate",missing_words_analyzed
juris,Mới - chưa có ảnh,1,law (Latin),luật pháp (La Tinh),jurisdiction,missing_words_analyzed
lap,Mới - chưa có ảnh,1,"lap (of the body), little independent meaning","đùi (bộ phận cơ thể), ít mang nghĩa riêng",laptop,missing_words_analyzed
legis,Mới - chưa có ảnh,2,law (Latin),luật pháp (La Tinh),"legislate, legislative",missing_words_analyzed
loco,Mới - chưa có ảnh,1,"place, location (Latin)","nơi chốn, vị trí (La Tinh)",locomotion,missing_words_analyzed
magni,Mới - chưa có ảnh,1,"great, large (Latin)","lớn, to (La Tinh)",magnification,missing_words_analyzed
matri,Mới - chưa có ảnh,1,mother (Latin),mẹ (La Tinh),matriarchal,missing_words_analyzed
medi,Mới - chưa có ảnh,1,middle (Latin),ở giữa (La Tinh),medieval,missing_words_analyzed
melan,Mới - chưa có ảnh,1,"black, dark (Greek)","đen, tối (Hy Lạp)",melancholic,missing_words_analyzed
meta,Mới - chưa có ảnh,1,"beyond, change, after (Greek)","vượt ra ngoài, thay đổi, sau (Hy Lạp)",metabolic,missing_words_analyzed
metro,Mới - chưa có ảnh,1,"mother city, capital (Greek)","thành phố mẹ, đô thị lớn (Hy Lạp)",metropolis,missing_words_analyzed
nano,Mới - chưa có ảnh,1,"dwarf, extremely small (Greek)","tí hon, cực nhỏ (Hy Lạp)",nanotechnology,missing_words_analyzed
neuro,Mới - chưa có ảnh,2,nerve (Greek),dây thần kinh (Hy Lạp),"neurological, neurologist",missing_words_analyzed
nost,Mới - chưa có ảnh,1,"return, home (Greek)","trở về, quê nhà (Hy Lạp)",nostalgia,missing_words_analyzed
oc,Mới - chưa có ảnh,1,"toward, against (assimilated form of ob, Latin)","hướng về, chống lại (biến thể đồng hóa của ob, La Tinh)",occurrence,missing_words_analyzed
octa,Mới - chưa có ảnh,1,eight (Greek),tám (Hy Lạp),octagonal,missing_words_analyzed
one,Mới - chưa có ảnh,1,"one, single","một, đơn lẻ",oneself,missing_words_analyzed
op,Mới - chưa có ảnh,3,"toward, against (assimilated form of ob, Latin)","hướng về, chống lại (biến thể đồng hóa của ob, La Tinh)","opponent, oppose, opposition",missing_words_analyzed
pan,Mới - chưa có ảnh,1,"all, every (Greek)","tất cả, toàn bộ (Hy Lạp)",pandemic,missing_words_analyzed
para,Mới - chưa có ảnh,6+,"beside, beyond, protection against (Greek)","bên cạnh, vượt ra ngoài, chống lại (Hy Lạp)","parachute, paradox, paragraph, paralyze, paramedic, paraphrase",missing_words_analyzed
per,Mới - chưa có ảnh,6+,"through, thoroughly (Latin)","xuyên qua, hoàn toàn (La Tinh)","perceive, percent, permission, persist, persistent, perspective",missing_words_analyzed
philo,Mới - chưa có ảnh,1,"love, fondness (Greek)","yêu thích, ưa chuộng (Hy Lạp)",philosopher,missing_words_analyzed
photo,Mới - chưa có ảnh,3,light (Greek),ánh sáng (Hy Lạp),"photograph, photographer, photographic",missing_words_analyzed
physio,Mới - chưa có ảnh,1,"nature, physical, body (Greek)","tự nhiên, thể chất, cơ thể (Hy Lạp)",physiotherapy,missing_words_analyzed
plat,Mới - chưa có ảnh,1,flat (Latin/French),phẳng (La Tinh/Pháp),platform,missing_words_analyzed
proto,Mới - chưa có ảnh,1,"first, original (Greek)","đầu tiên, nguyên bản (Hy Lạp)",prototype,missing_words_analyzed
psych,Mới - chưa có ảnh,1,"mind, soul (Greek)","tâm trí, tâm hồn (Hy Lạp)",psychiatrist,missing_words_analyzed
psycho,Mới - chưa có ảnh,3,"mind, soul (Greek)","tâm trí, tâm hồn (Hy Lạp)","psychologically, psychologist, psychology",missing_words_analyzed
rect,Mới - chưa có ảnh,1,"straight, right (Latin)","thẳng, đúng (La Tinh)",rectangle,missing_words_analyzed
satis,Mới - chưa có ảnh,1,enough (Latin),đủ (La Tinh),satisfactory,missing_words_analyzed
se,Mới - chưa có ảnh,1,"apart, away (Latin)","tách ra, rời khỏi (La Tinh)",segregation,missing_words_analyzed
smart,Mới - chưa có ảnh,1,"smart, intelligent",thông minh,smartphones,missing_words_analyzed
socio,Mới - chưa có ảnh,2,"society, social (Latin)",xã hội (La Tinh),"socioeconomic, sociology",missing_words_analyzed
stereo,Mới - chưa có ảnh,1,"solid, three-dimensional (Greek)","đặc, ba chiều (Hy Lạp)",stereotype,missing_words_analyzed
suc,Mới - chưa có ảnh,1,"under, up from below (assimilated form of sub, Latin)","dưới, từ dưới lên (biến thể đồng hóa của sub, La Tinh)",succeed,missing_words_analyzed
suf,Mới - chưa có ảnh,2,"under (assimilated form of sub, Latin)","dưới (biến thể đồng hóa của sub, La Tinh)","sufficiency, suffix",missing_words_analyzed
sun,Mới - chưa có ảnh,1,sun,mặt trời,sunlight,missing_words_analyzed
sup,Mới - chưa có ảnh,3,"under (assimilated form of sub, Latin)","dưới (biến thể đồng hóa của sub, La Tinh)","suppose, suppress, suppression",missing_words_analyzed
supra,Mới - chưa có ảnh,1,"above, beyond (Latin)","trên, vượt trên (La Tinh)",supranational,missing_words_analyzed
tele,Mới - chưa có ảnh,6+,"far, distant (Greek)","xa, ở xa (Hy Lạp)","telecommunication, telegram, telegraph, telephone, telescope, television",missing_words_analyzed
thermo,Mới - chưa có ảnh,1,heat (Greek),nhiệt (Hy Lạp),thermostat,missing_words_analyzed
to,Mới - chưa có ảnh,2,"toward, to (direction)","hướng về, đến (chỉ hướng)","today, tomorrow",missing_words_analyzed
tra,Mới - chưa có ảnh,1,"across, through (variant of trans, Latin)","xuyên qua, ngang qua (biến thể của trans, La Tinh)",trajectory,missing_words_analyzed
typo,Mới - chưa có ảnh,1,"type, print, writing (Greek)","chữ in, chữ viết (Hy Lạp)",typography,missing_words_analyzed
ver,Mới - chưa có ảnh,1,truth (Latin),sự thật (La Tinh),verdict,missing_words_analyzed
ware,Mới - chưa có ảnh,1,"goods, merchandise (Old English)",hàng hóa (tiếng Anh cổ),warehouse,missing_words_analyzed
wide,Mới - chưa có ảnh,1,"wide, broad",rộng,widespread,missing_words_analyzed
wild,Mới - chưa có ảnh,1,"wild, uncultivated, natural","hoang dã, tự nhiên",wildlife,missing_words_analyzed
with,Mới - chưa có ảnh,4,"against, back, away (Old English)","chống lại, ngược lại, rời khỏi (tiếng Anh cổ)","withdraw, withdrawal, withhold, withstand",missing_words_analyzed
work,Mới - chưa có ảnh,1,"work, labor","công việc, lao động",workplace,missing_words_analyzed
zoo,Mới - chưa có ảnh,1,animal (Greek),động vật (Hy Lạp),zoologist,missing_words_analyzed
a,Đã có trong MorphLink,6+,not/without (Greek); on/in (VD: aboard); or intensifier,không/vô (Hy Lạp); trên/vào (VD aboard),"ahead, alike, alive, amount, aside, aspect",missing_words_analyzed
ab,Đã có trong MorphLink,6+,"away from, off","rời xa, khỏi","abalone, abbreviation, abnormally, aborigine, abroad, abundance",missing_words_analyzed+new_combinations
after,Đã có trong MorphLink,3,"after, following","sau đó, theo sau","aftershock, afterward, afterword",new_combinations
al,Đã có trong MorphLink,6+,"to, toward (assimilated form of ad-)","tất cả (biến thể, VD almighty)","alleviate, allocate, almost, already, although, always",missing_words_analyzed+new_combinations
ante,Đã có trong MorphLink,1,before,trước,antecedent,missing_words_analyzed
anti,Đã có trong MorphLink,3,against,chống lại,"antibiotic, anticlockwise, antisocial",missing_words_analyzed+new_combinations
auto,Đã có trong MorphLink,6+,self (Greek),tự thân,"autobiographical, autobiography, autoimmune, automaton, autonomous, autonomy",missing_words_analyzed+new_combinations
back,Đã có trong MorphLink,6+,"backward, behind","ngược lại, phía sau","backboard, backbone, backdrop, backfield, background, backhand",new_combinations
be,Đã có trong MorphLink,6+,"thoroughly, to make, about","hoàn toàn, làm cho, về","because, become, behalf, belong, beloved, besides",missing_words_analyzed+new_combinations
bi,Đã có trong MorphLink,4,two,"hai, đôi","bidirectional, biking, bilingual, bishop",missing_words_analyzed+new_combinations
by,Đã có trong MorphLink,3,"near, secondary, side","gần, phụ, bên cạnh","bypast, byplay, byproduct",missing_words_analyzed+new_combinations
circum,Đã có trong MorphLink,3,around (Latin),xung quanh,"circumference, circumstantial, circumvent",missing_words_analyzed
co,Đã có trong MorphLink,6+,"together, jointly","cùng nhau, chung","coherence, cohesive, cooperate, cooperation, cooperative, coordinate",missing_words_analyzed+new_combinations
cross,Đã có trong MorphLink,2,"across, crosswise","chéo, băng qua","crosstown, crosswise",new_combinations
de,Đã có trong MorphLink,6+,"down, away, reverse, remove","xuống, loại bỏ, đảo ngược","deceive, deception, demolish, dependence, deplete, describe",missing_words_analyzed+new_combinations
demi,Đã có trong MorphLink,1,half,nửa,demising,new_combinations
di,Đã có trong MorphLink,6+,"two, twice (Greek)",hai (Hy Lạp),"digression, diking, dioxide, diverge, diversification, divert",missing_words_analyzed+new_combinations
dia,Đã có trong MorphLink,6+,"through, across (Greek)",xuyên qua (Hy Lạp),"diacritic, diagnosis, diagnostic, dialect, diameter, diatribe",missing_words_analyzed+new_combinations
dis,Đã có trong MorphLink,6+,"not, opposite of, apart","không, ngược lại, tách rời","discovery, discuss, dismantle, disrupt, disruptive, distract",missing_words_analyzed+new_combinations
down,Đã có trong MorphLink,6+,downward,xuống,"download, downplay, downscale, downsize, downstage, downstate",new_combinations
dys,Đã có trong MorphLink,2,"bad, difficult, abnormal (Greek)","xấu, khó khăn (Hy Lạp)","dysfunction, dyslexia",missing_words_analyzed+new_combinations
e,Đã có trong MorphLink,6+,"out of, from (variant of ex-)",ra khỏi (biến thể của ex-),"emerge, emission, erode, eruption, evaluate, evolve",missing_words_analyzed
en,Đã có trong MorphLink,6+,"to make, put into","làm cho, đưa vào","enchant, endowment, enrol, enthusiastic, entrance, entrench",missing_words_analyzed+new_combinations
epi,Đã có trong MorphLink,2,"upon, above (Greek)","trên, phía trên (Hy Lạp)","epicure, epidemic",missing_words_analyzed+new_combinations
ex,Đã có trong MorphLink,6+,"out of, former","ra khỏi, cựu, nguyên","except, exception, exclude, exhaust, explanation, extract",missing_words_analyzed+new_combinations
extra,Đã có trong MorphLink,4,"outside, beyond","ngoài mức bình thường, thêm","extracurricular, extraordinary, extravagance, extravagant",missing_words_analyzed
fore,Đã có trong MorphLink,4,"before, in front","trước, phía trước","foremost, foresail, forewoman, unforeseen",missing_words_analyzed+new_combinations
god,Đã có trong MorphLink,6+,"god (VD: Godwin, but likely name fragment here)","thần, chúa (thường là mảnh tên riêng Godwin)","godchild, goddaughter, godfather, godless, godlike, godmother",new_combinations
hyper,Đã có trong MorphLink,4,"over, excessive (Greek)","quá mức, cực độ (Hy Lạp)","hypercritically, hyperlink, hyperspace, hypertext",new_combinations
hypo,Đã có trong MorphLink,4,"under, below normal (Greek)","dưới, dưới mức bình thường (Hy Lạp)","hypocritically, hypothesis, hypothesize, hypothetical",missing_words_analyzed+new_combinations
im,Đã có trong MorphLink,6+,not (before b/m/p) — variant of in-,không (biến thể của in- trước b/m/p),"immigrant, impartial, imply, importantly, impressionable, unimportant",missing_words_analyzed+new_combinations
in,Đã có trong MorphLink,6+,"not; into, inward",không; vào trong,"independence, independent, information, inherit, insist, instead",missing_words_analyzed+new_combinations
infra,Đã có trong MorphLink,1,"below, beneath (Latin)","dưới, bên dưới",infrastructure,missing_words_analyzed
inter,Đã có trong MorphLink,6+,"between, among","giữa, liên","interdependent, interpretation, interrupt, interruption, intervene, intervention",missing_words_analyzed+new_combinations
kilo,Đã có trong MorphLink,2,thousand (Greek),nghìn,"kilogram, kilometer",missing_words_analyzed
mal,Đã có trong MorphLink,3,"bad, badly","xấu, tệ","malnourish, malnutrition, malpractice",missing_words_analyzed
mega,Đã có trong MorphLink,2,"large, one million","lớn, một triệu","megacycle, megaphone",missing_words_analyzed+new_combinations
micro,Đã có trong MorphLink,5,small,"nhỏ, vi mô","microbe, microchip, microcode, microphone, microplastics",missing_words_analyzed+new_combinations
mid,Đã có trong MorphLink,4,middle,giữa,"midland, midtown, midwinter, midyear",new_combinations
milli,Đã có trong MorphLink,1,"thousand, one thousandth",một phần nghìn,millisecond,new_combinations
mis,Đã có trong MorphLink,6+,"wrongly, badly","sai, xấu","misconception, misconduct, misdiagnose, misinformation, mistakenly, misunderstanding",missing_words_analyzed+new_combinations
mono,Đã có trong MorphLink,2,"one, single","một, đơn","monolingual, monotony",missing_words_analyzed
multi,Đã có trong MorphLink,5,many,nhiều,"multilingual, multimedia, multiplier, multiply, multiverse",missing_words_analyzed+new_combinations
non,Đã có trong MorphLink,6+,not,không,"nonempty, nonevent, nonhuman, nonmember, nonplus, nonverbal",missing_words_analyzed+new_combinations
ob,Đã có trong MorphLink,6+,"against, toward, in the way of (Latin)","chống lại, hướng về","objection, objectivity, oblate, oblong, obstruct, obtain",missing_words_analyzed+new_combinations
off,Đã có trong MorphLink,2,"away, off","tắt, xa khỏi","offline, offload",new_combinations
omni,Đã có trong MorphLink,1,all (Latin),tất cả,omnipotent,missing_words_analyzed
on,Đã có trong MorphLink,3,"on, onto","vào, tiếp diễn","ongoing, online, onward",missing_words_analyzed+new_combinations
out,Đã có trong MorphLink,6+,"beyond, exceeding, external","ra ngoài, vượt trội","outdated, outgo, outperform, outsized, outsource, outstanding",missing_words_analyzed+new_combinations
over,Đã có trong MorphLink,6+,"above, excess, too much","trên, quá mức","overexposure, overhaul, overpopulation, overseas, overweight, overwhelm",missing_words_analyzed+new_combinations
peri,Đã có trong MorphLink,2,around (Greek),xung quanh (Hy Lạp),"perimeter, perished",missing_words_analyzed+new_combinations
poly,Đã có trong MorphLink,1,many (Greek),nhiều (Hy Lạp),polygraph,missing_words_analyzed
post,Đã có trong MorphLink,6+,after,sau,"postcard, postcode, postmark, postmaster, postmodern, postpone",missing_words_analyzed+new_combinations
pre,Đã có trong MorphLink,6+,before,trước,"predict, prehistoric, premise, prescribe, preservative, president",missing_words_analyzed+new_combinations
pro,Đã có trong MorphLink,6+,"forward, in favor of","về phía trước, ủng hộ","counterproductive, procedure, product, prohibition, pronunciation, provision",missing_words_analyzed+new_combinations
re,Đã có trong MorphLink,6+,"again, back","lại, làm lại","refuse, reinforce, relevant, relocate, reproduce, resist",missing_words_analyzed+new_combinations
semi,Đã có trong MorphLink,3,"half, partly","nửa, một phần","semicircular, semiconscious, semiprivate",missing_words_analyzed+new_combinations
su,Đã có trong MorphLink,4,"under, below (variant of sub-, before p)",dưới (biến thể sub- trước p),"suborn, surely, surest, suspend",new_combinations
sub,Đã có trong MorphLink,6+,"under, below",dưới,"subcontinent, subsidy, substantial, substantive, substitute, substitution",missing_words_analyzed+new_combinations
super,Đã có trong MorphLink,6+,"above, beyond, extremely","trên, vượt trội, cực kỳ","superficial, supermodel, superstition, supervise, supervisor, supervisory",missing_words_analyzed+new_combinations
sur,Đã có trong MorphLink,6+,"over, above (variant of super-)","trên, vượt quá (biến thể của super-)","insurmountable, surcease, surface, surprisingly, surrender, survey",missing_words_analyzed+new_combinations
sus,Đã có trong MorphLink,2,"under, from below (variant of sub-)","dưới (biến thể sub-, VD sustenance)","susceptible, suspension",missing_words_analyzed+new_combinations
sym,Đã có trong MorphLink,5,"together, with (variant of syn- before b/m/p)",cùng nhau (biến thể của syn- trước b/m/p),"symbiotic, sympathetic, sympathy, symphony, unsympathetic",missing_words_analyzed
syn,Đã có trong MorphLink,6+,"together, with (Greek)",cùng nhau (Hy Lạp),"synchronization, synchronize, syntactically, synthesis, synthesize, synthetic",missing_words_analyzed+new_combinations
trans,Đã có trong MorphLink,6+,"across, beyond, change","xuyên qua, chuyển đổi","transcend, transcript, transformation, transfusion, transportation, traverse",missing_words_analyzed+new_combinations
tri,Đã có trong MorphLink,4,three,ba,"tricolor, trilogy, tripod, tritest",missing_words_analyzed+new_combinations
ultra,Đã có trong MorphLink,1,"beyond, extremely","vượt quá, cực đoan",ultrasound,new_combinations
un,Đã có trong MorphLink,6+,"not, opposite of; reverse an action","không, ngược lại (phủ định/đảo nghĩa)","undeniably, undoubtedly, unexpected, unnecessary, unpredictable, untouched",missing_words_analyzed+new_combinations
under,Đã có trong MorphLink,6+,"below, insufficient","dưới, không đủ","underestimate, underfed, undergo, underneath, understaffed, undertow",missing_words_analyzed+new_combinations
uni,Đã có trong MorphLink,4,one,"một, đơn","unicycle, unification, unilateral, uniquest",missing_words_analyzed+new_combinations
up,Đã có trong MorphLink,6+,"upward, higher",lên trên,"upcoming, updraft, upfront, upheaval, upstairs, upwards",missing_words_analyzed+new_combinations
