root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
adverse,Root + Suffix,adverse + suffix,"adversary, adversely, adversity",3
advise,Prefix + Root,prefix + advise,"misadvise, unadvised",2
advise,Root + Suffix,advise + suffix,"advisability, advisable, advisedly, advisement, adviser, advisor, advisory",7
advise,Prefix + Root + Suffix,prefix + advise + suffix,"inadvisable, unadvisedly",2
afraid,Prefix + Root,prefix + afraid,unafraid,1
after,Root + Suffix,after + suffix,afterward,1
age,Prefix + Root,prefix + age,"overage, underage",2
age,Root + Suffix,age + suffix,"ageless, agelessness",2
agent,Prefix + Root,prefix + agent,reagent,1
agree,Prefix + Root,prefix + agree,disagree,1
agree,Root + Suffix,agree + suffix,"agreeable, agreeableness, agreeably, agreement",4
agree,Prefix + Root + Suffix,prefix + agree + suffix,"disagreeable, disagreeableness, disagreeably, disagreement",4
aid,Prefix + Root,prefix + aid,unaided,1
aim,Root + Suffix,aim + suffix,"aimless, aimlessly, aimlessness",3
air,Word + Word,air + base,"airbase, airbed, airbus, aircraft, aircraftman, aircrew, airdrop, airfield (+26 từ khác)",34
air,Prefix + Root,prefix + air,midair,1
air,Root + Suffix,air + suffix,"airier, airiest, airily, airless, airy",5
alarm,Root + Suffix,alarm + suffix,"alarmingly, alarmist",2
alcohol,Root + Suffix,alcohol + suffix,"alcoholic, alcoholically, alcoholism",3
alert,Root + Suffix,alert + suffix,"alertly, alertness",2
alien,Root + Suffix,alien + suffix,"alienable, alienate, alienation, alienist",4
alien,Prefix + Root + Suffix,prefix + alien + suffix,"inalienable, unalienable",2
all,Word + Word,all + spice,allspice,1
all,Prefix + Root,prefix + all,overall,1
allege,Root + Suffix,allege + suffix,"allegation, allegedly, allegiance",3
allow,Prefix + Root,prefix + allow,disallow,1
allow,Root + Suffix,allow + suffix,"allowable, allowably, allowance",3
ally,Root + Suffix,ally + suffix,alliance,1
ally,Prefix + Root + Suffix,prefix + ally + suffix,misalliance,1
alone,Root + Suffix,alone + suffix,aloneness,1
along,Word + Word,along + side,alongside,1
alter,Root + Suffix,alter + suffix,"alterable, alteration",2
alter,Prefix + Root + Suffix,prefix + alter + suffix,"unalterable, unalterably",2
amateur,Root + Suffix,amateur + suffix,"amateurish, amateurishly, amateurishness, amateurism",4
amaze,Root + Suffix,amaze + suffix,"amazement, amazingly",2
amend,Root + Suffix,amend + suffix,"amendable, amendment",2
amid,Word + Word,amid + ship,amidships,1
among,Root + Suffix,among + suffix,amongst,1
amuse,Prefix + Root,prefix + amuse,unamused,1
amuse,Root + Suffix,amuse + suffix,"amusedly, amusement",2
analysis,Prefix + Root,prefix + analysis,microanalysis,1
ancestor,Root + Suffix,ancestor + suffix,"ancestral, ancestry",2
anchor,Word + Word,anchor + man,anchorman,1
anchor,Root + Suffix,anchor + suffix,anchorage,1
ancient,Root + Suffix,ancient + suffix,anciently,1
angel,Root + Suffix,angel + suffix,"angelic, angelical, angelically",3
angle,Prefix + Root,prefix + angle,"quadrangle, triangle",2
angle,Root + Suffix,angle + suffix,"angler, angular, angularity",3
angle,Prefix + Root + Suffix,prefix + angle + suffix,"quadrangular, triangular",2
angry,Root + Suffix,angry + suffix,"angrier, angriest, angrily",3
animal,Root + Suffix,animal + suffix,"animalcule, animalism",2
ankle,Root + Suffix,ankle + suffix,anklet,1
announce,Prefix + Root,prefix + announce,unannounced,1
announce,Root + Suffix,announce + suffix,"announcement, announcer",2
annoy,Root + Suffix,annoy + suffix,annoyance,1
answer,Prefix + Root,prefix + answer,unanswered,1
answer,Root + Suffix,answer + suffix,"answerable, answerably",2
answer,Prefix + Root + Suffix,prefix + answer + suffix,unanswerable,1
anticipate,Root + Suffix,anticipate + suffix,"anticipation, anticipatory",2
any,Word + Word,any + body,"anybody, anyhow, anymore, anyone, anyplace, anything, anyway, anywhere",8
apart,Root + Suffix,apart + suffix,apartment,1
appeal,Root + Suffix,appeal + suffix,appealingly,1
appear,Prefix + Root,prefix + appear,"disappear, reappear",2
appear,Root + Suffix,appear + suffix,appearance,1
appear,Prefix + Root + Suffix,prefix + appear + suffix,"disappearance, reappearance",2
apple,Root + Suffix,apple + suffix,appleby,1
applicable,Prefix + Root,prefix + applicable,inapplicable,1
applicable,Prefix + Root + Suffix,prefix + applicable + suffix,inapplicability,1
apply,Prefix + Root,prefix + apply,misapply,1
apply,Root + Suffix,apply + suffix,appliance,1
appoint,Prefix + Root,prefix + appoint,disappoint,1
appoint,Root + Suffix,appoint + suffix,"appointee, appointment",2
appoint,Prefix + Root + Suffix,prefix + appoint + suffix,"disappointingly, disappointment",2
approach,Root + Suffix,approach + suffix,approachable,1
approach,Prefix + Root + Suffix,prefix + approach + suffix,unapproachable,1
approve,Prefix + Root,prefix + approve,disapprove,1
approve,Root + Suffix,approve + suffix,"approval, approvingly",2
approve,Prefix + Root + Suffix,prefix + approve + suffix,"disapproval, disapprovingly",2
architect,Root + Suffix,architect + suffix,"architectonic, architectural, architecturally, architecture",4
area,Word + Word,area + way,areaways,1
argue,Root + Suffix,argue + suffix,"arguable, arguably, argument, argumentation, argumentative, argumentatively",6
arm,Word + Word,arm + band,"armband, armchair, armhole, armload, armpit, armstrong",6
arm,Prefix + Root,prefix + arm,"disarm, forearm, rearm, unarm, underarm",5
arm,Root + Suffix,arm + suffix,"armament, armful, armless, armlet",4
arm,Prefix + Root + Suffix,prefix + arm + suffix,"disarmament, rearmament",2
arrange,Prefix + Root,prefix + arrange,"disarrange, prearrange, rearrange",3
arrange,Root + Suffix,arrange + suffix,"arrangement, arrangers",2
arrange,Prefix + Root + Suffix,prefix + arrange + suffix,"disarrangement, prearrangement, rearrangement",3
array,Prefix + Root,prefix + array,disarray,1
arrest,Root + Suffix,arrest + suffix,arrester,1
arrive,Root + Suffix,arrive + suffix,arrival,1
arrow,Word + Word,arrow + head,"arrowhead, arrowroot",2
art,Root + Suffix,art + suffix,"artful, artfully, artfulness, artier, artiest, artiness, artist, artiste (+7 từ khác)",15
art,Prefix + Root + Suffix,prefix + art + suffix,"inartistic, inartistically",2
as,Word + Word,as + much,inasmuch,1
ash,Word + Word,ash + man,ashman,1
ash,Root + Suffix,ash + suffix,"ashen, ashier, ashy",3
ask,Prefix + Root,prefix + ask,unasked,1
assert,Prefix + Root,prefix + assert,reassert,1
assert,Root + Suffix,assert + suffix,"assertion, assertive, assertively, assertiveness",4
assert,Prefix + Root + Suffix,prefix + assert + suffix,"nonassertive, nonassertively",2
assess,Root + Suffix,assess + suffix,"assessment, assessor",2
assign,Prefix + Root,prefix + assign,reassign,1
assign,Root + Suffix,assign + suffix,"assignable, assignation, assignee, assignment",4
assist,Prefix + Root,prefix + assist,unassisted,1
assist,Root + Suffix,assist + suffix,"assistance, assistant",2
assume,Prefix + Root,prefix + assume,unassuming,1
assume,Prefix + Root + Suffix,prefix + assume + suffix,unassumingly,1
astonish,Root + Suffix,astonish + suffix,"astonishingly, astonishment",2
athlete,Root + Suffix,athlete + suffix,"athletic, athleticism, athletics",3
attach,Prefix + Root,prefix + attach,unattached,1
attach,Root + Suffix,attach + suffix,attachment,1
attack,Root + Suffix,attack + suffix,attacker,1
attain,Root + Suffix,attain + suffix,"attainable, attainment",2
attend,Prefix + Root,prefix + attend,unattended,1
attend,Root + Suffix,attend + suffix,"attendance, attendant, attention, attentive, attentively, attentiveness",6
attend,Prefix + Root + Suffix,prefix + attend + suffix,"inattention, inattentive, inattentively, inattentiveness",4
attitude,Root + Suffix,attitude + suffix,attitudinize,1
attract,Root + Suffix,attract + suffix,"attraction, attractive, attractively, attractiveness",4
attract,Prefix + Root + Suffix,prefix + attract + suffix,unattractive,1
auction,Root + Suffix,auction + suffix,auctioneer,1
audio,Root + Suffix,audio + suffix,"audibility, audible, audibly, audience, audit, audition, auditor, auditorium (+1 từ khác)",9
audio,Prefix + Root + Suffix,prefix + audio + suffix,"inaudible, inaudibly",2
august,Root + Suffix,august + suffix,augustly,1
aunt,Root + Suffix,aunt + suffix,auntie,1
author,Prefix + Root,prefix + author,coauthor,1
author,Root + Suffix,author + suffix,"authoritarian, authoritarianism, authoritative, authoritatively, authority, authorization, authorize, authorship",8
author,Prefix + Root + Suffix,prefix + author + suffix,unauthorized,1
auto,Word + Word,auto + code,autocoder,1
auto,Root + Suffix,auto + suffix,"autism, autistic, autistically",3
automatic,Prefix + Root,prefix + automatic,semiautomatic,1
automatic,Root + Suffix,automatic + suffix,automatically,1
autumn,Root + Suffix,autumn + suffix,"autumnal, autumnally",2
avoid,Root + Suffix,avoid + suffix,"avoidable, avoidance",2
avoid,Prefix + Root + Suffix,prefix + avoid + suffix,"unavoidable, unavoidably",2
aware,Prefix + Root,prefix + aware,unaware,1
aware,Root + Suffix,aware + suffix,awareness,1
aware,Prefix + Root + Suffix,prefix + aware + suffix,unawareness,1
awkward,Root + Suffix,awkward + suffix,"awkwardly, awkwardness",2
baby,Root + Suffix,baby + suffix,"babyhood, babyish",2
back,Word + Word,back + bench,"backbench, backbencher, backboards, backbones, backbreakingly, backcloth, backdoors, backdrops (+19 từ khác)",27
back,Prefix + Root,prefix + back,"halfback, outback, unbacked",3
back,Root + Suffix,back + suffix,"backer, backless, backward, backwardly, backwardness",5
bad,Word + Word,bad + land,badlands,1
bad,Root + Suffix,bad + suffix,"badly, badness",2
bag,Word + Word,bag + pipe,bagpipe,1
bag,Prefix + Root,prefix + bag,debag,1
bag,Root + Suffix,bag + suffix,"bagful, baggage, baggier, baggiest, baggy",5
bail,Root + Suffix,bail + suffix,bailment,1
bake,Root + Suffix,bake + suffix,"baker, bakery",2
balance,Prefix + Root,prefix + balance,"imbalance, outbalance, overbalance, unbalance",4
ball,Word + Word,ball + field,"ballfields, ballplayer, ballpoint, ballroom",4
balloon,Root + Suffix,balloon + suffix,balloonist,1
ban,Word + Word,ban + bury,banbury,1
band,Word + Word,band + box,"bandbox, bandmaster, bandsman, bandstand, bandwidth",5
band,Prefix + Root,prefix + band,disband,1
band,Root + Suffix,band + suffix,bandage,1
band,Prefix + Root + Suffix,prefix + band + suffix,disbandment,1
bank,Word + Word,bank + book,"bankbook, banknote, bankroll",3
bank,Prefix + Root,prefix + bank,embank,1
bank,Root + Suffix,bank + suffix,banker,1
bank,Prefix + Root + Suffix,prefix + bank + suffix,embankment,1
bar,Word + Word,bar + fly,"barflies, barkeep, barman, bartender",4
bar,Prefix + Root,prefix + bar,"crossbar, disbar, dunbar, millibar, unbar",5
bar,Prefix + Root + Suffix,prefix + bar + suffix,disbarment,1
bare,Word + Word,bare + back,"bareback, barefaced, barefacedly, barefoot, bareheaded, barelegged",6
bare,Root + Suffix,bare + suffix,"barely, bareness, barer, barest",4
base,Word + Word,base + ball,"baseball, baseboard, baseline, baseman",4
base,Prefix + Root,prefix + base,"abase, debase",2
base,Root + Suffix,base + suffix,"baseless, basely, basement, baseness, baser, basest, basic, basically",8
base,Prefix + Root + Suffix,prefix + base + suffix,"abasement, debasement",2
basket,Word + Word,basket + ball,"basketball, basketwork",2
basket,Root + Suffix,basket + suffix,"basketful, basketry",2
bat,Word + Word,bat + man,"batman, batwings",2
bat,Root + Suffix,bat + suffix,"batters, battier, battiest, batty",4
bath,Word + Word,bath + room,"bathroom, bathtub",2
bath,Root + Suffix,bath + suffix,bather,1
battle,Word + Word,battle + dress,"battledress, battlefield, battlefront, battleground, battleship",5
battle,Prefix + Root,prefix + battle,embattled,1
battle,Root + Suffix,battle + suffix,battlements,1
beach,Word + Word,beach + head,"beachhead, beachwear",2
beam,Prefix + Root,prefix + beam,crossbeam,1
bean,Word + Word,bean + pole,beanpole,1
bear,Word + Word,bear + skin,bearskin,1
bear,Prefix + Root,prefix + bear,"forbear, overbear",2
bear,Root + Suffix,bear + suffix,"bearable, bearably, bearer, bearish, bearishly, bearishness",6
bear,Prefix + Root + Suffix,prefix + bear + suffix,"forbearance, overbearingly, unbearable, unbearably",4
beast,Word + Word,beast + sell,"bestseller, bestselling",2
beast,Root + Suffix,beast + suffix,"beasties, beastlier, beastliest, beastliness, beastly, bestial, bestiality, bestially (+1 từ khác)",9
beat,Prefix + Root,prefix + beat,"downbeat, offbeat, upbeat",3
beat,Root + Suffix,beat + suffix,"beaten, beater, beatific, beatifically, beatification, beatify, beatitude",7
beat,Prefix + Root + Suffix,prefix + beat + suffix,"unbeatable, unbeaten",2
beauty,Root + Suffix,beauty + suffix,"beauteous, beauteously, beautician, beautiful, beautifully, beautify",6
become,Prefix + Root,prefix + become,unbecoming,1
become,Root + Suffix,become + suffix,becomingly,1
become,Prefix + Root + Suffix,prefix + become + suffix,unbecomingly,1
bed,Word + Word,bed + bug,"bedbug, bedclothes, bedfast, bedfellow, bedground, bedpan, bedpost, bedridden (+8 từ khác)",16
bed,Prefix + Root,prefix + bed,"embed, imbedded, underbedding",3
bee,Word + Word,bee + bread,"beebread, beeline",2
beef,Word + Word,beef + cake,"beefcake, beefeater",2
beef,Root + Suffix,beef + suffix,"beefier, beefiest, beefy",3
beer,Root + Suffix,beer + suffix,"beerier, beeriest, beery",3
before,Word + Word,before + hand,beforehand,1
beg,Word + Word,beg + man,"beggarman, beggarwoman",2
beg,Root + Suffix,beg + suffix,"beggar, beggarliness, beggarly, beggary",4
begin,Root + Suffix,begin + suffix,beginner,1
behave,Prefix + Root,prefix + behave,misbehave,1
behave,Root + Suffix,behave + suffix,"behavior, behavioral, behaviorally, behaviour, behaviourism, behaviourist",6
behave,Prefix + Root + Suffix,prefix + behave + suffix,"misbehavior, misbehaviour",2
behind,Word + Word,behind + hand,behindhand,1
belief,Prefix + Root,prefix + belief,"disbelief, unbelief",2
believe,Prefix + Root,prefix + believe,"disbelieve, unbelieving",2
believe,Root + Suffix,believe + suffix,"believable, believably, believer, believeth",4
believe,Prefix + Root + Suffix,prefix + believe + suffix,"disbeliever, unbelievable, unbelievably, unbeliever, unbelievingly",5
bell,Word + Word,bell + boy,"bellboy, bellflower, bellman",3
bell,Prefix + Root + Suffix,prefix + bell + suffix,"embellish, embellishment",2
belt,Word + Word,belt + way,beltway,1
bench,Word + Word,bench + mark,benchmarks,1
bench,Root + Suffix,bench + suffix,bencher,1
bend,Prefix + Root,prefix + bend,unbend,1
bent,Prefix + Root,prefix + bent,unbent,1
bet,Word + Word,bet + tie,betties,1
betray,Root + Suffix,betray + suffix,"betrayal, betrayer",2
better,Root + Suffix,better + suffix,betterment,1
bias,Word + Word,bias + sing,biassing,1
bias,Prefix + Root,prefix + bias,unbiased,1
bid,Prefix + Root,prefix + bid,"outbid, overbid, underbid",3
bid,Root + Suffix,bid + suffix,"biddable, bidden, bidder",3
bid,Prefix + Root + Suffix,prefix + bid + suffix,"outbidden, unbidden",2
big,Word + Word,big + head,bighead,1
big,Root + Suffix,big + suffix,"bigger, biggest, bigness",3
bill,Word + Word,bill + board,"billboard, billfold, billhook, billposter, billposting, billsticker",6
bill,Root + Suffix,bill + suffix,"billie, billy",2
bin,Root + Suffix,bin + suffix,binary,1
bind,Word + Word,bind + weed,bindweed,1
bind,Prefix + Root,prefix + bind,"rebind, unbind",2
bind,Root + Suffix,bind + suffix,"binder, bindery",2
bird,Word + Word,bird + bath,"birdbath, birdlike, birdseed",3
bird,Root + Suffix,bird + suffix,birdie,1
birth,Word + Word,birth + day,"birthday, birthmark, birthplace, birthrate, birthright",5
birth,Prefix + Root,prefix + birth,"afterbirth, rebirth",2
bishop,Word + Word,bishop + gate,bishopsgate,1
bit,Prefix + Root,prefix + bit,backbit,1
bit,Root + Suffix,bit + suffix,"bitten, bittier, bittiest, bitty",4
bit,Prefix + Root + Suffix,prefix + bit + suffix,backbitten,1
bite,Prefix + Root,prefix + bite,backbite,1
bite,Root + Suffix,bite + suffix,biter,1
bite,Prefix + Root + Suffix,prefix + bite + suffix,backbiter,1
bitter,Word + Word,bitter + sweet,bittersweet,1
bitter,Prefix + Root,prefix + bitter,embitter,1
bitter,Root + Suffix,bitter + suffix,"bitterer, bitterest, bitterly, bitterness",4
bitter,Prefix + Root + Suffix,prefix + bitter + suffix,embitterment,1
bizarre,Root + Suffix,bizarre + suffix,bizarrely,1
black,Word + Word,black + ball,"blackball, blackbird, blackboard, blackguard, blackguardly, blackhead, blackleg, blacklist (+4 từ khác)",12
black,Root + Suffix,black + suffix,"blacken, blacker, blackest, blackly, blackness",5
blame,Word + Word,blame + worth,"blameworthiness, blameworthy",2
blame,Root + Suffix,blame + suffix,"blameless, blamelessly, blamelessness",3
blank,Root + Suffix,blank + suffix,"blanker, blankest, blankly, blankness",4
bleed,Root + Suffix,bleed + suffix,bleeder,1
blend,Root + Suffix,blend + suffix,blender,1
bless,Root + Suffix,bless + suffix,"blessedly, blessedness",2
blind,Word + Word,blind + fold,blindfold,1
blind,Root + Suffix,blind + suffix,"blinder, blindest, blindly, blindness",4
block,Word + Word,block + head,"blockhead, blockhouse",2
block,Root + Suffix,block + suffix,"blockade, blockage, blocky",3
blood,Word + Word,blood + bath,"bloodbath, bloodshed, bloodshot, bloodspots, bloodstock, bloodstream, bloodsucker",7
blood,Root + Suffix,blood + suffix,"bloodier, bloodiest, bloodily, bloodless, bloodlessness, bloody",6
blow,Word + Word,blow + back,"blowback, blowfish, blowfly, blowgun, blowhole, blowlamp, blowout, blowpipe (+1 từ khác)",9
blow,Root + Suffix,blow + suffix,"blower, blowier, blown, blowy",4
blow,Prefix + Root + Suffix,prefix + blow + suffix,overblown,1
blue,Word + Word,blue + bell,"bluebell, bluebird, bluebook, bluebottle, bluebush, bluefish, bluejacket, blueprint",8
blue,Root + Suffix,blue + suffix,"blueness, bluest, bluish",3
board,Word + Word,board + house,"boardinghouse, boardroom, boardwalk",3
board,Prefix + Root,prefix + board,"inboard, outboard, overboard",3
board,Root + Suffix,board + suffix,boarder,1
boast,Root + Suffix,boast + suffix,"boaster, boastful, boastfully, boastfulness",4
boat,Word + Word,boat + house,"boathouse, boatload, boatman, boatyards",4
boat,Root + Suffix,boat + suffix,boater,1
body,Word + Word,body + build,"bodybuilder, bodybuilding, bodyguard, bodyweight, bodywork",5
body,Prefix + Root,prefix + body,"antibody, disembody, embody",3
body,Root + Suffix,body + suffix,bodily,1
body,Prefix + Root + Suffix,prefix + body + suffix,embodiment,1
boil,Word + Word,boil + suit,boilersuit,1
boil,Root + Suffix,boil + suffix,boiler,1
bold,Word + Word,bold + face,boldface,1
bold,Root + Suffix,bold + suffix,"bolder, boldest, boldly, boldness",4
bold,Prefix + Root + Suffix,prefix + bold + suffix,embolden,1
bomb,Word + Word,bomb + proof,"bombproof, bombshell, bombsite",3
bomb,Root + Suffix,bomb + suffix,bomber,1
bond,Word + Word,bond + hold,"bondholder, bondsman",2
bond,Root + Suffix,bond + suffix,bondage,1
bone,Word + Word,bone + head,"bonehead, bonemeal, bonesetter, boneshaker",4
bone,Prefix + Root,prefix + bone,"crossbones, debone",2
bone,Root + Suffix,bone + suffix,"boneless, boner, bonier, boniest, bony",5
book,Word + Word,book + bind,"bookbinder, bookbindery, bookbinding, bookcase, bookclub, bookend, bookkeeper, bookkeeping (+11 từ khác)",19
book,Root + Suffix,book + suffix,"bookable, booker, bookie, bookish, bookishness, booklet",6
boost,Root + Suffix,boost + suffix,booster,1
boot,Word + Word,boot + black,"bootblack, bootleg, bootlegger",3
boot,Root + Suffix,boot + suffix,"bootee, bootless",2
border,Word + Word,border + land,"borderland, borderline",2
border,Root + Suffix,border + suffix,borderer,1
bore,Word + Word,bore + hole,borehole,1
bore,Prefix + Root,prefix + bore,"forbore, overbore",2
bore,Root + Suffix,bore + suffix,"boredom, borer, borne",3
born,Prefix + Root,prefix + born,"inborn, reborn, unborn",3
borrow,Root + Suffix,borrow + suffix,borrower,1
boss,Prefix + Root,prefix + boss,emboss,1
boss,Root + Suffix,boss + suffix,"bossier, bossiest, bossiness, bossy",4
bother,Root + Suffix,bother + suffix,"botheration, bothersome",2
bottle,Word + Word,bottle + neck,bottleneck,1
bottle,Root + Suffix,bottle + suffix,bottleful,1
bottom,Root + Suffix,bottom + suffix,bottomless,1
bounce,Root + Suffix,bounce + suffix,"bouncer, bouncier, bounciest, bouncily, bounciness, bouncy",6
bound,Prefix + Root,prefix + bound,"inbound, outbound, rebound, unbound",4
bound,Root + Suffix,bound + suffix,"boundary, bounder, boundless, boundlessness",4
bow,Word + Word,bow + string,bowstring,1
bow,Prefix + Root,prefix + bow,crossbow,1
bowl,Root + Suffix,bowl + suffix,bowler,1
box,Word + Word,box + car,"boxcar, boxwood",2
box,Root + Suffix,box + suffix,"boxer, boxful, boxy",3
boy,Word + Word,boy + friend,boyfriend,1
boy,Root + Suffix,boy + suffix,"boyhood, boyish, boyishly, boyishness",4
brain,Word + Word,brain + child,"brainchild, brainstorm, brainwash, brainwave",4
brain,Root + Suffix,brain + suffix,"brainier, brainiest, braininess, brainless, brainy",5
branch,Root + Suffix,branch + suffix,"branchier, branchy",2
brand,Prefix + Root,prefix + brand,misbranded,1
brave,Root + Suffix,brave + suffix,"bravely, braver, bravery, bravest",4
bread,Word + Word,bread + basket,"breadbasket, breadboard, breadfruit, breadline, breadwinner",5
break,Word + Word,break + away,"breakaway, breakdown, breakfast, breakin, breakneck, breakoff, breakout, breakthrough (+2 từ khác)",10
break,Prefix + Root,prefix + break,outbreak,1
break,Root + Suffix,break + suffix,"breakable, breakage, breaker",3
break,Prefix + Root + Suffix,prefix + break + suffix,unbreakable,1
breast,Word + Word,breast + bone,"breastbone, breastfeed, breastplate, breaststroke, breastwork",5
breath,Word + Word,breath + take,"breathtaking, breathtakingly",2
breath,Root + Suffix,breath + suffix,"breathalyse, breathalyser, breather, breathier, breathily, breathiness, breathless, breathlessly (+2 từ khác)",10
breed,Prefix + Root,prefix + breed,"crossbred, inbred, interbred",3
breed,Root + Suffix,breed + suffix,breeder,1
brick,Word + Word,brick + bat,"brickbat, bricklayer, bricklaying, bricktop, brickwork, brickyard",6
bride,Word + Word,bride + cake,bridecake,1
bride,Root + Suffix,bride + suffix,bridal,1
bridge,Word + Word,bridge + head,"bridgehead, bridgeport, bridgewater, bridgework",4
brief,Word + Word,brief + case,briefcase,1
brief,Prefix + Root,prefix + brief,debrief,1
brief,Root + Suffix,brief + suffix,"briefer, briefest, briefly",3
bright,Root + Suffix,bright + suffix,"brighten, brighter, brightest, brightly, brightness",5
bring,Prefix + Root,prefix + bring,upbringing,1
broad,Word + Word,broad + cast,"broadcast, broadcaster, broadcloth, broadloom, broadminded, broadmindedly, broadmindedness, broadsheet (+4 từ khác)",12
broad,Root + Suffix,broad + suffix,"broaden, broader, broadest, broadly, broadness",5
brother,Root + Suffix,brother + suffix,"brotherhood, brotherliness, brotherly",3
brown,Word + Word,brown + stone,brownstone,1
brown,Root + Suffix,brown + suffix,"browner, brownest, brownie, brownish",4
brush,Word + Word,brush + fire,"brushfire, brushlike, brushwood, brushwork",4
brush,Prefix + Root,prefix + brush,underbrush,1
brush,Root + Suffix,brush + suffix,brushy,1
bubble,Root + Suffix,bubble + suffix,"bubblier, bubbliest, bubbly",3
buck,Word + Word,buck + board,"buckboard, buckshot, buckskin, bucktooth, buckwheat",5
budget,Root + Suffix,budget + suffix,budgetary,1
bug,Word + Word,bug + bear,"bugbear, bugeyed",2
bug,Prefix + Root,prefix + bug,debug,1
build,Word + Word,build + up,buildup,1
build,Prefix + Root,prefix + build,"outbuilding, rebuild",2
build,Root + Suffix,build + suffix,builder,1
bulk,Word + Word,bulk + head,bulkhead,1
bulk,Root + Suffix,bulk + suffix,"bulkier, bulkiest, bulkily, bulkiness, bulky",5
bullet,Word + Word,bullet + proof,bulletproof,1
burden,Prefix + Root,prefix + burden,"disburden, overburden, unburden",3
burden,Root + Suffix,burden + suffix,"burdensome, burdensomeness",2
burn,Word + Word,burn + side,burnside,1
burn,Prefix + Root,prefix + burn,"tyburn, unburned, woburn",3
burn,Root + Suffix,burn + suffix,"burner, burnt",2
burst,Prefix + Root,prefix + burst,outburst,1
bury,Root + Suffix,bury + suffix,burial,1
bus,Word + Word,bus + man,busman,1
bus,Prefix + Root,prefix + bus,minibus,1
bush,Word + Word,bush + man,bushman,1
bush,Root + Suffix,bush + suffix,"bushier, bushiest, bushiness, bushy",4
business,Word + Word,business + like,"businesslike, businessman, businesswoman",3
busy,Word + Word,busy + body,busybody,1
