thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
e,Mới - chưa có ảnh,6+,"word-final marker, no independent meaning (from Latin/French)","dấu hiệu cuối từ, không có nghĩa riêng (gốc Latin/Pháp)","aborigine, clothe, composite, concise, persevere, prejudice",missing_words_analyzed
eal,Mới - chưa có ảnh,1,"relating to, of the nature of (adjective)","liên quan đến, có bản chất của (tính từ)",arboreal,missing_words_analyzed
ean,Mới - chưa có ảnh,1,"relating to, follower of (adjective/noun)","liên quan đến, tín đồ của (tính từ/danh từ)",pythagorean,missing_words_analyzed
ed,Mới - chưa có ảnh,6+,"having, marked by; past tense (adjective/verb)","có, mang đặc điểm; thì quá khứ (tính từ/động từ)","outdated, skilled, talented, undoubtedly, unexpected, untouched",missing_words_analyzed
efy,Mới - chưa có ảnh,1,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)",liquefy,missing_words_analyzed
el,Mới - chưa có ảnh,1,"small thing, unit (diminutive, noun)","vật nhỏ, đơn vị (hình thái giảm nhẹ, danh từ)",pixel,missing_words_analyzed
ence,Mới - chưa có ảnh,6+,"state, quality, act of (noun)","trạng thái, tính chất, hành động (danh từ)","dependence, difference, existence, preference, reference, violence",missing_words_analyzed
ency,Mới - chưa có ảnh,6+,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)","competency, complacency, dependency, insolvency, proficiency, tendency",missing_words_analyzed
endum,Mới - chưa có ảnh,1,"thing to be done (noun, Latin gerundive)","điều cần phải làm (danh từ, Latin)",referendum,missing_words_analyzed
enger,Mới - chưa có ảnh,1,"one who does, agent (noun)",người thực hiện hành động (danh từ),passenger,missing_words_analyzed
ent,Mới - chưa có ảnh,6+,state of being; one who/that which (adjective/noun),trạng thái; người/vật thực hiện (tính từ/danh từ),"component, different, differently, referent, resident, violent",missing_words_analyzed
ential,Mới - chưa có ảnh,5,"relating to, having the nature of (adjective)","liên quan đến, có bản chất của (tính từ)","consequential, credential, preferential, referential, residential",missing_words_analyzed
ently,Mới - chưa có ảnh,2,in a manner that is (adverb),theo cách mang tính (trạng từ),"concurrently, inherently",missing_words_analyzed
eous,Mới - chưa có ảnh,2,"full of, having the quality of (adjective)","đầy, có tính chất (tính từ)","courteous, gaseous",missing_words_analyzed
erness,Mới - chưa có ảnh,1,"state, condition, place of (noun)","trạng thái, điều kiện, nơi chốn (danh từ)",wilderness,missing_words_analyzed
ers,Mới - chưa có ảnh,1,"persons who (noun, agent, plural)","những người làm (danh từ, số nhiều)",coworkers,missing_words_analyzed
ery,Mới - chưa có ảnh,6+,"quality, place, practice of (noun)","tính chất, nơi chốn, việc làm (danh từ)","bravery, bribery, confectionery, cookery, eatery, mockery",missing_words_analyzed
es,Mới - chưa có ảnh,1,plural marker (noun),dấu hiệu số nhiều (danh từ),inboxes,missing_words_analyzed
escent,Mới - chưa có ảnh,1,"becoming, beginning to be (adjective)","đang trở nên, bắt đầu trở thành (tính từ)",iridescent,missing_words_analyzed
ese,Mới - chưa có ảnh,4,"relating to, native of, language of (adjective/noun)","liên quan đến, người/ngôn ngữ của (tính từ/danh từ)","chinese, japanese, nepalese, vietnamese",missing_words_analyzed
estrian,Mới - chưa có ảnh,1,"one who does, relating to (noun/adjective)","người thực hiện, liên quan đến (danh từ/tính từ)",pedestrian,missing_words_analyzed
eth,Mới - chưa có ảnh,2,forms ordinal numbers (adjective),tạo số thứ tự (tính từ),"thirtieth, twentieth",missing_words_analyzed
etic,Mới - chưa có ảnh,1,"relating to, characterized by (adjective)","liên quan đến, đặc trưng bởi (tính từ)",sympathetic,missing_words_analyzed
etical,Mới - chưa có ảnh,1,relating to (adjective),liên quan đến (tính từ),theoretical,missing_words_analyzed
ety,Mới - chưa có ảnh,1,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)",anxiety,missing_words_analyzed
eutic,Mới - chưa có ảnh,1,"relating to treatment, practice (adjective, Greek, medical)","liên quan đến điều trị, thực hành (tính từ, Hy Lạp, y học)",therapeutic,missing_words_analyzed
ever,Mới - chưa có ảnh,6+,"at any time, in any way (indefinite/emphatic suffix)","vào bất cứ lúc nào, theo bất cứ cách nào (hậu tố nhấn mạnh/bất định)","whatever, whatsoever, whenever, wherever, whichever, whoever",missing_words_analyzed
fall,Mới - chưa có ảnh,1,"act of falling, downfall (combining form, noun)","sự rơi xuống, sự sụp đổ (dạng kết hợp, danh từ)",rainfall,missing_words_analyzed
fare,Mới - chưa có ảnh,1,"act of going, conduct of (combining form, noun)","sự di chuyển, cách tiến hành (dạng kết hợp, danh từ)",warfare,missing_words_analyzed
fic,Mới - chưa có ảnh,2,"making, causing to be (adjective, Latin)","tạo ra, làm cho (tính từ, Latin)","mummification, reunification",missing_words_analyzed
fication,Mới - chưa có ảnh,1,act/process of making (noun),hành động/quá trình làm cho (danh từ),identification,missing_words_analyzed
fier,Mới - chưa có ảnh,1,"one/that which makes (noun, agent)",người/vật làm cho (danh từ),quantifier,missing_words_analyzed
fill,Mới - chưa có ảnh,1,"to fill, complete (verb)","làm đầy, hoàn thành (động từ)",fulfill,missing_words_analyzed
free,Mới - chưa có ảnh,1,"without, lacking (adjective)","không có, thiếu (tính từ)",carefree,missing_words_analyzed
fully,Mới - chưa có ảnh,2,in a manner full of (adverb),theo cách đầy (trạng từ),"meaningfully, powerfully",missing_words_analyzed
fy,Mới - chưa có ảnh,4,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)","identify, magnify, rectify, satisfy",missing_words_analyzed
ged,Mới - chưa có ảnh,1,having (a specified type/number of) (adjective),có (một loại/số lượng nhất định) (tính từ),legged,missing_words_analyzed
gen,Mới - chưa có ảnh,1,"producing, giving rise to (noun, Greek)","tạo ra, sinh ra (danh từ, Hy Lạp)",carcinogen,missing_words_analyzed
ger,Mới - chưa có ảnh,1,"one who does, agent (noun)",người thực hiện hành động (danh từ),blogger,missing_words_analyzed
gish,Mới - chưa có ảnh,1,"somewhat like, tending to be (adjective)","hơi giống, có xu hướng (tính từ)",sluggish,missing_words_analyzed
gy,Mới - chưa có ảnh,1,"full of, having the quality of (adjective)","đầy, có tính chất (tính từ)",foggy,missing_words_analyzed
house,Mới - chưa có ảnh,1,"building, place (combining form, noun)","tòa nhà, nơi chốn (dạng kết hợp, danh từ)",lighthouse,missing_words_analyzed
ial,Mới - chưa có ảnh,6+,"relating to, characterized by (adjective)","liên quan đến, đặc trưng bởi (tính từ)","adverbial, commercial, financial, official, potential, superficial",missing_words_analyzed
iary,Mới - chưa có ảnh,2,"one connected with, relating to (noun/adjective)",người/vật liên quan đến (danh từ/tính từ),"beneficiary, incendiary",missing_words_analyzed
iate,Mới - chưa có ảnh,3,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)","alleviate, differentiate, substantiate",missing_words_analyzed
ibility,Mới - chưa có ảnh,2,quality of being able to (noun),phẩm chất có khả năng (danh từ),"accessibility, responsibility",missing_words_analyzed
ible,Mới - chưa có ảnh,6+,"capable of being, able to be (adjective)","có thể được, có khả năng (tính từ)","accessible, credible, flexible, irreversible, sensible, tangible",missing_words_analyzed
ibly,Mới - chưa có ảnh,6+,in a manner capable of (adverb),theo cách có thể (trạng từ),"flexibly, forcibly, incredibly, invisibly, irreversibly, sensibly",missing_words_analyzed
ical,Mới - chưa có ảnh,6+,"relating to, characterized by (adjective)","liên quan đến, đặc trưng bởi (tính từ)","biological, chronological, ecological, historical, psychological, technological",missing_words_analyzed
ically,Mới - chưa có ảnh,6+,in a manner relating to (adverb),theo cách liên quan đến (trạng từ),"academically, biologically, economically, historically, identically, psychologically",missing_words_analyzed
ication,Mới - chưa có ảnh,6+,act/process of (noun),hành động/quá trình (danh từ),"amplification, application, classification, gratification, qualification, verification",missing_words_analyzed
icle,Mới - chưa có ảnh,1,"small, little (diminutive, noun)","nhỏ, bé (hình thái giảm nhẹ, danh từ)",cubicle,missing_words_analyzed
ide,Mới - chưa có ảnh,1,"chemical compound (noun, chemistry)","hợp chất hóa học (danh từ, hóa học)",cyanide,missing_words_analyzed
iency,Mới - chưa có ảnh,1,"state, quality of being (noun)","trạng thái, tính chất (danh từ)",sufficiency,missing_words_analyzed
ient,Mới - chưa có ảnh,1,"one who, that which (noun/adjective)","người, vật (danh từ/tính từ)",recipient,missing_words_analyzed
ier,Mới - chưa có ảnh,3,"one who, relating to (noun, French)","người làm, liên quan đến (danh từ, gốc Pháp)","cashier, financier, frontier",missing_words_analyzed
ific,Mới - chưa có ảnh,1,"making, causing (adjective)","tạo ra, gây ra (tính từ)",horrific,missing_words_analyzed
ificance,Mới - chưa có ảnh,1,"state, quality of making (noun)","trạng thái, tính chất của việc tạo ra (danh từ)",significance,missing_words_analyzed
ification,Mới - chưa có ảnh,6+,act/process of making (noun),hành động/quá trình làm cho (danh từ),"certification, diversification, electrification, justification, notification, signification",missing_words_analyzed
ificial,Mới - chưa có ảnh,1,"made by, relating to making (adjective)","được tạo ra, liên quan đến việc làm ra (tính từ)",artificial,missing_words_analyzed
ifier,Mới - chưa có ảnh,1,"one/that which makes (noun, agent)",người/vật làm cho (danh từ),amplifier,missing_words_analyzed
ility,Mới - chưa có ảnh,1,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)",stability,missing_words_analyzed
ily,Mới - chưa có ảnh,5,in a manner that is (adverb),theo cách mang tính (trạng từ),"luckily, necessarily, ordinarily, temporarily, voluntarily",missing_words_analyzed
in,Mới - chưa có ảnh,1,"chemical substance (noun, chemistry)","chất hóa học (danh từ, hóa học)",toxin,missing_words_analyzed
inal,Mới - chưa có ảnh,1,relating to (adjective),liên quan đến (tính từ),longitudinal,missing_words_analyzed
ing,Mới - chưa có ảnh,6+,"act, process, result of; forms present participle/gerund (noun/verb)","hành động, quá trình, kết quả; tạo phân từ hiện tại/danh động từ (danh từ/động từ)","building, feeling, heading, increasingly, ongoing, saving",missing_words_analyzed
ingly,Mới - chưa có ảnh,1,in a manner that (adverb),theo cách (trạng từ),surprisingly,missing_words_analyzed
ings,Mới - chưa có ảnh,2,"results, things related to (noun, plural)","kết quả, những thứ liên quan đến (danh từ, số nhiều)","earnings, surroundings",missing_words_analyzed
ionary,Mới - chưa có ảnh,1,"relating to, one connected with (adjective/noun)","liên quan đến, người/vật gắn với (tính từ/danh từ)",revolutionary,missing_words_analyzed
ior,Mới - chưa có ảnh,2,"state, condition; one who does (noun)","trạng thái, điều kiện; người thực hiện (danh từ)","behavior, warrior",missing_words_analyzed
iour,Mới - chưa có ảnh,1,"one who (noun, British variant)","người thực hiện (danh từ, biến thể Anh-Anh)",saviour,missing_words_analyzed
isan,Mới - chưa có ảnh,1,"one connected with, skilled in (noun)","người liên quan đến, thành thạo trong (danh từ)",artisan,missing_words_analyzed
ise,Mới - chưa có ảnh,1,"state, quality, practice of (noun)","trạng thái, tính chất, việc thực hành (danh từ)",expertise,missing_words_analyzed
ison,Mới - chưa có ảnh,1,"act, result of (noun)","hành động, kết quả của (danh từ)",comparison,missing_words_analyzed
istic,Mới - chưa có ảnh,5,"relating to, having the nature of (adjective)","liên quan đến, có bản chất của (tính từ)","characteristic, idealistic, realistic, stylistic, unrealistic",missing_words_analyzed
istically,Mới - chưa có ảnh,1,in a manner relating to (adverb),theo cách liên quan đến (trạng từ),realistically,missing_words_analyzed
it,Mới - chưa có ảnh,3,"act, state (noun/verb, Latin base)","hành động, trạng thái (danh từ/động từ, gốc Latin)","accredit, auditor, pursuit",missing_words_analyzed
itarian,Mới - chưa có ảnh,1,"believer in, advocate of (noun/adjective)","người tin theo, người ủng hộ (danh từ/tính từ)",authoritarian,missing_words_analyzed
itary,Mới - chưa có ảnh,2,"relating to, characterized by (adjective)","liên quan đến, đặc trưng bởi (tính từ)","hereditary, solitary",missing_words_analyzed
ition,Mới - chưa có ảnh,4,"act, process, state of (noun)","hành động, quá trình, trạng thái (danh từ)","addition, competition, definition, ignition",missing_words_analyzed
itional,Mới - chưa có ảnh,1,relating to (adjective),liên quan đến (tính từ),additional,missing_words_analyzed
itive,Mới - chưa có ảnh,6+,"tending to, having the nature of (adjective)","có xu hướng, có bản chất của (tính từ)","competitive, competitively, competitiveness, definitive, punitive, sensitive",missing_words_analyzed
itor,Mới - chưa có ảnh,1,"one who does, agent (noun)",người thực hiện hành động (danh từ),competitor,missing_words_analyzed
itud,Mới - chưa có ảnh,1,"state, quality, degree of (noun, Latin)","trạng thái, tính chất, mức độ (danh từ, Latin)",longitudinal,missing_words_analyzed
iture,Mới - chưa có ảnh,1,"act, result, state of (noun)","hành động, kết quả, trạng thái (danh từ)",expenditure,missing_words_analyzed
iv,Mới - chưa có ảnh,3,"tending to, relating to (combining form, adjective base)","có xu hướng, liên quan đến (dạng kết hợp, gốc tính từ)","activism, activist, recidivism",missing_words_analyzed
ively,Mới - chưa có ảnh,4,in a manner that is (adverb),theo cách mang tính (trạng từ),"collectively, creatively, excessively, respectively",missing_words_analyzed
ivity,Mới - chưa có ảnh,3,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)","conductivity, connectivity, objectivity",missing_words_analyzed
ization,Mới - chưa có ảnh,6+,"act, process of making into (noun)","hành động, quá trình biến thành (danh từ)","colonization, globalization, homogenization, memorization, synchronization, urbanization",missing_words_analyzed
kind,Mới - chưa có ảnh,2,"type, kind of; race (combining form, noun)","loại, kiểu; nòi giống (dạng kết hợp, danh từ)","humankind, mankind",missing_words_analyzed
lace,Mới - chưa có ảnh,1,"something tied or fastened (combining form, noun)","vật được buộc, thắt (dạng kết hợp, danh từ)",necklace,missing_words_analyzed
land,Mới - chưa có ảnh,2,"land, country, territory (noun)","vùng đất, quốc gia, lãnh thổ (danh từ)","scotland, thailand",missing_words_analyzed
lant,Mới - chưa có ảnh,1,"one that performs an action, agent (adjective/noun)","chủ thể, tác nhân thực hiện hành động (tính từ/danh từ)",repellant,missing_words_analyzed
le,Mới - chưa có ảnh,1,repeated or diminutive action (verb),hành động lặp lại hoặc nhỏ (động từ),curdle,missing_words_analyzed
ledge,Mới - chưa có ảnh,1,"act, state, or result of knowing (noun)","hành động, trạng thái hoặc kết quả của việc biết (danh từ)",knowledge,missing_words_analyzed
lent,Mới - chưa có ảnh,2,"having the quality of, causing (adjective)","có tính chất, gây ra (tính từ)","excellent, repellent",missing_words_analyzed
li,Mới - chưa có ảnh,1,"characterized by, in the manner of (adjective/adverb)","có đặc điểm, theo cách thức (tính từ/trạng từ)",cleanliness,missing_words_analyzed
lihood,Mới - chưa có ảnh,1,"state, condition, or manner of (noun)","trạng thái, điều kiện hoặc cách thức (danh từ)",livelihood,missing_words_analyzed
line,Mới - chưa có ảnh,1,"line, path, course (noun)","đường, tuyến, quá trình (danh từ)",pipeline,missing_words_analyzed
liness,Mới - chưa có ảnh,1,quality or state of being (noun),tính chất hoặc trạng thái (danh từ),unfriendliness,missing_words_analyzed
logist,Mới - chưa có ảnh,1,"one who studies, specialist in (Greek, noun)","người nghiên cứu, chuyên gia về (Hy Lạp, danh từ)",cardiologist,missing_words_analyzed
logy,Mới - chưa có ảnh,1,"study of, science of (Greek, noun)","sự nghiên cứu, khoa học về (Hy Lạp, danh từ)",methodology,missing_words_analyzed
lurg,Mới - chưa có ảnh,1,"working with, art or technique of (Greek, noun)","kỹ thuật, nghệ thuật gia công (Hy Lạp, danh từ)",metallurgist,missing_words_analyzed
man,Mới - chưa có ảnh,4,"person, man (noun)","người, đàn ông (danh từ)","clergyman, craftsmanship, dutchman, fisherman",missing_words_analyzed
mary,Mới - chưa có ảnh,1,"state, result of, relating to (noun)","trạng thái, kết quả, liên quan đến (danh từ)",summary,missing_words_analyzed
mas,Mới - chưa có ảnh,1,"mass, religious festival (noun)","lễ, thánh lễ (danh từ)",christmas,missing_words_analyzed
math,Mới - chưa có ảnh,1,"mowing, harvest; result, consequence (noun)","sự thu hoạch; kết quả, hậu quả (danh từ)",aftermath,missing_words_analyzed
matory,Mới - chưa có ảnh,1,"tending to cause, producing (adjective)","có xu hướng gây ra, tạo ra (tính từ)",inflammatory,missing_words_analyzed
mize,Mới - chưa có ảnh,1,"to make, cause to become (verb)",làm cho trở thành (động từ),minimize,missing_words_analyzed
more,Mới - chưa có ảnh,1,"to a greater degree, additionally (adverb)","hơn nữa, thêm vào đó (trạng từ)",furthermore,missing_words_analyzed
nate,Mới - chưa có ảnh,1,"to cause, make, become (verb)","gây ra, làm cho trở thành (động từ)",alternate,missing_words_analyzed
nce,Mới - chưa có ảnh,5,"state, quality, or act of (noun)","trạng thái, tính chất hoặc hành động (danh từ)","competence, convergence, emergence, interference, subsidence",missing_words_analyzed
ncy,Mới - chưa có ảnh,2,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)","emergency, residency",missing_words_analyzed
nd,Mới - chưa có ảnh,1,thing resulting from an action (noun),vật hoặc kết quả của hành động (danh từ),dividend,missing_words_analyzed
ned,Mới - chưa có ảnh,1,"having been, characterized by (adjective, past participle)","đã được, có đặc điểm (tính từ, phân từ quá khứ)",unplanned,missing_words_analyzed
nery,Mới - chưa có ảnh,1,"place for, related to (noun)","nơi chốn, liên quan đến (danh từ)",cannery,missing_words_analyzed
ning,Mới - chưa có ảnh,1,"action, process, or result of (noun)","hành động, quá trình hoặc kết quả (danh từ)",lightning,missing_words_analyzed
nings,Mới - chưa có ảnh,1,"results or products of an action (noun, plural)","kết quả hoặc sản phẩm của hành động (danh từ, số nhiều)",underpinnings,missing_words_analyzed
not,Mới - chưa có ảnh,1,"negation, not (adverb/particle)","phủ định, không (trạng từ/tiểu từ)",cannot,missing_words_analyzed
nt,Mới - chưa có ảnh,1,"performing, being, characterized by (adjective, from present participle)","đang thực hiện, có tính chất (tính từ, từ phân từ hiện tại)",urgent,missing_words_analyzed
ny,Mới - chưa có ảnh,2,"characterized by, full of (adjective)","có đặc điểm, đầy (tính từ)","funny, sunny",missing_words_analyzed
oline,Mới - chưa có ảnh,1,"oil, petroleum derivative (noun)","dầu, dẫn xuất từ dầu mỏ (danh từ)",gasoline,missing_words_analyzed
ome,Mới - chưa có ảnh,1,"complete set, body of (Greek, noun, scientific)","toàn bộ, tập hợp (Hy Lạp, danh từ, khoa học)",genome,missing_words_analyzed
ously,Mới - chưa có ảnh,2,"in a manner that is, full of (adverb)","theo cách, đầy (trạng từ)","dangerously, vigorously",missing_words_analyzed
out,Mới - chưa có ảnh,2,"action of going out, result of an action (noun)","hành động đi ra, kết quả của hành động (danh từ)","burnout, takeout",missing_words_analyzed
over,Mới - chưa có ảnh,1,"in addition, beyond (adverb)","thêm vào đó, vượt quá (trạng từ)",moreover,missing_words_analyzed
ped,Mới - chưa có ảnh,1,"having been, characterized by (adjective, past participle)","đã được, có đặc điểm (tính từ, phân từ quá khứ)",untapped,missing_words_analyzed
phone,Mới - chưa có ảnh,1,"sound, voice; instrument producing sound (Greek, noun)","âm thanh, giọng nói; nhạc cụ phát âm (Hy Lạp, danh từ)",saxophone,missing_words_analyzed
ple,Mới - chưa có ảnh,1,repeated or small action (verb),hành động lặp lại hoặc nhỏ (động từ),topple,missing_words_analyzed
proof,Mới - chưa có ảnh,2,"resistant to, protected against (adjective)","chống lại, được bảo vệ khỏi (tính từ)","fireproof, weatherproof",missing_words_analyzed
ption,Mới - chưa có ảnh,2,"act, state, or result of (noun)","hành động, trạng thái hoặc kết quả (danh từ)","assumption, consumption",missing_words_analyzed
r,Mới - chưa có ảnh,6+,"one who does, agent (noun)","người thực hiện, tác nhân (danh từ)","adventurer, advertiser, bulldozer, diner, scavenger, wrestler",missing_words_analyzed
ren,Mới - chưa có ảnh,1,"plural marker, irregular plural (noun)",dấu hiệu số nhiều bất quy tắc (danh từ),schoolchildren,missing_words_analyzed
rence,Mới - chưa có ảnh,3,"act, state, or instance of (noun)","hành động, trạng thái hoặc trường hợp (danh từ)","deterrence, occurrence, recurrence",missing_words_analyzed
ress,Mới - chưa có ảnh,1,"state, quality; place characterized by (noun)","trạng thái, tính chất; nơi có đặc điểm (danh từ)",fortress,missing_words_analyzed
ring,Mới - chưa có ảnh,1,"action, process (noun/adjective, present participle)","hành động, quá trình (danh từ/tính từ, phân từ hiện tại)",reoccurring,missing_words_analyzed
rium,Mới - chưa có ảnh,1,"place for, related to (Latin, noun)","nơi chốn, liên quan đến (Latin, danh từ)",aquarium,missing_words_analyzed
roll,Mới - chưa có ảnh,1,"list, record (noun)","danh sách, hồ sơ (danh từ)",payroll,missing_words_analyzed
rupt,Mới - chưa có ảnh,1,"broken (adjective, Latin 'to break')","bị vỡ, gãy (tính từ, gốc Latin 'phá vỡ')",bankrupt,missing_words_analyzed
ry,Mới - chưa có ảnh,6+,"practice, place, state, or collection of (noun)","sự thực hành, nơi chốn, trạng thái hoặc tập hợp (danh từ)","chemistry, forgery, machinery, nursery, rivalry, scenery",missing_words_analyzed
s,Mới - chưa có ảnh,6+,plural marker; adverb-forming (noun/adverb),dấu hiệu số nhiều; tạo trạng từ (danh từ/trạng từ),"apps, besides, news, others, smartphones, visuals",missing_words_analyzed
s (plural),Mới - chưa có ảnh,1,plural marker (noun),dấu hiệu số nhiều (danh từ),businessmen,missing_words_analyzed
scape,Mới - chưa có ảnh,1,"view, scene of (noun)","cảnh, khung cảnh (danh từ)",landscape,missing_words_analyzed
se,Mới - chưa có ảnh,1,"to make, cause to become (verb)",làm cho trở thành (động từ),cleanse,missing_words_analyzed
sie,Mới - chưa có ảnh,1,"diminutive, familiar form of (noun, informal)","dạng thân mật, giảm nhẹ (danh từ, thân mật)",aussie,missing_words_analyzed
sion,Mới - chưa có ảnh,6+,"act, state, or result of (noun)","hành động, trạng thái hoặc kết quả (danh từ)","collision, comprehension, division, erosion, expansion, extension",missing_words_analyzed
sive,Mới - chưa có ảnh,1,"tending to, having the quality of (adjective)","có xu hướng, có tính chất (tính từ)",persuasive,missing_words_analyzed
