word,trang_thai,cong_thuc_hoac_nguon,meaning_en,meaning_vi
absolutism,Đã có trong MorphLink,co san trong du lieu goc,the doctrine of an absolute being,"absolute(tuyệt đối, hoàn toàn) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
absolve,Đã có trong MorphLink,co san trong du lieu goc,to let off the hook,"ab-(rời xa, khỏi) + solve(giải quyết)"
absurdity,Đã có trong MorphLink,co san trong du lieu goc,a ludicrous folly,"absurd(vô lý, phi lý) + -ity(trạng thái, tính chất (danh từ))"
absurdly,Đã có trong MorphLink,co san trong du lieu goc,in an absurd manner or to an absurd degree,"absurd(vô lý, phi lý) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
abusive,Đã có trong MorphLink,co san trong du lieu goc,characterized by physical or psychological maltreatment,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ))"
abusively,Đã có trong MorphLink,co san trong du lieu goc,in an abusive manner,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
accentual,Đã có trong MorphLink,co san trong du lieu goc,(of verse) having a metric system based on stress rather than syllables or quantity,"accent(trọng âm, giọng nói) + -al(thuộc về (tính từ); hành động (danh từ))"
accentuate,Đã có trong MorphLink,co san trong du lieu goc,to put stress on,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ))"
accentuation,Đã có trong MorphLink,co san trong du lieu goc,the act of giving special importance or significance to something,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
acceptability,Đã có trong MorphLink,co san trong du lieu goc,satisfactoriness by virtue of conforming to approved standards,"accept(chấp nhận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
acceptable,Đã có trong MorphLink,co san trong du lieu goc,agreed or approved of by most people in a society,accept(chấp nhận) + -able(có thể được (tính từ))
acceptably,Đã có trong MorphLink,co san trong du lieu goc,in an acceptable (but not outstanding) manner,accept(chấp nhận) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
acceptance,Đã có trong MorphLink,co san trong du lieu goc,"the act of accepting a gift, an invitation, an offer, etc.","accept(chấp nhận) + -ance(trạng thái, tính chất, hành động (danh từ))"
acceptation,Đã có trong MorphLink,co san trong du lieu goc,the act of accepting with approval,"accept(chấp nhận) + -ion(hành động, quá trình, trạng thái (danh từ))"
accessibility,Đã có trong MorphLink,co san trong du lieu goc,the attribute of being easy to meet or deal with,"access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
accessible,Đã có trong MorphLink,co san trong du lieu goc,"that can be reached, entered, used, seen, etc.","access(truy cập, tiếp cận) + -able(có thể được (tính từ))"
accession,Đã có trong MorphLink,co san trong du lieu goc,the act of attaining or gaining access to a new office or right or position (especially the throne),"access(truy cập, tiếp cận) + -ion(hành động, quá trình, trạng thái (danh từ))"
accessors,Đã có trong MorphLink,co san trong du lieu goc,access(the opportunity or right to use something or to see somebody/something) + -or(person/thing that does (noun)),"access(truy cập, tiếp cận) + -or(người/vật thực hiện (danh từ))"
accidental,Đã có trong MorphLink,co san trong du lieu goc,happening by chance or unexpectedly or unintentionally,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ))
accidentally,Đã có trong MorphLink,co san trong du lieu goc,by chance; in a way that was not planned,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
acclimate,Đã có trong MorphLink,co san trong du lieu goc,to get used to a certain climate,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + climate(khí hậu)
acclimation,Đã có trong MorphLink,co san trong du lieu goc,adaptation to a new climate (a new temperature or altitude or environment),"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + climate(khí hậu) + -ion(hành động, quá trình, trạng thái (danh từ))"
acclimatization,Đã có trong MorphLink,co san trong du lieu goc,adaptation to a new climate (a new temperature or altitude or environment),"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + climate(khí hậu) + -ize(làm cho, biến thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
acclimatize,Đã có trong MorphLink,co san trong du lieu goc,to get used to a certain climate,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + climate(khí hậu) + -ize(làm cho, biến thành (động từ))"
accommodation,Đã có trong MorphLink,co san trong du lieu goc,"a place to live, work or stay in","accommodate(chứa, thích nghi) + -ion(hành động, quá trình, trạng thái (danh từ))"
accomplishment,Đã có trong MorphLink,co san trong du lieu goc,an impressive thing that is done or achieved after a lot of work,accomplish(hoàn thành) + -ment(kết quả/hành động/trạng thái (danh từ))
accountability,Đã có trong MorphLink,co san trong du lieu goc,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
accountable,Đã có trong MorphLink,co san trong du lieu goc,responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ))"
accountably,Đã có trong MorphLink,co san trong du lieu goc,In an accountable manner.,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
accountancy,Đã có trong MorphLink,co san trong du lieu goc,the occupation of maintaining and auditing records and preparing financial reports for a business,"account(tài khoản, tường thuật) + -ance(trạng thái, tính chất, hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)"
accountant,Đã có trong MorphLink,co san trong du lieu goc,a person whose job is to keep or check financial accounts,"account(tài khoản, tường thuật) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
accredit,Đã có trong MorphLink,co san trong du lieu goc,to ascribe an achievement to,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + credit(tín dụng, công lao)"
accreditation,Đã có trong MorphLink,co san trong du lieu goc,"the act of granting credit or recognition, especially with respect to educational institution that maintains suitable standards","a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + credit(tín dụng, công lao) + -ion(hành động, quá trình, trạng thái (danh từ))"
acculturated,Đã có trong MorphLink,co san trong du lieu goc,"a-(not/without (Greek); on/in (VD: aboard); or intensifier) + culture(the customs and beliefs, art, way of life and social organization of a particular country or group) + -ate(to make/become (verb); having (adjective))",a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + culture(văn hóa) + -ate(làm cho/trở thành (động từ); có (tính từ))
acculturation,Đã có trong MorphLink,co san trong du lieu goc,the adoption of the behavior patterns of the surrounding culture,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + culture(văn hóa) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
accusation,Đã có trong MorphLink,co san trong du lieu goc,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,"accuse(buộc tội) + -ion(hành động, quá trình, trạng thái (danh từ))"
accusative,Đã có trong MorphLink,co san trong du lieu goc,containing or expressing accusation,"accuse(buộc tội) + -ive(có xu hướng, có tính chất (tính từ))"
accuser,Đã có trong MorphLink,co san trong du lieu goc,someone who imputes guilt or blame,accuse(buộc tội) + -er(người làm việc gì; so sánh hơn)
accusingly,Đã có trong MorphLink,co san trong du lieu goc,in an accusing manner,accuse(buộc tội) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
accustom,Đã có trong MorphLink,co san trong du lieu goc,to make psychologically or physically used to something,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + custom(phong tục)
achievable,Đã có trong MorphLink,co san trong du lieu goc,capable of existing or taking place or proving true,achieve(đạt được) + -able(có thể được (tính từ))
achievement,Đã có trong MorphLink,co san trong du lieu goc,"a thing that somebody has done successfully, especially using their own effort and skill",achieve(đạt được) + -ment(kết quả/hành động/trạng thái (danh từ))
acidic,Đã có trong MorphLink,co san trong du lieu goc,being or containing an acid,"acid(axit, chua) + -ic(thuộc về (tính từ))"
acidify,Đã có trong MorphLink,co san trong du lieu goc,to turn acidic,"acid(axit, chua) + -ify(làm cho, khiến trở thành (động từ))"
acidity,Đã có trong MorphLink,co san trong du lieu goc,the property of being acidic,"acid(axit, chua) + -ity(trạng thái, tính chất (danh từ))"
acquit,Đã có trong MorphLink,co san trong du lieu goc,to pronounce not guilty of criminal charges,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + quit(từ bỏ)
acquittal,Đã có trong MorphLink,co san trong du lieu goc,a judgment of not guilty,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + quit(từ bỏ) + -al(thuộc về (tính từ); hành động (danh từ))
acreage,Đã có trong MorphLink,co san trong du lieu goc,an area of ground used for some particular purpose such as building or farming,"acre(mẫu Anh (đơn vị diện tích)) + -age(hành động, kết quả, tập hợp (danh từ))"
action,Đã có trong MorphLink,co san trong du lieu goc,the process of doing something in order to make something happen or to deal with a situation,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
actionable,Đã có trong MorphLink,co san trong du lieu goc,affording grounds for legal action,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ)) + -able(có thể được (tính từ))"
activate,Đã có trong MorphLink,co san trong du lieu goc,to make something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))"
activation,Đã có trong MorphLink,co san trong du lieu goc,the act of making something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
active,Đã có trong MorphLink,co san trong du lieu goc,"always busy doing things, especially physical activities","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
actively,Đã có trong MorphLink,co san trong du lieu goc,in an active manner,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
activism,Đã có trong MorphLink,co san trong du lieu goc,a policy of taking direct and militant action to achieve a political or social goal,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
activist,Đã có trong MorphLink,co san trong du lieu goc,"a person who works to achieve political or social change, especially as a member of an organization with particular aims","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ist(người theo/thực hành (danh từ))"
activity,Đã có trong MorphLink,co san trong du lieu goc,a thing that you do for interest or pleasure,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
actor,Đã có trong MorphLink,co san trong du lieu goc,"a person who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -or(người/vật thực hiện (danh từ))"
actress,Đã có trong MorphLink,co san trong du lieu goc,"a woman who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -ess(giống cái (danh từ))"
actual,Đã có trong MorphLink,co san trong du lieu goc,used to emphasize something that is real or exists in fact,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ))"
actuality,Đã có trong MorphLink,co san trong du lieu goc,the state of actually existing objectively,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
actually,Đã có trong MorphLink,co san trong du lieu goc,"used in speaking to emphasize a fact or a comment, or that something is really true","act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)"
actuarial,Đã có trong MorphLink,co san trong du lieu goc,of or relating to the work of an actuary,"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
actuarially,Đã có trong MorphLink,co san trong du lieu goc,"act(a particular thing that somebody does) + -ory(relating to, place for (adjective/noun)) + -al(relating to (adjective); action (noun)) + -ly(adverb of manner / adjective (like))","act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
actuary,Đã có trong MorphLink,co san trong du lieu goc,someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums),"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
actuate,Đã có trong MorphLink,co san trong du lieu goc,to put in motion or move to act,"act(hành động, đạo luật) + -ate(làm cho/trở thành (động từ); có (tính từ))"
acutely,Đã có trong MorphLink,co san trong du lieu goc,having a rapid onset,"acute(gay gắt, cấp tính) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
acuteness,Đã có trong MorphLink,co san trong du lieu goc,the quality of having a sharp edge or point,"acute(gay gắt, cấp tính) + -ness(trạng thái, tính chất (danh từ))"
adaptability,Đã có trong MorphLink,co san trong du lieu goc,the ability to change (or be changed) to fit changed circumstances,"adapt(thích nghi, chuyển thể) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
adaptable,Đã có trong MorphLink,co san trong du lieu goc,capable of adapting (of becoming or being made suitable) to a particular situation or use,"adapt(thích nghi, chuyển thể) + -able(có thể được (tính từ))"
adaptation,Đã có trong MorphLink,co san trong du lieu goc,"the action or process of changing something, or of being changed, to suit a new purpose or situation","adapt(thích nghi, chuyển thể) + -ion(hành động, quá trình, trạng thái (danh từ))"
adapter,Đã có trong MorphLink,co san trong du lieu goc,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible,"adapt(thích nghi, chuyển thể) + -er(người làm việc gì; so sánh hơn)"
addition,Đã có trong MorphLink,co san trong du lieu goc,a thing that is added to something else,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ))"
additional,Đã có trong MorphLink,co san trong du lieu goc,more than was first mentioned or is usual,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
additionally,Đã có trong MorphLink,co san trong du lieu goc,in a way that is more than was first mentioned or is usual,"add(thêm vào, cộng) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
additive,Đã có trong MorphLink,co san trong du lieu goc,characterized or produced by addition,"add(thêm vào, cộng) + -ive(có xu hướng, có tính chất (tính từ))"
addressee,Đã có trong MorphLink,co san trong du lieu goc,one to whom something is addressed,"address(địa chỉ, giải quyết) + -ee(người nhận/chịu tác động (danh từ))"
adjoin,Đã có trong MorphLink,co san trong du lieu goc,to attach or add,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + join(tham gia)
adjudge,Đã có trong MorphLink,co san trong du lieu goc,to declare to be,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + judge(thẩm phán, phán xét)"
adjust,Đã có trong MorphLink,co san trong du lieu goc,to change something slightly to make it more suitable for a new set of conditions or to make it work better,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + just(chỉ, công bằng)"
adjustable,Đã có trong MorphLink,co san trong du lieu goc,capable of being regulated,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + just(chỉ, công bằng) + -able(có thể được (tính từ))"
adjuster,Đã có trong MorphLink,co san trong du lieu goc,one who investigates insurance claims or claims for damages and recommends an effective settlement,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + just(chỉ, công bằng) + -er(người làm việc gì; so sánh hơn)"
adjustment,Đã có trong MorphLink,co san trong du lieu goc,a small change made to something in order to correct or improve it,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + just(chỉ, công bằng) + -ment(kết quả/hành động/trạng thái (danh từ))"
adman,Đã có trong MorphLink,co san trong du lieu goc,someone whose business is advertising,ad+man(quảng cáo + đàn ông)
administer,Đã có trong MorphLink,co san trong du lieu goc,"to manage and organize the affairs of a company, an organization, a country, etc.",a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + minister(bộ trưởng)
administration,Đã có trong MorphLink,co san trong du lieu goc,"the activities that are done in order to plan, organize and run a business, school or other institution","a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + minister(bộ trưởng) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
administrative,Đã có trong MorphLink,co san trong du lieu goc,connected with organizing the work of a business or an institution,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + minister(bộ trưởng) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ive(có xu hướng, có tính chất (tính từ))"
administratively,Đã có trong MorphLink,co san trong du lieu goc,by or for an administrator,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + minister(bộ trưởng) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
administrator,Đã có trong MorphLink,co san trong du lieu goc,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + minister(bộ trưởng) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -or(người/vật thực hiện (danh từ))
admirable,Đã có trong MorphLink,co san trong du lieu goc,deserving of the highest esteem or admiration,admire(ngưỡng mộ) + -able(có thể được (tính từ))
admirably,Đã có trong MorphLink,co san trong du lieu goc,in an admirable manner,admire(ngưỡng mộ) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
admiration,Đã có trong MorphLink,co san trong du lieu goc,a favorable judgment,"admire(ngưỡng mộ) + -ion(hành động, quá trình, trạng thái (danh từ))"
admirer,Đã có trong MorphLink,co san trong du lieu goc,"someone who admires another person, meaning they are romantically interested ",admire(ngưỡng mộ) + -er(người làm việc gì; so sánh hơn)
admiringly,Đã có trong MorphLink,co san trong du lieu goc,with admiration,admire(ngưỡng mộ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
admissibility,Đã có trong MorphLink,co san trong du lieu goc,acceptability by virtue of being admissible,"admit(thừa nhận, cho vào) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
admissible,Đã có trong MorphLink,co san trong du lieu goc,deserving to be admitted,"admit(thừa nhận, cho vào) + -able(có thể được (tính từ))"
admission,Đã có trong MorphLink,co san trong du lieu goc,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization","admit(thừa nhận, cho vào) + -ion(hành động, quá trình, trạng thái (danh từ))"
admittance,Đã có trong MorphLink,co san trong du lieu goc,the act of admitting someone to enter,"admit(thừa nhận, cho vào) + -ance(trạng thái, tính chất, hành động (danh từ))"
admittedly,Đã có trong MorphLink,co san trong du lieu goc,as acknowledged,"admit(thừa nhận, cho vào) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
admix,Đã có trong MorphLink,co san trong du lieu goc,to mix or blend,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + mix(trộn lẫn)
admixture,Đã có trong MorphLink,co san trong du lieu goc,the act of mixing together,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + mix(trộn lẫn) + -ure(hành động, kết quả, quá trình (danh từ))"
adoption,Đã có trong MorphLink,co san trong du lieu goc,the act of adopting a child; the fact of being adopted,"adopt(nhận nuôi, áp dụng) + -ion(hành động, quá trình, trạng thái (danh từ))"
adoptive,Đã có trong MorphLink,co san trong du lieu goc,acquired as your own by free choice,"adopt(nhận nuôi, áp dụng) + -ive(có xu hướng, có tính chất (tính từ))"
adulthood,Đã có trong MorphLink,co san trong du lieu goc,the state (and responsibilities) of a person who has attained maturity,"adult(người lớn) + -hood(trạng thái, điều kiện, nhóm (danh từ))"
advancement,Đã có trong MorphLink,co san trong du lieu goc,gradual improvement or growth or development,"advance(tiến bộ, ứng trước) + -ment(kết quả/hành động/trạng thái (danh từ))"
advantageous,Đã có trong MorphLink,co san trong du lieu goc,giving an advantage,advantage(lợi thế) + -ious(có tính chất (tính từ))
advantageously,Đã có trong MorphLink,co san trong du lieu goc,in a manner affording benefit or advantage,advantage(lợi thế) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
adversary,Đã có trong MorphLink,co san trong du lieu goc,someone who offers opposition,"adverse(bất lợi, ngược lại) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
adversely,Đã có trong MorphLink,co san trong du lieu goc,in an negative manner,"adverse(bất lợi, ngược lại) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
adversity,Đã có trong MorphLink,co san trong du lieu goc,a stroke of ill fortune,"adverse(bất lợi, ngược lại) + -ity(trạng thái, tính chất (danh từ))"
advisability,Đã có trong MorphLink,co san trong du lieu goc,the quality of being advisable,"advise(khuyên bảo) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
advisable,Đã có trong MorphLink,co san trong du lieu goc,worthy of being recommended or suggested,advise(khuyên bảo) + -able(có thể được (tính từ))
advisedly,Đã có trong MorphLink,co san trong du lieu goc,with intention,advise(khuyên bảo) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
advisement,Đã có trong MorphLink,co san trong du lieu goc,careful consideration,advise(khuyên bảo) + -ment(kết quả/hành động/trạng thái (danh từ))
adviser,Đã có trong MorphLink,co san trong du lieu goc,an expert who gives advice,advise(khuyên bảo) + -er(người làm việc gì; so sánh hơn)
advisor,Đã có trong MorphLink,co san trong du lieu goc,an expert who gives advice,advise(khuyên bảo) + -or(người/vật thực hiện (danh từ))
advisory,Đã có trong MorphLink,co san trong du lieu goc,giving consultative information or advice,"advise(khuyên bảo) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
affirm,Đã có trong MorphLink,co san trong du lieu goc,to establish or strengthen as with new evidence or facts,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + firm(công ty, chắc chắn)"
affirmation,Đã có trong MorphLink,co san trong du lieu goc,a judgment by a higher court that the judgment of a lower court was correct and should stand,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + firm(công ty, chắc chắn) + -ion(hành động, quá trình, trạng thái (danh từ))"
affirmative,Đã có trong MorphLink,co san trong du lieu goc,affirming or giving assent,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + firm(công ty, chắc chắn) + -ive(có xu hướng, có tính chất (tính từ))"
affirmatively,Đã có trong MorphLink,co san trong du lieu goc,in an affirmative manner,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + firm(công ty, chắc chắn) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
affluence,Đã có trong MorphLink,co san trong du lieu goc,abundant wealth,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + flu(cúm) + -ance(trạng thái, tính chất, hành động (danh từ))"
affluent,Đã có trong MorphLink,co san trong du lieu goc,having an abundant supply of money or possessions of value,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + flu(cúm) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
afforest,Đã có trong MorphLink,co san trong du lieu goc,to establish a forest on previously unforested land,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + forest(rừng)
afforestation,Đã có trong MorphLink,co san trong du lieu goc,the conversion of bare or cultivated land into forest (originally for the purpose of hunting),"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + forest(rừng) + -ion(hành động, quá trình, trạng thái (danh từ))"
affront,Đã có trong MorphLink,co san trong du lieu goc,a deliberately offensive act or something producing the effect of deliberate disrespect,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + front(phía trước)
