root_word,meaning_en,meaning_vi
before,at an earlier time; in the past; already,trước khi
beg,to ask somebody for something especially in an anxious way because you want or need it very much,van xin
begin,to start doing something; to do the first part of something,bắt đầu
behave,to do things in a particular way,cư xử
behind,at or towards the back of somebody/something; further back,phía sau
belief,a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right,niềm tin
believe,to feel certain that something is true or that somebody is telling you the truth,tin tưởng
bell,"a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes",chuông
belt,"a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body",thắt lưng
bench,"a long seat for two or more people, usually made of wood","ghế dài, băng ghế"
bend,"a curve or turn, especially in a road or river",uốn cong
bent,not straight,"cong, khuynh hướng"
bet,"an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way",cá cược
betray,to give information about somebody/something to an enemy,phản bội
better,of a higher standard or less poor quality; not as bad as something else,tốt hơn
bias,"a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement","thiên vị, định kiến"
bid,an offer by a person or a company to pay a particular amount of money for something,"đấu thầu, ra giá"
big,"large in size, degree, amount, etc.",to lớn
bike,a bicycle,xe đạp
bill,a document that shows how much you owe somebody for goods or services,"hóa đơn, dự luật"
bin,a container that you put waste in,thùng rác
bind,"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together strongly","ràng buộc, buộc chặt"
bird,a creature that is covered with feathers and has two wings and two legs. Most birds can fly.,chim
birth,the time when a baby is born; the process of being born,sự sinh ra
bishop,a senior priest in charge of the work of the Church in a city or district,giám mục
bit,rather; to some extent,"một chút, bit (máy tính)"
bite,an act of biting,cắn
bitter,"having a strong, unpleasant taste; not sweet","đắng, cay đắng"
bizarre,very strange or unusual,kỳ quái
black,"having the very darkest colour, like coal or the sky at night",màu đen
blade,"the flat part of a knife, tool or machine, which has a sharp edge or edges for cutting",lưỡi dao
blame,responsibility for doing something badly or wrongly; saying that somebody is responsible for something,đổ lỗi
blank,"empty, with nothing written, printed or recorded on it",trống rỗng
blast,an explosion or a powerful movement of air caused by an explosion,vụ nổ
bleed,"to lose blood, especially from a wound or an injury",chảy máu
blend,a mixture of different types of the same thing,pha trộn
bless,to ask God to protect somebody/something,ban phước
blind,not able to see,mù lòa
block,a large piece of a solid material that is square or rectangular in shape and usually has flat sides,"khối, chặn lại"
blood,the red liquid that flows through the bodies of humans and animals,máu
blow,"a hard hit with the hand, a weapon, etc.","thổi, đòn đánh"
blue,having the colour of a clear sky or the sea on a clear day,màu xanh dương
board,"a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats","ban, bảng, tấm ván"
boast,to talk in a way that shows you are too proud of something that you have or can do,khoe khoang
boat,"a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor",thuyền
body,the whole physical structure of a human or an animal,cơ thể
boil,"when a liquid boils or when you boil it, it is heated to the point where it forms bubbles and turns to steam or vapour",đun sôi
bold,brave and confident; not afraid to say what you feel or to take risks,"táo bạo, đậm"
bomb,a weapon designed to explode at a particular time or when it is dropped or thrown,bom
bond,"something that forms a connection between people or groups, such as a feeling of friendship or shared ideas and experiences","trái phiếu, mối liên kết"
bone,any of the hard parts that form the skeleton of the body of a human or an animal,xương
book,a set of printed pages that are fastened inside a cover so that you can turn them and read them,sách
boost,something that helps or encourages somebody/something,thúc đẩy
boot,a strong shoe that covers the foot and ankle and often the lower part of the leg,"ủng, cốp xe"
border,the line that divides two countries or areas; the land near this line,biên giới
bore,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"làm chán, khoan lỗ"
born,to come out of your mother’s body at the beginning of your life,sinh ra
borrow,"to take and use something that belongs to somebody else, and return it to them at a later time",mượn
boss,a person who is in charge of other people at work and tells them what to do,ông chủ
bother,to spend time and/or energy doing something,làm phiền
bottle,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids",chai
bottom,"in the lowest, last or furthest place or position","đáy, phần dưới"
bounce,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this",nảy lên
bound,"certain or likely to happen, or to do or be something","ràng buộc, giới hạn"
bow,the act of bending your head or the upper part of your body forward in order to say hello or goodbye to somebody or to show respect,"cúi chào, cây cung"
bowl,"a deep round dish with a wide open top, used especially for holding food or liquid",cái bát
box,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things",hộp
boy,a male child or a young male person,con trai
brain,"the organ inside the head that controls movement, thought, memory and feeling",não bộ
branch,"a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow","chi nhánh, cành cây"
brand,"a type of product, service, etc. made or offered by a particular company under a particular name",thương hiệu
brave,"willing to do things that are difficult, dangerous or painful; not afraid",dũng cảm
bread,"a type of food made from flour, water and usually yeast mixed together and baked",bánh mì
break,"a short period of time when you stop what you are doing and rest, eat, etc.","phá vỡ, nghỉ giải lao"
breast,either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby,ngực
breath,the air that you take into your lungs and send out again,hơi thở
breed,"a particular type of animal that has been developed by people in a certain way, especially a type of dog, cat or farm animal","nhân giống, giống loài"
brick,"baked clay used for building walls, houses and other buildings; an individual block of this",gạch
bride,"a woman on her wedding day, or just before or just after it",cô dâu
bridge,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other",cây cầu
brief,lasting only a short time; short,ngắn gọn
bright,full of light; shining strongly,"sáng, thông minh"
bring,to come to a place with somebody/something,mang đến
broad,wide,rộng lớn
brother,a boy or man who has the same parents as another person,anh/em trai
brown,having the colour of earth or coffee,màu nâu
brush,"an object made of short stiff hairs (called bristles) or wires set in a block of wood or plastic, usually attached to a handle. Brushes are used for many different jobs, such as cleaning, painting and tidying your hair.","bàn chải, chải"
bubble,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass",bong bóng
buck,"a US, Australian or New Zealand dollar; a South African rand; an Indian rupee","đô la (tiếng lóng), con nai"
budget,the money that is available to a person or an organization and a plan of how it will be spent over a period of time,ngân sách
bug,any small insect,"côn trùng, lỗi phần mềm"
build,"to make something, especially a building, by putting parts together",xây dựng
bulk,the main part of something; most of something,khối lượng lớn
bullet,a small metal object that is fired from a gun,viên đạn
bunch,a number of things of the same type which are growing or fastened together,"chùm, bó"
burden,"a duty, responsibility, etc. that causes worry, difficulty or hard work",gánh nặng
burn,"an injury or a mark caused by fire, heat or acid",đốt cháy
burst,"to break open or apart, especially because of pressure from inside; to make something break in this way",nổ tung
bury,to place a dead body in the ground,chôn cất
bus,"a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off",xe buýt
bush,a plant that grows thickly with several hard stems coming up from the root,bụi cây
business,"the activity of making, buying, selling or supplying goods or services for money",kinh doanh
busy,having a lot to do; perhaps not free to do something else because you are working on something,bận rộn
butter,"a soft yellow food made from cream, used in cooking and for spreading on bread",bơ
button,"a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together","cúc áo, nút bấm"
buy,to obtain something by paying money for it,mua
by,past,"bởi, bằng"
bye,goodbye,tạm biệt
cabinet,a group of senior members of a government that is responsible for advising and deciding on government policy,"tủ, nội các"
cake,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.",bánh ngọt
call,the act of speaking to somebody on the phone,gọi
calm,"not excited, nervous or upset",bình tĩnh
camera,"a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device.",máy ảnh
camp,a place where people live temporarily in tents or temporary buildings,trại
campaign,"a series of planned activities that are intended to achieve a particular social, commercial or political aim",chiến dịch
can,a metal container in which food and drink is sold,"có thể, lon"
canal,"a long straight passage dug in the ground and filled with water for boats and ships to travel along; a smaller passage used for carrying water to fields, crops, etc.",kênh đào
cancel,to decide that something that has been arranged will not now take place,hủy bỏ
cancer,"a serious disease in which growths of cells, also called cancers, form in the body and kill normal body cells. The disease often causes death.",ung thư
candle,a round stick of wax with a piece of string (called a wick) through the middle that is lit to give light as it burns,nến
canvas,"a strong heavy rough material used for making tents, sails, etc. and by artists for painting on",vải bạt
cap,"a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and boys, often as part of a uniform",mũ lưỡi trai
capable,having the ability or qualities necessary for doing something,có khả năng
captain,the person in charge of a ship or commercial aircraft,thuyền trưởng
car,a road vehicle with an engine and four wheels that can carry a small number of passengers,xe ô tô
carbon,"a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite.",carbon
card,"thick, stiff paper; a piece of this for writing on","thẻ, thiệp"
care,the process of caring for somebody/something and providing what they need for their health or protection,"quan tâm, chăm sóc"
career,"the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes",sự nghiệp
cargo,"the goods carried in a ship, an aircraft or a motor vehicle",hàng hóa
carpet,"a piece of thick woven material made of wool, etc., used to cover the floor of a room or stairs; the material used for carpets",thảm
carrot,a long pointed orange root vegetable,cà rốt
carry,to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another,mang theo
cartoon,"a humorous drawing in a newspaper or magazine, especially one about politics or events in the news",phim hoạt hình
carve,"to make objects, patterns, etc. by cutting away material from a piece of wood or stone, or another hard material",chạm khắc
case,a particular situation or a situation of a particular type,"trường hợp, vali"
cash,money in the form of coins or notes,tiền mặt
cast,all the people who act in a play or film,"phân vai, đúc khuôn"
castle,"a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack",lâu đài
casual,not formal,"thông thường, tình cờ"
cat,a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice.,con mèo
catch,"an act of catching something, for example a ball",bắt lấy
cater,to provide food and drinks for a social event,cung cấp thực phẩm
cause,the person or thing that makes something happen,"nguyên nhân, gây ra"
cave,a large hole in the side of a hill or cliff or under the ground,hang động
cease,to stop happening or existing; to stop something from happening or existing,ngừng lại
cell,the smallest unit of living matter that can exist on its own. All plants and animals are made up of cells.,"tế bào, phòng giam"
centre,the middle point or part of something,trung tâm
ceremony,a public or religious occasion that includes a series of formal or traditional actions,nghi lễ
certain,strongly believing something; having no doubts,chắc chắn
chain,"a series of connected metal rings, used for pulling or fastening things; a length of chain used for a particular purpose","dây xích, chuỗi"
chair,"a piece of furniture for one person to sit on, with a back, a seat and four legs",ghế
challenge,a new or difficult task that tests somebody’s ability and skill,thách thức
chamber,a hall in a public building that is used for formal meetings,"phòng, buồng"
champion,"a person, team, etc. that has won a competition, especially in a sport",nhà vô địch
chance,"a possibility of something happening, especially something that you want","cơ hội, may rủi"
change,the act or result of something becoming different,thay đổi
channel,a television station,kênh
character,"a person or an animal in a book, play or film","tính cách, nhân vật"
charge,the amount of money that somebody asks for goods and services,"phí, buộc tội, sạc"
charm,the power of pleasing or attracting people,sự quyến rũ
chart,"a diagram, lists of figures, etc. that shows information",biểu đồ
charter,a written statement describing the rights that a particular group of people should have,"điều lệ, thuê bao"
chase,an act of running or driving after somebody/something in order to catch them or it,đuổi theo
chat,a friendly informal conversation,trò chuyện
cheap,costing little money or less money than you expected,rẻ tiền
cheat,"a person who cheats, especially in a game",gian lận
check,"an act of making sure that something is safe, correct or in good condition by examining it",kiểm tra
cheek,either side of the face below the eyes,má
cheer,"a shout of joy, support or praise","reo hò, cổ vũ"
cheese,a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food,phô mai
chest,"the top part of the front of the body, between the neck and the stomach","ngực, rương"
chief,most important,"thủ lĩnh, chính"
child,a young human who is not yet an adult,trẻ em
chip,a long thin piece of potato fried in oil or fat,"mảnh vụn, chip"
choice,an act of choosing between two or more possibilities; something that you can choose,sự lựa chọn
choir,"a group of people who sing together, for example in church services or public performances",dàn hợp xướng
choose,to decide which thing or person you want out of the ones that are available,lựa chọn
chop,to cut something into pieces with a sharp tool such as a knife,"chặt, băm"
chunk,"a thick, solid piece that has been cut or broken off something",mảng lớn
church,"a building where Christians go to attend services, pray, etc.",nhà thờ
cinema,a building in which films are shown,rạp chiếu phim
circle,a completely round flat shape,vòng tròn
circuit,"a line, route or journey around a place","mạch điện, vòng đua"
cite,"to mention something as a reason or an example, or in order to support what you are saying",trích dẫn
citizen,a person who has the legal right to belong to a particular country,công dân
city,a large and important town,thành phố
civil,connected with the people who live in a country,dân sự
claim,a statement that something is true although it has not been proved and other people may not agree with or believe it,"yêu cầu, tuyên bố"
class,a group of students who are taught together,"lớp học, giai cấp"
clean,not dirty,sạch sẽ
clear,easy to understand and not confusing,rõ ràng
clever,quick at learning and understanding things,thông minh
cliff,"a high area of rock with a very steep side, often at the edge of the sea or ocean",vách đá
climate,the regular pattern of weather conditions of a particular place,khí hậu
climb,"an act of climbing up a mountain, rock or large number of steps; a period of time spent climbing",leo trèo
cling,to hold on tightly to somebody/something,bám chặt
clinic,a building or part of a hospital where people can go for special medical treatment or advice,phòng khám
clip,a short part of a film that is shown separately,"kẹp giấy, kẹp"
clock,"an instrument for measuring and showing time, in a room, on the wall of a building or on a computer screen (not worn or carried like a watch)",đồng hồ
close,near in space or time,"đóng lại, gần"
cloth,"material made by weaving or knitting cotton, wool, silk, etc.",vải
cloud,"a grey or white mass that floats in the sky, made of very small drops of water ",đám mây
club,an organization for people who share an interest or do a sport or activity together,"câu lạc bộ, gậy"
clue,"an object, a piece of evidence or some information that helps the police solve a crime",manh mối
coach,a person who trains a person or team in sport,"huấn luyện viên, xe khách"
coal,a hard black mineral that is found below the ground and burnt to produce heat,than đá
coast,the land next to or near to the sea or ocean,bờ biển
coat,a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms) and may be long or short.,áo khoác
code,"a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form","mã, quy tắc"
coffee,the roasted seeds (called coffee beans) of a tropical bush; a powder made from them,cà phê
coin,a small flat piece of metal used as money,đồng xu
cold,having a lower than usual temperature; having a temperature lower than the human body,lạnh
collapse,"a sudden failure of something, such as an institution, a business or a course of action",sụp đổ
collect,to bring things together from different people or places,thu thập
college,(in the UK) a place where students go to study or to receive training after they have left school,trường cao đẳng/đại học
color,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),màu sắc
column,one of the straight sections from top to bottom into which text on a page or screen is divided,cột
combat,"fighting or a fight, especially during a time of war",chiến đấu
combine,to come together to form a single thing or group; to join two or more things or groups together to form a single one,kết hợp
come,to move to or towards a person or place,đến
comedy,"a play, film or TV show that is intended to be funny, usually with a happy ending; plays, films and TV shows of this type",hài kịch
comfort,"the state of being physically relaxed and free from pain; the state of having a pleasant life, with everything that you need",sự thoải mái
comic,humorous and making you laugh,"truyện tranh, hài hước"
command,an order given to a person or an animal,ra lệnh
commence,to begin to happen; to begin something,bắt đầu
comment,something that you say or write that gives an opinion on or explains somebody/something,bình luận
commerce,"trade, especially between countries; the buying and selling of goods and services",thương mại
commit,to do something wrong or illegal,"cam kết, phạm tội"
common,happening often; existing in large numbers or in many places,"phổ biến, chung"
compare,to examine people or things to see how they are similar and how they are different,so sánh
compassion,a strong feeling of sympathy for people or animals who are suffering and a desire to help them,lòng trắc ẩn
compel,to force somebody to do something; to make something necessary,ép buộc
compensate,"to provide something good to balance or reduce the bad effects of damage, loss, etc.",bồi thường
compete,to take part in a contest or game,cạnh tranh
compile,"to produce a book, list, report, etc. by bringing together different items, articles, songs, etc.; to collect information in order to produce a book, list, etc.",biên soạn
complain,"to say that you are annoyed, unhappy or not satisfied about somebody/something",phàn nàn
complete,"including all the parts, etc. that are necessary; whole",hoàn thành
complicate,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm phức tạp
comply,"to obey a rule, an order, etc.; to meet particular standards",tuân thủ
compromise,an agreement made between two people or groups in which each side gives up some of the things they want so that both sides are happy at the end,thỏa hiệp
compute,to calculate something,tính toán
conceal,to hide somebody/something,che giấu
concern,"a feeling of worry, especially one that is shared by many people","quan tâm, lo ngại"
concert,a public performance of music,buổi hòa nhạc
concrete,made of concrete,"bê tông, cụ thể"
condemn,"to say very strongly that you think something is bad, usually for moral reasons",lên án
condition,the state that something is in,điều kiện
confer,"to discuss something with somebody, in order to exchange opinions or get advice","trao đổi, hội ý"
confess,"to admit, especially formally or to the police, that you have done something wrong or illegal",thú nhận
confuse,to make somebody unable to think clearly or understand something,gây nhầm lẫn
congratulate,to tell somebody that you are pleased about their success or achievements,chúc mừng
connect,to join together two or more things; to be joined together,kết nối
conquer,to take control of a country or city and its people by force,chinh phục
conscience,the part of your mind that tells you whether your actions are right or wrong,lương tâm
conscious,aware of something; noticing something,có ý thức
consecutive,following one after another in a continuous series ,liên tiếp
consequence,"a result of something that has happened, especially an unpleasant result",hậu quả
consider,"to think about something carefully, especially in order to make a decision",xem xét
constant,happening all the time or repeatedly,"liên tục, hằng số"
consult,to go to somebody for information or advice,tư vấn
contemplate,"to think about whether you should do something, or how you should do something",suy ngẫm
contempt,the feeling that somebody/something is without value and deserves no respect at all,khinh miệt
contend,"to say that something is true, especially in an argument","tranh giành, cho rằng"
content,happy and satisfied with what you have,"nội dung, hài lòng"
