word,pos,meaning_en,meaning_vi
airpark,noun,"the mixture of gases that surrounds the earth and that we breathe + an area of public land in a town or a city where people go to walk, play and relax","the mixture of gases that surrounds the earth and that we breathe + an area of public land in a town or a city where people go to walk, play and relax"
alcoholically,adverb,"drinks such as beer, wine, etc. that can make people drunk | relating to (adjective | adverb of manner / adjective (like","drinks such as beer, wine, etc. that can make people drunk | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
amidst,noun,not/without (Greek | VD: aboard | the middle part of something,not/khong có (Greek | VD: aboard | the middle part of something
amongst,adjective,surrounded by somebody/something; in the middle of somebody/something | superlative,surrounded by somebody/something; in the middle of somebody/something | so sánh nhất
amoral,adjective,not/without (Greek | VD: aboard | connected with principles of right and wrong behaviour,not/khong có (Greek | VD: aboard | connected with principles of right and wrong behaviour
amusedly,adverb,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | adverb of manner / adjective (like,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | trạng từ chỉ cách thức / t tính từ (like
angrier,noun,having strong feelings about something that you dislike very much or about an unfair situation | person who does; comparative,having strong feelings about something that you dislike very much or about an unfair situation | người thực hiện; so sánh hơn
angriest,adjective,having strong feelings about something that you dislike very much or about an unfair situation | superlative,having strong feelings about something that you dislike very much or about an unfair situation | so sánh nhất
antipathetically,adverb,against | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | relating to (adjective | adverb of manner / adjective (like,chống lại | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like
appleby,unknown,apple(a round fruit with shiny red or green skin that is fairly hard and white inside) + -by(by),quả táo — by (unknown)
areaways,noun,"part of a place, town, etc., or a region of a country or the world + very far; by a large amount","part of a place, town, etc., or a region of a country or the world + very far; by a large amount"
armload,noun,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + something that is being carried (usually in large amounts,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + something that is being carried (usually in large amounts
armstrong,noun,"either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.","either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + having a lot of physical power so that you can lift heavy weights, do hard physical work, etc."
arrangers,noun,to plan or organize something in advance | person who does; comparative,to plan or organize something in advance | người thực hiện; so sánh hơn
artier,noun,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | having quality of; noun/adjective | person who does; comparative","the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
artiest,adjective,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | having quality of; noun/adjective | superlative","the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
artiness,noun,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | having quality of; noun/adjective | state or quality of (noun","the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ"
ashier,noun,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt | having quality of; noun/adjective | person who does; comparative","the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
ashman,noun,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt + an adult male human","the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt + an adult male human"
attuned,noun,not/without (Greek | VD: aboard | a series of musical notes that are sung or played in a particular order to form a piece of music,not/khong có (Greek | VD: aboard | a series of musical notes that are sung or played in a particular order to form a piece of music
autistically,adverb,a car | relating to (adjective | adverb of manner / adjective (like,a car | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like
autocoder,noun,"a car + a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form | person who does; comparative","a car + a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form | người thực hiện; so sánh hơn"
autumnally,adverb,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder | relating to (adjective | noun | adverb of manner / adjective (like","the season of the year between summer and winter, when leaves change colour and the weather becomes colder | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like"
backbit,noun,"backward, behind | rather; to some extent","backward, behind | rather; to some extent"
backbitten,verb,"backward, behind | rather; to some extent | to make (verb | adjective","backward, behind | rather; to some extent | lam cho (động từ | t tính từ"
backboards,adjective,"located behind or at the back of something + a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats","located behind or at the back of something + a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats"
backbones,adjective,located behind or at the back of something + any of the hard parts that form the skeleton of the body of a human or an animal,located behind or at the back of something + any of the hard parts that form the skeleton of the body of a human or an animal
backbreakingly,adverb,"located behind or at the back of something + a short period of time when you stop what you are doing and rest, eat, etc. | adverb of manner / adjective (like","located behind or at the back of something + a short period of time when you stop what you are doing and rest, eat, etc. | trạng từ chỉ cách thức / t tính từ (like"
backdoors,adjective,"located behind or at the back of something + a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard","located behind or at the back of something + a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard"
backdrops,adjective,located behind or at the back of something + a very small amount of liquid that forms a round shape,located behind or at the back of something + a very nhỏ amount of liquid that forms a round shape
backspaced,adjective,located behind or at the back of something + the area outside the earth’s atmosphere where all the other planets and stars are,located behind or at the back of something + the area outside the earth’s atmosphere where all the other planets and stars are
backwardly,adverb,located behind or at the back of something | in the direction of (adjective/adverb | adverb of manner / adjective (like,located behind or at the back of something | in the direction of (t tính từ/adverb | trạng từ chỉ cách thức / t tính từ (like
baggier,noun,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling | having quality of; noun/adjective | person who does; comparative","a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
baggiest,adjective,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling | having quality of; noun/adjective | superlative","a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
ballfields,noun,"a round object used for throwing, hitting or kicking in games and sports + an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.","a round object used for throwing, hitting or kicking in games and sports + an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc."
banbury,noun,an official rule that says that something is not allowed + to place a dead body in the ground,an official rule that says that something is not allowed + to place a dead body in the ground
barer,noun,not covered by any clothes | person who does; comparative,not covered by any clothes | người thực hiện; so sánh hơn
barest,adjective,not covered by any clothes | superlative,not covered by any clothes | so sánh nhất
barflies,noun,a place where you can buy and drink alcoholic and other drinks + a small flying insect with two wings. There are many different types of fly and many of them spread disease.,a place where you can buy and drink alcoholic and other drinks + a nhỏ flying insect with two wings. There are many different types of fly and many of them spread disease.
baseman,noun,"the lowest part of something, especially the part or surface on which it rests or stands + an adult male human","the lowest part of something, especially the part or surface on which it rests or stands + an adult male human"
baser,noun,"the lowest part of something, especially the part or surface on which it rests or stands | person who does; comparative","the lowest part of something, especially the part or surface on which it rests or stands | người thực hiện; so sánh hơn"
basest,adjective,"the lowest part of something, especially the part or surface on which it rests or stands | superlative","the lowest part of something, especially the part or surface on which it rests or stands | so sánh nhất"
basketwork,noun,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker. + the job that a person does especially in order to earn money","a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker. + the job that a person does especially in order to earn money"
batters,noun,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | person who does; comparative","a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | người thực hiện; so sánh hơn"
batters,verb,"to hit repeatedly and hard, causing damage or injury","đánh liên tiếp và mạnh, gây hư hại hoặc thương tích"
battier,noun,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | having quality of; noun/adjective | person who does; comparative","a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
battiest,adjective,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | having quality of; noun/adjective | superlative","a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
battledress,noun,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people + a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles","a fight between armies, ships or planes, especially during a war; a violent fight between groups of people + a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles"
battlements,noun,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people | result/action/state (noun","a fight between armies, ships or planes, especially during a war; a violent fight between groups of people | result/hanh động/state (danh từ"
batwings,noun,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis + one of the parts of the body of a bird, insect or bat that it uses for flying","a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis + one of the parts of the body of a bird, insect or bat that it uses for flying"
beanpole,noun,"a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans. + a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support","a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans. + a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support"
bearably,adjective,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet | capable of being (adjective | having quality of; noun/adjective,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet | capable of being (t tính từ | cóĩ·· tính chất của; danh từ/t tính từ
bearishly,adverb,"a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet | somewhat, having quality of (adjective | adverb of manner / adjective (like","a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet | somewhat, cóĩ·· tính chất của (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
beasties,adjective,"an animal, especially one that is large or dangerous, or one that is unusual | having quality of; noun/adjective","an animal, especially one that is large or dangerous, or one that is unusual | cóĩ·· tính chất của; danh từ/t tính từ"
beastlier,noun,"an animal, especially one that is large or dangerous, or one that is unusual | adverb of manner / adjective (like | person who does; comparative","an animal, especially one that is large or dangerous, or one that is unusual | trạng từ chỉ cách thức / t tính từ (like | người thực hiện; so sánh hơn"
beastliest,adjective,"an animal, especially one that is large or dangerous, or one that is unusual | adverb of manner / adjective (like | superlative","an animal, especially one that is large or dangerous, or one that is unusual | trạng từ chỉ cách thức / t tính từ (like | so sánh nhất"
beatifically,adverb,"a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes | relating to (adjective | adverb of manner / adjective (like","a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
beauteously,adverb,the quality of giving pleasure to the senses or to the mind | having quality of (adjective | adverb of manner / adjective (like,the quality of giving pleasure to the senses or to the mind | cóĩ·· tính chất của (t tính từ | trạng từ chỉ cách thức / t tính từ (like
bedsprings,noun,a piece of furniture for sleeping on + the season between winter and summer when plants begin to grow,a piece of furniture for sleeping on + the season between winter and summer when plants begin to grow
beefier,noun,meat that comes from a cow | having quality of; noun/adjective | person who does; comparative,meat that comes from a cow | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
beefiest,adjective,meat that comes from a cow | having quality of; noun/adjective | superlative,meat that comes from a cow | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
beerier,noun,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer. | having quality of; noun/adjective | person who does; comparative,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
beeriest,adjective,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer. | having quality of; noun/adjective | superlative,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer. | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
befallen,verb,"thoroughly, to make, about | an act of falling | to make (verb | adjective","thoroughly, lam cho, about | an act of falling | lam cho (động từ | t tính từ"
behaviorally,adverb,to do things in a particular way | person/thing that does (noun | relating to (adjective | noun | adverb of manner / adjective (like,to do things in a particular way | person/vật thực hiện (danh từ | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like
believeth,noun,"to feel certain that something is true or that somebody is telling you the truth | ordinal number / state (noun, VD: eighth, warmth","to feel certain that something is true or that somebody is telling you the truth | ordinal number / state (danh từ, VD: eighth, warmth"
bemaddening,verb,"thoroughly, to make, about | very stupid; not at all sensible | to make (verb | adjective","thoroughly, lam cho, about | very stupid; not at all sensible | lam cho (động từ | t tính từ"
benchmarks,noun,"a long seat for two or more people, usually made of wood + a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it","a long seat for two or more people, usually made of wood + a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it"
benchmarks,verb,to evaluate or measure something by comparing it against a standard,đánh giá hoặc đo lường một thứ gì đó bằng cách so sánh với một chuẩn mực
benightedly,adverb,"thoroughly, to make, about | the time between one day and the next when it is dark, when people usually sleep | adverb of manner / adjective (like","thoroughly, lam cho, about | the time between one day and the next when it is dark, when people usually sleep | trạng từ chỉ cách thức / t tính từ (like"
bestselling,noun,"an animal, especially one that is large or dangerous, or one that is unusual + to give something to somebody in exchange for money","an animal, especially one that is large or dangerous, or one that is unusual + to give something to somebody in exchange for money"
betaken,verb,"thoroughly, to make, about | to carry or move something from one place to another | to make (verb | adjective","thoroughly, lam cho, about | to carry or move something from one place to another | lam cho (động từ | t tính từ"
betties,noun,"an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way + a long, narrow piece of cloth worn around the neck, especially by men, with a knot in front","an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way + a long, narrow piece of cloth worn around the neck, especially by men, with a knot in front"
biassing,noun,"a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement + to make musical sounds with your voice in the form of a song or tune","a strong feeling in favour of or chống lại one group of people, or one side in an argument, often not based on fair judgement + lam cho musical sounds with your voice in the form of a song or tune"
billie,noun,"a document that shows how much you owe somebody for goods or services | small, informal/affectionate (diminutive noun, VD: robbie, billie","a document that shows how much you owe somebody for goods or services | nhỏ, informal/affectionate (diminutive danh từ, VD: robbie, billie"
billposter,noun,"a document that shows how much you owe somebody for goods or services + the official system used for sending and delivering letters, packages, etc. | person who does; comparative","a document that shows how much you owe somebody for goods or services + the official system used for sending and delivering letters, packages, etc. | người thực hiện; so sánh hơn"
billposting,noun,"a document that shows how much you owe somebody for goods or services + the official system used for sending and delivering letters, packages, etc.","a document that shows how much you owe somebody for goods or services + the official system used for sending and delivering letters, packages, etc."
billsticker,noun,a document that shows how much you owe somebody for goods or services + a thin piece of wood that has fallen or been broken from a tree | person who does; comparative,a document that shows how much you owe somebody for goods or services + a thin piece of wood that has fallen or been broken from a tree | người thực hiện; so sánh hơn
bisexually,adverb,two | the state of being male or female | relating to (adjective | noun | adverb of manner / adjective (like,two | the state of being male or nữ | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like
bishopsgate,noun,a senior priest in charge of the work of the Church in a city or district + a barrier like a door that is used to close an opening in a fence or a wall outside a building,a senior priest in charge of the work of the Church in a city or district + a barrier like a door that is used to close an opening in a fence or a wall outside a building
bitterer,noun,"having a strong, unpleasant taste; not sweet | person who does; comparative","having a strong, unpleasant taste; not sweet | người thực hiện; so sánh hơn"
bitterest,adjective,"having a strong, unpleasant taste; not sweet | superlative","having a strong, unpleasant taste; not sweet | so sánh nhất"
bittier,noun,rather; to some extent | having quality of; noun/adjective | person who does; comparative,rather; to some extent | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
bittiest,adjective,rather; to some extent | having quality of; noun/adjective | superlative,rather; to some extent | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
bizarrely,adverb,very strange or unusual | adverb of manner / adjective (like,very strange or unusual | trạng từ chỉ cách thức / t tính từ (like
blacker,noun,"having the very darkest colour, like coal or the sky at night | person who does; comparative","having the very darkest colour, like coal or the sky at night | người thực hiện; so sánh hơn"
blackest,adjective,"having the very darkest colour, like coal or the sky at night | superlative","having the very darkest colour, like coal or the sky at night | so sánh nhất"
blackshirt,adjective,"having the very darkest colour, like coal or the sky at night + a piece of clothing worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front","having the very darkest colour, like coal or the sky at night + a piece of clothing worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front"
blanker,noun,"empty, with nothing written, printed or recorded on it | person who does; comparative","empty, with nothing written, printed or recorded on it | người thực hiện; so sánh hơn"
blankest,adjective,"empty, with nothing written, printed or recorded on it | superlative","empty, with nothing written, printed or recorded on it | so sánh nhất"
blindest,adjective,not able to see | superlative,not able to see | so sánh nhất
bloodier,noun,the red liquid that flows through the bodies of humans and animals | having quality of; noun/adjective | person who does; comparative,the red liquid that flows through the bodies of humans and animals | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
bloodiest,adjective,the red liquid that flows through the bodies of humans and animals | having quality of; noun/adjective | superlative,the red liquid that flows through the bodies of humans and animals | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
bloodlessness,noun,the red liquid that flows through the bodies of humans and animals | without (adjective | state or quality of (noun,the red liquid that flows through the bodies of humans and animals | khong có (t tính từ | trạng thái hoặc tính chất của (danh từ
bloodspots,noun,the red liquid that flows through the bodies of humans and animals + a small round area that has a different colour or feels different from the surface it is on,the red liquid that flows through the bodies of humans and animals + a nhỏ round area that has a different colour or feels different from the surface it is on
blowier,noun,"a hard hit with the hand, a weapon, etc. | having quality of; noun/adjective | person who does; comparative","a hard hit with the hand, a weapon, etc. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
bluebook,adjective,having the colour of a clear sky or the sea on a clear day + a set of printed pages that are fastened inside a cover so that you can turn them and read them,having the colour of a clear sky or the sea on a clear day + a set of printed pages that are fastened inside a cover so that you can turn them and read them
bluebush,adjective,having the colour of a clear sky or the sea on a clear day + a plant that grows thickly with several hard stems coming up from the root,having the colour of a clear sky or the sea on a clear day + a plant that grows thickly with several hard stems coming up from the root
bluest,adjective,having the colour of a clear sky or the sea on a clear day | superlative,having the colour of a clear sky or the sea on a clear day | so sánh nhất
boatyards,noun,a vehicle (smaller than a ship | = an area of grass,a vehicle (smaller than a ship | = an area of grass
bodyweight,unknown,"body+weigh(the whole physical structure of a human or an animal + to have a particular weight) + -t([INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing)",cơ thể + cân nặng — t (unknown)
bolder,noun,brave and confident; not afraid to say what you feel or to take risks | person who does; comparative,brave and confident; not afraid to say what you feel or to take risks | người thực hiện; so sánh hơn
boldest,adjective,brave and confident; not afraid to say what you feel or to take risks | superlative,brave and confident; not afraid to say what you feel or to take risks | so sánh nhất
bombsite,noun,"a weapon designed to explode at a particular time or when it is dropped or thrown + a place where a building, town, etc. was, is or will be located","a weapon designed to explode at a particular time or when it is dropped or thrown + a place where a building, town, etc. was, is or will be located"
bonier,noun,any of the hard parts that form the skeleton of the body of a human or an animal | having quality of; noun/adjective | person who does; comparative,any of the hard parts that form the skeleton of the body of a human or an animal | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
boniest,adjective,any of the hard parts that form the skeleton of the body of a human or an animal | having quality of; noun/adjective | superlative,any of the hard parts that form the skeleton of the body of a human or an animal | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
booklists,noun,"a set of printed pages that are fastened inside a cover so that you can turn them and read them + a series of names, items, figures, etc., especially when they are written or printed","a set of printed pages that are fastened inside a cover so that you can turn them and read them + a series of names, items, figures, etc., especially when they are written or printed"
bookwork,noun,a set of printed pages that are fastened inside a cover so that you can turn them and read them + the job that a person does especially in order to earn money,a set of printed pages that are fastened inside a cover so that you can turn them and read them + the job that a person does especially in order to earn money
borehole,unknown,bore+hole((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + a hollow space in something solid or in the surface of something),"làm chán, khoan lỗ + lỗ hổng (unknown)"
bossier,noun,a person who is in charge of other people at work and tells them what to do | having quality of; noun/adjective | person who does; comparative,a person who is in charge of other people at work and tells them what to do | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
bossiest,adjective,a person who is in charge of other people at work and tells them what to do | having quality of; noun/adjective | superlative,a person who is in charge of other people at work and tells them what to do | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
bossiness,noun,a person who is in charge of other people at work and tells them what to do | having quality of; noun/adjective | state or quality of (noun,a person who is in charge of other people at work and tells them what to do | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ
bouncier,noun,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | having quality of; noun/adjective | person who does; comparative","if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
bounciest,adjective,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | having quality of; noun/adjective | superlative","if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
bouncily,adverb,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | having quality of; noun/adjective | adverb of manner / adjective (like","if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this | cóĩ·· tính chất của; danh từ/t tính từ | trạng từ chỉ cách thức / t tính từ (like"
brainier,noun,"the organ inside the head that controls movement, thought, memory and feeling | having quality of; noun/adjective | person who does; comparative","the organ inside the head that controls movement, thought, memory and feeling | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
brainiest,adjective,"the organ inside the head that controls movement, thought, memory and feeling | having quality of; noun/adjective | superlative","the organ inside the head that controls movement, thought, memory and feeling | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
braininess,noun,"the organ inside the head that controls movement, thought, memory and feeling | having quality of; noun/adjective | state or quality of (noun","the organ inside the head that controls movement, thought, memory and feeling | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ"
branchier,noun,"a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow | having quality of; noun/adjective | person who does; comparative","a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
braver,noun,"willing to do things that are difficult, dangerous or painful; not afraid | person who does; comparative","willing to do things that are difficult, dangerous or painful; not afraid | người thực hiện; so sánh hơn"
bravest,adjective,"willing to do things that are difficult, dangerous or painful; not afraid | superlative","willing to do things that are difficult, dangerous or painful; not afraid | so sánh nhất"
breakin,noun,"a short period of time when you stop what you are doing and rest, eat, etc. + into an object, an area or a substance","a short period of time when you stop what you are doing and rest, eat, etc. + into an object, an area or a substance"
breakoff,noun,"a short period of time when you stop what you are doing and rest, eat, etc. + used to say that something has been removed or become separated","a short period of time when you stop what you are doing and rest, eat, etc. + used to say that something has been removed or become separated"
breathier,noun,the air that you take into your lungs and send out again | having quality of; noun/adjective | person who does; comparative,the air that you take into your lungs and send out again | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
breathily,adverb,the air that you take into your lungs and send out again | having quality of; noun/adjective | adverb of manner / adjective (like,the air that you take into your lungs and send out again | cóĩ·· tính chất của; danh từ/t tính từ | trạng từ chỉ cách thức / t tính từ (like
breathiness,noun,the air that you take into your lungs and send out again | having quality of; noun/adjective | state or quality of (noun,the air that you take into your lungs and send out again | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ
breathtakingly,adverb,the air that you take into your lungs and send out again + to carry or move something from one place to another | adverb of manner / adjective (like,the air that you take into your lungs and send out again + to carry or move something from one place to another | trạng từ chỉ cách thức / t tính từ (like
breathy,adjective,the air that you take into your lungs and send out again | having quality of; noun/adjective,the air that you take into your lungs and send out again | cóĩ·· tính chất của; danh từ/t tính từ
bricktop,noun,"baked clay used for building walls, houses and other buildings; an individual block of this + highest in position","baked clay used for building walls, houses and other buildings; an individual block of this + highest in position"
bridgeport,noun,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other + a town or city with a harbour, especially one where ships load and unload goods","a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other + a town or city with a harbour, especially one where ships load and unload goods"
