thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
aisle,Mới - chưa có ảnh,1,a passage between rows of seats or shelves,"lối đi (giữa các hàng ghế, kệ hàng)",aisle,missing_words_analyzed
albeit,Mới - chưa có ảnh,1,although; even though,mặc dù,albeit,missing_words_analyzed
album,Mới - chưa có ảnh,1,"a collection of recordings, photographs, or stamps compiled together, especially a music release","album (nhạc, ảnh)",album,missing_words_analyzed
algae,Mới - chưa có ảnh,1,"simple, typically aquatic, photosynthetic organisms ranging from single cells to giant kelp",tảo,algae,missing_words_analyzed
algorithm,Mới - chưa có ảnh,1,a step-by-step set of rules or instructions for solving a problem or performing a computation,"một thuật toán, tập hợp các bước hoặc quy tắc để giải quyết vấn đề hoặc thực hiện tính toán",algorithm,missing_words_analyzed
alight,Mới - chưa có ảnh,1,on fire or lit up,"đang cháy, rực sáng",alight,missing_words_analyzed
align,Mới - chưa có ảnh,2,to place or arrange things in a straight line or in correct relative positions,"canh chỉnh, sắp xếp thẳng hàng","align, alignment",missing_words_analyzed
allergy,Mới - chưa có ảnh,1,a damaging immune response by the body to a substance that is normally harmless,dị ứng,allergy,missing_words_analyzed
alleviate,Mới - chưa có ảnh,1,to make suffering or a problem less severe,"làm giảm nhẹ (đau đớn, khó khăn)",alleviation,missing_words_analyzed
alley,Mới - chưa có ảnh,1,"a narrow passage or lane, especially one behind or between buildings","con hẻm, ngõ hẹp",alley,missing_words_analyzed
allocate,Mới - chưa có ảnh,2,to distribute resources or duties for a particular purpose,phân bổ,"reallocate, reallocation",missing_words_analyzed
alloy,Mới - chưa có ảnh,1,a metal made by combining two or more metallic elements,hợp kim,alloy,missing_words_analyzed
alpha,Mới - chưa có ảnh,1,the first letter of the Greek alphabet; the most dominant individual in a group,chữ cái alpha; cá thể đầu đàn,alpha,missing_words_analyzed
alphabet,Mới - chưa có ảnh,1,"a set of letters arranged in a fixed order, used to write a language",bảng chữ cái,alphabet,missing_words_analyzed
altar,Mới - chưa có ảnh,1,"a table or platform used for religious rites, especially Christian communion",bàn thờ,altar,missing_words_analyzed
alternate,Mới - chưa có ảnh,2,occurring by turns; to happen in turns with something else,"luân phiên, xen kẽ","alternation, alternative",missing_words_analyzed
altitude,Mới - chưa có ảnh,1,the height of an object or point in relation to sea level or ground level,độ cao (so với mực nước biển),altitude,missing_words_analyzed
ambassador,Mới - chưa có ảnh,1,"a diplomatic official of the highest rank, sent by a country to represent it in a foreign country",đại sứ,ambassador,missing_words_analyzed
amber,Mới - chưa có ảnh,1,"a hard, translucent yellowish-brown fossilized resin, used in jewelry",hổ phách,amber,missing_words_analyzed
ambience,Mới - chưa có ảnh,1,the character and atmosphere of a place,bầu không khí (của một nơi),ambience,missing_words_analyzed
ambiguous,Mới - chưa có ảnh,2,open to more than one interpretation; not having one clear or obvious meaning,"mơ hồ, mập mờ, có thể hiểu theo nhiều nghĩa","ambiguity, ambiguous",missing_words_analyzed
ambition,Mới - chưa có ảnh,1,a strong desire to achieve something,"tham vọng, hoài bão",ambitious,missing_words_analyzed
ambulance,Mới - chưa có ảnh,1,"a vehicle equipped for transporting sick or injured people, especially in an emergency",xe cứu thương,ambulance,missing_words_analyzed
amenity,Mới - chưa có ảnh,1,a desirable or useful feature or facility of a building or place,"tiện nghi, tiện ích",amenity,missing_words_analyzed
amiable,Mới - chưa có ảnh,1,having a friendly and pleasant manner,"thân thiện, dễ mến",amiably,missing_words_analyzed
ammunition,Mới - chưa có ảnh,1,"a supply of bullets, shells, and other projectiles usable in weapons",đạn dược,ammunition,missing_words_analyzed
ample,Mới - chưa có ảnh,4,enough or more than enough; plentiful,"đầy đủ, dư dả","ample, amplify, amplitude, amply",missing_words_analyzed
amplify,Mới - chưa có ảnh,1,"to increase the volume, size, or effect of something",khuếch đại,amplification,missing_words_analyzed
amputate,Mới - chưa có ảnh,1,to cut off a limb by surgery,cắt cụt (chi),amputation,missing_words_analyzed
analogy,Mới - chưa có ảnh,1,"a comparison between two things, typically for the purpose of explanation, based on their similarities","phép loại suy, sự tương tự",analogy,missing_words_analyzed
analyze,Mới - chưa có ảnh,2,to examine something in detail in order to explain or interpret it,phân tích,"analyst, analyze",missing_words_analyzed
android,Mới - chưa có ảnh,1,"a robot with a human appearance and behavior; also 'Android', a mobile operating system",người máy có hình dạng người; (viết hoa) hệ điều hành di động Android,android,missing_words_analyzed
anecdote,Mới - chưa có ảnh,1,a short amusing or interesting story about a real incident or person,"giai thoại, chuyện kể ngắn (có thật)",anecdote,missing_words_analyzed
anemone,Mới - chưa có ảnh,1,"a plant of the buttercup family with brightly colored flowers; also a sea anemone, a marine animal",hoa cẩm chướng dại; hải quỳ (động vật biển),anemone,missing_words_analyzed
anger,Mới - chưa có ảnh,1,"a strong feeling of annoyance, displeasure, or hostility",sự tức giận,anger,missing_words_analyzed
annotate,Mới - chưa có ảnh,1,to add explanatory notes to a text,"chú thích, ghi chú",annotation,missing_words_analyzed
annual,Mới - chưa có ảnh,2,occurring once every year,"hàng năm, thường niên","annual, annually",missing_words_analyzed
anthem,Mới - chưa có ảnh,1,"a rousing song identified with a particular group or cause, especially a national song","quốc ca, bài ca chính thức",anthem,missing_words_analyzed
antique,Mới - chưa có ảnh,1,an object of considerable age valued for its beauty or craftsmanship,đồ cổ,antiquarian,missing_words_analyzed
anxious,Mới - chưa có ảnh,2,"feeling or showing worry, nervousness, or unease","lo lắng, lo âu","anxiety, anxious",missing_words_analyzed
ape,Mới - chưa có ảnh,1,"a large primate that lacks a tail, such as a gorilla, chimpanzee, or orangutan","vượn, khỉ không đuôi",ape,missing_words_analyzed
apex,Mới - chưa có ảnh,1,the top or highest point of something; the culminating point,"đỉnh, chóp, điểm cao nhất",apex,missing_words_analyzed
aphorism,Mới - chưa có ảnh,1,"a short, pithy statement expressing a general truth or principle",câu cách ngôn,aphorism,missing_words_analyzed
apology,Mới - chưa có ảnh,2,a statement expressing regret for having done something wrong,lời xin lỗi,"apologize, apology",missing_words_analyzed
apostrophe,Mới - chưa có ảnh,1,the punctuation mark (') used to indicate omission or possession,"dấu nháy đơn, dấu lược (')",apostrophe,missing_words_analyzed
app,Mới - chưa có ảnh,2,a self-contained program or piece of software designed to run on a mobile device.,ứng dụng (phần mềm).,"app, apps",missing_words_analyzed
apparatus,Mới - chưa có ảnh,1,the equipment or tools needed for a particular activity or purpose,"thiết bị, bộ máy, dụng cụ",apparatus,missing_words_analyzed
appetite,Mới - chưa có ảnh,1,"a natural desire to eat food, or a strong desire for something",sự thèm ăn; sự ham muốn,appetite,missing_words_analyzed
applicant,Mới - chưa có ảnh,1,"a person who applies for or formally requests something, such as a job","người nộp đơn, ứng viên",applicant,missing_words_analyzed
appraise,Mới - chưa có ảnh,1,to assess the value or quality of something,"đánh giá, thẩm định",appraiser,missing_words_analyzed
appreciate,Mới - chưa có ảnh,3,to recognize the value or worth of something; to be grateful for something,"đánh giá cao, trân trọng","appreciate, appreciation, appreciative",missing_words_analyzed
apprentice,Mới - chưa có ảnh,2,a person who is learning a trade from a skilled employer,người học việc,"apprentice, apprenticeship",missing_words_analyzed
appropriate,Mới - chưa có ảnh,1,suitable or proper for a particular situation,"phù hợp, thích hợp",inappropriate,missing_words_analyzed
apron,Mới - chưa có ảnh,1,"a garment worn over the front of clothing to protect it, tied around the waist",tạp dề,apron,missing_words_analyzed
apt,Mới - chưa có ảnh,3,appropriate or suitable in the circumstances; having a tendency to do something,"thích hợp, đúng lúc; có khuynh hướng","adaptability, apt, aptitude",missing_words_analyzed
aqua,Mới - chưa có ảnh,3,relating to water; a light bluish-green color,(thuộc) nước; màu xanh lam-lục nhạt,"aquaculture, aquarium, aquatic",missing_words_analyzed
arable,Mới - chưa có ảnh,1,(of land) suitable for growing crops,"(đất) có thể canh tác, trồng trọt được",arable,missing_words_analyzed
arbiter,Mới - chưa có ảnh,1,a person who settles a dispute or has ultimate authority to make judgments in a matter,"trọng tài, người phân xử",arbiter,missing_words_analyzed
arbitrary,Mới - chưa có ảnh,1,based on random choice or personal whim rather than reason or system,"tùy tiện, ngẫu hứng, không dựa trên lý do hay hệ thống rõ ràng",arbitrary,missing_words_analyzed
arbor,Mới - chưa có ảnh,2,a shady shelter or trellis in a garden formed by trees or climbing plants,giàn cây leo trong vườn,"arbor, arboreal",missing_words_analyzed
arc,Mới - chưa có ảnh,1,a curve forming part of the circumference of a circle or other curved shape,cung (hình vòng cung),arc,missing_words_analyzed
arch,Mới - chưa có ảnh,2,a curved structure that spans an opening and supports the weight above it,"vòm, cổng vòm","arch, matriarchal",missing_words_analyzed
archaeology,Mới - chưa có ảnh,2,the study of human history and prehistory through the excavation and analysis of physical remains,khảo cổ học,"archaeologist, archaeology",missing_words_analyzed
archer,Mới - chưa có ảnh,1,a person who shoots with a bow and arrow,"cung thủ, người bắn cung",archer,missing_words_analyzed
architecture,Mới - chưa có ảnh,1,the art or practice of designing buildings,kiến trúc,architectural,missing_words_analyzed
archive,Mới - chưa có ảnh,1,"a collection of historical documents or records, or the place where they are kept",kho lưu trữ,archive,missing_words_analyzed
arctic,Mới - chưa có ảnh,3,relating to the region around the North Pole; extremely cold,thuộc Bắc Cực; cực kỳ lạnh,"antarctic, antarctica, arctic",missing_words_analyzed
are,Mới - chưa có ảnh,1,a metric unit of area equal to 100 square meters,a (đơn vị diện tích bằng 100 mét vuông),hectare,missing_words_analyzed
arena,Mới - chưa có ảnh,1,"an enclosed venue used for sports, entertainment, or other public events","đấu trường, sân vận động",arena,missing_words_analyzed
arid,Mới - chưa có ảnh,1,having little or no rain; too dry to support vegetation,"khô cằn, khô hạn",arid,missing_words_analyzed
arithmetic,Mới - chưa có ảnh,1,The branch of mathematics dealing with the properties and manipulation of numbers.,Số học.,arithmetic,missing_words_analyzed
army,Mới - chưa có ảnh,1,An organized military force equipped for fighting on land.,"Quân đội, lục quân.",army,missing_words_analyzed
aroma,Mới - chưa có ảnh,2,"a distinctive, typically pleasant smell",hương thơm,"aroma, aromatic",missing_words_analyzed
arouse,Mới - chưa có ảnh,1,to evoke a feeling or reaction; to awaken,khơi dậy (cảm xúc),arousal,missing_words_analyzed
artery,Mới - chưa có ảnh,1,any of the muscular-walled tubes that carry blood away from the heart.,động mạch.,artery,missing_words_analyzed
article,Mới - chưa có ảnh,1,"A piece of writing on a particular topic published in a newspaper, magazine, or journal.","Bài báo, bài viết.",article,missing_words_analyzed
artificial,Mới - chưa có ảnh,1,"made by humans, not occurring naturally",nhân tạo,artificially,missing_words_analyzed
artillery,Mới - chưa có ảnh,1,large-caliber guns used in warfare on land,pháo binh,artillery,missing_words_analyzed
ascend,Mới - chưa có ảnh,1,to move upward; to climb or rise,"đi lên, leo lên",ascend,missing_words_analyzed
asphalt,Mới - chưa có ảnh,1,a sticky black substance mixed with gravel and used for surfacing roads,nhựa đường,asphalt,missing_words_analyzed
assassinate,Mới - chưa có ảnh,1,to murder a prominent person for political or religious reasons,ám sát,assassination,missing_words_analyzed
assay,Mới - chưa có ảnh,1,"a procedure used to test or analyze the composition or quality of a substance, especially a metal or ore",phép thử/phân tích thành phần (đặc biệt là quặng kim loại),assay,missing_words_analyzed
assemble,Mới - chưa có ảnh,2,to gather together or put parts together,"lắp ráp, tập hợp","assembly, reassemble",missing_words_analyzed
associate,Mới - chưa có ảnh,2,a colleague or partner in business or work,"đồng nghiệp, cộng sự","associate, association",missing_words_analyzed
assure,Mới - chưa có ảnh,2,"to tell someone confidently that something is true, removing doubt","đảm bảo, trấn an","reassurance, reassure",missing_words_analyzed
asthma,Mới - chưa có ảnh,1,a respiratory condition marked by difficulty breathing due to narrowed airways,bệnh hen suyễn,asthma,missing_words_analyzed
atlas,Mới - chưa có ảnh,1,a book of maps or charts,tập bản đồ,atlas,missing_words_analyzed
atmosphere,Mới - chưa có ảnh,2,"the layer of gases surrounding the Earth, or the mood of a place",khí quyển; bầu không khí,"atmosphere, atmospheric",missing_words_analyzed
atrophy,Mới - chưa có ảnh,1,"the gradual decline in effectiveness or vigor due to underuse, especially the wasting away of body tissue","sự teo (cơ, mô); sự suy yếu dần",atrophy,missing_words_analyzed
attention,Mới - chưa có ảnh,2,notice taken of someone or something; the act of applying one's mind to something,sự chú ý,"attention, inattention",missing_words_analyzed
attentive,Mới - chưa có ảnh,2,paying close attention; considerate,"chu đáo, chú ý","attentively, attentiveness",missing_words_analyzed
attire,Mới - chưa có ảnh,1,"clothes, especially fine or formal ones",trang phục (thường trang trọng),attire,missing_words_analyzed
attribute,Mới - chưa có ảnh,1,to regard something as being caused by a particular person or thing,"quy cho, gán cho (nguyên nhân)",attribute,missing_words_analyzed
audience,Mới - chưa có ảnh,1,the assembled spectators or listeners at a public event,"khán giả, thính giả",audience,missing_words_analyzed
audit,Mới - chưa có ảnh,3,to conduct an official financial inspection of an organization,kiểm toán,"audit, audition, auditory",missing_words_analyzed
augur,Mới - chưa có ảnh,1,to be a sign of a good or bad outcome,báo hiệu (điềm tốt hoặc xấu),inaugurate,missing_words_analyzed
authentic,Mới - chưa có ảnh,2,genuine and of undisputed origin; not a copy,"xác thực, chính hãng, thật","authentic, authenticity",missing_words_analyzed
avail,Mới - chưa có ảnh,1,to use or take advantage of (as in 'avail oneself of'),tận dụng,available,missing_words_analyzed
available,Mới - chưa có ảnh,2,able to be used or obtained; free to do something,"có sẵn, rảnh","availability, unavailable",missing_words_analyzed
avalanche,Mới - chưa có ảnh,1,"a mass of snow, ice, and rock that falls suddenly and rapidly down a mountainside",trận lở tuyết,avalanche,missing_words_analyzed
avenue,Mới - chưa có ảnh,1,"a broad road, typically lined with trees; a way of approaching a problem","đại lộ; hướng đi, con đường (giải quyết vấn đề)",avenue,missing_words_analyzed
average,Mới - chưa có ảnh,1,"a number expressing the central or typical value in a set of data, found by dividing the sum by the number of items",mức trung bình,average,missing_words_analyzed
award,Mới - chưa có ảnh,1,a prize or other mark of recognition given for an achievement.,giải thưởng.,award,missing_words_analyzed
awe,Mới - chưa có ảnh,2,a feeling of reverential respect mixed with fear or wonder,sự kính sợ,"awesome, awful",missing_words_analyzed
ax,Mới - chưa có ảnh,1,a tool with a sharp heavy blade used for chopping wood,cái rìu,ax,missing_words_analyzed
axis,Mới - chưa có ảnh,1,an imaginary line about which an object rotates; a fixed reference line in a graph or coordinate system,trục (quay/tọa độ),axis,missing_words_analyzed
axle,Mới - chưa có ảnh,1,a rod or shaft on which a wheel or pair of wheels rotates,trục bánh xe,axle,missing_words_analyzed
bacteria,Mới - chưa có ảnh,1,"microscopic single-celled organisms, some of which cause disease",vi khuẩn,bacteria,missing_words_analyzed
bacterium,Mới - chưa có ảnh,1,"a microscopic single-celled organism, some of which cause disease",vi khuẩn (dạng số ít),bacterium,missing_words_analyzed
badge,Mới - chưa có ảnh,1,"a small emblem or sign worn to show identity, rank, or membership","huy hiệu, phù hiệu",badge,missing_words_analyzed
baffle,Mới - chưa có ảnh,1,to totally bewilder or perplex someone,"làm bối rối, khó hiểu",baffle,missing_words_analyzed
bait,Mới - chưa có ảnh,1,to deliberately annoy or tease someone,"trêu chọc, khiêu khích",bait,missing_words_analyzed
balcony,Mới - chưa có ảnh,1,"a platform enclosed by a wall or railing on the outside of a building, upper-floor",ban công,balcony,missing_words_analyzed
ballast,Mới - chưa có ảnh,1,heavy material placed in the hold of a ship or the basket of a balloon to improve stability,vật dằn (giữ thăng bằng cho tàu thuyền),ballast,missing_words_analyzed
ballot,Mới - chưa có ảnh,1,"a system or process of voting, typically in secret","lá phiếu, cuộc bỏ phiếu",ballot,missing_words_analyzed
bamboo,Mới - chưa có ảnh,1,"a giant woody grass with hollow stems, used as building material and food",cây tre/trúc,bamboo,missing_words_analyzed
banana,Mới - chưa có ảnh,1,a long curved fruit with soft flesh and yellow skin,quả chuối,banana,missing_words_analyzed
bang,Mới - chưa có ảnh,1,to hit or shut something loudly and forcefully,"đập mạnh, đóng sầm",bang,missing_words_analyzed
bankrupt,Mới - chưa có ảnh,1,unable to pay debts owed; financially ruined,phá sản,bankruptcy,missing_words_analyzed
banquet,Mới - chưa có ảnh,1,"a large formal meal for many people, often held to celebrate something","tiệc lớn, dạ tiệc",banquet,missing_words_analyzed
barb,Mới - chưa có ảnh,1,a sharp point that projects backward near the tip of an arrow or hook,"ngạnh (của lưỡi câu, mũi tên)",barber,missing_words_analyzed
barbecue,Mới - chưa có ảnh,1,an outdoor meal or social gathering at which food is cooked over an open fire or grill,"tiệc nướng ngoài trời, món nướng",barbecue,missing_words_analyzed
bargain,Mới - chưa có ảnh,1,"an agreement between parties on the terms of a transaction, or an item bought for less than its usual value","sự mặc cả, thỏa thuận; món hời (mua được giá rẻ)",bargain,missing_words_analyzed
bark,Mới - chưa có ảnh,2,"(of a dog) to make a sharp, loud, explosive sound.",sủa (chó).,"bark, embark",missing_words_analyzed
barley,Mới - chưa có ảnh,1,"a cereal grass cultivated for its grain, used for food, animal feed, and brewing",lúa mạch,barley,missing_words_analyzed
barn,Mới - chưa có ảnh,1,a large farm building used for storing crops or housing livestock,"chuồng trại, nhà kho nông trại",barn,missing_words_analyzed
barnacle,Mới - chưa có ảnh,1,a small marine crustacean that attaches itself permanently to rocks or ship hulls,con hà (loài giáp xác bám vào đá/tàu),barnacle,missing_words_analyzed
baron,Mới - chưa có ảnh,1,a member of the lowest rank of nobility; a powerful businessman in an industry,nam tước; trùm (kinh doanh),baron,missing_words_analyzed
barrel,Mới - chưa có ảnh,1,"a large cylindrical container with a bulging middle, typically made of wood or metal",cái thùng (hình trụ),barrel,missing_words_analyzed
barrier,Mới - chưa có ảnh,1,"An obstacle that prevents movement, progress, or access.",Rào cản.,barrier,missing_words_analyzed
basic,Mới - chưa có ảnh,1,forming an essential foundation; fundamental,cơ bản,basically,missing_words_analyzed
basin,Mới - chưa có ảnh,1,"a round, open container used for holding water; a low-lying area of land drained by a river",chậu rửa; lưu vực (sông),basin,missing_words_analyzed
basis,Mới - chưa có ảnh,1,The underlying foundation or principle on which something is based.,"Cơ sở, nền tảng.",basis,missing_words_analyzed
batch,Mới - chưa có ảnh,1,a quantity of something produced or handled together at one time,"mẻ, lô (sản xuất cùng lúc)",batch,missing_words_analyzed
bate,Mới - chưa có ảnh,1,"to reduce or moderate (archaic, as in 'abate')",giảm bớt (từ cổ),rebate,missing_words_analyzed
baton,Mới - chưa có ảnh,1,"a thin stick, especially one used by a conductor to direct an orchestra or passed between runners in a relay race",gậy chỉ huy; gậy tiếp sức; dùi cui,baton,missing_words_analyzed
batter,Mới - chưa có ảnh,1,"to hit repeatedly with force; a mixture of flour, eggs, and liquid for cooking","đánh liên tục, đập mạnh; bột nhão",battery,missing_words_analyzed
beacon,Mới - chưa có ảnh,1,"a light or fire used as a signal or guide, often on a hill or tower","đèn hiệu, ngọn hải đăng",beacon,missing_words_analyzed
bead,Mới - chưa có ảnh,1,"a small piece of glass, stone, or similar material pierced for threading on a string",hạt (trang sức),bead,missing_words_analyzed
beard,Mới - chưa có ảnh,1,hair that grows on the lower part of a man's face and chin,râu (cằm),beard,missing_words_analyzed
bedroom,Mới - chưa có ảnh,1,a room used for sleeping,phòng ngủ,bedroom,missing_words_analyzed
beforehand,Mới - chưa có ảnh,1,at an earlier time; in advance of a particular time or event,"trước đó, từ trước, sẵn từ trước",beforehand,missing_words_analyzed
behavior,Mới - chưa có ảnh,1,the way in which a person or animal acts,hành vi,behavioral,missing_words_analyzed
bellow,Mới - chưa có ảnh,1,"to shout in a deep, loud voice","gầm, hét lớn",bellow,missing_words_analyzed
beneficial,Mới - chưa có ảnh,1,producing good or helpful results; advantageous,"có lợi, có ích",beneficial,missing_words_analyzed
benefit,Mới - chưa có ảnh,1,an advantage or profit gained from something,lợi ích,benefit,missing_words_analyzed
benign,Mới - chưa có ảnh,1,gentle and kind; (of a disease) not harmful in effect,"hiền lành, tốt bụng; (y học) lành tính",benign,missing_words_analyzed
berry,Mới - chưa có ảnh,3,"a small round fruit with no stone, often edible",quả mọng,"berry, gooseberry, strawberry",missing_words_analyzed
berth,Mới - chưa có ảnh,1,"a fixed bunk on a ship or train, or a place assigned to a ship at a mooring",giường ngủ (trên tàu/xe lửa); chỗ neo đậu tàu,berth,missing_words_analyzed
best,Mới - chưa có ảnh,1,"of the most excellent, effective, or desirable type or quality",tốt nhất,best,missing_words_analyzed
