root_word,topic,subtopic,is_polysemous
air,Môi trường và tự nhiên,Trái Đất,True
air,Giải trí và thời gian rảnh,Truyền hình,True
air,Giao thông,Sân bay,True
alarm,"Pháp luật, an toàn và khẩn cấp",An toàn cá nhân,False
alcohol,Ăn uống bên ngoài,Đồ uống có cồn,False
alert,"Pháp luật, an toàn và khẩn cấp",An toàn cá nhân,False
alien,Môi trường và tự nhiên,Không gian,False
all,Ngữ pháp và hư từ,Lượng từ,False
allege,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
allow,Khái niệm trừu tượng,Khả năng và cần thiết,False
ally,Con người,Mối quan hệ,False
alone,Con người,Cảm xúc,False
along,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
alter,Khái niệm trừu tượng,Thay đổi và phát sinh,False
amateur,Thể thao,Thể thao chung,False
amaze,Con người,Cảm xúc,False
amend,"Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý,False
amid,Ngữ pháp và hư từ,Giới từ,False
among,Ngữ pháp và hư từ,Giới từ,False
amuse,Con người,Cảm xúc,False
analysis,Học tập và giáo dục,Nghiên cứu,False
ancestor,Con người,Gia đình,False
anchor,Giao thông,Cảng,False
ancient,"Nghệ thuật, thiết kế và văn hóa",Di sản và bảo tàng,False
angel,"Nghệ thuật, thiết kế và văn hóa",Tôn giáo và nơi thờ tự,False
angle,"Khoa học, công nghệ và kỹ thuật",Đo lường,False
angry,Con người,Cảm xúc,False
animal,Môi trường và tự nhiên,Động vật có vú,False
ankle,Con người,Cơ thể,False
announce,Khái niệm trừu tượng,Hành động và xử lý,False
annoy,Con người,Cảm xúc,False
answer,Học tập và giáo dục,Bài kiểm tra,False
anticipate,Con người,Cảm xúc,False
any,Ngữ pháp và hư từ,Lượng từ,False
apart,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
appeal,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
appear,Khái niệm trừu tượng,Thay đổi và phát sinh,False
apple,Thực phẩm,Trái cây,False
applicable,Khái niệm trừu tượng,Khả năng và cần thiết,False
apply,Nghề nghiệp và công việc,Tìm việc,False
appoint,Nghề nghiệp và công việc,Tìm việc,False
approach,Khái niệm trừu tượng,Hành động và xử lý,False
approve,Khái niệm trừu tượng,Đánh giá và giá trị,False
architect,Nghề nghiệp và công việc,Nghề kỹ thuật và xây dựng,False
area,Khái niệm trừu tượng,Phạm vi và bộ phận,False
argue,Con người,Mối quan hệ,False
arm,Con người,Cơ thể,True
arm,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,True
around,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
arrange,Khái niệm trừu tượng,Hành động và xử lý,False
array,"Khoa học, công nghệ và kỹ thuật",Máy tính,False
arrest,"Pháp luật, an toàn và khẩn cấp",Cảnh sát,False
arrive,Du lịch và lưu trú,Bến xe,False
arrow,"Nghệ thuật, thiết kế và văn hóa",Biểu tượng và biển hiệu,False
art,"Nghệ thuật, thiết kế và văn hóa",Hội họa,False
as,Ngữ pháp và hư từ,Liên từ,False
ash,Môi trường và tự nhiên,Địa chất,False
ask,Ngôn ngữ hằng ngày,Câu hỏi thông dụng,False
assert,Khái niệm trừu tượng,Thái độ,False
assess,Học tập và giáo dục,Điểm số và đánh giá,False
assign,Nghề nghiệp và công việc,Cuộc họp,False
assist,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
assume,Khái niệm trừu tượng,Nhận thức và ý nghĩa,False
astonish,Con người,Cảm xúc,False
at,Ngữ pháp và hư từ,Giới từ,False
athlete,Thể thao,Thể thao chung,False
attach,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
attack,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
attain,Khái niệm trừu tượng,Hành động và xử lý,False
attend,Học tập và giáo dục,Lớp học,False
attitude,Khái niệm trừu tượng,Thái độ,False
attract,Con người,Mối quan hệ,False
auction,Kinh doanh và tài chính,Mua bán và giao dịch,False
audio,"Khoa học, công nghệ và kỹ thuật",Phần cứng máy tính,False
august,Ngôn ngữ hằng ngày,"Ngày, giờ và lịch cơ bản",False
aunt,Con người,Gia đình,False
author,Nghề nghiệp và công việc,Nghề sáng tạo và nghệ thuật,False
auto,Giao thông,Ô tô,False
automatic,"Khoa học, công nghệ và kỹ thuật",Tự động hóa,False
autumn,Môi trường và tự nhiên,Các mùa,False
avoid,Khái niệm trừu tượng,Hành động và xử lý,False
aware,Khái niệm trừu tượng,Nhận thức và ý nghĩa,False
away,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
awkward,Con người,Cảm xúc,False
baby,Sức khỏe,Trẻ sơ sinh,False
back,Con người,Cơ thể,True
back,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,True
bad,Khái niệm trừu tượng,Đánh giá và giá trị,False
bag,Ngoại hình và trang phục,Túi xách,False
bail,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
bake,Đời sống hằng ngày,Nấu ăn,False
balance,Kinh doanh và tài chính,Tài khoản ngân hàng,False
ball,Thể thao,Trang thiết bị thể thao,False
balloon,Giải trí và thời gian rảnh,Sự kiện và lễ hội,False
ban,"Pháp luật, an toàn và khẩn cấp",Cơ quan hành chính,False
band,"Nghệ thuật, thiết kế và văn hóa",Âm nhạc,False
bank,Kinh doanh và tài chính,Ngân hàng,True
bank,Môi trường và tự nhiên,"Sông, hồ và thác nước",True
bar,Ăn uống bên ngoài,Quầy bar,True
bar,"Pháp luật, an toàn và khẩn cấp",Luật sư,True
bar,Thể thao,Trang thiết bị thể thao,True
bare,Ngoại hình và trang phục,Cơ thể và ngoại hình,False
base,Khái niệm trừu tượng,Phạm vi và bộ phận,True
base,Thể thao,Bóng chày,True
basket,Ngôn ngữ hằng ngày,Bao bì và vật chứa,False
bat,Môi trường và tự nhiên,Động vật có vú,True
bat,Thể thao,Bóng chày,True
bath,Nhà cửa,Phòng tắm,False
battle,Khái niệm trừu tượng,Hành động và xử lý,False
bay,Môi trường và tự nhiên,Biển và đại dương,False
be,Ngữ pháp và hư từ,Trợ từ,False
beach,Giải trí và thời gian rảnh,Bãi biển,False
beam,"Khoa học, công nghệ và kỹ thuật",Vật lý,False
bean,Thực phẩm,Đậu và đậu Hà Lan,False
bear,Môi trường và tự nhiên,Động vật có vú,True
bear,Kinh doanh và tài chính,Đầu tư,True
beast,Môi trường và tự nhiên,Động vật có vú,False
beat,"Nghệ thuật, thiết kế và văn hóa",Âm nhạc,False
beauty,Ngoại hình và trang phục,Cơ thể và ngoại hình,False
become,Khái niệm trừu tượng,Thay đổi và phát sinh,False
bed,Nhà cửa,Phòng ngủ,True
bed,Nhà cửa,Vườn sân trong,True
bee,Môi trường và tự nhiên,Động vật không xương sống,False
beef,Thực phẩm,Thịt,False
beer,Ăn uống bên ngoài,Đồ uống có cồn,False
before,Khái niệm trừu tượng,Thời gian và thứ tự,False
beg,Con người,Mối quan hệ,False
begin,Khái niệm trừu tượng,Thời gian và thứ tự,False
behave,Con người,Tính cách,False
behind,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
belief,"Nghệ thuật, thiết kế và văn hóa",Tôn giáo và nơi thờ tự,False
believe,Khái niệm trừu tượng,Nhận thức và ý nghĩa,False
bell,Cộng đồng và đô thị,Nhà thờ và nơi thờ tự,False
belt,Ngoại hình và trang phục,Phụ kiện,False
bench,Cộng đồng và đô thị,Công viên,False
bend,Khái niệm trừu tượng,Thay đổi và phát sinh,False
bent,Khái niệm trừu tượng,Tính chất khác,False
bet,Giải trí và thời gian rảnh,Trò chơi bài,False
betray,Con người,Mối quan hệ,False
better,Khái niệm trừu tượng,Mức độ và so sánh,False
bias,Khái niệm trừu tượng,Đánh giá và giá trị,False
bid,Kinh doanh và tài chính,Mua bán và giao dịch,False
big,Khái niệm trừu tượng,Mức độ và so sánh,False
bike,Giao thông,Xe đạp,False
bill,Kinh doanh và tài chính,Hóa đơn và biên lai,True
bill,"Pháp luật, an toàn và khẩn cấp",Cơ quan hành chính,True
bin,Nhà cửa,Xử lý rác,False
bind,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
bird,Môi trường và tự nhiên,Chim,False
birth,Sức khỏe,Sinh nở,False
bishop,"Nghệ thuật, thiết kế và văn hóa",Tôn giáo và nơi thờ tự,False
bit,"Khoa học, công nghệ và kỹ thuật",Máy tính,True
bit,Ngôn ngữ hằng ngày,Từ chỉ số lượng,True
bite,Sức khỏe,Chấn thương,False
bitter,Thực phẩm,Gia vị,False
bizarre,Khái niệm trừu tượng,Đánh giá và giá trị,False
black,"Nghệ thuật, thiết kế và văn hóa",Màu sắc,False
blade,Nhà cửa,Đồ nội thất,False
blame,Con người,Mối quan hệ,False
blank,Khái niệm trừu tượng,Tính chất khác,False
blast,"Pháp luật, an toàn và khẩn cấp",Hỏa hoạn,False
bleed,Sức khỏe,Chấn thương,False
blend,Thực phẩm,Gia vị,False
bless,"Nghệ thuật, thiết kế và văn hóa",Tôn giáo và nơi thờ tự,False
blind,Sức khỏe,Triệu chứng,False
block,Cộng đồng và đô thị,Khu dân cư,True
block,"Khoa học, công nghệ và kỹ thuật",Máy tính,True
blood,Sức khỏe,Hiến máu,False
blow,Khái niệm trừu tượng,Hành động và xử lý,False
blue,"Nghệ thuật, thiết kế và văn hóa",Màu sắc,False
board,Nhà cửa,Đồ nội thất,True
board,Kinh doanh và tài chính,Công ty và phòng ban,True
boast,Con người,Tính cách,False
boat,Giao thông,Tàu thuyền,False
body,Con người,Cơ thể,False
boil,Đời sống hằng ngày,Nấu ăn,False
bold,Con người,Tính cách,False
bomb,"Pháp luật, an toàn và khẩn cấp",Hỏa hoạn,False
bond,Kinh doanh và tài chính,Đầu tư,False
bone,Con người,Bộ xương,False
book,Học tập và giáo dục,Sách giáo khoa,False
boost,Khái niệm trừu tượng,Thay đổi và phát sinh,False
boot,Ngoại hình và trang phục,Giày dép,False
border,Cộng đồng và đô thị,Đường phố và giao lộ,False
bore,Con người,Cảm xúc,False
born,Sức khỏe,Sinh nở,False
borrow,Kinh doanh và tài chính,Khoản vay,False
boss,Nghề nghiệp và công việc,Nơi làm việc,False
bother,Con người,Cảm xúc,False
bottle,Ngôn ngữ hằng ngày,Bao bì và vật chứa,False
bottom,Khái niệm trừu tượng,Phạm vi và bộ phận,False
bounce,Thể thao,Bóng rổ,False
bound,Khái niệm trừu tượng,Phạm vi và bộ phận,False
bow,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội,False
bowl,Nhà cửa,Đồ nội thất,False
box,Ngôn ngữ hằng ngày,Bao bì và vật chứa,True
box,Thể thao,Thể thao đối kháng,True
boy,Con người,Tuổi tác và các giai đoạn cuộc đời,False
brain,Con người,Nội tạng,False
branch,Kinh doanh và tài chính,Công ty và phòng ban,False
brand,Kinh doanh và tài chính,Sản phẩm và dịch vụ,False
brave,Con người,Tính cách,False
bread,Thực phẩm,Bánh mì và bột,False
break,Khái niệm trừu tượng,Hành động và xử lý,False
breast,Con người,Cơ thể,False
breath,Con người,Hệ cơ thể,False
breed,Môi trường và tự nhiên,Động vật có vú,False
brick,Nhà cửa,Sửa chữa và bảo trì,False
bride,Con người,Sự kiện đời người,False
bridge,Giao thông,Đường sá,False
brief,Khái niệm trừu tượng,Mức độ và so sánh,True
brief,Ngoại hình và trang phục,Đồ lót,True
bright,"Nghệ thuật, thiết kế và văn hóa",Màu sắc,True
bright,Con người,Tính cách,True
bring,Khái niệm trừu tượng,Hành động và xử lý,False
broad,Khái niệm trừu tượng,Mức độ và so sánh,False
brother,Con người,Gia đình,False
brown,"Nghệ thuật, thiết kế và văn hóa",Màu sắc,False
brush,Ngoại hình và trang phục,Chăm sóc da,False
bubble,"Khoa học, công nghệ và kỹ thuật",Hóa học,False
buck,Kinh doanh và tài chính,Tiền mặt và thẻ,False
budget,Kinh doanh và tài chính,Ngân sách cá nhân,False
bug,Môi trường và tự nhiên,Động vật không xương sống,False
build,Nghề nghiệp và công việc,Nghề kỹ thuật và xây dựng,False
bulk,Kinh doanh và tài chính,Sản phẩm và dịch vụ,False
bullet,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
bunch,Ngôn ngữ hằng ngày,Từ chỉ số lượng,False
burden,Khái niệm trừu tượng,Tính chất khác,False
burn,"Pháp luật, an toàn và khẩn cấp",Hỏa hoạn,False
burst,Khái niệm trừu tượng,Thay đổi và phát sinh,False
bury,Cộng đồng và đô thị,Nghĩa trang,False
bus,Giao thông,Xe buýt,False
bush,Môi trường và tự nhiên,Cây,False
business,Kinh doanh và tài chính,Doanh nghiệp,False
busy,Nghề nghiệp và công việc,Nơi làm việc,False
butter,Thực phẩm,Sữa và sản phẩm từ sữa,False
button,Ngoại hình và trang phục,Chất liệu vải,False
buy,Mua sắm,Mua sắm trực tuyến,False
by,Ngữ pháp và hư từ,Giới từ,False
bye,Ngôn ngữ hằng ngày,Chào hỏi và giới thiệu bản thân,False
cabinet,Nhà cửa,Đồ nội thất,False
cake,Thực phẩm,Bánh và món tráng miệng,False
call,Dịch vụ,Điện thoại,False
calm,Con người,Tính cách,False
camera,Giải trí và thời gian rảnh,Máy ảnh,False
camp,Giải trí và thời gian rảnh,Cắm trại,False
campaign,"Pháp luật, an toàn và khẩn cấp",Quyền công dân,False
can,Ngữ pháp và hư từ,Trợ từ,True
can,Thực phẩm,Thực phẩm đóng hộp,True
canal,Môi trường và tự nhiên,"Sông, hồ và thác nước",False
cancel,Du lịch và lưu trú,Đặt vé,False
cancer,Sức khỏe,Bệnh tật,False
candle,Nhà cửa,Trang trí nhà cửa,False
canvas,"Nghệ thuật, thiết kế và văn hóa",Vật liệu nghệ thuật,False
cap,Ngoại hình và trang phục,Phụ kiện,True
cap,Kinh doanh và tài chính,Đầu tư,True
capable,Khái niệm trừu tượng,Khả năng và cần thiết,False
captain,Giao thông,Tàu thuyền,False
car,Giao thông,Ô tô,False
carbon,"Khoa học, công nghệ và kỹ thuật",Hóa học,False
card,Kinh doanh và tài chính,Tiền mặt và thẻ,True
card,Giải trí và thời gian rảnh,Trò chơi bài,True
card,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội,True
care,Sức khỏe,Chăm sóc người cao tuổi,False
career,Nghề nghiệp và công việc,Thông tin nghề nghiệp,False
cargo,Giao thông,Xe tải và vận chuyển,False
carpet,Nhà cửa,Trang trí nhà cửa,False
carrot,Thực phẩm,Rau củ,False
carry,Khái niệm trừu tượng,Hành động và xử lý,False
cartoon,Giải trí và thời gian rảnh,Phim và rạp chiếu,False
carve,"Nghệ thuật, thiết kế và văn hóa",Điêu khắc,False
case,"Pháp luật, an toàn và khẩn cấp",Tòa án,True
case,Du lịch và lưu trú,Hành lý,True
cash,Kinh doanh và tài chính,Tiền mặt và thẻ,False
cast,"Nghệ thuật, thiết kế và văn hóa",Nghệ thuật biểu diễn,True
cast,Sức khỏe,Sơ cứu,True
castle,"Nghệ thuật, thiết kế và văn hóa",Kiến trúc,False
casual,Ngoại hình và trang phục,Kích cỡ và kiểu dáng,False
cat,Môi trường và tự nhiên,Động vật có vú,False
catch,Thể thao,Bóng chày,False
cater,Ăn uống bên ngoài,Nhà hàng,False
cause,Khái niệm trừu tượng,Nguyên nhân và mục đích,False
cave,Môi trường và tự nhiên,Núi và cảnh quan,False
cease,Khái niệm trừu tượng,Thời gian và thứ tự,False
cell,"Khoa học, công nghệ và kỹ thuật",Sinh học,True
cell,"Pháp luật, an toàn và khẩn cấp",Tòa án,True
centre,Cộng đồng và đô thị,Trung tâm thành phố,False
ceremony,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội,False
certain,Khái niệm trừu tượng,Đánh giá và giá trị,False
chain,"Khoa học, công nghệ và kỹ thuật",Cơ khí,False
chair,Nhà cửa,Đồ nội thất,True
chair,Nghề nghiệp và công việc,Cuộc họp,True
challenge,Nghề nghiệp và công việc,Nơi làm việc,False
chamber,"Pháp luật, an toàn và khẩn cấp",Phòng xử án,False
champion,Thể thao,Thể thao chung,False
chance,Khái niệm trừu tượng,Khả năng và cần thiết,False
change,Khái niệm trừu tượng,Thay đổi và phát sinh,True
change,Kinh doanh và tài chính,Tiền mặt và thẻ,True
channel,Giải trí và thời gian rảnh,Truyền hình,False
character,Con người,Tính cách,False
charge,Kinh doanh và tài chính,Hóa đơn và biên lai,True
charge,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,True
charge,"Khoa học, công nghệ và kỹ thuật",Điện,True
charm,Con người,Ngoại hình,False
chart,Học tập và giáo dục,Nghiên cứu,False
charter,Giao thông,Bến du thuyền,False
chase,"Pháp luật, an toàn và khẩn cấp",Cảnh sát,False
chat,Con người,Mối quan hệ,False
cheap,Mua sắm,Khuyến mãi và giảm giá,False
cheat,Học tập và giáo dục,Bài kiểm tra,False
check,Mua sắm,Quầy thanh toán,True
check,Kinh doanh và tài chính,Tiền mặt và thẻ,True
check,Sức khỏe,Tư vấn y tế,True
cheek,Con người,Khuôn mặt,False
cheer,Con người,Cảm xúc,False
cheese,Thực phẩm,Phô mai,False
chest,Con người,Cơ thể,True
chest,Nhà cửa,Đồ nội thất,True
chief,Nghề nghiệp và công việc,Nơi làm việc,False
child,Con người,Tuổi tác và các giai đoạn cuộc đời,False
chip,"Khoa học, công nghệ và kỹ thuật",Phần cứng máy tính,False
choice,Khái niệm trừu tượng,Đánh giá và giá trị,False
choir,"Nghệ thuật, thiết kế và văn hóa",Âm nhạc,False
choose,Khái niệm trừu tượng,Đánh giá và giá trị,False
chop,Đời sống hằng ngày,Nấu ăn,False
chunk,Ngôn ngữ hằng ngày,Từ chỉ số lượng,False
church,Cộng đồng và đô thị,Nhà thờ và nơi thờ tự,False
cinema,Giải trí và thời gian rảnh,Phim và rạp chiếu,False
circle,"Nghệ thuật, thiết kế và văn hóa",Hình dạng,False
circuit,"Khoa học, công nghệ và kỹ thuật",Điện,False
cite,Học tập và giáo dục,Nghiên cứu,False
citizen,"Pháp luật, an toàn và khẩn cấp",Quyền công dân,False
city,Cộng đồng và đô thị,Trung tâm thành phố,False
civil,"Pháp luật, an toàn và khẩn cấp",Quyền công dân,False
claim,Kinh doanh và tài chính,Bảo hiểm,True
claim,"Pháp luật, an toàn và khẩn cấp",Tòa án,True
class,Học tập và giáo dục,Lớp học,True
class,Giao thông,Máy bay,True
clean,Đời sống hằng ngày,Dọn dẹp nhà cửa,False
clear,Môi trường và tự nhiên,Thời tiết,True
clear,"Pháp luật, an toàn và khẩn cấp",Tòa án,True
clever,Con người,Tính cách,False
cliff,Môi trường và tự nhiên,Núi và cảnh quan,False
climate,Môi trường và tự nhiên,Khí hậu,False
climb,Giải trí và thời gian rảnh,Đi bộ đường dài,False
cling,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
clinic,Sức khỏe,Phòng khám,False
clip,Học tập và giáo dục,Đồ dùng học tập,False
clock,Ngôn ngữ hằng ngày,"Ngày, giờ và lịch cơ bản",False
close,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
cloth,Ngoại hình và trang phục,Chất liệu vải,False
cloud,Môi trường và tự nhiên,Thời tiết,False
club,Giải trí và thời gian rảnh,Sự kiện và lễ hội,True
club,Thể thao,Golf,True
clue,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
coach,Thể thao,Thể thao chung,True
coach,Giao thông,Xe buýt,True
coal,"Khoa học, công nghệ và kỹ thuật",Năng lượng,False
coast,Môi trường và tự nhiên,Biển và đại dương,False
coat,Ngoại hình và trang phục,Quần áo mùa đông,True
coat,"Nghệ thuật, thiết kế và văn hóa",Hội họa,True
code,"Khoa học, công nghệ và kỹ thuật",Phần mềm,False
coffee,Ăn uống bên ngoài,Cà phê,False
coin,Ngôn ngữ hằng ngày,Tiền tệ và mệnh giá,False
cold,Sức khỏe,Bệnh tật,False
collapse,Sức khỏe,Chấn thương,False
collect,Giải trí và thời gian rảnh,Sở thích thủ công,False
college,Học tập và giáo dục,Đại học,False
color,"Nghệ thuật, thiết kế và văn hóa",Màu sắc,False
column,"Nghệ thuật, thiết kế và văn hóa",Kiến trúc,False
combat,Thể thao,Thể thao đối kháng,False
combine,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
come,Ngôn ngữ hằng ngày,Động từ hành động cơ bản,False
comedy,Giải trí và thời gian rảnh,Phim và rạp chiếu,False
comfort,Nhà cửa,Phòng khách,False
comic,Giải trí và thời gian rảnh,Đọc sách,False
command,Nghề nghiệp và công việc,Nghề công vụ và an ninh,False
commence,Khái niệm trừu tượng,Thời gian và thứ tự,False
comment,Giải trí và thời gian rảnh,Mạng xã hội,False
commerce,Kinh doanh và tài chính,Thương mại điện tử,False
commit,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
common,Khái niệm trừu tượng,Đánh giá và giá trị,False
compare,Khái niệm trừu tượng,Mức độ và so sánh,False
compassion,Con người,Cảm xúc,False
compel,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
compensate,Kinh doanh và tài chính,Bảo hiểm,False
compete,Thể thao,Thể thao chung,False
compile,Học tập và giáo dục,Nghiên cứu,False
complain,Dịch vụ,Khiếu nại và yêu cầu hỗ trợ,False
complete,Khái niệm trừu tượng,Hành động và xử lý,False
complicate,Khái niệm trừu tượng,Tính chất khác,False
comply,"Pháp luật, an toàn và khẩn cấp",Quyền công dân,False
compromise,Con người,Mối quan hệ,False
compute,"Khoa học, công nghệ và kỹ thuật",Máy tính,False
conceal,Khái niệm trừu tượng,Hành động và xử lý,False
concern,Con người,Cảm xúc,False
concert,Giải trí và thời gian rảnh,Hòa nhạc,False
concrete,"Khoa học, công nghệ và kỹ thuật",Vật liệu,False
condemn,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
condition,Sức khỏe,Bệnh tật,False
confer,Nghề nghiệp và công việc,Cuộc họp,False
confess,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
confuse,Con người,Cảm xúc,False
congratulate,Ngôn ngữ hằng ngày,"Cảm ơn, xin lỗi và phép lịch sự",False
connect,"Khoa học, công nghệ và kỹ thuật",Internet,False
conquer,Khái niệm trừu tượng,Hành động và xử lý,False
conscience,Con người,Tính cách,False
conscious,Sức khỏe,Triệu chứng,False
consecutive,Khái niệm trừu tượng,Thời gian và thứ tự,False
consequence,Khái niệm trừu tượng,Nguyên nhân và mục đích,False
consider,Khái niệm trừu tượng,Nhận thức và ý nghĩa,False
constant,Khái niệm trừu tượng,Thời gian và thứ tự,False
consult,Sức khỏe,Tư vấn y tế,False
contemplate,Khái niệm trừu tượng,Nhận thức và ý nghĩa,False
contempt,Con người,Cảm xúc,False
contend,Con người,Mối quan hệ,False
content,Khái niệm trừu tượng,Đánh giá và giá trị,False
continue,Khái niệm trừu tượng,Thời gian và thứ tự,False
contract,Kinh doanh và tài chính,Hợp đồng,False
control,Khái niệm trừu tượng,Hành động và xử lý,False
convenience,Đời sống hằng ngày,Thói quen hằng ngày,False
convenient,Khái niệm trừu tượng,Đánh giá và giá trị,False
convention,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội,False
convey,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
convict,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
convince,Con người,Mối quan hệ,False
cook,Đời sống hằng ngày,Nấu ăn,True
cook,Nghề nghiệp và công việc,Nghề dịch vụ và ẩm thực,True
cool,Môi trường và tự nhiên,Thời tiết,True
cool,Con người,Tính cách,True
cope,Con người,Cảm xúc,False
copper,"Khoa học, công nghệ và kỹ thuật",Vật liệu,False
copy,Học tập và giáo dục,Đồ dùng học tập,False
core,Khái niệm trừu tượng,Phạm vi và bộ phận,False
corner,Cộng đồng và đô thị,Đường phố và giao lộ,False
correct,Học tập và giáo dục,Điểm số và đánh giá,False
correspond,Dịch vụ,Bưu điện,False
cost,Kinh doanh và tài chính,Chi phí sinh hoạt,False
costume,Ngoại hình và trang phục,Quần áo nữ,False
cottage,Nhà cửa,Các loại nhà,False
cotton,Ngoại hình và trang phục,Chất liệu vải,False
counsel,"Pháp luật, an toàn và khẩn cấp",Luật sư,False
count,Ngôn ngữ hằng ngày,Số đếm và số thứ tự,True
count,"Pháp luật, an toàn và khẩn cấp",Tòa án,True
counter,Mua sắm,Quầy thanh toán,False
country,Ngôn ngữ hằng ngày,Bản đồ và khu vực thế giới,False
couple,Con người,Mối quan hệ,False
courage,Con người,Tính cách,False
course,Học tập và giáo dục,Các môn học,False
court,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
courtesy,Ngôn ngữ hằng ngày,"Cảm ơn, xin lỗi và phép lịch sự",False
cousin,Con người,Gia đình,False
cover,Học tập và giáo dục,Sách giáo khoa,True
cover,Kinh doanh và tài chính,Bảo hiểm,True
cow,Môi trường và tự nhiên,Động vật có vú,False
crack,"Khoa học, công nghệ và kỹ thuật",Vật liệu,True
crack,Con người,Cảm xúc,True
craft,Giải trí và thời gian rảnh,Sở thích thủ công,False
crash,Giao thông,Tai nạn và cứu hộ,False
