root_word,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
abolish,abolition,[abolish]-ion,0-1-1,noun,/ˌæbəˈɫɪʃən/,real,the act of abolishing a system or practice or institution (especially abolishing slavery),"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
abolish,abolitionist,[abolish]-ion-ist,0-1-2,noun,/ˌæbəˈɫɪʃənəst/,real,a reformer who favors abolishing slavery,"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absent,absently,[absent]-ly,0-1-1,adverb,/ˈæbsəntli/,"generated (espeak-ng G2P, algorithmic)",in an absentminded or preoccupied manner,absent(vắng mặt) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absent,absentee,[absent]-ee,0-1-1,noun,/ˌæbsənˈti/,real,one that is absent or not in residence,absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absent,absenteeism,[absent]-ee-ism,0-1-2,noun,/ˌæbsənˈtiɪzəm/,real,habitual absence from work,"absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absolute,absolution,[absolute]-ion,0-1-1,noun,/ˌæbsəˈɫuʃən/,real,the act of absolving or remitting,"absolute(tuyệt đối, hoàn toàn) + -ion(hành động, quá trình, trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absolute,absolutism,[absolute]-ism,0-1-1,noun,/ˈæbsəˌɫuˌtɪzəm/,real,the doctrine of an absolute being,"absolute(tuyệt đối, hoàn toàn) + -ism(niềm tin, học thuyết, tình trạng (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absolute,absolutely,[absolute]-ly,0-1-1,adverb,/ˌæbsəˈɫutɫi/,real,used to emphasize that something is completely true,"absolute(tuyệt đối, hoàn toàn) + -ly(trạng từ chỉ cách thức / tính từ (giống như))",Oxford 5000 (verified),,
absolute,absoluteness,[absolute]-ness,0-1-1,noun,/ˈæbsəˌɫutnəs/,real,the quality of being absolute,"absolute(tuyệt đối, hoàn toàn) + -ness(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absurd,absurdly,[absurd]-ly,0-1-1,adverb,/əbˈsɝdɫi/,real,in an absurd manner or to an absurd degree,"absurd(vô lý, phi lý) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absurd,absurdity,[absurd]-ity,0-1-1,noun,/əbˈsɝdəti/,real,a ludicrous folly,"absurd(vô lý, phi lý) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
abuse,abusive,[abuse]-ive,0-1-1,adjective,/əbˈjusɪv/,real,characterized by physical or psychological maltreatment,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
abuse,abusively,[abuse]-ive-ly,0-1-2,adverb,/ɐbjˈuːsɪvli/,real,in an abusive manner,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
abuse,disabuse,dis-[abuse],1-1-0,verb,/dɪsəbˈjus/,real,free somebody (from an erroneous belief),"dis-(không, ngược lại, tách rời) + abuse(lạm dụng, ngược đãi)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accent,accentual,[accent]-al,0-1-1,adjective,/æksˈɛntʃuːəl/,"generated (espeak-ng G2P, algorithmic)",(of verse) having a metric system based on stress rather than syllables or quantity,"accent(trọng âm, giọng nói) + -al(thuộc về (tính từ); hành động (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accent,accentuate,[accent]-ate,0-1-1,verb,/ækˈsɛntʃueɪt/,real,to put stress on,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accent,accentuation,[accent]-ate-ion,0-1-2,noun,/æksˈɛntʃuːˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)",the act of giving special importance or significance to something,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accept,acceptance,[accept]-ance,0-1-1,noun,/ækˈsɛptəns/,real,"the act of accepting a gift, an invitation, an offer, etc.","accept(chấp nhận) + -ance(trạng thái, tính chất, hành động (danh từ))",Oxford 5000 (verified),,
accept,acceptable,[accept]-able,0-1-1,adjective,/ækˈsɛptəbəɫ/,real,agreed or approved of by most people in a society,accept(chấp nhận) + -able(có thể được (tính từ)),Oxford 5000 (verified),,
accept,acceptation,[accept]-ion,0-1-1,noun,/ɐksɪptˈeɪʃən/,real,the act of accepting with approval,"accept(chấp nhận) + -ion(hành động, quá trình, trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accept,acceptably,[accept]-able-y,0-1-2,adverb,/ækˈsɛptəbɫi/,real,in an acceptable (but not outstanding) manner,accept(chấp nhận) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accept,acceptability,[accept]-able-ity,0-1-2,noun,/əkˌsɛptəˈbɪɫəti/,real,satisfactoriness by virtue of conforming to approved standards,"accept(chấp nhận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accept,unacceptable,un-[accept]-able,1-1-1,adjective,/ˌənækˈsɛptəbəɫ/,real,so bad that you think it should not be allowed,"un-(không, ngược lại (phủ định/đảo nghĩa)) + accept(chấp nhận) + -able(có thể được (tính từ))",Oxford 5000 (verified),,
access,accession,[access]-ion,0-1-1,noun,/əkˈsɛʃən/,real,the act of attaining or gaining access to a new office or right or position (especially the throne),"access(truy cập, tiếp cận) + -ion(hành động, quá trình, trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
access,accessors,[access]-or,0-1-1,noun,/ɐksˈɛsɚz/,"generated (espeak-ng G2P, algorithmic)",access(the opportunity or right to use something or to see somebody/something) + -or(person/thing that does (noun)),"access(truy cập, tiếp cận) + -or(người/vật thực hiện (danh từ))","compositional (generated, unverified)",công thức ghép (chưa xác thực),
access,accessible,[access]-able,0-1-1,adjective,/ækˈsɛsəbəɫ/,real,"that can be reached, entered, used, seen, etc.","access(truy cập, tiếp cận) + -able(có thể được (tính từ))",Oxford 5000 (verified),,
access,accessibility,[access]-able-ity,0-1-2,noun,/ˌæksɛsəˈbɪɫɪti/,real,the attribute of being easy to meet or deal with,"access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
access,inaccessible,im-[access]-able,1-1-1,adjective,/ˌɪnəkˈsɛsəbəɫ/,real,capable of being reached only with great difficulty or not at all,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
access,inaccessibly,im-[access]-able-y,1-1-2,adverb,/ɪnæksˈɛsəbli/,"generated (espeak-ng G2P, algorithmic)",in an inaccessible manner,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
access,inaccessibility,im-[access]-able-ity,1-1-2,noun,/ˌɪnəkˌsɛsəˈbɪɫəti/,real,the quality of not being available when needed,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accident,accidental,[accident]-al,0-1-1,adjective,/ˌæksəˈdɛnəɫ/,real,happening by chance or unexpectedly or unintentionally,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accident,accidentally,[accident]-al-ly,0-1-2,adverb,/ˌæksəˈdɛnəɫi/,real,by chance; in a way that was not planned,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),Oxford 5000 (verified),,
accommodate,accommodation,[accommodate]-ion,0-1-1,noun,/əˌkɑməˈdeɪʃən/,real,"a place to live, work or stay in","accommodate(chứa, thích nghi) + -ion(hành động, quá trình, trạng thái (danh từ))",Oxford 5000 (verified),,
accomplish,accomplishment,[accomplish]-ment,0-1-1,noun,/əˈkɑmpɫɪʃmənt/,real,an impressive thing that is done or achieved after a lot of work,accomplish(hoàn thành) + -ment(kết quả/hành động/trạng thái (danh từ)),Oxford 5000 (verified),,
account,accountant,[account]-ant,0-1-1,noun,/əˈkaʊntənt/,real,a person whose job is to keep or check financial accounts,"account(tài khoản, tường thuật) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))",Oxford 5000 (verified),,
account,accountable,[account]-able,0-1-1,adjective,/əˈkaʊnəbəɫ/,real,responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ))",Oxford 5000 (verified),,
account,accountably,[account]-able-y,0-1-2,adjective,/ɐkˈaʊntəbli/,"generated (espeak-ng G2P, algorithmic)",In an accountable manner.,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)","Webster's Unabridged Dictionary (1913, public domain)",công thức ghép (chưa xác thực),
account,accountancy,[account]-ance-y,0-1-2,noun,/əˈkaʊntənsi/,real,the occupation of maintaining and auditing records and preparing financial reports for a business,"account(tài khoản, tường thuật) + -ance(trạng thái, tính chất, hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
account,accountability,[account]-able-ity,0-1-2,noun,/əˈkaʊnəbɪɫɪti/,real,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))",Oxford 5000 (verified),,
account,unaccountable,un-[account]-able,1-1-1,adjective,/ˌənəˈkaʊntəbəɫ/,real,not to be accounted for or explained,"un-(không, ngược lại (phủ định/đảo nghĩa)) + account(tài khoản, tường thuật) + -able(có thể được (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
account,unaccountably,un-[account]-able-y,1-1-2,adverb,/ˌənəˈkaʊntəbɫi/,real,in an unaccountable manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accuse,accuser,[accuse]-er,0-1-1,noun,/əkˈjuzɝ/,real,someone who imputes guilt or blame,accuse(buộc tội) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accuse,accusative,[accuse]-ive,0-1-1,adjective,/əkˈjuzətɪv/,real,containing or expressing accusation,"accuse(buộc tội) + -ive(có xu hướng, có tính chất (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accuse,accusingly,[accuse]-ly,0-1-1,adverb,/əkˈjuzɪŋɫi/,real,in an accusing manner,accuse(buộc tội) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
accuse,accusation,[accuse]-ion,0-1-1,noun,/ˌækjəˈzeɪʃən/,real,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,"accuse(buộc tội) + -ion(hành động, quá trình, trạng thái (danh từ))",Oxford 5000 (verified),,
achieve,achievable,[achieve]-able,0-1-1,adjective,/əˈtʃivəbəɫ/,real,capable of existing or taking place or proving true,achieve(đạt được) + -able(có thể được (tính từ)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
achieve,achievement,[achieve]-ment,0-1-1,noun,/əˈtʃivmənt/,real,"a thing that somebody has done successfully, especially using their own effort and skill",achieve(đạt được) + -ment(kết quả/hành động/trạng thái (danh từ)),Oxford 5000 (verified),,
achieve,unachieved,un-[achieve],1-1-0,verb,/ʌnɐtʃˈiːvd/,"generated (espeak-ng G2P, algorithmic)","un-(not, opposite of; reverse an action) + achieve(to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time)","un-(không, ngược lại (phủ định/đảo nghĩa)) + achieve(đạt được)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
achieve,unachievable,un-[achieve]-able,1-1-1,adjective,/ʌnɐtʃˈiːvəbəl/,real,impossible to achieve,"un-(không, ngược lại (phủ định/đảo nghĩa)) + achieve(đạt được) + -able(có thể được (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
achieve,underachievers,under-[achieve]-er,1-1-1,noun,/ˈəndɝəˌtʃivɝz/,real,"under-(below, insufficient) + achieve(to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time) + -er(person who does; comparative)","under-(dưới, không đủ) + achieve(đạt được) + -er(người làm việc gì; so sánh hơn)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
acid,acidic,[acid]-ic,0-1-1,adjective,/əˈsɪdɪk/,real,being or containing an acid,"acid(axit, chua) + -ic(thuộc về (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
acid,acidify,[acid]-ify,0-1-1,verb,/əˈsɪdəˌfaɪ/,real,to turn acidic,"acid(axit, chua) + -ify(làm cho, khiến trở thành (động từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
acid,acidity,[acid]-ity,0-1-1,noun,/əˈsɪdəti/,real,the property of being acidic,"acid(axit, chua) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
acid,nonacid,non-[acid],1-1-0,adjective,/nˌɑːnˈæsɪd/,"generated (espeak-ng G2P, algorithmic)","Destitute of acid properties; hence, basic; metallic; positive;-- said of certain atoms and radicals.","non-(không) + acid(axit, chua)","Webster's Unabridged Dictionary (1913, public domain)",công thức ghép (chưa xác thực),
acre,acreage,[acre]-age,0-1-1,noun,/ˈeɪkɝɪdʒ/,real,an area of ground used for some particular purpose such as building or farming,"acre(mẫu Anh (đơn vị diện tích)) + -age(hành động, kết quả, tập hợp (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,actor,[act]-or,0-1-1,noun,/ˈæktɝ/,real,"a person who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -or(người/vật thực hiện (danh từ))",Oxford 5000 (verified),,
act,actual,[act]-al,0-1-1,adjective,/ˈækʃəɫ/,real,used to emphasize something that is real or exists in fact,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ))",Oxford 5000 (verified),,
act,action,[act]-ion,0-1-1,noun,/ˈækʃən/,real,the process of doing something in order to make something happen or to deal with a situation,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))",Oxford 5000 (verified),,
act,active,[act]-ive,0-1-1,adjective,/ˈæktɪv/,real,"always busy doing things, especially physical activities","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))",Oxford 5000 (verified),,
act,actuate,[act]-ate,0-1-1,verb,/ˈækˌtʃuˈeɪt/,real,to put in motion or move to act,"act(hành động, đạo luật) + -ate(làm cho/trở thành (động từ); có (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,actress,[act]-ess,0-1-1,noun,/ˈæktɹəs/,real,"a woman who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -ess(giống cái (danh từ))",Oxford 5000 (verified),,
act,actuary,[act]-ory,0-1-1,noun,/ˈæktʃuˈɛˌɹi/,real,someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums),"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,activate,[act]-ive-ate,0-1-2,verb,/ˈæktəˌveɪt/,real,to make something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))",Oxford 5000 (verified),,
act,actively,[act]-ive-ly,0-1-2,adverb,/ˈæktɪvɫi/,real,in an active manner,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,activism,[act]-ive-ism,0-1-2,noun,/ˈæktɪˌvɪzəm/,real,a policy of taking direct and militant action to achieve a political or social goal,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,activist,[act]-ive-ist,0-1-2,noun,/ˈæktəvəst/,real,"a person who works to achieve political or social change, especially as a member of an organization with particular aims","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ist(người theo/thực hành (danh từ))",Oxford 5000 (verified),,
act,activity,[act]-ive-ity,0-1-2,noun,/ækˈtɪvəti/,real,a thing that you do for interest or pleasure,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))",Oxford 5000 (verified),,
act,actually,[act]-al-y,0-1-2,adverb,/ˈækˌtʃuəɫi/,real,"used in speaking to emphasize a fact or a comment, or that something is really true","act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)",Oxford 5000 (verified),,
act,actuarial,[act]-ory-al,0-1-2,adjective,/ˌækˌtʃuˈɛɹiəɫ/,real,of or relating to the work of an actuary,"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,actuality,[act]-al-ity,0-1-2,noun,/ˌæktʃuˈæɫəˌti/,real,the state of actually existing objectively,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,actionable,[act]-ion-able,0-1-2,adjective,/ˈækʃənəbəɫ/,real,affording grounds for legal action,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ)) + -able(có thể được (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,activation,[act]-ive-ate-ion,0-1-3,noun,/ˌæktəˈveɪʃən/,real,the act of making something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))",Oxford 5000 (verified),,
act,actuarially,[act]-ory-al-ly,0-1-3,adverb,/ˌæktʃuːˈeəɹɪəli/,real,"act(a particular thing that somebody does) + -ory(relating to, place for (adjective/noun)) + -al(relating to (adjective); action (noun)) + -ly(adverb of manner / adjective (like))","act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","compositional (generated, unverified)",công thức ghép (chưa xác thực),
act,enact,en-[act],1-1-0,verb,/ɪˈnækt/,real,to pass a law,"en-(làm cho, đưa vào) + act(hành động, đạo luật)",Oxford 5000 (verified),,
act,react,re-[act],1-1-0,verb,/ɹiˈækt/,real,to change or behave in a particular way as a result of or in response to something,"re-(lại, làm lại) + act(hành động, đạo luật)",Oxford 5000 (verified),,
act,overact,over-[act],1-1-0,verb,/ˈoʊvɝˌækt/,real,exaggerate one's acting,"over-(trên, quá mức) + act(hành động, đạo luật)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,underact,under-[act],1-1-0,verb,/ˌʌndɚɹˈækt/,"generated (espeak-ng G2P, algorithmic)",act (a role) with great restraint,"under-(dưới, không đủ) + act(hành động, đạo luật)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
act,transact,trans-[act],1-1-0,verb,/tɹænˈzækt/,real,conduct business,"trans-(xuyên qua, chuyển đổi) + act(hành động, đạo luật)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
