component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
air+drop,airdrop,[air+drop],0-2-0,noun,/ˈɛɹdɹɑp/,real,delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft,"air+drop(không khí, không trung + rơi, giọt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+field,airfield,[air+field],0-2-0,noun,/ˈɛɹˌfiɫd/,real,a place where planes take off and land,"air+field(không khí, không trung + cánh đồng, lĩnh vực)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+flow,airflow,[air+flow],0-2-0,noun,/ˈɛɹfɫoʊ/,real,the flow of air,"air+flow(không khí, không trung + dòng chảy)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+force,airforce,[air+force],0-2-0,noun,/ˈɛɹfɔɹs/,real,the airborne branch of a country's armed forces,"air+force(không khí, không trung + lực lượng, ép buộc)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+frame,airframe,[air+frame],0-2-0,noun,/ˈɛɹˌfɹeɪm/,real,the framework and covering of an airplane or rocket (excluding the engines),"air+frame(không khí, không trung + khung)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+gun,airgun,[air+gun],0-2-0,noun,/ˈeəɡʌn/,real,a gun that propels a projectile by compressed air,"air+gun(không khí, không trung + súng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+hole,airhole,[air+hole],0-2-0,noun,/ˈɛɹhoʊl/,"generated (espeak-ng G2P, algorithmic)",air+hole(the mixture of gases that surrounds the earth and that we breathe + a hollow space in something solid or in the surface of something),"air+hole(không khí, không trung + lỗ hổng)","compositional (generated, unverified)",công thức ghép (chưa xác thực),"từ thật, phổ biến (lỗ thông khí)"
air+host,airhostess,[air+host]-ess,0-2-1,noun,/ˈɛɹhəstˌɛs/,"generated (espeak-ng G2P, algorithmic)","air+host(the mixture of gases that surrounds the earth and that we breathe + a person who invites guests to a meal, a party, etc. or who has people staying at their house) + -ess(female (noun))","air+host(không khí, không trung + chủ nhà, người dẫn chương trình) + -ess(giống cái (danh từ))","compositional (generated, unverified)",công thức ghép (chưa xác thực),"dạng liền của ""air hostess"" (tiếp viên hàng không)"
air+lift,airlift,[air+lift],0-2-0,noun,/ˈɛɹˌɫɪft/,real,"transportation of people or goods by air, especially when other means of access are unavailable","air+lift(không khí, không trung + nâng lên)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+line,airliner,[air+line]-er,0-2-1,noun,/ˈɛɹˌɫaɪnɝ/,real,a commercial airplane that carries passengers,"air+line(không khí, không trung + đường kẻ) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+line,airline,[air+line],0-2-0,noun,/ˈɛɹˌɫaɪn/,real,a company that provides regular flights to take passengers and goods to different places,"air+line(không khí, không trung + đường kẻ)",Oxford 5000 (verified),,
air+lock,airlock,[air+lock],0-2-0,noun,/ˈɛɹˌɫɔk/,real,a chamber that provides access to space where air is under pressure,"air+lock(không khí, không trung + khóa)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+mail,airmail,[air+mail],0-2-0,noun,/ˈɛɹˌmeɪɫ/,real,a system of conveying mail by aircraft,"air+mail(không khí, không trung + thư từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+man,airman,[air+man],0-2-0,noun,/ˈɛɹmən/,real,someone who operates an aircraft,"air+man(không khí, không trung + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+park,airpark,[air+park],0-2-0,noun,/ˈɛɹpɑːɹk/,"generated (espeak-ng G2P, algorithmic)","air+park(the mixture of gases that surrounds the earth and that we breathe + an area of public land in a town or a city where people go to walk, play and relax)","air+park(không khí, không trung + công viên, đỗ xe)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
air+plane,airplane,[air+plane],0-2-0,noun,/ˈɛɹˌpɫeɪn/,real,an aircraft that has a fixed wing and is powered by propellers or jets,"air+plane(không khí, không trung + máy bay, mặt phẳng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+port,airport,[air+port],0-2-0,noun,/ˈɛɹˌpɔɹt/,real,a place where planes land and take off and that has buildings for passengers to wait in,"air+port(không khí, không trung + cảng)",Oxford 5000 (verified),,
air+ship,airship,[air+ship],0-2-0,noun,/ˈɛɹˌʃɪp/,real,a steerable self-propelled aircraft,"air+ship(không khí, không trung + con tàu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+sick,airsick,[air+sick],0-2-0,adjective,/ˈeəsɪk/,real,experiencing motion sickness,"air+sick(không khí, không trung + ốm đau)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+space,airspace,[air+space],0-2-0,noun,/ˈɛɹˌspeɪs/,real,the atmosphere above a nation that is deemed to be under its jurisdiction,"air+space(không khí, không trung + không gian)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+speed,airspeed,[air+speed],0-2-0,noun,/ˈɛɹˌspid/,real,the speed of an aircraft relative to the air in which it is flying,"air+speed(không khí, không trung + tốc độ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+strip,airstrip,[air+strip],0-2-0,noun,/ˈɛɹˌstɹɪp/,real,an airfield without normal airport facilities,"air+strip(không khí, không trung + dải, cởi bỏ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+tight,airtight,[air+tight],0-2-0,adjective,/ˈɛɹˌtaɪt/,real,not allowing air or gas to pass in or out,"air+tight(không khí, không trung + chật, chặt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+way,airway,[air+way],0-2-0,noun,/ˈɛɹˌweɪ/,real,a commercial enterprise that provides scheduled flights for passengers,"air+way(không khí, không trung + con đường, cách thức)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+woman,airwoman,[air+woman],0-2-0,noun,/ˈɛɹwʊmən/,"generated (espeak-ng G2P, algorithmic)",a woman aviator,"air+woman(không khí, không trung + phụ nữ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+worth,airworthy,[air+worth]-y,0-2-1,adjective,/ˈɛɹˌwɝði/,real,(of aircraft) fit to fly,"air+worth(không khí, không trung + đáng giá) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+worth,airworthiness,[air+worth]-y-ness,0-2-2,noun,/ˈɛɹˌwɝðinəs/,real,fitness to fly,"air+worth(không khí, không trung + đáng giá) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
all+spice,allspice,[all+spice],0-2-0,noun,/ˈɔɫˌspaɪs/,real,ground dried berrylike fruit of a West Indian allspice tree,all+spice(tất cả + gia vị),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
along+side,alongside,[along+side],0-2-0,preposition,/əˈɫɔŋˈsaɪd/,real,next to or at the side of something,along+side(dọc theo + bên cạnh),Oxford 5000 (verified),,
amid+ship,amidships,[amid+ship],0-2-0,adverb,/əˈmɪdʃɪps/,real,at or near or toward the center of a ship,amid+ship(giữa (khoảng) + con tàu),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
anchor+man,anchorman,[anchor+man],0-2-0,noun,/ˈæŋkɝˌmæn/,real,a television reporter who coordinates a broadcast to which several correspondents contribute,anchor+man(mỏ neo + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
any+body,anybody,[any+body],0-2-0,pronoun,/ˈɛnibədi/,real,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",any+body(bất kỳ + cơ thể),Oxford 5000 (verified),,
any+how,anyhow,[any+how],0-2-0,adverb,/ˈɛniˌhaʊ/,real,used to indicate that a statement explains or supports a previous statement,any+how(bất kỳ + như thế nào),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
any+more,anymore,[any+more],0-2-0,adverb,/ˌɛniˈmɔɹ/,real,at the present or from now on,any+more(bất kỳ + nhiều hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
any+one,anyone,[any+one],0-2-0,pronoun,/ˈɛniˌwən/,real,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",any+one(bất kỳ + một),Oxford 5000 (verified),,
any+place,anyplace,[any+place],0-2-0,adverb,/ˈɛniˌpɫeɪs/,real,at or in or to any place,any+place(bất kỳ + địa điểm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
any+thing,anything,[any+thing],0-2-0,pronoun,/ˈɛniˌθɪŋ/,real,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.","any+thing(bất kỳ + vật, thứ)",Oxford 5000 (verified),,
any+way,anyway,[any+way],0-2-0,adverb,/ˈɛniˌweɪ/,real,used when adding something to support an idea or argument,"any+way(bất kỳ + con đường, cách thức)",Oxford 5000 (verified),,
any+where,anywhere,[any+where],0-2-0,adverb,/ˈɛniˌwɛɹ/,real,used in negative sentences and in questions instead of somewhere,any+where(bất kỳ + ở đâu),Oxford 5000 (verified),,
area+way,areaways,[area+way],0-2-0,noun,/ˈɛɹiəwˌeɪz/,"generated (espeak-ng G2P, algorithmic)","area+way(part of a place, town, etc., or a region of a country or the world + very far; by a large amount)","area+way(khu vực, diện tích + con đường, cách thức)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
arm+band,armband,[arm+band],0-2-0,noun,/ˈɑɹmˌbænd/,real,a band worn around the upper arm,"arm+band(cánh tay, vũ trang + ban nhạc, dải băng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
arm+chair,armchair,[arm+chair],0-2-0,noun,/ˈɑɹmˌtʃɛɹ/,real,chair with a support on each side for arms,"arm+chair(cánh tay, vũ trang + ghế)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
arm+hole,armhole,[arm+hole],0-2-0,noun,/ˈɑːmhəʊl/,real,a hole through which you put your arm and where a sleeve can be attached,"arm+hole(cánh tay, vũ trang + lỗ hổng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
arm+load,armload,[arm+load],0-2-0,noun,/ˈɑːɹmloʊd/,"generated (espeak-ng G2P, algorithmic)","arm+load(either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + something that is being carried (usually in large amounts) by a person, vehicle, etc.)","arm+load(cánh tay, vũ trang + tải trọng)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
arm+pit,armpit,[arm+pit],0-2-0,noun,/ˈɑɹmˌpɪt/,real,the hollow under the arm where it is joined to the shoulder,"arm+pit(cánh tay, vũ trang + hố, hầm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
arm+strong,armstrong,[arm+strong],0-2-0,noun,/ˈɑɹmˌstɹɑŋ/,real,"arm+strong(either of the two long parts that stick out from the top of the body and connect the shoulders to the hands + having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.)","arm+strong(cánh tay, vũ trang + mạnh mẽ)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
arrow+head,arrowhead,[arrow+head],0-2-0,noun,/ˈæɹoʊˌhɛd/,real,the pointed head or striking tip of an arrow,"arrow+head(mũi tên + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
arrow+root,arrowroot,[arrow+root],0-2-0,noun,/ˈɛɹoʊˌɹut/,real,canna grown especially for its edible rootstock from which arrowroot starch is obtained,"arrow+root(mũi tên + rễ cây, gốc rễ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
as+much,inasmuch,im-[as+much],1-2-0,adverb,/ˌɪˈnæsmək/,real,"In like degree; in like manner; seeing that; considering that;since; -- followed by as. See In as much as, under In, prep.Inasmuch as ye did it not to one of the least of these, ye did it notto me. Matt. xxv. 45.","im-(không (biến thể của in- trước b/m/p)) + as+much(như, khi + nhiều)","Webster's Unabridged Dictionary (1913, public domain)",công thức ghép (chưa xác thực),
ash+man,ashman,[ash+man],0-2-0,noun,/ˈæʃmən/,real,"ash+man(the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt + an adult male human)",ash+man(tro + đàn ông),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
auto+code,autocoder,[auto+code]-er,0-2-1,noun,/ˌɔːɾoʊkˈoʊdɚ/,"generated (espeak-ng G2P, algorithmic)","auto+code(a car + a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form) + -er(person who does; comparative)","auto+code(tự động (viết tắt) + mã, quy tắc) + -er(người làm việc gì; so sánh hơn)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+bench,backbench,[back+bench],0-2-0,noun,/bˈækbɛntʃ/,real,any of the seats occupied by backbenchers in the House of Commons,"back+bench(lưng, phía sau + ghế dài, băng ghế)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+bench,backbencher,[back+bench]-er,0-2-1,noun,/bˈækbɛntʃɐ/,real,a member of the House of Commons who is not a party leader,"back+bench(lưng, phía sau + ghế dài, băng ghế) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+board,backboards,[back+board],0-2-0,adjective,/ˈbækˌbɔɹdz/,real,"back+board(located behind or at the back of something + a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats)","back+board(lưng, phía sau + ban, bảng, tấm ván)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+bone,backbones,[back+bone],0-2-0,adjective,/ˈbækˌboʊnz/,real,back+bone(located behind or at the back of something + any of the hard parts that form the skeleton of the body of a human or an animal),"back+bone(lưng, phía sau + xương)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+break,backbreakingly,[back+break]-ly,0-2-1,adverb,/bˈækbɹeɪkɪŋli/,"generated (espeak-ng G2P, algorithmic)","back+break(located behind or at the back of something + a short period of time when you stop what you are doing and rest, eat, etc.) + -ly(adverb of manner / adjective (like))","back+break(lưng, phía sau + phá vỡ, nghỉ giải lao) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","compositional (generated, unverified)",công thức ghép (chưa xác thực),"trạng từ từ ""backbreaking"" (backbreaking + ly)"
back+cloth,backcloth,[back+cloth],0-2-0,noun,/bˈækklɒθ/,real,scenery hung at back of stage,"back+cloth(lưng, phía sau + vải)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+door,backdoors,[back+door],0-2-0,adjective,/ˈbækˌdɔɹz/,real,"back+door(located behind or at the back of something + a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard)","back+door(lưng, phía sau + cửa)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+drop,backdrops,[back+drop],0-2-0,adjective,/ˈbækˌdɹɑps/,real,back+drop(located behind or at the back of something + a very small amount of liquid that forms a round shape),"back+drop(lưng, phía sau + rơi, giọt)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+ground,background,[back+ground],0-2-0,noun,/ˈbækˌɡɹaʊnd/,real,"the details of a person’s family, education, experience, etc.","back+ground(lưng, phía sau + mặt đất)",Oxford 5000 (verified),,
back+hand,backhander,[back+hand]-er,0-2-1,noun,/bˈækhændɐ/,real,a backhanded blow,"back+hand(lưng, phía sau + bàn tay) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+hand,backhand,[back+hand],0-2-0,adjective,/ˈbækˌhænd/,real,(of handwriting) having the letters slanting backward,"back+hand(lưng, phía sau + bàn tay)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+log,backlog,[back+log],0-2-0,noun,/ˈbæˌkɫɑɡ/,real,an accumulation of jobs not done or materials not processed that are yet to be dealt with (especially unfilled customer orders for products or services),"back+log(lưng, phía sau + khúc gỗ, nhật ký)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+most,backmost,[back+most],0-2-0,adjective,/bˈækmoʊst/,"generated (espeak-ng G2P, algorithmic)",located farthest to the rear,"back+most(lưng, phía sau + nhiều nhất)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+pack,backpack,[back+pack],0-2-0,noun,/ˈbækˌpæk/,real,a bag carried by a strap on your back or shoulder,"back+pack(lưng, phía sau + đóng gói, gói)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+room,backroom,[back+room],0-2-0,noun,/ˈbæˌkɹum/,real,the meeting place of a group of leaders who make their decisions via private negotiations,"back+room(lưng, phía sau + căn phòng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+scratch,backscratcher,[back+scratch]-er,0-2-1,noun,/bˈækskɹætʃɐ/,real,a long-handled scratcher for scratching your back,"back+scratch(lưng, phía sau + trầy xước) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+seat,backseat,[back+seat],0-2-0,noun,/bækˈsit/,real,a seat at the back of a vehicle (especially the seat at the back of an automobile),"back+seat(lưng, phía sau + chỗ ngồi)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+side,backside,[back+side],0-2-0,noun,/ˈbækˌsaɪd/,real,the fleshy part of the human body that you sit on,"back+side(lưng, phía sau + bên cạnh)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+space,backspaced,[back+space],0-2-0,adjective,/bˈækspeɪst/,"generated (espeak-ng G2P, algorithmic)",back+space(located behind or at the back of something + the area outside the earth’s atmosphere where all the other planets and stars are),"back+space(lưng, phía sau + không gian)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
back+stage,backstage,[back+stage],0-2-0,adverb,/ˈbækˈsteɪdʒ/,real,in or to a backstage area of a theater,"back+stage(lưng, phía sau + sân khấu, giai đoạn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+stair,backstair,[back+stair],0-2-0,adjective,/bˈækstɛɹ/,"generated (espeak-ng G2P, algorithmic)",secret and sly or sordid,"back+stair(lưng, phía sau + cầu thang)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+stay,backstay,[back+stay],0-2-0,noun,/bˈæksteɪ/,real,a stay that supports the back of something,"back+stay(lưng, phía sau + ở lại)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+stroke,backstroke,[back+stroke],0-2-0,noun,/ˈbækˌstɹoʊk/,real,a swimming stroke that resembles the crawl except the swimmer lies on his or her back,"back+stroke(lưng, phía sau + cú đánh, đột quỵ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+up,backup,[back+up],0-2-0,noun,/ˈbæˌkəp/,real,extra help or support that you can get if necessary,"back+up(lưng, phía sau + lên trên)",Oxford 5000 (verified),,
back+water,backwater,[back+water],0-2-0,noun,/ˈbæˌkwɔtɝ/,real,a place or condition in which no development or progress is occurring,"back+water(lưng, phía sau + nước)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+wood,backwoods,[back+wood],0-2-0,noun,/ˈbæˈkwʊdz/,real,a remote and undeveloped area,"back+wood(lưng, phía sau + gỗ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
back+yard,backyard,[back+yard],0-2-0,noun,/ˈbækˌjɑɹd/,real,the grounds in back of a house,"back+yard(lưng, phía sau + sân, yard (đơn vị))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bad+land,badlands,[bad+land],0-2-0,noun,/ˈbædˌɫændz/,real,deeply eroded barren land,"bad+land(xấu, tệ + đất đai)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
bag+pipe,bagpipe,[bag+pipe],0-2-0,noun,/ˈbæɡˌpaɪp/,real,a tubular wind instrument,bag+pipe(túi + ống dẫn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ball+field,ballfields,[ball+field],0-2-0,noun,/bˈɔːlfiːldz/,"generated (espeak-ng G2P, algorithmic)","ball+field(a round object used for throwing, hitting or kicking in games and sports + an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.)","ball+field(quả bóng + cánh đồng, lĩnh vực)","compositional (generated, unverified)",công thức ghép (chưa xác thực),"số nhiều của ""ballfield"" (sân bóng, tiếng Mỹ thông dụng)"
