root_word,meaning,nghia_tieng_viet,used_in_single_root_group,used_in_compound_group,variants,variant_count,de_nham_lan,bien_the,topic,subtopic
agree,to have the same opinion as somebody; to say that you have the same opinion,đồng ý,True,False,agreeable; agreeableness; agreeably; agreement; disagree; disagreeable; disagreeableness; disagreeably; disagreement,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thái độ
aid,"money, food, etc. that is sent to help countries in difficult situations","viện trợ, giúp đỡ",True,False,unaided,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Cứu hộ
aim,the purpose of doing something; what somebody is trying to achieve,"mục đích, nhắm",True,False,aimless; aimlessly; aimlessness,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nguyên nhân và mục đích
air,the mixture of gases that surrounds the earth and that we breathe,"không khí, không trung",True,True,airbase; airbed; airbus; aircraft; aircraftman; aircrew; airdrop; airfield; airflow; airforce; airframe; airgun; airhole; airhostess; airier; airiest; airily; airless; airlift; airline; airliner; airlock; airmail; airman; airpark; airplane; airport; airship; airsick; airspace; airspeed; airstrip; airtight; airway; airwoman; airworthiness; airworthy; airy; antiaircraft; midair,40,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Trái Đất
alarm,a loud noise or a signal that warns people of danger or of a problem,"báo động, lo sợ",True,False,alarmingly; alarmist,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",An toàn cá nhân
alcohol,"drinks such as beer, wine, etc. that can make people drunk","rượu, cồn",True,False,alcoholic; alcoholically; alcoholism,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ăn uống bên ngoài,Đồ uống có cồn
alert,able to think quickly; quick to notice things,"cảnh giác, báo động",True,False,alertly; alertness,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",An toàn cá nhân
alien,strange and frightening; different from what you are used to,"người ngoài hành tinh, xa lạ",True,False,alienable; alienate; alienation; alienist; inalienable; unalienable,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Không gian
all,completely,tất cả,True,True,allspice; coverall; overall; rushall,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Lượng từ
allege,to state something as a fact but without giving proof,cáo buộc,True,False,allegation; allegedly; allegiance,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra
allow,to let somebody/something do something; to let something happen or be done,cho phép,True,False,allowable; allowably; allowance; disallow,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
ally,"a country that has agreed to help and support another country, especially in case of a war",đồng minh,True,False,alliance; misalliance,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
alone,without any other people,một mình,True,False,aloneness,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
along,forward,dọc theo,False,True,alongside,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
alter,to become different; to make somebody/something different,thay đổi,True,False,alterable; alteration; unalterable; unalterably,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
amateur,"doing something for pleasure or interest, not as a job",nghiệp dư,True,False,amateurish; amateurishly; amateurishness; amateurism,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Thể thao chung
amaze,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm kinh ngạc,True,False,amazement; amazingly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
amend,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",sửa đổi,True,False,amendable; amendment,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý
amid,"in the middle of or during something, especially something that causes excitement or fear",giữa (khoảng),False,True,amidships,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Giới từ
among,surrounded by somebody/something; in the middle of somebody/something,giữa (nhiều thứ),True,False,amongst,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Giới từ
amuse,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm vui thích,True,False,amusedly; amusement; unamused,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
analysis,the detailed study or examination of something in order to understand more about it; the result of the study,phân tích,True,False,microanalysis,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Nghiên cứu
ancestor,a person in your family who lived a long time ago,tổ tiên,True,False,ancestral; ancestry,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Gia đình
anchor,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,mỏ neo,True,True,anchorage; anchorman,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Cảng
ancient,belonging to a period of history that is thousands of years in the past,cổ đại,True,False,anciently,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Di sản và bảo tàng
angel,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",thiên thần,True,False,angelic; angelical; angelically,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Tôn giáo và nơi thờ tự
angle,"the space between two lines or surfaces that join, measured in degrees",góc độ,True,False,angler; angular; angularity; quadrangle; quadrangular; triangle; triangular,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
angry,having strong feelings about something that you dislike very much or about an unfair situation,giận dữ,True,False,angrier; angriest; angrily,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
animal,"a creature that is not a bird, a fish, a reptile, an insect or a human",động vật,True,False,animalcule; animalism,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Động vật có vú
ankle,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,mắt cá chân,True,False,anklet,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cơ thể
announce,"to tell people something officially, especially about a decision, plans, etc.",thông báo,True,False,announcement; announcer; unannounced,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
annoy,to make somebody slightly angry ,làm phiền,True,False,annoyance,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
answer,"something that you say, write or do to react to a question or situation",trả lời,True,False,answerable; answerably; unanswerable; unanswered,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Bài kiểm tra
anticipate,to expect something,"dự đoán, mong đợi",True,False,anticipation; anticipatory,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
any,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",bất kỳ,False,True,anybody; anyhow; anymore; anyone; anyplace; anything; anyway; anywhere,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Lượng từ
apart,"separated by a distance, of space or time","tách rời, riêng biệt",True,False,apartment,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
appeal,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police","kháng cáo, hấp dẫn",True,False,appealingly,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tòa án
appear,to start to be seen,"xuất hiện, có vẻ",True,False,appearance; disappear; disappearance; reappear; reappearance,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
apple,a round fruit with shiny red or green skin that is fairly hard and white inside,quả táo,True,False,appleby,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Trái cây
applicable,that can be said to be true in the case of somebody/something,có thể áp dụng,True,False,inapplicability; inapplicable,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
apply,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.","áp dụng, nộp đơn",True,False,appliance; misapply,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Tìm việc
appoint,to choose somebody for a job or position of responsibility,bổ nhiệm,True,False,appointee; appointment; disappoint; disappointingly; disappointment,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Tìm việc
approach,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task,"tiếp cận, phương pháp",True,False,approachable; unapproachable,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
approve,"to think that somebody/something is good, acceptable or suitable",chấp thuận,True,False,approval; approvingly; disapproval; disapprove; disapprovingly,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
architect,a person whose job is designing buildings,kiến trúc sư,True,False,architectonic; architectural; architecturally; architecture,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nghề kỹ thuật và xây dựng
area,"part of a place, town, etc., or a region of a country or the world","khu vực, diện tích",False,True,areaways,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Phạm vi và bộ phận
argue,to speak angrily to somebody because you disagree with them,"tranh luận, cãi nhau",True,False,arguable; arguably; argument; argumentation; argumentative; argumentatively,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
arm,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,"cánh tay, vũ trang",True,True,armament; armband; armchair; armful; armhole; armless; armlet; armload; armpit; armstrong; disarm; disarmament; firearm; forearm; rearm; rearmament; sidearms; strongarm; unarm; underarm; yardarm,21,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cơ thể
around,approximately,xung quanh,False,True,turnaround,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
arrange,to plan or organize something in advance,sắp xếp,True,False,arrangement; arrangers; disarrange; disarrangement; prearrange; prearrangement; rearrange; rearrangement,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
array,"a group or collection of things or people, often one that is large or impressive","mảng, dãy",True,False,disarray,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Máy tính
arrest,the act of arresting somebody,bắt giữ,True,False,arrester,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Cảnh sát
arrive,"to get to a place, especially at the end of a journey",đến nơi,True,False,arrival,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Du lịch và lưu trú,Bến xe
arrow,"a thin stick with a sharp point at one end, which is shot from a bow",mũi tên,False,True,arrowhead; arrowroot,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Biểu tượng và biển hiệu
art,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture ",nghệ thuật,True,False,artful; artfully; artfulness; artier; artiest; artiness; artist; artiste; artistic; artistically; artistry; artless; artlessly; artlessness; arty; inartistic; inartistically,17,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Hội họa
as,"used when you are comparing two people or things, or two situations","như, khi",False,True,inasmuch; whereas,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Liên từ
ash,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt",tro,True,True,ashen; ashier; ashman; ashy; potash,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Địa chất
ask,"to say or write something in the form of a question, in order to get information","hỏi, yêu cầu",True,False,unasked,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Câu hỏi thông dụng
assert,to state clearly and definitely that something is true,khẳng định,True,False,assertion; assertive; assertively; assertiveness; nonassertive; nonassertively; reassert,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thái độ
assess,to make a judgement about the nature or quality of somebody/something,đánh giá,True,False,assessment; assessor,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Điểm số và đánh giá
assign,"to give somebody something that they can use, or some work or responsibility","phân công, chỉ định",True,False,assignable; assignation; assignee; assignment; reassign,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Cuộc họp
assist,to help somebody to do something,"hỗ trợ, giúp đỡ",True,False,assistance; assistant; unassisted,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Quan hệ và ảnh hưởng
assume,to think or accept that something is true but without having proof of it,"giả định, cho là",True,False,unassuming; unassumingly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nhận thức và ý nghĩa
astonish,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm sửng sốt,True,False,astonishingly; astonishment,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
at,used to say where something/somebody is or where something happens,"tại, ở",False,True,whereat,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Giới từ
athlete,a person who competes in sports,vận động viên,True,False,athletic; athleticism; athletics,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Thể thao chung
attach,to fasten or join one thing to another,gắn kèm,True,False,attachment; unattached,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Quan hệ và ảnh hưởng
attack,an act of using violence to try to hurt or kill somebody,tấn công,True,True,attacker; counterattack; counterattacker,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra
attain,"to succeed in getting something, usually after a lot of effort",đạt được,True,False,attainable; attainment,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
attend,to be present at an event,tham dự,True,False,attendance; attendant; attention; attentive; attentively; attentiveness; inattention; inattentive; inattentively; inattentiveness; unattended,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Lớp học
attitude,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel,thái độ,True,False,attitudinize,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thái độ
attract,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them",thu hút,True,True,attraction; attractive; attractively; attractiveness; counterattraction; unattractive,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
auction,a public sale in which things are sold to the person who offers the most money for them,đấu giá,True,False,auctioneer,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Mua bán và giao dịch
audio,connected with sound that is recorded,âm thanh,True,False,audibility; audible; audibly; audience; audit; audition; auditor; auditorium; auditory; inaudible; inaudibly,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Phần cứng máy tính
august,"the 8th month of the year, between July and September","trang nghiêm, tháng Tám",True,False,augustly,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,"Ngày, giờ và lịch cơ bản"
aunt,the sister of your father or mother; the wife of your uncle or aunt,"cô, dì, bác gái",True,True,auntie; grandaunt,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Gia đình
author,a person who writes books or the person who wrote a particular book,tác giả,True,False,authoritarian; authoritarianism; authoritative; authoritatively; authority; authorization; authorize; authorship; coauthor; unauthorized,10,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nghề sáng tạo và nghệ thuật
auto,a car,tự động (viết tắt),True,True,autism; autistic; autistically; autocoder,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Ô tô
automatic,having controls that work without needing a person to operate them,tự động,True,False,automatically; semiautomatic,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Tự động hóa
autumn,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",mùa thu,True,False,autumnal; autumnally,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Các mùa
avoid,to prevent something bad from happening,tránh né,True,False,avoidable; avoidance; unavoidable; unavoidably,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
aware,knowing or realizing something,nhận thức được,True,False,awareness; unaware; unawareness,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nhận thức và ý nghĩa
away,to or at a distance from somebody/something in space or time,"xa, đi xa",False,True,breakaway; castaway; faraway; flyaway; foldaway; getaway; giveaway; hideaway; rockaways; runaway; straightaway; takeaway; throwaway,13,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
awkward,making you feel embarrassed,"vụng về, khó xử",True,False,awkwardly; awkwardness,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
baby,a very young child or animal,em bé,True,True,babyhood; babyish; crybaby,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Trẻ sơ sinh
