word,pos,meaning_en,meaning_vi,structure,kind,base,ipa,ipa_status,meaning_vi_source,thanh_phan_1,thanh_phan_2,thanh_phan_3,thanh_phan_4,thanh_phan_5,thanh_phan_6,loai_ket_hop,so_thanh_phan,nguon,trong_morphlink,co_affix,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia
abolition,noun,the act of abolishing a system or practice or institution (especially abolishing slavery),hành động bãi bỏ một hệ thống hoặc thực hành hoặc tổ chức (đặc biệt là bãi bỏ chế độ nô lệ),[abolish]-ion,root,abolish,/ˌæbəˈɫɪʃən/,real,retranslated,abolish,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],abolitions,,,,,,,,,,
abolitionist,noun,a reformer who favors abolishing slavery,một nhà cải cách ủng hộ bãi bỏ chế độ nô lệ,[abolish]-ion-ist,root,abolish,/ˌæbəˈɫɪʃənəst/,real,retranslated,abolish,-ion,-ist,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],abolitionists,,,,,,,,,,
aboriginal,adjective,"relating to the people who have lived in a region since the earliest times, especially the Aboriginal peoples of Australia; indigenous","thuộc về những cư dân bản địa có mặt từ thời xa xưa ở một vùng đất, đặc biệt là thổ dân Úc",ab-[origin]-al,root,origin,/ˌæbɝˈɪdʒənəɫ/,real,audit-rewritten,ab-,origin,-al,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more aboriginal,most aboriginal,,,,,,,,
aborigine,noun,an indigenous person who was born in a particular place,một người bản địa được sinh ra ở một nơi cụ thể,ab-[origin]-e,root,origin,/ˌæbɝˈɪdʒəni/,real,retranslated,ab-,origin,-e,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],aborigines,,,,,,,,,,
abortion,noun,the deliberate ending of a pregnancy,sự phá thai,abort-ion,root,abort,/əˈbɔrʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,abort,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],abortions,,,,,,,,,,
aboveboard,adverb,in an honest manner,"một cách trung thực, công khai",[above+board],compound,above+board,/əˈbəvˌbɔɹd/,real,retranslated,above,board,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
aboveground,adjective,on or above the surface of the ground,trên hoặc trên bề mặt mặt đất,[above+ground],compound,above+ground,/ɐbˌʌvɡɹˈaʊnd/,"generated (espeak-ng G2P, algorithmic)",retranslated,above,ground,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,more aboveground,most aboveground,,,,,,,,
abruptly,adverb,in a sudden and unexpected way,"một cách đột ngột, bất ngờ",abrupt-ly,root,abrupt,/əˈbrəptli/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,abrupt,-ly,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,,,,,,,,,,
absentee,noun,one that is absent or not in residence,một người vắng mặt hoặc không cư trú,[absent]-ee,root,absent,/ˌæbsənˈti/,real,retranslated,absent,-ee,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],absentees,,,,,,,,,,
absenteeism,noun,habitual absence from work,thường xuyên vắng mặt tại nơi làm việc,[absent]-ee-ism,root,absent,/ˌæbsənˈtiɪzəm/,real,retranslated,absent,-ee,-ism,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],absenteeisms,,,,,,,,,,
absently,adverb,in an absentminded or preoccupied manner,một cách lơ đãng hoặc bận tâm,[absent]-ly,root,absent,/ˈæbsəntli/,"generated (espeak-ng G2P, algorithmic)",retranslated,absent,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
absentmindedly,adverb,in an absentminded or preoccupied manner,một cách lơ đãng hoặc bận tâm,[absent+mind]-ly,compound,absent+mind,/ˌæbsəntmˈaɪndɪdli/,real,retranslated,absent,mind,-ly,,,,Root + Root + Suffix,3,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
absolutely,adverb,used to emphasize that something is completely true,được sử dụng để nhấn mạnh rằng một cái gì đó là hoàn toàn đúng,[absolute]-ly,root,absolute,/ˌæbsəˈɫutɫi/,real,retranslated,absolute,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
absoluteness,noun,the quality of being absolute,chất lượng tuyệt đối,[absolute]-ness,root,absolute,/ˈæbsəˌɫutnəs/,real,retranslated,absolute,-ness,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[U],,,,,,,,,,,
absolution,noun,the act of absolving or remitting,hành động miễn trừ hoặc chuyển tiền,[absolute]-ion,root,absolute,/ˌæbsəˈɫuʃən/,real,retranslated,absolute,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],absolutions,,,,,,,,,,
absolutism,noun,the doctrine of an absolute being,học thuyết về một hữu thể tuyệt đối,[absolute]-ism,root,absolute,/ˈæbsəˌɫuˌtɪzəm/,real,retranslated,absolute,-ism,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],absolutisms,,,,,,,,,,
absolve,verb,to let off the hook,để buông móc,ab-[solve],root,solve,/æbˈzɑɫv/,real,retranslated,ab-,solve,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,absolves,absolving,absolved,absolved,,,
absurdity,noun,a ludicrous folly,một sự điên rồ lố bịch,[absurd]-ity,root,absurd,/əbˈsɝdəti/,real,retranslated,absurd,-ity,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],absurdities,,,,,,,,,,
absurdly,adverb,in an absurd manner or to an absurd degree,một cách vô lý hoặc ở một mức độ vô lý,[absurd]-ly,root,absurd,/əbˈsɝdɫi/,real,retranslated,absurd,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
abusive,adjective,characterized by physical or psychological maltreatment,đặc trưng bởi sự ngược đãi về thể chất hoặc tâm lý,[abuse]-ive,root,abuse,/əbˈjusɪv/,real,retranslated,abuse,-ive,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more abusive,most abusive,,,,,,,,
abusively,adverb,in an abusive manner,một cách lạm dụng,[abuse]-ive-ly,root,abuse,/ɐbjˈuːsɪvli/,real,retranslated,abuse,-ive,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
acceleration,noun,an increase in speed or rate,"sự tăng tốc, sự gia tăng tốc độ",accelerate-ion,root,accelerate,/ˌækˌsɛlərˈeɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,accelerate,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],accelerations,,,,,,,,,,
accelerator,noun,a pedal in a vehicle that is pressed to increase its speed,bàn đạp ga (trên xe),accelerate-or,root,accelerate,/ækˈsɛlərˌeɪtər/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,accelerate,-or,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],accelerators,,,,,,,,,,"thiết bị/chất làm tăng tốc một quá trình (vd máy gia tốc hạt, chất xúc tác)"
accentual,adjective,(of verse) having a metric system based on stress rather than syllables or quantity,(của câu) có hệ mét dựa trên trọng âm thay vì âm tiết hoặc số lượng,[accent]-al,root,accent,/æksˈɛntʃuːəl/,"generated (espeak-ng G2P, algorithmic)",retranslated,accent,-al,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more accentual,most accentual,,,,,,,,
accentuate,verb,to put stress on,"nhấn mạnh (liên quan đến trọng âm, giọng nói)",[accent]-ate,root,accent,/ækˈsɛntʃueɪt/,real,retranslated,accent,-ate,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,accentuates,accentuating,accentuated,accentuated,,,
accentuation,noun,the act of giving special importance or significance to something,hành động đưa ra tầm quan trọng hoặc ý nghĩa đặc biệt cho một cái gì đó,[accent]-ate-ion,root,accent,/æksˈɛntʃuːˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)",retranslated,accent,-ate,-ion,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],accentuations,,,,,,,,,,
acceptability,noun,satisfactoriness by virtue of conforming to approved standards,thỏa mãn nhờ tuân thủ các tiêu chuẩn đã được phê duyệt,[accept]-able-ity,root,accept,/əkˌsɛptəˈbɪɫəti/,real,retranslated,accept,-able,-ity,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],acceptabilities,,,,,,,,,,
acceptable,adjective,agreed or approved of by most people in a society,được hầu hết mọi người trong xã hội đồng ý hoặc chấp thuận,[accept]-able,root,accept,/ækˈsɛptəbəɫ/,real,retranslated,accept,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more acceptable,most acceptable,,,,,,,,
acceptably,adverb,in an acceptable (but not outstanding) manner,một cách chấp nhận được (nhưng không nổi bật),[accept]-able-y,root,accept,/ækˈsɛptəbɫi/,real,retranslated,accept,-able,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
acceptance,noun,"the act of accepting a gift, an invitation, an offer, etc.","hành động chấp nhận một món quà, một lời mời, một lời đề nghị, v.v",[accept]-ance,root,accept,/ækˈsɛptəns/,real,retranslated,accept,-ance,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],acceptances,,,,,,,,,,
acceptation,noun,the act of accepting with approval,hành động chấp nhận với sự chấp thuận,[accept]-ion,root,accept,/ɐksɪptˈeɪʃən/,real,retranslated,accept,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],acceptations,,,,,,,,,,
accessibility,noun,the attribute of being easy to meet or deal with,thuộc tính dễ gặp hoặc dễ giải quyết,[access]-able-ity,root,access,/ˌæksɛsəˈbɪɫɪti/,real,retranslated,access,-able,-ity,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],accessibilities,,,,,,,,,,
accessible,adjective,"that can be reached, entered, used, seen, etc.","có thể tiếp cận, nhập, sử dụng, nhìn thấy, v.v",[access]-able,root,access,/ækˈsɛsəbəɫ/,real,retranslated,access,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more accessible,most accessible,,,,,,,,
accession,noun,the act of attaining or gaining access to a new office or right or position (especially the throne),hành động đạt được hoặc có được quyền truy cập vào một văn phòng hoặc quyền hoặc vị trí mới (đặc biệt là ngai vàng),[access]-ion,root,access,/əkˈsɛʃən/,real,retranslated,access,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accessions,,,,,,,,,,
accessors,noun,"a method used to read or retrieve the value of a data field, especially in object-oriented programming","phương thức truy xuất (getter) dùng để đọc giá trị của một trường dữ liệu, đặc biệt trong lập trình hướng đối tượng",[access]-or,root,access,/ɐksˈɛsɚz/,"generated (espeak-ng G2P, algorithmic)",audit-rewritten,access,-or,,,,,Root + Suffix,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,
accidental,adjective,happening by chance or unexpectedly or unintentionally,xảy ra một cách tình cờ hoặc bất ngờ hoặc vô ý,[accident]-al,root,accident,/ˌæksəˈdɛnəɫ/,real,retranslated,accident,-al,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more accidental,most accidental,,,,,,,,
accidentally,adverb,by chance; in a way that was not planned,tình cờ; theo cách không được lên kế hoạch,[accident]-al-ly,root,accident,/ˌæksəˈdɛnəɫi/,real,retranslated,accident,-al,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
acclimate,verb,to get used to a certain climate,để làm quen với một khí hậu nhất định,a-[climate],root,climate,/ˈækɫəˌmeɪt/,real,retranslated,a-,climate,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,acclimates,acclimating,acclimated,acclimated,,,
acclimation,noun,adaptation to a new climate (a new temperature or altitude or environment),thích nghi với khí hậu mới (nhiệt độ hoặc độ cao hoặc môi trường mới),a-[climate]-ion,root,climate,/ˌækɫəˈmeɪʃən/,real,retranslated,a-,climate,-ion,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],acclimations,,,,,,,,,,
acclimatization,noun,adaptation to a new climate (a new temperature or altitude or environment),thích nghi với khí hậu mới (nhiệt độ hoặc độ cao hoặc môi trường mới),a-[climate]-ize-ion,root,climate,/ɐklˌaɪmɐɾᵻzˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)",retranslated,a-,climate,-ize,-ion,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,N[C],acclimatizations,,,,,,,,,,
acclimatize,verb,to get used to a certain climate,để làm quen với một khí hậu nhất định,a-[climate]-ize,root,climate,/ɐklˈaɪmɐtˌaɪz/,"generated (espeak-ng G2P, algorithmic)",retranslated,a-,climate,-ize,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,acclimatizes,acclimatizing,acclimatized,acclimatized,,,
accommodation,noun,"a place to live, work or stay in","một nơi để sống, làm việc hoặc ở",[accommodate]-ion,root,accommodate,/əˌkɑməˈdeɪʃən/,real,retranslated,accommodate,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accommodations,,,,,,,,,,"Danh từ: đếm được vs không đếm được (nghĩa khác nhau) — nguồn Perplexity, đối chiếu Cambridge/British Council"
accompaniment,noun,a piece of music played or sung together with a main melody or performer to support it,phần đệm (âm nhạc) đi kèm với giai điệu hoặc người biểu diễn chính,accompany-ment,root,accompany,/əˈkəmpnɪmənt/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,accompany,-ment,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],accompaniments,,,,,,,,,,
accomplishment,noun,an impressive thing that is done or achieved after a lot of work,một điều ấn tượng được thực hiện hoặc đạt được sau rất nhiều công việc,[accomplish]-ment,root,accomplish,/əˈkɑmpɫɪʃmənt/,real,retranslated,accomplish,-ment,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accomplishments,,,,,,,,,,
accountability,noun,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,thực tế là chịu trách nhiệm về các quyết định hoặc hành động của bạn và dự kiến sẽ giải thích chúng khi bạn được yêu cầu,[account]-able-ity,root,account,/əˈkaʊnəbɪɫɪti/,real,retranslated,account,-able,-ity,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],accountabilities,,,,,,,,,,
accountable,adjective,responsible for your decisions or actions and expected to explain them when you are asked,chịu trách nhiệm về các quyết định hoặc hành động của bạn và dự kiến sẽ giải thích chúng khi bạn được yêu cầu,[account]-able,root,account,/əˈkaʊnəbəɫ/,real,retranslated,account,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more accountable,most accountable,,,,,,,,
accountably,adjective,In an accountable manner.,một cách có trách nhiệm,[account]-able-y,root,account,/ɐkˈaʊntəbli/,"generated (espeak-ng G2P, algorithmic)",retranslated,account,-able,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more accountably,most accountably,,,,,,,,
accountancy,noun,the occupation of maintaining and auditing records and preparing financial reports for a business,nghề nghiệp duy trì và kiểm toán hồ sơ và chuẩn bị báo cáo tài chính cho một doanh nghiệp,[account]-ance-y,root,account,/əˈkaʊntənsi/,real,retranslated,account,-ance,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],accountancies,,,,,,,,,,
accountant,noun,a person whose job is to keep or check financial accounts,một người có công việc là giữ hoặc kiểm tra tài khoản tài chính,[account]-ant,root,account,/əˈkaʊntənt/,real,retranslated,account,-ant,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accountants,,,,,,,,,,
accredit,verb,to ascribe an achievement to,để gán một thành tích cho,a-[credit],root,credit,/əˌkɹɛdət/,real,retranslated,a-,credit,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,accredits,accrediting,accredited,accredited,,,
accreditation,noun,"the act of granting credit or recognition, especially with respect to educational institution that maintains suitable standards","hành động cấp tín dụng hoặc công nhận, đặc biệt là đối với các tổ chức giáo dục duy trì các tiêu chuẩn phù hợp",a-[credit]-ion,root,credit,/əˌkɹɛdəˈteɪʃən/,real,retranslated,a-,credit,-ion,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],accreditations,,,,,,,,,,
acculturated,verb,"to adapt to and adopt the customs and culture of a different group or society, usually the dominant one","hòa nhập, tiếp thu văn hóa của một nhóm hoặc xã hội khác (thường là nền văn hóa chiếm ưu thế)",a-[culture]-ate,root,culture,/ɐkˈʌltʃəɹˌeɪtɪd/,real,audit-rewritten,a-,culture,-ate,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,acculturateds,acculturateding,acculturateded,acculturateded,,,
acculturation,noun,the adoption of the behavior patterns of the surrounding culture,việc áp dụng các mô hình hành vi của nền văn hóa xung quanh,a-[culture]-ate-ion,root,culture,/ɐkˌʌltʃɚɹˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)",retranslated,a-,culture,-ate,-ion,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,N[C],acculturations,,,,,,,,,,
accumulation,noun,the gradual gathering or build-up of something over time,"sự tích lũy, sự tích tụ dần theo thời gian",accumulate-ion,root,accumulate,/əˌkjumjəˈleɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,accumulate,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],accumulations,,,,,,,,,,
accurately,adverb,in a way that is exact and free from errors,"một cách chính xác, không có sai sót",accurate-ly,root,accurate,/ˈækjərətli/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,accurate,-ly,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,,,,,,,,,,
accusation,noun,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,một tuyên bố nói rằng bạn nghĩ rằng một người có tội khi làm điều gì đó sai hoặc bất hợp pháp; thực tế là buộc tội ai đó,[accuse]-ion,root,accuse,/ˌækjəˈzeɪʃən/,real,retranslated,accuse,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accusations,,,,,,,,,,
accusative,adjective,containing or expressing accusation,chứa đựng hoặc bày tỏ lời buộc tội,[accuse]-ive,root,accuse,/əkˈjuzətɪv/,real,retranslated,accuse,-ive,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more accusative,most accusative,,,,,,,,
accuser,noun,someone who imputes guilt or blame,một người quy tội hoặc đổ lỗi,[accuse]-er,root,accuse,/əkˈjuzɝ/,real,retranslated,accuse,-er,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],accusers,,,,,,,,,,
accusingly,adverb,in an accusing manner,một cách buộc tội,[accuse]-ly,root,accuse,/əkˈjuzɪŋɫi/,real,retranslated,accuse,-ing,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
accustom,verb,to make psychologically or physically used to something,để làm cho tâm lý hoặc thể chất được sử dụng cho một cái gì đó,a-[custom],root,custom,/əˈkəstəm/,real,retranslated,a-,custom,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,accustoms,accustoming,accustomed,accustomed,,,
achievable,adjective,capable of being achieved or attained,"có thể đạt được, khả thi",[achieve]-able,root,achieve,/əˈtʃivəbəɫ/,real,retranslated,achieve,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more achievable,most achievable,,,,,,,,
achievement,noun,"a thing that somebody has done successfully, especially using their own effort and skill","một điều mà ai đó đã làm thành công, đặc biệt là sử dụng nỗ lực và kỹ năng của chính họ",[achieve]-ment,root,achieve,/əˈtʃivmənt/,real,retranslated,achieve,-ment,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],achievements,,,,,,,,,,
acidic,adjective,being or containing an acid,là hoặc có chứa axit,[acid]-ic,root,acid,/əˈsɪdɪk/,real,retranslated,acid,-ic,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more acidic,most acidic,,,,,,,,
acidify,verb,to turn acidic,có tính axit,[acid]-ify,root,acid,/əˈsɪdəˌfaɪ/,real,retranslated,acid,-ify,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,acidifies,acidifying,acidified,acidified,,,
acidity,noun,the property of being acidic,tính chất có tính axit,[acid]-ity,root,acid,/əˈsɪdəti/,real,retranslated,acid,-ity,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],acidities,,,,,,,,,,
acknowledgement,noun,the act of accepting or recognizing that something is true or exists,"sự công nhận, sự thừa nhận",acknowledge-ment,root,acknowledge,/ækˈnɑlɪʤmənt/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,acknowledge,-ment,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],acknowledgements,,,,,,,,,,
acquaintance,noun,a person that one knows slightly but who is not a close friend,người quen biết (không phải bạn thân),acquaint-ance,root,acquaint,/əkˈweɪntəns/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,acquaint,-ance,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],acquaintances,,,,,,,,,,sự quen biết (trạng thái quen biết ai đó)
acquit,verb,to pronounce not guilty of criminal charges,tuyên bố không phạm tội hình sự,a-[quit],root,quit,/əˈkwɪt/,real,retranslated,a-,quit,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,acquits,acquitting,acquitted,acquitted,,,
acquittal,noun,a judgment of not guilty,phán quyết vô tội,a-[quit]-al,root,quit,/əˈkwɪtəɫ/,real,retranslated,a-,quit,-al,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],acquittals,,,,,,,,,,
acreage,noun,an area of ground used for some particular purpose such as building or farming,một diện tích đất được sử dụng cho một số mục đích cụ thể như xây dựng hoặc canh tác,[acre]-age,root,acre,/ˈeɪkɝɪdʒ/,real,retranslated,acre,-age,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],acreages,,,,,,,,,,
action,noun,the process of doing something in order to make something happen or to deal with a situation,quá trình làm một cái gì đó để làm cho một cái gì đó xảy ra hoặc để đối phó với một tình huống,[act]-ion,root,act,/ˈækʃən/,real,retranslated,act,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],actions,,,,,,,,,,
actionable,adjective,affording grounds for legal action,căn cứ cho hành động pháp lý,[act]-ion-able,root,act,/ˈækʃənəbəɫ/,real,retranslated,act,-ion,-able,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more actionable,most actionable,,,,,,,,
