tien_to,nghia_en,nghia_vi,chuc_nang,ngoai_le,bien_the_chinh_ta,tan_suat,vi_du
pre-,"before, in advance, prior to","trước, trước khi","Tạo danh từ (vd ~43% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc danh từ gốc.","không có đồng hóa chính tả đặc biệt; trước gốc bắt đầu bằng nguyên âm 'e' đôi khi thêm dấu gạch nối để tránh nhầm lẫn (pre-eminent, pre-exist), dù nhiều từ vẫn viết liền (preexist)",,61,prearrange;prearrangement;precast;precaution;preconcerted;precondition;preconscious;precook;precut;predetermination;predetermine;predeterminer;prediction;predispose;preemployment;prefabricate;prefabrication;preface;prefer;prefigure;prefix;preflight;preheat;prehistoric;prejudge;prejudgement;premature;prematurely;premix;preoccupation;preoccupy;prepack;prepackage;prepay;prepayment;prepossess;prepossession;prerecord;preschool;preschooler;prescribe;prescription;prescriptive;prescriptively;preseason;preservable;preservation;preservative;preserve;preserver;preset;preside;prestressed;presuppose;presupposition;pretend;pretest;pretrial;prevent;preview;prewar
inter-,"between, among, mutually, reciprocally","giữa, lẫn nhau, qua lại","Tạo tính từ (vd ~37% trường hợp, theo số liệu creates); thường gắn vào tính từ hoặc danh từ gốc.",không có ngoại lệ chính tả đặc biệt,,49,interact;interaction;interactive;interbred;interchange;interchangeability;interchangeable;interchangeably;intercollegiate;interconnected;interconnectedness;intercourse;interdepartmental;interdisciplinary;interface;interfacial;interfaith;intergovernmental;intergroup;interleave;interlining;interlink;interlock;intermarriage;intermarry;intermediate;intermix;international;internationale;internationalism;internationalization;internationalize;internationally;interpersonal;interplanetary;interplay;interpose;interracial;interracially;interrelate;interrelation;interrelationship;intersection;interspecies;interstage;interstate;intertribal;interview;interweave
non-,"not, absence of, lack of","không, sự vắng mặt của","Tạo tính từ (vd ~65% trường hợp, theo số liệu creates); thường gắn vào tính từ hoặc danh từ gốc.",không có ngoại lệ chính tả đặc biệt; có thể viết có hoặc không có dấu gạch nối tùy phong cách (non-existent/nonexistent),,49,nonacid;nonaligned;nonalignment;nonassertive;nonassertively;nonchurchgoing;noncombatant;noncommissioned;noncommittal;noncommittally;noncompliance;nonconformist;nonconformity;noncontributory;nondescript;nondescriptly;nondiscriminatory;nondrying;nonentity;nonexistent;nonfiction;nonflammable;nonfood;noninflammable;nonlinear;nonmetallic;nonmusical;nonmythological;nonobservance;nonobservant;nonpartisan;nonpayment;nonprofit;nonracial;nonreactivity;nonreactors;nonresident;nonresidential;nonrestrictive;nonsense;nonsensical;nonsensically;nonsmoker;nonstandard;nonstarter;nonstick;nonstop;nonsystematic;nonwhite
fore-,"before, in front, earlier in time or position","trước, phía trước, sớm hơn","Tạo danh từ (vd ~58% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,48,forbear;forbearance;forbore;forearm;forecast;forecasters;forecastle;foreclose;foreclosure;forecourt;forefather;forefinger;forefoot;forefront;foreground;forehand;forehead;foreknow;foreknown;foreleg;forelock;forename;forenoon;forepart;foreplay;forerunner;foresee;foreseeable;foreseen;foreshadow;foreshore;foreshorten;foresight;foreskin;forestall;foretaste;foretell;forethought;forever;forewarn;foreword;forgather;forgo;forsake;forsaken;forswear;godforsaken
sub-,"under, below, subordinate, lesser degree","dưới, thấp hơn, phụ, cấp dưới","Tạo danh từ (vd ~63% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc tính từ gốc.","Đồng hóa phụ âm cuối trước gốc bắt đầu bằng phụ âm: 'suc-' trước c (succeed), 'suf-' trước f (suffer), 'sug-' trước g (suggest), 'sum-' trước m (summon), 'sup-' trước p (support), 'sur-' trước r (surrogate), 'sus-' trước c/p/t (suspect, sustain); giữ nguyên 'sub-' trước nguyên âm và phần lớn phụ âm khác","suc-, suf-, sug-, sum-, sup-, sur-, sus- (đồng hóa trước phụ âm tương ứng)",46,antisubmarine;oversubscribed;subconscious;subconsciously;subconsciousness;subcontract;subcontractor;subdivide;subdivision;subedit;subeditor;subfigures;subgross;subgroups;subheading;subhuman;subhumanity;sublet;submarine;submerge;submergence;subnormal;subparts;subplot;subroutine;subscribe;subscriber;subscription;subsection;subserve;subservience;subservient;subsoil;subsonic;subspace;subspecies;substance;substandard;subsystem;subtenant;subtitle;subtype;suburban;subway
ex-,"out of, out from, former, previous","ra khỏi, nguyên, trước đây, cựu","Tạo danh từ (vd ~48% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.","Trước phụ âm hữu thanh (b, d, g, l, m, n, r, v) thường rút gọn thành 'e-' (ex+migrare=emigrate, exmerge→emerge); trước 'f' đồng hóa thành 'ef-' (ex+fect=effect); giữ nguyên 'ex-' trước nguyên âm và phần lớn phụ âm khác (c, p, t, s, h, exchange, export)","e- (trước phụ âm hữu thanh: emerge, elaborate), ef- (trước f: effect)",40,exchange;exchangeable;exclaim;exclamation;exclamatory;exhusband;export;exportable;exportation;exporter;expose;exposure;express;expressible;expression;expressionism;expressionistic;expressionless;expressionlessly;expressive;expressively;expressiveness;expressly;expressway;expulsion;extend;extension;extensive;extensively;extensiveness;extensor;extent;exterritorial;inexpressible;inexpressibly;overexpose;underexpose;underexposure
up-,"up, upward, higher","lên, hướng lên, cao hơn","Tạo danh từ (vd ~46% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,39,oneupmanship;upbeat;upbringing;upcoming;upcountry;update;upend;upgrade;uphill;uphold;upholder;upkeep;uplands;uplift;upmost;upraised;upright;uprightly;uprightness;uprising;upriver;uproot;uprose;upset;upshot;upside;upstage;upstairs;upstanding;upstart;upstate;upstream;upsurge;upswing;uptake;uptight;uptown;uptrend;upturn
pro-,"forward, forth, in front of; in favor of","về phía trước; ủng hộ, tán thành","Tạo danh từ (vd ~51% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc danh từ gốc.",không có ngoại lệ chính tả đặc biệt,,35,disproportion;disproportionate;disproportionately;proclaim;proclamation;procreate;procreation;procreative;procreativity;product;profit;program;prologue;prolong;prolongation;proportion;proportionable;proportional;proportionality;proportionally;proportionate;proportionately;proposal;propose;proposer;proposition;propositional;propound;propulsion;propulsive;proscribe;proscription;protest;provise;provision
be-,"to make, cause to become; thoroughly; around, over, about","làm cho, khiến trở thành; hoàn toàn; xung quanh, khắp","Tạo động từ (vd ~56% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc tính từ gốc để tạo động từ (be+friend, be+little).",không có ngoại lệ chính tả đặc biệt,,34,becalmed;bedeck;bedevil;bedevilment;befall;befallen;befit;befittingly;befriend;beget;begetter;behead;beholding;belabour;belated;belatedly;belay;belie;belittle;beloved;bemaddening;benighted;benightedly;bequest;beseem;beset;beside;bespeak;bestir;betaken;bethink;bethought;unbeknown;unbeknownst
super-,"above, over, beyond, extremely, to a great degree","ở trên, vượt trên, cực kỳ","Tạo danh từ (vd ~52% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc tính từ gốc.",không có ngoại lệ chính tả đặc biệt,,33,supercargo;supercharged;supercharger;supercritical;superego;superfine;superfluity;superfluous;superfluously;superfluousness;superhighways;superhuman;superimpose;superintend;superintendent;superman;supermarket;supernatural;supernaturalism;supernaturally;supernormal;superposition;superpower;superscribe;superscription;supersensitive;supersonic;superstar;supertax;supervise;supervision;supranational;supranationalism
trans-,"across, beyond, through, change of state or position","xuyên qua, vượt qua, thay đổi trạng thái","Tạo danh từ (vd ~45% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc danh từ gốc.","không có đồng hóa chính tả đặc biệt theo nhóm tiền tố Latin chuẩn; trước gốc bắt đầu bằng 's' đôi khi giản lược một 's' trong văn phong không trang trọng (transship/tranship, transsexual/transexual), nhưng dạng chuẩn vẫn giữ đầy đủ 'trans-'",,33,transact;transaction;transcribe;transcription;transcultural;transfiguration;transfigure;transfix;transform;transformable;transformation;transformer;translate;transoceanic;transplant;transplantable;transplantation;transpolar;transport;transportable;transportation;transporter;transpose;transposition;transsexual;transship;transshipment;transversally;transverse;transversely;traverse
