tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
accredit,verb,to ascribe an achievement to,để gán một thành tích cho,a-[credit],root,Đã có sẵn trong MorphLink (Word),có,,,,,,accredits,accrediting,accredited,accredited,,,,,/əˌkɹɛdət/,real
accreditation,noun,"the act of granting credit or recognition, especially with respect to educational institution that maintains suitable standards","hành động cấp tín dụng hoặc công nhận, đặc biệt là đối với các tổ chức giáo dục duy trì các tiêu chuẩn phù hợp",a-[credit]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],accreditations,,,,,,,,,,,,/əˌkɹɛdəˈteɪʃən/,real
acculturated,verb,"to adapt to and adopt the customs and culture of a different group or society, usually the dominant one","hòa nhập, tiếp thu văn hóa của một nhóm hoặc xã hội khác (thường là nền văn hóa chiếm ưu thế)",a-[culture]-ate,root,Đã có sẵn trong MorphLink (Word),có,,,,,,acculturateds,acculturateding,acculturateded,acculturateded,,,,,/ɐkˈʌltʃəɹˌeɪtɪd/,real
acculturation,noun,the adoption of the behavior patterns of the surrounding culture,việc áp dụng các mô hình hành vi của nền văn hóa xung quanh,a-[culture]-ate-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],acculturations,,,,,,,,,,,,/ɐkˌʌltʃɚɹˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)"
accumulation,noun,the gradual gathering or build-up of something over time,"sự tích lũy, sự tích tụ dần theo thời gian",accumulate-ion,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],accumulations,,,,,,,,,,,,/əˌkjumjəˈleɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)"
accurately,adverb,in a way that is exact and free from errors,"một cách chính xác, không có sai sót",accurate-ly,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,,,,,,,,,,,,/ˈækjərətli/,"generated (eng_to_ipa/CMUdict, algorithmic)"
accusation,noun,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,một tuyên bố nói rằng bạn nghĩ rằng một người có tội khi làm điều gì đó sai hoặc bất hợp pháp; thực tế là buộc tội ai đó,[accuse]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],accusations,,,,,,,,,,,,/ˌækjəˈzeɪʃən/,real
accusative,adjective,containing or expressing accusation,chứa đựng hoặc bày tỏ lời buộc tội,[accuse]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more accusative,most accusative,,,,,,,,,,/əkˈjuzətɪv/,real
accuser,noun,someone who imputes guilt or blame,một người quy tội hoặc đổ lỗi,[accuse]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],accusers,,,,,,,,,,,,/əkˈjuzɝ/,real
accusingly,adverb,in an accusing manner,một cách buộc tội,[accuse]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/əkˈjuzɪŋɫi/,real
accustom,verb,to make psychologically or physically used to something,để làm cho tâm lý hoặc thể chất được sử dụng cho một cái gì đó,a-[custom],root,Đã có sẵn trong MorphLink (Word),có,,,,,,accustoms,accustoming,accustomed,accustomed,,,,,/əˈkəstəm/,real
achievable,adjective,capable of being achieved or attained,"có thể đạt được, khả thi",[achieve]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more achievable,most achievable,,,,,,,,,,/əˈtʃivəbəɫ/,real
achievement,noun,"a thing that somebody has done successfully, especially using their own effort and skill","một điều mà ai đó đã làm thành công, đặc biệt là sử dụng nỗ lực và kỹ năng của chính họ",[achieve]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],achievements,,,,,,,,,,,,/əˈtʃivmənt/,real
acidic,adjective,being or containing an acid,là hoặc có chứa axit,[acid]-ic,root,Đã có sẵn trong MorphLink (Word),có,,,more acidic,most acidic,,,,,,,,,,/əˈsɪdɪk/,real
acidify,verb,to turn acidic,có tính axit,[acid]-ify,root,Đã có sẵn trong MorphLink (Word),có,,,,,,acidifies,acidifying,acidified,acidified,,,,,/əˈsɪdəˌfaɪ/,real
acidity,noun,the property of being acidic,tính chất có tính axit,[acid]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],acidities,,,,,,,,,,,,/əˈsɪdəti/,real
acknowledgement,noun,the act of accepting or recognizing that something is true or exists,"sự công nhận, sự thừa nhận",acknowledge-ment,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],acknowledgements,,,,,,,,,,,,/ækˈnɑlɪʤmənt/,"generated (eng_to_ipa/CMUdict, algorithmic)"
acquaintance,noun,a person that one knows slightly but who is not a close friend,người quen biết (không phải bạn thân),acquaint-ance,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],acquaintances,,,,,,,,,,sự quen biết (trạng thái quen biết ai đó),,/əkˈweɪntəns/,"generated (eng_to_ipa/CMUdict, algorithmic)"
acquit,verb,to pronounce not guilty of criminal charges,tuyên bố không phạm tội hình sự,a-[quit],root,Đã có sẵn trong MorphLink (Word),có,,,,,,acquits,acquitting,acquitted,acquitted,,,,,/əˈkwɪt/,real
acquittal,noun,a judgment of not guilty,phán quyết vô tội,a-[quit]-al,root,Đã có sẵn trong MorphLink (Word),có,N[C],acquittals,,,,,,,,,,,,/əˈkwɪtəɫ/,real
acreage,noun,an area of ground used for some particular purpose such as building or farming,một diện tích đất được sử dụng cho một số mục đích cụ thể như xây dựng hoặc canh tác,[acre]-age,root,Đã có sẵn trong MorphLink (Word),có,N[C],acreages,,,,,,,,,,,,/ˈeɪkɝɪdʒ/,real
action,noun,the process of doing something in order to make something happen or to deal with a situation,quá trình làm một cái gì đó để làm cho một cái gì đó xảy ra hoặc để đối phó với một tình huống,[act]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],actions,,,,,,,,,,,,/ˈækʃən/,real
actionable,adjective,affording grounds for legal action,căn cứ cho hành động pháp lý,[act]-ion-able,root,Đã có sẵn trong MorphLink (Word),có,,,more actionable,most actionable,,,,,,,,,,/ˈækʃənəbəɫ/,real
activate,verb,to make something such as a device or chemical process start working,để làm cho một cái gì đó như thiết bị hoặc quy trình hóa học bắt đầu hoạt động,[act]-ive-ate,root,Đã có sẵn trong MorphLink (Word),có,,,,,,activates,activating,activated,activated,,,,,/ˈæktəˌveɪt/,real
activation,noun,the act of making something such as a device or chemical process start working,hành động làm cho một cái gì đó như thiết bị hoặc quy trình hóa học bắt đầu hoạt động,[act]-ive-ate-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],activations,,,,,,,,,,,,/ˌæktəˈveɪʃən/,real
active,adjective,"always busy doing things, especially physical activities","luôn bận rộn làm việc, đặc biệt là các hoạt động thể chất",[act]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more active,most active,,,,,,,,,,/ˈæktɪv/,real
actively,adverb,in an active manner,một cách chủ động,[act]-ive-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈæktɪvɫi/,real
activism,noun,a policy of taking direct and militant action to achieve a political or social goal,chính sách thực hiện hành động trực tiếp và quân sự để đạt được mục tiêu chính trị hoặc xã hội,[act]-ive-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],activisms,,,,,,,,,,,,/ˈæktɪˌvɪzəm/,real
activist,noun,"a person who works to achieve political or social change, especially as a member of an organization with particular aims","một người làm việc để đạt được sự thay đổi chính trị hoặc xã hội, đặc biệt là với tư cách là thành viên của một tổ chức có mục đích cụ thể",[act]-ive-ist,root,Đã có sẵn trong MorphLink (Word),có,N[C],activists,,,,,,,,,,,,/ˈæktəvəst/,real
activity,noun,"a thing that you do for interest, pleasure, or a particular purpose (often plural: activities), e.g. leisure activities","một việc cụ thể mà bạn làm vì sở thích, niềm vui hoặc một mục đích riêng (thường dùng số nhiều: activities)",[act]-ive-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],activities,,,,,,,,,,,,/ækˈtɪvəti/,real
actor,noun,"a person who performs on the stage, on television or in films, especially as a profession","một người biểu diễn trên sân khấu, trên truyền hình hoặc trong các bộ phim, đặc biệt là một nghề",[act]-or,root,Đã có sẵn trong MorphLink (Word),có,N[C],actors,,,,,,,,,,,,/ˈæktɝ/,real
actress,noun,"a woman who performs on the stage, on television or in films, especially as a profession","một người phụ nữ biểu diễn trên sân khấu, trên truyền hình hoặc trong các bộ phim, đặc biệt là một nghề",[act]-ess,root,Đã có sẵn trong MorphLink (Word),có,N[C],actresses,,,,,,,,,,,,/ˈæktɹəs/,real
actual,adjective,used to emphasize something that is real or exists in fact,được sử dụng để nhấn mạnh một cái gì đó có thật hoặc tồn tại trên thực tế,[act]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more actual,most actual,,,,,,,,,,/ˈækʃəɫ/,real
actuality,noun,the state of actually existing objectively,trạng thái thực sự tồn tại một cách khách quan,[act]-al-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],actualities,,,,,,,,,,,,/ˌæktʃuˈæɫəˌti/,real
actually,adverb,"used in speaking to emphasize a fact or a comment, or that something is really true","được sử dụng khi nói để nhấn mạnh một sự thật hoặc một nhận xét, hoặc một điều gì đó thực sự đúng",[act]-al-y,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈækˌtʃuəɫi/,real
actuarial,adjective,relating to the statistical calculation of insurance risks and premiums,liên quan đến việc tính toán rủi ro và phí bảo hiểm bằng thống kê (nghiệp vụ định phí bảo hiểm),[act]-ory-al,root,Đã có sẵn trong MorphLink (Word),có,,,more actuarial,most actuarial,,,,,,,,,,/ˌækˌtʃuˈɛɹiəɫ/,real
actuarially,adverb,in a way relating to actuarial calculations (the statistical assessment of insurance risk),theo cách liên quan đến tính toán định phí bảo hiểm,[act]-ory-al-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˌæktʃuːˈeəɹɪəli/,real
actuary,noun,someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums),một người thành thạo trong việc thu thập và giải thích dữ liệu số học (đặc biệt là người sử dụng số liệu thống kê để tính phí bảo hiểm),[act]-ory,root,Đã có sẵn trong MorphLink (Word),có,N[C],actuaries,,,,,,,,,,,,/ˈæktʃuˈɛˌɹi/,real
actuate,verb,to put in motion or move to act,khởi động hoặc di chuyển để hành động,[act]-ate,root,Đã có sẵn trong MorphLink (Word),có,,,,,,actuates,actuating,actuated,actuated,,,,,/ˈækˌtʃuˈeɪt/,real
acutely,adverb,having a rapid onset,khởi phát nhanh,[acute]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/əkˈjutɫi/,real
acuteness,noun,the quality of having a sharp edge or point,chất lượng của việc có một cạnh hoặc điểm sắc nét,[acute]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/əkˈjutnəs/,real
adaptability,noun,the ability to change (or be changed) to fit changed circumstances,khả năng thay đổi (hoặc được thay đổi) để phù hợp với hoàn cảnh đã thay đổi,[adapt]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],adaptabilities,,,,,,,,,,,,/əˌdæptəˈbɪɫəti/,real
adaptable,adjective,capable of adapting (of becoming or being made suitable) to a particular situation or use,có khả năng thích ứng (trở thành hoặc được làm cho phù hợp) với một tình huống hoặc cách sử dụng cụ thể,[adapt]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more adaptable,most adaptable,,,,,,,,,,/əˈdæptəbəɫ/,real
adaptation,noun,"the action or process of changing something, or of being changed, to suit a new purpose or situation","hành động hoặc quá trình thay đổi một cái gì đó, hoặc bị thay đổi, để phù hợp với một mục đích hoặc tình huống mới",[adapt]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],adaptations,,,,,,,,,,,,/ˌædəpˈteɪʃən/,real
adapter,noun,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible,thiết bị cho phép một cái gì đó được sử dụng theo cách khác với cách mà nó được dự định hoặc làm cho các bộ phận khác nhau của thiết bị tương thích,[adapt]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],adapters,,,,,,,,,,,,/əˈdæptɝ/,real
adaptive,adjective,able to adjust to new conditions; capable of adapting,"có khả năng thích nghi, dễ thích ứng",adapt-ive,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,more adaptive,most adaptive,,,,,,,,,,/əˈdæptɪv/,"generated (eng_to_ipa/CMUdict, algorithmic)"
