root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
point,noun,a narrow or sharp end of something; a particular spot or moment,"điểm, mũi nhọn",không,,Root gốc
power,noun,the ability to do something or act in a particular way; strength,"quyền lực, sức mạnh",không,,Root gốc
sono,,sound,âm thanh,có,son,Root gốc
place,noun,"a particular position, point, or area in space","nơi, địa điểm",không,,Root gốc
bag,noun,a container made of flexible material with an opening at the top,"túi, bao",không,,Root gốc
high,adjective,extending far upward; of great vertical extent,cao,không,,Root gốc
black,adjective,"of the darkest color, absorbing all light",màu đen,không,,Root gốc
fish,noun,a cold-blooded aquatic animal with gills and fins,cá,không,,Root gốc
ship,noun,a large vessel for traveling on water,"tàu, thuyền",không,,Root gốc
guard,noun,a person who protects or watches over something,"người bảo vệ, lính canh",không,,Root gốc
boat,noun,a small vessel for traveling on water,"thuyền, xuồng",không,,Root gốc
ever,adverb,at any time; always,bao giờ; luôn luôn,không,,Root gốc
organ,noun,a part of an organism with a specific function; a musical keyboard instrument,cơ quan (bộ phận cơ thể); đàn organ,không,,Root gốc
base,noun,the lowest part or foundation of something,"nền, cơ sở, đáy",không,,Root gốc
fall,verb,to move downward quickly and without control,"rơi, ngã",không,,Root gốc
over,preposition,extending directly upward from; above and covering,"trên, qua, khắp",không,,Root gốc
worth,adjective,having a value equivalent to; deserving of,"đáng giá, xứng đáng",không,,Root gốc
ground,noun,the solid surface of the earth,"mặt đất, nền đất",không,,Root gốc
determine,verb,to establish exactly by research or calculation; to decide firmly,xác định; quyết định,không,,Root gốc
dog,noun,a domesticated four-legged animal often kept as a pet,chó,không,,Root gốc
broad,adjective,wide from side to side; large in extent,rộng,không,,Root gốc
sick,adjective,affected by illness; feeling nauseated,"ốm, bệnh",không,,Root gốc
sight,noun,the faculty or power of seeing; the act of seeing,"thị lực, tầm nhìn",không,,Root gốc
relate,verb,to make or show a connection between two or more things,"liên quan, liên hệ",không,,Root gốc
trust,noun,firm belief in the reliability or truth of someone or something,sự tin tưởng,không,,Root gốc
wash,verb,to clean with water and usually soap or detergent,"rửa, giặt",không,,Root gốc
stick,noun,a thin piece of wood; to adhere or fix in place,"que, gậy; dính vào",không,,Root gốc
stock,noun,a supply of goods available for sale; livestock,hàng dự trữ; gia súc,không,,Root gốc
keep,verb,to have or retain possession of; to maintain,"giữ, duy trì",không,,Root gốc
sand,noun,loose granular material formed from disintegrated rock,cát,không,,Root gốc
typo,,"type, model, form, impression","kiểu, mẫu, hình dạng, khuôn mẫu",có,typ,Root gốc
where,adverb,in or to what place or position,"ở đâu, nơi nào",không,,Root gốc
word,noun,a single distinct unit of language with meaning,"từ, lời nói",không,,Root gốc
human,adjective,relating to or characteristic of people; a person,thuộc về con người; con người,không,,Root gốc
east,noun,the direction in which the sun rises,"hướng đông, phía đông",không,,Root gốc
south,noun,"the direction opposite north, towards the bottom of a standard map","hướng nam, phía nam",không,,Root gốc
please,verb,to give satisfaction or pleasure to someone,"làm hài lòng, làm vui lòng",không,,Root gốc
joy,noun,a feeling of great happiness or pleasure,"niềm vui, sự vui sướng",không,,Root gốc
short,adjective,measuring a small distance from end to end; not tall,"ngắn, thấp",không,,Root gốc
grand,adjective,magnificent and imposing in appearance or style,"to lớn, hoành tráng",không,,Root gốc
law,noun,a system of rules established by authority to regulate behavior,"luật, pháp luật",không,,Root gốc
real,adjective,actually existing or true; not imaginary,"có thật, thực sự",không,,Root gốc
step,noun,an act of lifting the foot and putting it down in walking,"bước chân, bước đi",không,,Root gốc
road,noun,"a wide way leading from one place to another, especially for vehicles",con đường,không,,Root gốc
dream,noun,"a series of thoughts, images or emotions occurring during sleep",giấc mơ,không,,Root gốc
crimin,,"crime, offense, accusation","tội, tội phạm",có,,Root gốc
bone,noun,one of the hard structures forming the skeleton,xương,không,,Root gốc
skin,noun,the natural outer covering of the body,da,không,,Root gốc
habit,noun,a settled or regular tendency or practice,"thói quen, tập quán",không,,Root gốc
post,noun,a long upright piece of wood or metal fixed into the ground as a support or marker,"cột, trụ",không,,Root gốc
beat,verb,to strike repeatedly,"đánh, đập",không,,Root gốc
hole,noun,a hollow space or opening in something solid,"lỗ, hố",không,,Root gốc
value,noun,the importance or worth of something,giá trị,không,,Root gốc
strict,adjective,demanding total obedience or exact performance,"nghiêm khắc, chặt chẽ",không,,Root gốc
body,noun,the physical structure of a person or animal,"cơ thể, thân thể",không,,Root gốc
eye,noun,the organ of sight,mắt,không,,Root gốc
come,verb,to move toward or arrive at a place,"đến, tới",không,,Root gốc
piece,noun,a part of something separated from a whole,"mảnh, miếng",không,,Root gốc
walk,verb,to move at a regular pace by lifting and setting down each foot,đi bộ,không,,Root gốc
claim,verb,to state that something is true without proof; to demand as one's own,"tuyên bố, đòi hỏi",không,,Root gốc
pin,noun,a thin pointed piece of metal used for fastening,"cái ghim, đinh ghim",không,,Root gốc
most,adjective,greatest in amount or degree,nhiều nhất,không,,Root gốc
use,verb,to employ something for a purpose,"sử dụng, dùng",không,,Root gốc
front,noun,the foremost part or side of something,"phía trước, mặt trước",không,,Root gốc
radio,,"ray, beam; to shine, to radiate","tia, chiếu sáng, tỏa ra",có,radi,Root gốc
art,noun,the expression of creative skill and imagination,nghệ thuật,không,,Root gốc
flu,,to flow,"chảy, trôi chảy",có,"fluct, fluv",Root gốc
life,noun,the state of being alive,"sự sống, cuộc sống",không,,Root gốc
test,noun,"an examination or trial to determine quality, ability or truth","sự kiểm tra, thử thách",không,,Root gốc
gen,,"birth, origin, race, kind; to produce or beget","sinh ra, nguồn gốc, giống nòi",có,"gener, genit",Root gốc
move,verb,to change position or place,"di chuyển, chuyển động",không,,Root gốc
bear,verb,"to carry, support, or endure","mang, chịu đựng",không,,Root gốc
bird,noun,"a warm-blooded, egg-laying vertebrate with feathers and wings",chim,không,,Root gốc
north,noun,the direction toward the North Pole,"phía bắc, hướng bắc",không,,Root gốc
mind,noun,"the element of a person that thinks, feels and reasons","tâm trí, trí óc",không,,Root gốc
firm,adjective,"having a solid, steady quality; not weak or yielding","vững chắc, kiên định",không,,Root gốc
field,noun,"an area of open land, especially used for crops or sport","cánh đồng, lĩnh vực",không,,Root gốc
lock,noun,"a device for fastening a door or container, opened by a key",khóa,không,,Root gốc
off,adverb,away from a place or position; not connected or operating,"tắt, rời khỏi, ngừng",không,,Root gốc
taste,noun,the sense that identifies the flavor of substances,"vị giác, mùi vị",không,,Root gốc
change,verb,to make or become different,thay đổi,không,,Root gốc
suit,noun,a set of clothes designed to be worn together,"bộ quần áo, bộ đồ",không,,Root gốc
door,noun,a hinged or sliding barrier used to open and close an entrance,cửa,không,,Root gốc
write,verb,to form letters or words on a surface,viết,không,,Root gốc
vary,verb,to differ or to change from one form to another,"biến đổi, thay đổi",không,,Root gốc
boy,noun,a male child,"cậu bé, con trai",không,,Root gốc
labor,noun,"physical or mental work, especially hard effort","lao động, công sức",không,,Root gốc
consider,verb,to think carefully about something,"xem xét, cân nhắc",không,,Root gốc
space,noun,a continuous area or expanse that is free or unoccupied,"không gian, khoảng trống",không,,Root gốc
craft,noun,"skill in doing or making something, especially by hand","nghề thủ công, kỹ năng",không,,Root gốc
cat,noun,a small domesticated feline animal,con mèo,không,,Root gốc
solve,verb,to find an answer to or explanation for a problem,giải quyết,không,,Root gốc
leg,noun,one of the limbs used for standing and walking,chân (chi dưới),không,,Root gốc
watch,verb,to look at attentively over a period of time,"xem, canh gác, theo dõi",không,,Root gốc
define,verb,to state the exact meaning or nature of something,"định nghĩa, xác định",không,,Root gốc
print,verb,to produce text or images on paper using ink,"in, in ấn",không,,Root gốc
love,noun,a deep feeling of affection,tình yêu,không,,Root gốc
prob,,"to test, to prove, to approve","thử, chứng minh, chấp thuận",có,"prov, proof",Root gốc
glass,noun,"a hard, transparent material","kính, thủy tinh",không,,Root gốc
band,noun,a thin flat strip of material used to encircle or fasten something,"dải, băng",không,,Root gốc
blow,verb,to move air or cause something to move by force of air,thổi,không,,Root gốc
spirit,noun,the non-physical part of a person; the soul,"tinh thần, linh hồn",không,,Root gốc
doubt,verb,to feel uncertain about something,nghi ngờ,không,,Root gốc
pass,verb,to move past or go by something,"đi qua, vượt qua",không,,Root gốc
compete,verb,to strive to win or gain something against others,"cạnh tranh, thi đấu",không,,Root gốc
pig,noun,a domesticated mammal raised for meat,con lợn,không,,Root gốc
child,noun,a young human being,"trẻ em, đứa trẻ",không,,Root gốc
tail,noun,the rear appendage of an animal's body,cái đuôi,không,,Root gốc
check,verb,to examine something in order to verify it,kiểm tra,không,,Root gốc
portion,noun,a part of a whole that has been divided,"phần, khẩu phần",không,,Root gốc
fruit,noun,"the sweet, edible product of a plant","trái cây, quả",không,,Root gốc
white,adjective,of the color of snow or milk,màu trắng,không,,Root gốc
earth,noun,the planet on which we live; soil,"trái đất, đất",không,,Root gốc
run,verb,"to move at a speed faster than walking, using the legs",chạy,không,,Root gốc
yard,noun,"a piece of enclosed ground, or a unit of length","sân, khoảng sân",không,,Root gốc
mean,verb,to intend to convey or refer to a particular thing; to signify,"nghĩa là, có ý nói",không,,Root gốc
monster,,"to show, to point out, to warn","chỉ ra, cho thấy, cảnh báo",có,,chưa chắc chắn - cần rà tay
respect,noun,a feeling of deep admiration or regard for someone,"sự tôn trọng, sự kính trọng",không,,Root gốc
forest,noun,a large area covered chiefly with trees,rừng,không,,Root gốc
paper,noun,material manufactured for writing or printing on,giấy,không,,Root gốc
close,verb,to shut something so that no gap remains; to bring to an end,"đóng lại, kết thúc",không,,Root gốc
load,noun,"something that is carried or transported, especially in bulk","tải, hàng chở",không,,Root gốc
style,noun,a manner of doing something; a distinctive fashion,"phong cách, kiểu",không,,Root gốc
in,preposition,expressing the situation of being enclosed or surrounded by something,"trong, ở trong",không,,Root gốc
grace,noun,elegance and beauty of movement or form; divine favor,"sự duyên dáng, ân sủng",không,,Root gốc
govern,verb,to conduct the policy and affairs of a state or organization,"cai trị, quản lý",không,,Root gốc
girl,noun,a female child,"cô gái, bé gái",không,,Root gốc
show,verb,to display or make visible,"cho xem, trình bày",không,,Root gốc
blood,noun,the red fluid that circulates in the body,máu,không,,Root gốc
force,noun,physical strength or power,"sức mạnh, lực",không,,Root gốc
cow,noun,an adult female of cattle,con bò cái,không,,Root gốc
create,verb,to bring something into existence,"tạo ra, sáng tạo",không,,Root gốc
snow,noun,atmospheric water vapor frozen into ice crystals that falls as precipitation,tuyết,không,,Root gốc
correct,adjective,free from error; accurate,"đúng, chính xác",không,,Root gốc
prim,,"first, earliest, original","đầu tiên, sơ khai, cơ bản",có,,Root gốc
decide,verb,to come to a resolution after consideration,quyết định,không,,Root gốc
mate,noun,a companion or fellow worker; a partner,"bạn, bạn đời",không,,Root gốc
away,adverb,at a distance from a particular place,"đi xa, rời xa",không,,Root gốc
cycle,noun,a series of events regularly repeated in the same order,"chu kỳ, vòng tuần hoàn",không,,Root gốc
observe,verb,to watch or notice carefully,quan sát,không,,Root gốc
wit,noun,mental sharpness and inventiveness; understanding,"trí khôn, sự hiểu biết",không,,Root gốc
worm,noun,"a small, elongated, limbless invertebrate","con giun, sâu",không,,Root gốc
copy,noun,a thing made to be similar or identical to another,bản sao,không,,Root gốc
touch,verb,to bring one's hand or another part of the body into contact with something,"chạm, đụng vào",không,,Root gốc
soft,adjective,"easy to mold, cut, or fold; not hard or firm",mềm,không,,Root gốc
join,verb,to link or connect together,"nối, gia nhập",không,,Root gốc
case,noun,an instance or example of something; a container,"trường hợp, hộp đựng",không,,Root gốc
kind,adjective,"having a friendly, generous, and considerate nature","tử tế, tốt bụng",không,,Root gốc
coat,noun,an outer garment worn for warmth or protection,áo khoác,không,,Root gốc
bar,noun,"a rigid piece of material, longer than it is wide","thanh, thanh chắn",không,,Root gốc
color,noun,the property of an object that produces different sensations of light,màu sắc,không,,Root gốc
pity,noun,a feeling of sorrow for another's suffering,lòng thương xót,không,,Root gốc
continue,verb,to persist in an activity or process,tiếp tục,không,,Root gốc
educate,verb,"to give intellectual, moral, or social instruction to",giáo dục,không,,Root gốc
star,noun,a fixed luminous point in the night sky,ngôi sao,không,,Root gốc
norm,noun,a standard or pattern regarded as typical,"chuẩn mực, quy tắc thông thường",không,,Root gốc
red,adjective,"of the color at the end of the spectrum next to orange, like blood",màu đỏ,không,,Root gốc
table,noun,a piece of furniture with a flat top and legs,cái bàn,không,,Root gốc
figure,noun,a number; a shape; a person's bodily form,"hình dạng, con số",không,,Root gốc
fit,adjective,"suitable, appropriate, or in good physical condition","vừa vặn, phù hợp, khỏe mạnh",không,,Root gốc
turn,verb,to move around an axis or center; to change direction,"quay, xoay, rẽ",không,,Root gốc
fact,noun,a thing that is known or proved to be true,"sự thật, sự kiện",không,,Root gốc
see,verb,to perceive with the eyes,nhìn thấy,không,,Root gốc
seed,noun,the reproductive part of a plant that can grow into a new one,hạt giống,không,,Root gốc
empire,noun,a group of countries or peoples ruled by a single supreme authority,"đế chế, đế quốc",không,imper,Root gốc
with,preposition,accompanied by or in the company of,"với, cùng với",không,,Root gốc
slip,verb,to slide accidentally and lose one's balance or footing,"trượt, trượt chân",không,,Root gốc
bill,noun,"a printed or written statement of money owed, or a notice/poster","hóa đơn, tờ yết thị",không,,Root gốc
green,adjective,"of the color between blue and yellow, like grass",màu xanh lá,không,,Root gốc
match,noun,a contest in which people compete; a thing that corresponds to another,"trận đấu, sự phù hợp",không,,Root gốc
mature,adjective,fully developed physically or mentally,"trưởng thành, chín muồi",không,,Root gốc
train,verb,to teach a skill through regular practice and instruction,"huấn luyện, đào tạo",không,,Root gốc
build,verb,to construct by putting parts together,xây dựng,không,,Root gốc
neck,noun,the part of the body connecting the head to the shoulders,cổ,không,,Root gốc
possess,verb,to have or own something,"sở hữu, có",không,,Root gốc
proof,noun,evidence sufficient to establish a thing as true,bằng chứng,không,,Root gốc
pure,adjective,not mixed or adulterated with any other substance,"tinh khiết, trong sạch",không,,Root gốc
horn,noun,a hard pointed growth on the head of certain animals,sừng,không,,Root gốc
there,adverb,"in, at, or to that place","ở đó, nơi đó",không,,Root gốc
audio,noun,"sound, especially when recorded, transmitted, or reproduced",âm thanh,không,aud,Root gốc
believe,verb,to accept something as true,"tin, tin tưởng",không,,Root gốc
transit,noun,the act of passing through or across a place,"sự quá cảnh, sự đi qua",không,,Root gốc
pole,noun,a long slender rounded piece of wood or metal,"cây cột, sào",không,,Root gốc
six,numeral,the number 6,số sáu,không,,Root gốc
author,noun,a person who writes a book or article; an originator of an idea or plan,"người viết sách hay bài báo; người khởi xướng, sáng lập ra điều gì đó",không,,Root gốc
flow,verb,to move steadily and continuously in a current,"chảy, trôi chảy liên tục",không,,Root gốc
photo,noun,a photograph; a picture made using a camera,"bức ảnh, tấm hình chụp bằng máy ảnh",không,,Root gốc
differ,verb,to be unlike or disagree with something,"khác nhau, bất đồng với điều gì đó",không,,Root gốc
pipe,noun,a tube through which liquid or gas flows,"ống dẫn nước, khí",không,,Root gốc
gas,noun,"a substance in a gaseous state, often used as fuel","khí, chất khí; nhiên liệu dạng khí",không,,Root gốc
end,noun,the final part or point of something,"phần cuối, điểm kết thúc của điều gì đó",không,,Root gốc
critic,noun,"a person who judges or evaluates something, especially art or writing","nhà phê bình, người đánh giá tác phẩm nghệ thuật hoặc sách vở",không,,Root gốc
nut,noun,a hard-shelled fruit or seed with an edible kernel,"quả hạch, hạt có vỏ cứng",không,,Root gốc
hang,verb,to attach or suspend something from above,"treo, mắc lên",không,,Root gốc
fix,verb,to repair something or fasten it firmly in place,"sửa chữa; gắn chặt, cố định",không,,Root gốc
protect,verb,to keep someone or something safe from harm,"bảo vệ, che chở khỏi nguy hiểm",không,,Root gốc
sport,noun,a physical activity done for competition or enjoyment,"môn thể thao, hoạt động thể chất mang tính thi đấu hoặc giải trí",không,,Root gốc
rail,noun,"a bar fixed as a support or barrier, or a track for trains","thanh chắn, tay vịn; đường ray xe lửa",không,,Root gốc
pair,noun,two things of the same kind used together,"một cặp, hai vật cùng loại đi với nhau",không,,Root gốc
charge,noun,"an amount of money asked for something, or a responsibility given to someone",khoản phí phải trả; trách nhiệm được giao phó,không,,Root gốc
read,verb,to look at written words and understand their meaning,"đọc, hiểu nội dung chữ viết",không,,Root gốc
blue,adjective,having the color of a clear sky,"có màu xanh lam, xanh da trời",không,,Root gốc
bare,adjective,not covered by clothing or anything else,"trần, để lộ, không che phủ",không,,Root gốc
advise,verb,to give someone advice or recommendations,"khuyên bảo, tư vấn cho ai đó",không,,Root gốc
shake,verb,to move quickly and forcefully up and down or side to side,"lắc, rung, làm rung chuyển",không,,Root gốc
ice,noun,water frozen into a solid state,"băng, nước đóng đá",không,,Root gốc
shame,noun,a painful feeling of guilt or embarrassment,"cảm giác xấu hổ, hổ thẹn",không,,Root gốc
brush,noun,"a tool with bristles used for cleaning, painting, or grooming","bàn chải, cây cọ",không,,Root gốc
live,verb,"to be alive, or to reside somewhere","sống, sinh sống",không,,Root gốc
ease,noun,"freedom from difficulty, effort, or discomfort","sự dễ dàng, thoải mái, không khó khăn",không,,Root gốc
sacro,,"holy, sacred; relating to religious ritual","thiêng liêng, thần thánh; liên quan đến nghi lễ tôn giáo",có,sacr,Root gốc
minister,noun,"a senior government official, or a member of the clergy who serves a religious congregation",bộ trưởng; mục sư phục vụ giáo đoàn,không,,Root gốc
round,adjective,shaped like a circle or ball,"tròn, có hình dạng như một vòng tròn",không,,Root gốc
rose,noun,a fragrant flower that usually has thorns,hoa hồng,không,,Root gốc
dress,noun,"a piece of clothing worn by a woman or girl, or clothing in general","váy, đầm; trang phục nói chung",không,,Root gốc
war,noun,an armed conflict between countries or groups,"chiến tranh, xung đột vũ trang",không,,Root gốc
attend,verb,"to be present at an event, or to look after someone","tham dự một sự kiện; chăm sóc, phục vụ ai đó",không,,Root gốc
distinct,adjective,recognizably different or separate,"riêng biệt, khác biệt rõ ràng",không,,Root gốc
miss,,to send,"gửi, phái đi",có,mit,Root gốc
fair,adjective,just and treating everyone equally,"công bằng, đối xử bình đẳng",không,,Root gốc
faith,noun,strong belief or trust in someone or something,"niềm tin, lòng tin tưởng",không,,Root gốc
sale,noun,the act of selling something,"việc bán hàng, sự mua bán",không,,Root gốc
vital,adjective,absolutely necessary; relating to life,"quan trọng, thiết yếu; thuộc về sự sống",không,,Root gốc
mobile,adjective,able to move or be moved easily,có thể di chuyển hoặc di động dễ dàng,không,,Root gốc
explain,verb,to make something clear or give reasons for it,"giải thích, làm rõ điều gì đó",không,,Root gốc
mill,noun,a building or machine for grinding grain,"cối xay, nhà máy xay xát",không,,Root gốc
rest,noun,a period of relaxation or sleep,"sự nghỉ ngơi, thời gian thư giãn",không,,Root gốc
courage,noun,the ability to face danger or difficulty without fear,"lòng dũng cảm, sự can đảm",không,,Root gốc
sleep,verb,to rest with the eyes closed and the mind unconscious,"ngủ, nghỉ ngơi trong trạng thái vô thức",không,,Root gốc
date,noun,a specific day given by a number in a month,ngày tháng cụ thể,không,,Root gốc
breath,noun,the air taken into and let out of the lungs,"hơi thở, luồng không khí hít vào thở ra",không,,Root gốc
tent,,to stretch out or hold firmly; to aim toward,"kéo căng, hướng tới; nắm giữ chặt",có,"tend, tain",Root gốc
born,adjective,having come into life through birth,"được sinh ra, chào đời",không,,Root gốc
cake,noun,"a sweet food made by baking a mixture of flour, eggs, and sugar",bánh ngọt,không,,Root gốc
noble,adjective,"belonging to the aristocracy, or having high moral qualities","thuộc tầng lớp quý tộc; cao quý, có phẩm chất tốt đẹp",không,,Root gốc
thought,noun,an idea or opinion produced by thinking,"suy nghĩ, ý nghĩ",không,,Root gốc
